Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	134.57603	3.6791396	137.84438	128.6149	1000.0	0.3412965	0.64207035	1.5852778	-1.610718	4000	4.1007997e-08	195.7281	-0.009323781	-102.419205	0.90997016	0.0033510274	0.06975	79.0	11.212448358535767
1	150.59967	19.06397	174.68814	131.70634	1000.0	-0.782589	8.446023	12.454764	-12.1862545	8000	3.33786e-08	341.94275	-0.012694426	-286.94656	0.89899343	0.005667697	0.06625	79.0	20.69615364074707
2	144.85674	23.469479	174.6344	110.310875	1000.0	7.308296	8.536703	15.552549	-13.489148	12000	-3.8146974e-09	144.22035	-0.013926709	-114.25201	0.8908555	0.008602497	0.0835	79.0	30.1443088054657
3	139.79375	18.87209	166.73311	114.24261	1000.0	12.698027	3.3517675	17.107386	-1.8522727	16000	-2.6702882e-08	30.79637	-0.010688587	-16.66889	0.9144462	0.00699531	0.0715	79.0	39.88073778152466
4	152.29507	18.046621	164.95738	121.24962	1000.0	14.44992	2.596211	19.08471	2.891292	20000	-1.525879e-08	18.103527	-0.013505984	-6.4279537	0.9164326	0.009910951	0.08625	79.0	49.55764651298523
5	152.17497	8.018154	160.27444	138.91391	1000.0	16.116484	2.4571044	20.299911	6.9591208	24000	-3.8146974e-09	12.116376	-0.012407326	-5.120534	0.88836217	0.0043949806	0.07575	79.0	59.18691277503967
6	154.37914	16.457706	181.79436	138.37714	1000.0	15.927436	2.6395419	20.62933	8.0750675	28000	-3.8146974e-09	12.8551445	-0.013582448	-3.9080105	0.8721772	0.005943241	0.07875	79.0	68.82874941825867
7	153.41649	9.055519	166.0135	144.76007	1000.0	16.10678	3.1824968	21.624794	6.724271	32000	0.0	10.034452	-0.012872148	-3.1384354	0.83606535	0.010344053	0.07825	79.0	78.40905261039734
8	153.27393	21.533936	183.10234	126.14865	1000.0	16.406137	3.6093688	21.416803	8.089386	36000	4.053116e-09	17.435255	-0.012510144	-8.942924	0.83659554	0.008114359	0.069	79.0	88.03184461593628
9	162.87276	13.202821	177.66357	145.1424	1000.0	16.645033	3.8762062	23.208055	6.514335	40000	1.9073487e-09	7.505962	-0.0136364745	-3.70745	0.8423956	0.010522893	0.08525	79.0	97.63433384895325
10	165.05385	14.807393	188.59413	147.74358	1000.0	17.657293	3.4063952	23.45168	6.559536	44000	-1.4305114e-08	5.6115856	-0.011518091	-1.7237082	0.83096594	0.0075340867	0.0825	79.0	107.65288877487183
11	153.99158	14.3880005	175.7777	136.59561	1000.0	16.990215	3.8126216	24.284943	7.9244885	48000	5.722046e-09	6.319992	-0.012997515	-3.3587964	0.8060949	0.007876762	0.07525	79.0	117.3553695678711
12	148.09091	19.427494	181.49838	133.41298	1000.0	16.14649	4.039653	24.018799	3.5314698	52000	3.8146974e-09	8.757873	-0.012899708	-4.745442	0.8169388	0.0031210242	0.08125	79.0	127.02296447753906
13	146.59071	14.726565	171.29903	133.25568	1000.0	15.097226	3.1960514	23.165901	7.02945	56000	5.722046e-09	10.791097	-0.015048531	-6.334045	0.7868454	0.00916688	0.08775	79.0	136.61919498443604
14	173.1762	23.870436	201.2185	137.74454	1000.0	15.984122	3.1991594	23.62257	7.3704343	60000	9.536743e-09	10.73894	-0.013106641	-6.0934377	0.81960475	0.007983854	0.081	79.0	146.31044006347656
15	153.40782	12.661125	167.49902	136.67714	1000.0	17.147137	3.8824894	25.723335	6.2262516	64000	-1.1444092e-08	9.10273	-0.012938199	-5.5109673	0.78248805	0.0059254533	0.07625	79.0	155.96473026275635
16	160.88074	20.01715	183.72823	136.08063	1000.0	16.651785	3.548614	25.78947	7.0576053	68000	-8.34465e-09	7.7133517	-0.015353251	-4.5265694	0.74601126	0.008420927	0.10075	79.0	165.58385396003723
17	140.43149	15.422576	163.04527	122.69623	1000.0	15.391485	3.9775913	25.677486	6.599419	72000	-1.3351441e-08	11.018656	-0.014627909	-6.0022345	0.7396871	0.008043761	0.08	79.0	175.15590143203735
18	157.48645	6.6358314	164.04558	149.31506	1000.0	15.419122	3.9636872	26.092827	7.912633	76000	2.0980835e-08	8.590358	-0.012360915	-5.787139	0.7175735	0.007013057	0.0835	79.0	184.71796011924744
19	138.04546	6.316434	148.45625	132.57907	1000.0	15.4668865	4.1099925	26.64362	5.841068	80000	-1.4305115e-09	11.334072	-0.013556608	-8.057955	0.71723783	0.0065827635	0.08575	79.0	194.30580306053162
