Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.7508793	1.7174233	5.7334976	1.7050267	1000.0	0.07276071	1.4189459	2.1858573	-2.214032	4000	4.386902e-08	2.3550084	-0.03513099	-2.1461692	5.4927564	0.015277681	0.19475	43.0	9.886053323745728
1	2.858101	1.3461742	5.02156	1.405185	1000.0	0.4044027	0.12848426	0.9350954	-0.0761534	8000	2.6702882e-08	0.1486314	-0.035162706	-0.031915747	5.493121	0.015176281	0.20075	32.0	17.817468881607056
2	3.5717654	1.4155805	5.7368755	1.8173041	1000.0	0.28987613	0.11394527	0.81822217	-0.29386067	12000	-1.3351441e-08	0.11336368	-0.041576467	-0.0100691095	5.485297	0.015298509	0.21525	43.0	25.728559017181396
3	3.7164798	2.5436432	6.7697597	0.5957991	1000.0	0.3406762	0.10975427	0.8139593	-0.19888212	16000	3.051758e-08	0.20776421	-0.037937894	-0.02064541	5.440899	0.015076229	0.18175	47.0	33.474759340286255
4	8.097948	2.4902148	12.159876	5.5254154	1000.0	0.45048442	0.15333308	1.0095636	-0.105327554	20000	1.9073486e-08	0.51003593	-0.02175592	-0.17217389	5.4380627	0.0155329835	0.22125	13.0	41.085846185684204
5	8.626383	2.6578333	11.263597	4.3965864	1000.0	0.78449565	0.31511578	2.1028597	-0.23270571	24000	2.193451e-08	0.48454165	-0.045962464	-0.043943346	5.408129	0.0136573715	0.2325	79.0	49.04144787788391
6	15.002266	3.3647075	19.810505	10.456903	1000.0	1.017168	0.3873054	2.2111871	-0.4958961	28000	-1.4305115e-09	1.1666114	-0.034204226	-0.3268547	5.439644	0.015166326	0.223	23.0	56.9565589427948
7	13.224838	5.4323545	20.8454	7.196408	1000.0	1.5115474	0.48358992	3.1637166	0.036831945	32000	-1.0967255e-08	0.75900584	-0.0464405	-0.07655394	5.3438926	0.012537607	0.227	79.0	64.97444272041321
8	20.345879	3.4592185	24.60694	15.020773	1000.0	1.5531931	0.52698475	3.1343226	-0.1520934	36000	2.002716e-08	1.2943407	-0.050324574	-0.37433183	5.3312345	0.007036468	0.2345	79.0	73.03289747238159
9	25.302868	2.8382552	30.183426	23.215261	1000.0	2.140503	0.60506123	4.31231	-0.055756003	40000	-1.525879e-08	1.8922235	-0.040999714	-0.42218363	5.329954	0.015298802	0.198	40.0	80.93175840377808
