Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	500.0	500.0	1000.0	0.0	1000.0	-0.026989298	0.36906883	1.1150285	-1.4624344	4000	-1.859665e-08	4259.5376	-0.013598604	-614.22314	1.8147632	0.009201828	0.0795	79.0	16.303076028823853
1	0.0	0.0	0.0	0.0	1000.0	2.6853986	6.687753	15.20688	-14.614063	8000	1.525879e-08	49.15175	-0.021531725	-35.721653	1.8106475	0.00860242	0.1355	79.0	31.804556369781494
2	0.0	0.0	0.0	0.0	1000.0	5.23982	2.2296104	11.174066	-1.7302935	12000	5.2452087e-08	27.22357	-0.016502198	-22.82193	1.7937839	0.0043248283	0.094	79.0	43.56720280647278
3	750.0	433.0127	1000.0	0.0	1000.0	0.8058161	0.6096878	4.356909	-4.908713	16000	-7.152558e-08	6255.7	-0.009298782	-2686.1182	1.764809	0.0076533225	0.06225	79.0	51.681100606918335
4	0.0	0.0	0.0	0.0	1000.0	21.464449	13.151365	25.896416	-24.285868	20000	-1.2111664e-07	535.54785	-0.010452912	-186.56192	1.7873471	0.011662971	0.089	79.0	59.8027777671814
5	500.0	500.0	1000.0	0.0	1000.0	16.034914	11.972816	22.702026	-21.935213	24000	-3.6239623e-08	2769.7708	-0.015554335	-334.47803	1.7628611	0.008921636	0.09	79.0	68.1886670589447
6	0.0	0.0	0.0	0.0	1000.0	15.8848715	18.547035	27.513044	-22.672417	28000	-2.4080277e-08	510.64297	-0.012845587	-459.9016	1.7287155	0.0074089607	0.07775	79.0	76.7244005203247
7	250.0	433.0127	1000.0	0.0	1000.0	6.2282243	4.5684133	19.603386	-1.8528192	32000	1.8119811e-08	1840.4951	-0.0121624805	-460.43555	1.7285573	0.013501295	0.10175	79.0	84.66445016860962
8	240.25	416.1252	961.0	0.0	1000.0	21.030626	8.721234	26.559996	-17.68448	36000	4.7683715e-09	1473.698	-0.013320982	-136.64087	1.6871916	0.0119034825	0.10675	79.0	92.49914383888245
9	499.75	499.75012	1000.0	0.0	1000.0	23.354198	3.373521	27.405321	0.9289563	40000	-6.103516e-08	2742.9995	-0.010937035	-394.11108	1.649439	0.0036521836	0.058	79.0	101.00959253311157
10	0.0	0.0	0.0	0.0	1000.0	30.516	7.996535	33.214787	-21.139212	44000	4.005432e-08	839.06836	-0.011885521	-787.11304	1.6415789	0.014383362	0.161	11.0	109.24822473526001
11	483.0	483.59796	1000.0	0.0	1000.0	8.775778	4.8990397	23.98374	0.09949803	48000	-2.4080277e-08	3429.8784	-0.011682241	-1385.5354	1.6236348	0.0064206426	0.07075	79.0	117.3371434211731
12	500.0	500.0	1000.0	0.0	1000.0	27.039871	8.014717	34.5838	-1.3859347	52000	-1.2397766e-08	2130.638	-0.011663608	-391.68542	1.6214025	0.008102872	0.07725	79.0	125.32551550865173
13	0.0	0.0	0.0	0.0	1000.0	24.742481	13.228961	40.855106	-12.673127	56000	-3.8146974e-09	702.8311	-0.004504966	-649.86285	1.620614	0.021405162	0.2955	3.0	132.76545071601868
14	250.0	433.0127	1000.0	0.0	1000.0	8.010714	6.441706	28.507404	-2.9385717	60000	-2.2888184e-08	1531.6367	-0.009662456	-720.41705	1.6236553	0.008218221	0.0725	79.0	141.21582770347595
15	250.0	433.0127	1000.0	0.0	1000.0	11.661437	11.975737	40.111492	-26.4522	64000	-2.8610229e-08	1291.9727	-0.011801062	-400.2608	1.6250274	0.008594457	0.082	79.0	149.81408882141113
16	0.0	0.0	0.0	0.0	1000.0	2.1861553	12.156412	36.32909	-37.036606	68000	-4.1007997e-08	139.92574	-0.016404731	-114.64397	1.6010771	0.0065049576	0.15125	79.0	157.85528206825256
17	250.0	433.0127	1000.0	0.0	1000.0	5.030566	9.424066	42.171852	-20.283482	72000	3.8146974e-09	1890.5231	-0.010757628	-1135.081	1.5974642	0.013975475	0.0865	79.0	165.4515790939331
18	0.0	0.0	0.0	0.0	1000.0	12.960538	16.422876	41.874813	-36.35692	76000	3.242493e-08	368.2337	-0.015912602	-330.41998	1.6545712	0.00620018	0.09525	79.0	173.08320784568787
19	0.0	0.0	0.0	0.0	1000.0	0.60847306	1.79974	4.571625	-12.499236	80000	-9.536743e-09	3.1017652	-0.0049766637	-1.5351832	1.6257498	0.01621486	0.263	3.0	181.01385641098022
20	0.0	0.0	0.0	0.0	1000.0	1.9445622	2.2056992	24.144007	-9.0440645	84000	2.3841857e-09	7.8933177	-0.017717881	-6.0060773	1.621947	0.010277975	0.093	79.0	189.83530616760254
21	0.0	0.0	0.0	0.0	1000.0	-0.9747787	1.2894924	5.596388	-18.947147	88000	3.9100648e-08	2.3332803	-0.015044198	-1.3406155	1.6444801	0.0105505865	0.12425	79.0	197.78300094604492
22	239.0	413.96014	956.0	0.0	1000.0	3.095724	5.9113445	40.20519	-12.473052	92000	-1.9073486e-08	1713.6804	-0.0110788625	-941.88275	1.6125325	0.005500292	0.066	79.0	205.31071186065674
23	0.0	0.0	0.0	0.0	1000.0	0.31997728	3.9932761	48.17123	-22.15973	96000	5.722046e-09	16.029385	-0.0070890537	-12.087275	1.5605904	0.014726478	0.193	5.0	212.62875056266785
24	489.25	489.48615	1000.0	0.0	1000.0	11.090717	12.298499	44.38939	-9.527821	100000	-4.863739e-08	2726.574	-0.012220708	-1854.4061	1.582005	0.013755493	0.0815	79.0	220.62281036376953
25	0.0	0.0	0.0	0.0	1000.0	-0.1653042	4.29671	32.99594	-44.508575	104000	5.722046e-09	18.432827	-0.006428928	-14.43809	1.621006	0.020894952	0.2215	4.0	228.77332282066345
26	0.0	0.0	0.0	0.0	1000.0	32.160316	21.330297	55.65527	-0.021450937	108000	-2.026558e-08	1244.8059	-0.014235407	-1155.9221	1.6071866	0.0041163717	0.09575	79.0	237.2173478603363
27	0.0	0.0	0.0	0.0	1000.0	-0.049292784	7.094417	42.273895	-23.509342	112000	2.861023e-09	50.060703	-0.015776062	-29.547102	1.6149641	0.012991317	0.162	79.0	244.94821119308472
28	0.0	0.0	0.0	0.0	1000.0	6.449051	9.158883	42.128544	-4.2480803	116000	-1.4305114e-08	102.840454	-0.012992217	-89.93619	1.610664	0.0068108374	0.08725	79.0	252.71911787986755
29	250.0	433.0127	1000.0	0.0	1000.0	8.668403	12.350405	39.124016	-0.93434036	120000	-6.389618e-08	1089.2717	-0.012094972	-605.21826	1.6498377	0.009261256	0.081	79.0	260.54995250701904
30	0.0	0.0	0.0	0.0	1000.0	2.487284	7.7057533	55.024994	-9.994712	124000	-1.525879e-08	65.178154	-0.0031939477	-57.43591	1.6061753	0.018421195	0.23875	4.0	269.2211101055145
31	492.5	492.6142	1000.0	0.0	1000.0	7.0186834	10.894166	56.215862	-1.5519372	128000	-1.001358e-08	3071.784	-0.013241774	-2565.0205	1.5946621	0.008573641	0.077	79.0	277.5477349758148
32	0.0	0.0	0.0	0.0	1000.0	16.589745	20.085384	65.15591	-63.261776	132000	4.5776368e-08	658.0789	-0.008470532	-633.5757	1.5876184	0.026724042	0.31075	3.0	284.7641999721527
33	0.0	0.0	0.0	0.0	1000.0	3.407602	10.780357	62.5053	-33.561947	136000	-9.536743e-09	127.277084	-0.013123121	-100.93387	1.6200389	0.004317041	0.118	79.0	292.27050137519836
34	250.0	433.0127	1000.0	0.0	1000.0	5.0637364	11.255464	60.667465	-11.375389	140000	-2.503395e-08	1854.8508	-0.011879073	-1566.9832	1.5552051	0.009196231	0.085	79.0	299.80263113975525
35	250.0	433.0127	1000.0	0.0	1000.0	16.284443	28.582727	66.286674	-30.50336	144000	-5.9604643e-10	258.40143	-0.012418277	-77.34926	1.521405	0.014001502	0.07675	79.0	308.3071172237396
36	10.0	17.320509	40.0	0.0	1000.0	3.9824283	7.306381	68.30505	-31.308498	148000	-2.2888184e-08	51.83099	-0.017367864	-34.63588	1.5173646	0.011163381	0.1055	79.0	317.3496594429016
37	0.0	0.0	0.0	0.0	1000.0	-4.7273216	11.111647	26.67935	-53.987312	152000	9.536743e-09	145.79437	-0.016054647	-142.05402	1.5479562	0.011552001	0.10375	79.0	325.17418384552
38	0.0	0.0	0.0	0.0	1000.0	2.2651443	6.086082	45.208515	-17.262129	156000	-1.1444092e-08	41.41846	-0.013956889	-33.438137	1.4989421	0.006660747	0.113	79.0	332.68242597579956
39	250.0	433.0127	1000.0	0.0	1000.0	0.67137635	4.642314	6.8441653	-36.44205	160000	5.00679e-08	2075.6968	-0.012024766	-1882.9948	1.554353	0.007874571	0.0715	79.0	340.2682394981384
40	6.0	10.392304	24.0	0.0	1000.0	-4.2982316	3.7897365	62.49483	-38.566574	164000	1.7166137e-08	27.04129	-0.005984934	-14.584261	1.5185206	0.019842451	0.21225	4.0	348.73947167396545
41	250.0	433.0127	1000.0	0.0	1000.0	7.649177	19.641743	66.31968	-35.188854	168000	2.7179718e-08	826.0286	-0.005358123	-693.834	1.5386332	0.008857796	0.067	79.0	356.8823616504669
42	0.0	0.0	0.0	0.0	1000.0	12.596762	15.70734	61.85893	-41.256084	172000	2.0980835e-08	346.74252	-0.007347103	-320.732	1.5800757	0.009616542	0.1365	4.0	364.33055782318115
43	250.0	433.0127	1000.0	0.0	1000.0	18.07714	28.765038	75.13076	-29.867893	176000	1.8119811e-08	269.3959	-0.013655566	-137.04218	1.5486761	0.006033074	0.08175	79.0	371.99268889427185
44	250.0	433.0127	1000.0	0.0	1000.0	17.936518	29.022636	69.48963	-27.890749	180000	-9.536743e-09	223.55545	-0.011474579	-137.69812	1.5477432	0.009045543	0.0815	79.0	379.6531090736389
45	0.0	0.0	0.0	0.0	1000.0	-1.7187248	0.8704203	-1.2653029	-26.928955	184000	-7.629395e-09	3.2981367	-0.007738892	-1.9888437	1.5349989	0.017758382	0.22975	9.0	387.4606740474701
46	250.0	433.0127	1000.0	0.0	1000.0	40.037453	41.173504	82.02398	-1.6620405	188000	-5.1498414e-08	1464.6414	-0.0139386915	-1332.1965	1.5228972	0.006381783	0.081	79.0	395.505811214447
47	250.0	433.0127	1000.0	0.0	1000.0	15.568008	27.922968	80.17942	-17.135723	192000	1.1444092e-08	280.62033	-0.011544824	-233.47807	1.568917	0.009479155	0.0715	79.0	403.1670196056366
48	0.0	0.0	0.0	0.0	1000.0	0.31978583	1.0427868	4.670854	-30.525053	196000	-6.6757204e-09	1.1103065	-0.010593158	-0.51534736	1.5702554	0.0057362355	0.06825	79.0	410.61358642578125
49	500.0	500.0	1000.0	0.0	1000.0	42.76094	42.50722	85.36117	-31.339489	200000	1.9073486e-08	94.454216	-0.014672094	-45.806526	1.5531342	0.009634644	0.086	79.0	418.2334854602814
50	0.0	0.0	0.0	0.0	1000.0	30.477295	27.461311	80.102684	-25.416655	204000	3.9100648e-08	1434.2644	-0.01239101	-1355.8937	1.4808536	0.0032848897	0.067	79.0	426.41444659233093
51	0.0	0.0	0.0	0.0	1000.0	0.78793186	1.6001308	1.237871	-37.484764	208000	-4.768372e-10	3.0413752	-0.008989904	-2.4801974	1.4788566	0.01439662	0.111	70.0	434.0109932422638
52	0.0	0.0	0.0	0.0	1000.0	0.72633755	0.8554367	16.793306	-10.863169	212000	5.722046e-09	1.1701674	-0.012395912	-0.524369	1.4684712	0.0086293835	0.118	79.0	441.9988067150116
53	246.5	426.95053	986.0	0.0	1000.0	2.3351476	4.6449637	80.68454	-17.677832	216000	-3.051758e-08	1785.0564	-0.013635218	-1687.765	1.4552883	0.011019388	0.10275	79.0	449.5590829849243
54	0.0	0.0	0.0	0.0	1000.0	3.838063	8.394773	54.20199	-20.946457	220000	-1.7404556e-08	79.500305	-0.010536227	-77.93273	1.4218802	0.0054507516	0.09425	79.0	457.188410282135
55	2.25	3.8971143	9.0	0.0	1000.0	11.197402	15.4169445	89.89183	-15.773222	224000	-1.9073487e-09	300.3648	-0.013821707	-276.16327	1.4363873	0.0034981233	0.11825	79.0	465.1889684200287
56	0.0	0.0	0.0	0.0	1000.0	10.559369	18.402266	89.68769	-21.037952	228000	-6.6757204e-09	398.23383	-0.019139923	-382.91687	1.3966314	0.0058420133	0.063	79.0	473.3884029388428
57	0.0	0.0	0.0	0.0	1000.0	0.41929373	0.41886902	1.313525	-5.848406	232000	1.525879e-08	0.30896398	-0.010365999	-0.17752142	1.4076296	0.011758291	0.0985	79.0	481.2775945663452
58	0.0	0.0	0.0	0.0	1000.0	0.39625427	2.9282832	63.12837	-4.626114	236000	-5.2452087e-09	8.717339	-0.00350569	-7.8269043	1.4005395	0.029039994	0.276	4.0	488.58965158462524
59	250.0	433.0127	1000.0	0.0	1000.0	20.061247	35.064728	88.99523	-19.272657	240000	-1.859665e-08	108.70745	-0.009833097	-92.72709	1.3577982	0.012276301	0.10875	79.0	496.1164927482605
60	500.0	500.0	1000.0	0.0	1000.0	7.832569	9.421188	63.795357	-0.7117816	244000	3.4809112e-08	3027.346	-0.011238436	-2877.5527	1.3331778	0.013548948	0.08425	79.0	504.365745306015
61	250.0	433.0127	1000.0	0.0	1000.0	34.852436	38.307808	92.165924	-5.7048807	248000	4.1007997e-08	527.3979	-0.016683059	-496.27884	1.2886459	0.004156236	0.1075	79.0	512.5502007007599
62	500.0	500.0	1000.0	0.0	1000.0	47.060745	46.301777	93.54864	0.15685081	252000	2.2888184e-08	19.25461	-0.012029087	-12.5193615	1.2646492	0.006258624	0.068	79.0	520.6229598522186
63	250.0	433.0127	1000.0	0.0	1000.0	24.38219	41.1331	95.924034	-62.02368	256000	-4.4107438e-09	6.1882596	-0.009174887	-3.6288717	1.2700112	0.009421376	0.07275	79.0	528.2089018821716
64	0.0	0.0	0.0	0.0	1000.0	27.79217	38.478024	96.34178	-23.501429	260000	1.1444092e-08	1903.7714	-0.012659919	-1793.7931	1.2249919	0.00591967	0.07775	79.0	535.7964959144592
65	250.0	433.0127	1000.0	0.0	1000.0	1.7505789	3.983317	89.02703	-7.9550695	264000	-3.528595e-08	2025.1112	-0.010597864	-1907.3375	1.2280129	0.016548853	0.1155	28.0	543.3834993839264
66	0.0	0.0	0.0	0.0	1000.0	5.0365305	0.6291315	8.769839	-10.203675	268000	-2.2888184e-08	21.949762	-0.012574043	-18.372124	1.2850884	0.009912271	0.10475	79.0	551.6592922210693
67	248.0	429.5486	992.0	0.0	1000.0	13.581479	19.708916	74.84125	-5.5451193	272000	-1.7166137e-08	642.94946	-0.010458589	-594.6306	1.2167062	0.011112428	0.0845	79.0	559.5716269016266
68	243.75	422.18738	975.0	0.0	1000.0	23.479424	40.924873	95.37497	-6.0455546	276000	-7.390976e-09	24.819403	-0.011875637	-15.453528	1.1651661	0.008028599	0.0655	79.0	567.3146176338196
69	1.75	3.0310888	7.0	0.0	1000.0	20.23453	30.564968	96.34983	-8.310172	280000	6.723404e-08	1144.3956	-0.017390005	-1069.6953	1.1666027	0.010771759	0.09075	79.0	574.9570558071136
70	250.0	433.0127	1000.0	0.0	1000.0	17.419336	29.53042	95.18446	0.68475616	284000	1.9550324e-08	303.69406	-0.009698994	-295.6848	1.1860932	0.012234195	0.1005	79.0	583.0308051109314
71	0.0	0.0	0.0	0.0	1000.0	0.5526884	0.6882357	3.2882054	-1.219882	288000	6.723404e-08	0.70221215	-0.010452559	-0.45480418	1.1680734	0.0034415508	0.059	79.0	592.1514608860016
72	5.5	9.526279	22.0	0.0	1000.0	0.6109242	4.908434	84.55529	-0.5906693	292000	1.525879e-08	17.038473	-0.0033880845	-14.397648	1.2478898	0.02026951	0.238	4.0	600.73473072052
73	0.0	0.0	0.0	0.0	1000.0	-0.33058217	0.23487277	-0.18088686	-7.7249074	296000	-1.7166137e-08	0.14958042	-0.0025211887	-0.097285196	1.1883745	0.021364396	0.21825	6.0	608.4215421676636
74	0.0	0.0	0.0	0.0	1000.0	-0.2212283	0.6096581	0.047342658	-16.672594	300000	1.1920929e-08	0.4171354	-0.0031575311	-0.19750345	1.2096547	0.020416014	0.21175	4.0	615.8957204818726
75	0.0	0.0	0.0	0.0	1000.0	0.03431968	0.19487783	0.048607945	-9.128216	304000	-2.026558e-09	0.038866382	-0.0012149133	-0.006486211	1.2075102	0.019317972	0.26475	6.0	623.5395650863647
76	0.0	0.0	0.0	0.0	1000.0	3.5297344	7.343334	57.77182	-8.126905	308000	1.9073486e-08	57.46447	-0.011591041	-53.081604	1.2050202	0.007689063	0.09	79.0	632.1722602844238
77	0.0	0.0	0.0	0.0	1000.0	-0.08365839	0.13629125	-0.04571867	-4.8178716	312000	-5.722046e-09	0.025545452	-0.011510718	-0.0050210077	1.270885	0.013819342	0.11525	79.0	641.2208955287933
78	250.0	433.0127	1000.0	0.0	1000.0	17.62784	29.469837	95.902504	-4.619047	316000	-1.3351441e-08	222.22865	-0.00315051	-210.7435	1.209199	0.015570316	0.14525	4.0	649.1805918216705
79	746.75	431.16898	1000.0	0.0	1000.0	57.55647	37.680805	96.56743	-0.45814896	320000	2.9087067e-08	598.0018	-0.014642493	-565.05725	1.2200933	0.009738957	0.10375	79.0	656.8874568939209
80	0.0	0.0	0.0	0.0	1000.0	1.6074829	4.190295	33.587124	-1.9161	324000	-9.536744e-10	19.774662	-0.009771296	-11.444109	1.1695638	0.0030144085	0.116	79.0	665.1272983551025
