Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.1647872	0.291982	0.63590205	-0.9463246	4000	-6.6757204e-09	0.13020255	-0.012993625	-0.124540076	1.8276278	0.0075413985	0.08225	79.0	11.409199476242065
1	2.0	3.4641016	8.0	0.0	1000.0	0.018463792	0.05807743	0.46403465	-0.4246311	8000	1.4305115e-09	0.052407235	-0.0087843975	-0.0059718974	1.9038737	0.008380117	0.08675	79.0	20.8386127948761
2	0.0	0.0	0.0	0.0	1000.0	0.02253464	0.041228723	0.33742523	-0.23829438	12000	-1.7166137e-08	0.0020477062	-0.012488081	-0.0017438424	1.8535521	0.0047229747	0.0775	79.0	30.29170560836792
3	0.0	0.0	0.0	0.0	1000.0	0.021210793	0.02322711	0.14492445	-0.1524779	16000	3.8146974e-09	0.0008761261	-0.014206759	-0.0007164361	1.810678	0.007232833	0.0905	79.0	39.68031191825867
4	0.0	0.0	0.0	0.0	1000.0	-0.011485096	0.019530807	0.13737248	-0.104897864	20000	7.1525574e-10	0.00047044654	-0.0147924265	-0.0003719236	1.797655	0.007798335	0.08575	79.0	49.02745604515076
5	0.0	0.0	0.0	0.0	1000.0	0.005713755	0.012779049	0.21655267	-0.117418736	24000	6.198883e-09	0.00019207157	-0.017229024	-0.00010465274	1.793062	0.006119138	0.08675	79.0	58.5009081363678
6	0.0	0.0	0.0	0.0	1000.0	0.00066859985	0.015125805	0.1745957	-0.18095274	28000	1.4305115e-09	0.00023316052	-0.016639614	-0.00013916433	1.8191217	0.008177308	0.0885	79.0	67.81505393981934
7	0.0	0.0	0.0	0.0	1000.0	-0.0071190605	0.011535361	0.17041722	-0.057837773	32000	2.6226044e-09	0.00018023059	-0.016546557	-0.00013702444	1.8179878	0.011059425	0.10375	79.0	77.03525924682617
8	0.0	0.0	0.0	0.0	1000.0	0.0046628867	0.015557357	0.30711657	-0.23770413	36000	2.861023e-09	0.00026180316	-0.018460903	-0.00019244978	1.7746265	0.006422053	0.071	79.0	86.24337697029114
9	0.0	0.0	0.0	0.0	1000.0	-0.0025171035	0.012559695	0.14389423	-0.11678571	40000	-3.0994416e-09	0.00015777748	-0.020002453	-0.0001095802	1.8096911	0.011932169	0.11125	79.0	95.51137709617615
10	238.5	413.09412	954.0	0.0	1000.0	-0.0015683945	0.009551186	0.071163155	-0.14285307	44000	1.9073486e-08	2087.5378	-0.013802625	-840.3075	1.7549092	0.011497316	0.09425	79.0	105.08321189880371
11	0.0	0.0	0.0	0.0	1000.0	9.963592	11.040579	28.046867	-15.038893	48000	-2.8610229e-08	191.66733	-0.018622603	-182.57442	1.7413304	0.0134206405	0.102	79.0	114.52873992919922
12	0.0	0.0	0.0	0.0	1000.0	1.9516501	1.9853046	11.948092	-4.473409	52000	-1.4781952e-08	7.033084	-0.0045006885	-6.5409646	1.7371105	0.021590186	0.21675	3.0	123.67967104911804
13	0.0	0.0	0.0	0.0	1000.0	0.6470825	0.43378097	5.375726	-2.3234522	56000	-1.6212464e-08	0.55176216	-0.017433	-0.41141263	1.7441605	0.008452984	0.0905	79.0	133.01279830932617
14	250.0	433.0127	1000.0	0.0	1000.0	0.13563243	0.3853558	2.367914	-3.8074574	60000	2.6226044e-08	2111.651	-0.012467208	-662.8876	1.7386873	0.009885655	0.095	79.0	142.31985068321228
15	0.0	0.0	0.0	0.0	1000.0	1.0119871	13.992596	28.010536	-13.001169	64000	4.7683715e-09	170.72903	-0.016245665	-158.9005	1.7235832	0.012408819	0.109	79.0	151.5971131324768
16	0.0	0.0	0.0	0.0	1000.0	2.532229	2.505136	10.238121	-2.8124354	68000	-5.722046e-09	10.756292	-0.01683084	-9.794453	1.7307296	0.009838773	0.09925	79.0	161.00473594665527
17	0.0	0.0	0.0	0.0	1000.0	1.0837333	0.6395367	3.5295088	-1.017483	72000	2.4318695e-08	1.3928229	-0.012944586	-1.0853611	1.7189906	0.008905437	0.08225	79.0	170.39033246040344
18	32.25	55.85864	129.0	0.0	1000.0	0.297176	0.49404863	3.8871849	-2.1022806	76000	5.722046e-09	80.09975	-0.01736484	-19.693466	1.7327029	0.015281622	0.09575	48.0	179.76744031906128
19	8.25	14.289419	33.0	0.0	1000.0	0.5053225	1.7512867	20.854404	-10.604532	80000	-9.536743e-09	3.4324543	-0.019452097	-0.98229647	1.6830286	0.012418138	0.096	79.0	189.04235982894897
20	0.0	0.0	0.0	0.0	1000.0	0.21773274	0.86312264	11.470474	-4.8669915	84000	4.7683715e-09	0.7910346	-0.017528534	-0.2537418	1.6016389	0.011391463	0.1065	79.0	198.6319751739502
21	0.0	0.0	0.0	0.0	1000.0	1.6379001	1.5580924	7.8298063	-2.0612633	88000	4.5776368e-08	4.4849997	-0.015078525	-3.5488453	1.648054	0.008624281	0.10275	79.0	207.90257692337036
22	0.0	0.0	0.0	0.0	1000.0	0.6407223	0.7852998	7.589053	-2.9464788	92000	3.004074e-08	0.98473835	-0.014947179	-0.6960756	1.6374507	0.0037212619	0.05325	79.0	217.1718306541443
23	0.0	0.0	0.0	0.0	1000.0	0.76158625	1.171033	13.122562	-2.2902975	96000	-1.0490417e-08	1.8917542	-0.019449448	-1.2537913	1.6296111	0.009121739	0.1115	79.0	226.49813032150269
24	0.0	0.0	0.0	0.0	1000.0	0.14404884	0.52203757	5.6902366	-4.827849	100000	-7.152557e-09	0.28124514	-0.02015057	-0.15226588	1.628994	0.0067457436	0.078	79.0	235.87757205963135
25	240.0	415.6922	960.0	0.0	1000.0	0.33936083	0.48855457	5.46136	-3.3482056	104000	-3.361702e-08	2070.0771	-0.012985445	-952.97217	1.6524044	0.00838432	0.0835	79.0	245.30222272872925
26	0.0	0.0	0.0	0.0	1000.0	12.381818	11.746454	30.418455	-7.866453	108000	-2.2411346e-08	249.83968	-0.013452361	-237.2897	1.648438	0.012888002	0.112	79.0	254.59869289398193
27	250.0	433.0127	1000.0	0.0	1000.0	1.5200456	2.4984217	32.611008	-1.1700506	112000	-9.536743e-09	2022.0919	-0.0144442255	-801.26184	1.6709992	0.011143929	0.0935	79.0	263.8289444446564
28	0.0	0.0	0.0	0.0	1000.0	14.719757	16.411972	36.529064	-6.1596165	116000	2.7656554e-08	411.4844	-0.012189441	-383.7523	1.627523	0.0065327417	0.07125	79.0	273.0402317047119
29	0.0	0.0	0.0	0.0	1000.0	4.772491	3.688646	19.403463	-1.5219834	120000	4.7683715e-09	33.199043	-0.014914901	-30.400137	1.6000359	0.00578794	0.0965	79.0	282.4098882675171
30	0.0	0.0	0.0	0.0	1000.0	0.047496248	1.4321232	2.806724	-6.649293	124000	-5.2452087e-09	2.1155293	-0.01566123	-1.3524494	1.5827107	0.007980622	0.10825	79.0	292.1135869026184
31	250.0	433.0127	1000.0	0.0	1000.0	1.7960373	1.4017518	13.28943	-5.4242296	128000	-5.6266785e-08	2048.8857	-0.011512179	-596.87524	1.5528847	0.012063885	0.086	79.0	301.4992501735687
32	0.0	0.0	0.0	0.0	1000.0	16.33263	13.413173	31.101942	-9.282329	132000	4.7683717e-08	382.33524	-0.01540514	-362.09296	1.5631409	0.00770331	0.101	79.0	310.79612922668457
33	0.0	0.0	0.0	0.0	1000.0	3.4111152	2.0369143	13.962696	-8.883463	136000	1.4305115e-09	13.998457	-0.013942564	-9.945044	1.4873753	0.0060104993	0.08175	79.0	320.01798248291016
34	250.0	433.0127	1000.0	0.0	1000.0	1.1040157	1.6902667	8.480113	-4.558208	140000	-7.4863436e-08	2053.3674	-0.009058798	-948.89	1.5585405	0.009331849	0.06975	79.0	329.3118851184845
35	250.0	433.0127	1000.0	0.0	1000.0	3.5829062	4.992568	33.725727	-5.5351644	144000	1.66893e-08	1896.5511	-0.01196474	-1167.2279	1.5142827	0.01327123	0.0985	79.0	338.62508177757263
36	250.0	433.0127	1000.0	0.0	1000.0	18.31328	22.764116	44.74843	-22.905285	148000	2.7656554e-08	1171.2805	-0.016524954	-693.0482	1.5272937	0.008624249	0.097	79.0	348.0117964744568
37	0.0	0.0	0.0	0.0	1000.0	8.927256	5.582417	37.011066	-6.083067	152000	-3.6239623e-08	95.6285	-0.018497532	-91.11666	1.5429492	0.011817044	0.10775	79.0	357.37589979171753
38	250.0	433.0127	1000.0	0.0	1000.0	6.6925826	7.9189954	45.02197	-20.723179	156000	2.5749207e-08	1660.764	-0.011591526	-1176.8566	1.5279768	0.005188489	0.07125	79.0	366.7278997898102
39	0.0	0.0	0.0	0.0	1000.0	13.812168	20.276793	55.542175	-10.430035	160000	3.9100648e-08	587.60754	-0.020576768	-570.9975	1.4872139	0.013389974	0.12325	79.0	376.0255081653595
40	0.0	0.0	0.0	0.0	1000.0	1.3362725	7.8201466	44.166164	-45.13408	164000	-1.4305115e-09	62.181892	-0.017679632	-41.097748	1.4856055	0.009179425	0.13025	79.0	386.02844500541687
41	0.0	0.0	0.0	0.0	1000.0	0.08409768	1.0681565	10.833947	-10.971127	168000	1.4305115e-09	1.1503574	-0.01517701	-0.5974927	1.4822044	0.015752243	0.128	67.0	395.32409834861755
42	0.0	0.0	0.0	0.0	1000.0	1.5581179	4.479964	39.464153	-11.249131	172000	-2.2649764e-09	22.46968	-0.019690694	-15.788097	1.4015775	0.0077887303	0.103	79.0	404.7445673942566
43	250.0	433.0127	1000.0	0.0	1000.0	0.9558969	4.618088	40.366173	-26.145092	176000	-6.520748e-08	1933.5684	-0.013336928	-1597.9703	1.4094514	0.010955349	0.09375	79.0	414.1206979751587
44	251.0	432.43845	1000.0	0.0	1000.0	19.194933	23.71054	61.911346	-3.562966	180000	2.6702882e-08	422.1055	-0.021485671	-211.08553	1.3961508	0.015278123	0.1045	67.0	423.344007730484
45	0.0	0.0	0.0	0.0	1000.0	7.6450334	15.384673	58.54709	-31.622564	184000	-3.552437e-08	252.43195	-0.013803773	-238.81569	1.321759	0.005136629	0.08325	79.0	432.7129364013672
46	0.0	0.0	0.0	0.0	1000.0	1.6670821	5.804138	58.748055	-56.918816	188000	1.1444092e-08	36.13542	-0.01764642	-32.67968	1.3460982	0.0055221445	0.10575	79.0	441.94559693336487
47	0.0	0.0	0.0	0.0	1000.0	2.3817663	6.2088842	59.931774	-0.43480074	192000	1.9073486e-08	43.976566	-0.0063400078	-39.770676	1.3802867	0.018249067	0.21025	5.0	450.8835289478302
48	0.0	0.0	0.0	0.0	1000.0	-0.8341224	4.442686	17.521034	-56.059486	196000	-1.7166137e-08	20.321497	-0.013715109	-13.426308	1.3918475	0.011081319	0.0945	79.0	460.22646832466125
49	0.0	0.0	0.0	0.0	1000.0	0.25422385	1.9039164	33.927452	-12.625095	200000	-6.6757204e-09	3.605245	-0.015227713	-1.8375564	1.3187574	0.0054962663	0.1035	79.0	469.59475350379944
50	250.0	433.0127	1000.0	0.0	1000.0	0.33879477	2.766871	54.175385	-5.5047703	204000	-6.6757204e-09	2028.7114	-0.01446007	-1797.1013	1.3588951	0.01280695	0.10425	79.0	479.31797194480896
51	0.0	0.0	0.0	0.0	1000.0	4.0596356	5.32617	36.766186	-24.356436	208000	2.8610229e-08	39.498863	-0.019980907	-35.668926	1.3136342	0.0074615683	0.10825	79.0	488.55325722694397
52	0.0	0.0	0.0	0.0	1000.0	4.5715113	7.9710574	60.43803	-1.3653471	212000	6.198883e-09	74.6474	-0.0040005734	-71.94731	1.3076153	0.017082378	0.23125	4.0	497.55882501602173
53	0.0	0.0	0.0	0.0	1000.0	0.08405047	1.0369974	2.9801373	-11.381488	216000	1.525879e-08	0.9990735	-0.016730353	-0.36897635	1.2950722	0.011647005	0.13675	79.0	506.86536741256714
54	0.0	0.0	0.0	0.0	1000.0	-0.76830494	4.132563	1.4100208	-54.717987	220000	-1.525879e-08	17.661297	-0.0059766923	-15.027657	1.242162	0.018613882	0.2115	7.0	515.9802348613739
55	246.5	426.95053	986.0	0.0	1000.0	2.6833773	5.8071165	59.01041	-26.88617	224000	-3.528595e-08	1703.2092	-0.013716902	-1568.8557	1.2519363	0.01169375	0.08925	79.0	525.312301158905
56	250.0	433.0127	1000.0	0.0	1000.0	18.778606	32.897438	76.71435	-27.171408	228000	5.722046e-09	132.58339	-0.013805504	-64.07841	1.233336	0.010691215	0.098	79.0	534.6182382106781
57	0.0	0.0	0.0	0.0	1000.0	8.382904	10.197324	77.21455	-0.51988125	232000	-3.862381e-08	151.7534	-0.01567736	-145.95596	1.2366272	0.005257075	0.088	79.0	544.0448319911957
58	0.0	0.0	0.0	0.0	1000.0	10.880511	19.68359	68.7678	-0.5434296	236000	-7.629395e-09	428.2547	-0.011849604	-397.47348	1.2555515	0.0041730967	0.079	79.0	553.3398337364197
59	165.0	285.7884	660.0	0.0	1000.0	8.722775	19.073027	77.98721	-0.4418869	240000	-7.867813e-09	956.02856	-0.016516946	-857.467	1.2307229	0.012035613	0.106	79.0	562.5131783485413
60	0.0	0.0	0.0	0.0	1000.0	38.266094	32.29925	82.86489	-0.8119979	244000	5.6266785e-08	2134.5154	-0.016661704	-2031.0955	1.2103082	0.009190376	0.12325	79.0	572.2895791530609
61	0.0	0.0	0.0	0.0	1000.0	1.3142632	3.3049443	3.5568984	-35.070164	248000	-1.525879e-08	12.203997	-0.013995989	-11.058697	1.183363	0.014466921	0.13675	78.0	581.513020992279
62	0.0	0.0	0.0	0.0	1000.0	0.5778884	1.1157128	1.5833203	-30.319872	252000	2.3841857e-09	1.510818	-0.0032353243	-1.0740564	1.17095	0.02714696	0.29275	4.0	590.5093429088593
63	0.0	0.0	0.0	0.0	1000.0	0.4406498	2.2963426	51.081894	-5.940283	256000	1.525879e-08	5.455977	-0.0029300614	-4.2801123	1.1497496	0.024481576	0.295	4.0	599.5647284984589
64	0.0	0.0	0.0	0.0	1000.0	-0.008624905	1.3893535	1.5450989	-37.85295	260000	-2.4795533e-08	1.9294604	-0.0042710723	-1.7229953	1.1305555	0.024600731	0.28025	3.0	608.6683840751648
65	262.25	413.16	976.0	0.0	1000.0	1.0935984	2.5813181	72.181015	-0.39483726	264000	-3.0755995e-08	2057.6594	-0.01717929	-477.64526	1.1541041	0.013342207	0.09875	79.0	618.0173461437225
66	250.0	433.0127	1000.0	0.0	1000.0	14.433434	2.2110245	74.464165	4.1913624	268000	-1.525879e-08	1610.8705	-0.017406745	-108.012695	1.107614	0.014321992	0.10325	79.0	627.3519015312195
67	11.5	19.918585	46.0	0.0	1000.0	20.751274	8.055689	74.32652	-44.93916	272000	6.341934e-08	380.28018	-0.010696828	-322.07767	1.1618265	0.015837364	0.21125	14.0	636.3724019527435
68	500.0	500.0	1000.0	0.0	1000.0	9.896105	2.5372438	58.98823	2.0286975	276000	6.6757204e-09	3406.6343	-0.011572478	-2814.5486	1.1336007	0.015658313	0.0735	23.0	645.4866223335266
69	0.0	0.0	0.0	0.0	1000.0	20.921227	5.5462933	40.43747	-5.7912226	280000	-1.2016297e-07	399.3655	-0.017939726	-377.1407	1.1554325	0.0092372475	0.1	79.0	654.7452130317688
70	0.0	0.0	0.0	0.0	1000.0	1.2736481	4.0024447	66.60665	-64.39775	284000	5.722046e-09	17.312925	-0.021183198	-12.6646595	1.14792	0.011063761	0.1455	79.0	664.6245703697205
71	0.75	1.299038	3.0	0.0	1000.0	1.4184517	2.5139794	62.54527	-22.702858	288000	-2.861023e-09	7.9294806	-0.015617715	-4.4575014	1.1279929	0.01432053	0.10725	79.0	673.8347206115723
72	0.0	0.0	0.0	0.0	1000.0	1.6007472	3.652341	28.411673	-12.032602	292000	-4.172325e-09	15.076163	-0.01194053	-14.048337	1.1066754	0.0056963987	0.11625	79.0	683.2254369258881
73	0.0	0.0	0.0	0.0	1000.0	0.155362	1.2067765	4.4163375	-41.003826	296000	-2.1457671e-09	1.4704709	-0.005328159	-1.0865506	1.0983554	0.02157021	0.2385	4.0	692.3054618835449
74	0.0	0.0	0.0	0.0	1000.0	1.4307742	3.8902116	61.192772	-0.85767233	300000	2.2888184e-08	17.028675	-0.003849368	-15.646722	1.0811113	0.021168083	0.27425	3.0	701.2988903522491
75	0.0	0.0	0.0	0.0	1000.0	1.9895521	4.4926276	49.382317	-5.6118155	304000	-1.9073487e-09	21.677608	-0.0045952112	-20.41483	1.0539864	0.021733064	0.204	2.0	710.2256081104279
76	0.0	0.0	0.0	0.0	1000.0	-0.46101403	1.4200702	4.4650035	-39.175453	308000	-1.34706495e-08	2.2157955	-0.005009948	-1.999182	1.0706414	0.024574723	0.25975	4.0	719.2014501094818
77	0.0	0.0	0.0	0.0	1000.0	0.038832184	0.34763896	10.149621	-2.0253541	312000	6.198883e-09	0.1221883	-0.0038185979	-0.086604506	1.0722107	0.023504453	0.297	4.0	728.2587103843689
78	250.0	433.0127	1000.0	0.0	1000.0	11.993853	19.444098	61.02433	-1.4421151	316000	3.242493e-08	643.925	-0.012277057	-568.80334	1.055375	0.014472431	0.08475	79.0	737.6967911720276
79	25.75	44.600307	103.0	0.0	1000.0	1.0325397	9.329321	77.23408	-26.508282	320000	-2.7656554e-08	31.789955	-0.00450098	-11.644253	1.1008401	0.029014938	0.30675	3.0	746.6532936096191
80	8.75	15.155444	35.0	0.0	1000.0	0.5809636	5.5636067	68.809235	-5.2070603	324000	-4.7683715e-09	21.401745	-0.018693645	-10.897233	1.0842432	0.01074721	0.12175	79.0	756.4854047298431
81	0.0	0.0	0.0	0.0	1000.0	0.12183552	0.23704614	1.2752633	-12.571762	328000	2.3841858e-08	0.07063012	-0.00924074	-0.040639877	1.094349	0.011044561	0.1045	79.0	765.72416639328
82	22.75	39.404156	91.0	0.0	1000.0	-1.9721768	6.48301	52.0487	-25.84122	332000	-1.3351441e-08	45.13187	-0.017670395	-34.902023	1.0256431	0.014867103	0.1295	73.0	774.9864590167999
83	250.0	433.0127	1000.0	0.0	1000.0	7.925307	18.457346	81.30855	-65.11415	336000	1.3351441e-08	1105.1489	-0.018926693	-987.5113	1.0001147	0.01373019	0.12875	79.0	784.2374994754791
84	0.0	0.0	0.0	0.0	1000.0	-1.3649431	0.9009741	33.72713	-31.961987	340000	4.7683717e-08	2.3870099	-0.011422352	-1.910898	0.99414307	0.007916829	0.08225	79.0	793.5489206314087
85	0.0	0.0	0.0	0.0	1000.0	-0.43480006	3.011252	52.17142	-6.008177	344000	2.002716e-08	9.106017	-0.019819053	-8.426343	0.9821889	0.01018033	0.1075	79.0	802.9399490356445
