Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	64.52985	7.829671	72.336975	54.67957	1000.0	0.0030292468	0.4042913	1.1481726	-1.1707392	4000	-3.8146974e-09	41.738884	-0.047737684	-36.488956	4.6133127	0.013735759	0.23275	79.0	12.688122987747192
1	60.293785	6.195731	68.64421	52.906082	1000.0	4.5278993	2.1220589	10.09164	-2.82441	8000	3.0994416e-09	4.7355285	-0.04650874	-3.1694021	4.5763826	0.014742953	0.23075	79.0	23.502445220947266
2	62.19947	3.5155702	65.12082	56.29689	1000.0	6.014074	2.5009086	10.787263	-1.9322826	12000	-2.861023e-09	4.9484935	-0.047945783	-2.1474657	4.487972	0.006648491	0.24075	79.0	34.31559896469116
3	63.235462	4.3852487	69.424934	57.053055	1000.0	6.2164702	2.2566779	10.302917	0.79818994	16000	2.0980835e-08	3.0275598	-0.0104874065	-2.056106	4.4968996	0.014633503	0.162	5.0	44.740291357040405
4	84.898094	25.250065	120.1929	60.209625	1000.0	6.011076	2.3749428	10.765146	1.2385203	20000	-1.9073486e-08	24.53044	-0.006993313	-9.091719	4.4667706	0.014396836	0.19025	4.0	55.08964776992798
5	52.9925	5.4525685	62.1924	47.915188	1000.0	8.556203	2.4167182	13.939361	1.4972041	24000	-8.5830685e-09	14.5963	-0.047858085	-12.343367	4.424464	0.013430321	0.22425	79.0	65.74181747436523
6	109.53764	84.171974	255.21011	55.78324	1000.0	6.1107254	2.1651397	10.5269165	1.3490237	28000	-2.5629998e-08	232.85812	-0.026060514	-44.74362	4.410642	0.016047578	0.23325	25.0	76.2794599533081
7	102.83286	79.266235	239.9485	51.929234	1000.0	13.238453	4.059317	17.505404	0.77056473	32000	0.0	119.4631	-0.039369516	-25.349129	4.378162	0.015170761	0.22075	60.0	87.12881660461426
8	114.972946	92.45182	274.3401	49.382427	1000.0	10.061227	5.9485664	18.667576	-8.448057	36000	-2.8610229e-08	283.57584	-0.031923003	-63.02179	4.3182034	0.015352853	0.197	36.0	97.7632987499237
9	80.31024	16.485725	100.29214	54.750908	1000.0	12.386056	3.0877469	18.26866	-1.2824074	40000	-2.8610229e-08	37.263344	-0.033303488	-27.383587	4.2924666	0.015760092	0.18275	29.0	108.2329375743866
10	61.133446	7.5452504	68.12578	49.272614	1000.0	7.057913	2.9522154	15.5551	-1.219719	44000	1.7166137e-08	10.003325	-0.049565893	-7.113805	4.283126	0.009159187	0.213	79.0	119.25534868240356
11	78.30586	12.066966	89.696014	61.238655	1000.0	7.225205	2.253642	13.464282	1.1697443	48000	-3.8146974e-09	10.100706	-0.042450327	-2.4541574	4.217809	0.015094164	0.2105	61.0	129.95586824417114
12	142.0457	154.91902	410.23407	45.033817	1000.0	7.3512506	2.7473838	14.193641	0.35963935	52000	-1.8119811e-08	340.9444	-0.026639817	-64.21854	4.2092247	0.016322598	0.201	21.0	140.45947861671448
13	78.75771	25.201466	121.373566	56.979458	1000.0	13.46258	4.382052	18.525026	-3.5700164	56000	-6.6757204e-09	50.80784	-0.04339802	-32.76481	4.1499295	0.015307921	0.2325	67.0	151.33074426651
14	54.458313	2.6814122	58.76364	51.693905	1000.0	7.6301746	3.9228127	14.368572	-3.3602548	60000	-1.525879e-08	13.420579	-0.047943328	-10.271224	4.1419873	0.014394549	0.2185	79.0	162.17261147499084
15	53.40137	3.0886436	56.988617	49.54739	1000.0	4.935025	2.194893	11.443431	-1.2232081	64000	2.861023e-09	2.9850914	-0.033219557	-1.1544992	4.070542	0.014741714	0.184	31.0	172.59148383140564
16	60.883568	7.6017613	69.04742	50.9189	1000.0	6.1454263	1.6487631	10.824591	0.8762144	68000	-3.33786e-08	3.5780654	-0.049687214	-1.1794586	4.0672345	0.011083116	0.218	79.0	183.2587547302246
17	54.352776	6.273708	63.331364	47.8414	1000.0	5.4565616	2.2945938	10.6742935	0.42726249	72000	-5.722046e-09	4.124841	-0.051968142	-0.684788	3.9677393	0.013352342	0.2495	79.0	193.99357271194458
18	54.814484	8.378767	68.30614	45.298454	1000.0	5.4703045	2.1621964	10.565628	-0.06745711	76000	-3.0994416e-09	2.8144999	-0.008973985	-0.56002307	3.9441235	0.013444877	0.1595	4.0	204.4909451007843
19	131.43753	137.17708	368.99524	48.570774	1000.0	5.468907	2.5906577	10.701181	0.25319535	80000	-1.0967255e-08	246.12755	-0.0288495	-60.96016	3.9997027	0.015365454	0.16375	25.0	215.17191982269287
20	65.65387	5.772984	75.38466	60.422928	1000.0	14.474953	3.547716	18.547775	-1.0749505	84000	6.5803526e-08	59.026814	-0.044313174	-52.50649	3.9534698	0.015137833	0.2605	53.0	226.28110527992249
21	55.20584	6.0934353	64.10648	46.89388	1000.0	6.766697	2.2928853	12.734284	-0.36708784	88000	-5.722046e-09	5.7677994	-0.048050895	-1.978302	3.9101996	0.01491955	0.22525	65.0	236.83572721481323
22	71.9668	27.569628	118.38886	45.944214	1000.0	6.00516	2.1143525	10.937578	1.3055288	92000	-2.861023e-09	18.131416	-0.043688912	-3.2200098	3.885366	0.015161036	0.20225	56.0	247.40781331062317
23	77.30461	23.666441	118.278915	62.66276	1000.0	7.620135	1.660147	11.583661	1.8598256	96000	-2.6702882e-08	17.406738	-0.008678933	-1.4342775	3.833728	0.019197501	0.254	4.0	257.9015119075775
24	60.92779	2.995037	64.55004	56.349297	1000.0	7.475758	1.2409362	11.064702	3.0317729	100000	-1.525879e-08	3.8590064	-0.05160905	-2.1948586	3.844012	0.012889153	0.25025	79.0	268.6894118785858
25	224.6285	165.70215	421.1683	51.666874	1000.0	6.4214277	1.9584192	10.307965	0.32228464	104000	-1.1920929e-08	657.2571	-0.009298816	-242.56345	3.7876854	0.015308115	0.17575	4.0	279.26362204551697
26	61.983986	6.387861	68.080185	51.475037	1000.0	20.974234	1.7507617	23.8479	-0.14454716	108000	-8.678436e-08	193.29318	-0.009756907	-181.13654	3.779808	0.015456476	0.17375	4.0	289.7713475227356
