Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.13882929	0.562098	1.8501682	-1.6860819	4000	-4.768372e-10	0.35272664	-0.03580693	-0.32594636	3.6644676	0.014797338	0.1595	40.0	11.013004064559937
1	0.0	0.0	0.0	0.0	1000.0	-0.05096146	0.08740303	0.45140648	-0.47655174	8000	1.001358e-08	0.00958098	-0.048169795	-0.006927113	3.6511958	0.012507417	0.205	79.0	19.88206148147583
2	0.5117176	0.8822985	2.0398955	0.0	1000.0	-0.012072019	0.054114472	0.25776812	-0.39365837	12000	5.3644182e-09	0.016050436	-0.032470476	-0.0057756454	3.5995436	0.015115272	0.17125	79.0	28.806279182434082
3	0.100734204	0.17447676	0.40293682	0.0	1000.0	0.028045438	0.08349659	0.7406152	-0.24346383	16000	1.1920929e-08	0.00810716	-0.04192473	-0.006655939	3.5727115	0.014997991	0.202	67.0	37.872713804244995
4	0.0	0.0	0.0	0.0	1000.0	0.0018329655	0.03587066	0.19401057	-0.21130575	20000	3.8146974e-09	0.0013274953	-0.052612092	-0.00057044	3.567002	0.0091904085	0.2155	79.0	46.84493923187256
5	2.3596034e-05	4.086953e-05	9.438414e-05	0.0	1000.0	-0.00018219007	0.045874316	0.28937665	-0.30227014	24000	-8.5830685e-09	0.002111874	-0.05333594	-0.0012344267	3.5368574	0.012895852	0.22925	79.0	55.841129541397095
6	0.007386672	0.012794091	0.029546687	0.0	1000.0	-0.0016034879	0.029522963	0.2285993	-0.18976441	28000	-1.7166137e-08	0.0009177133	-0.03997742	-0.00042268104	3.5050604	0.015631717	0.16975	43.0	64.88685846328735
7	0.0	0.0	0.0	0.0	1000.0	-0.0029142036	0.03385479	0.21821326	-0.28010485	32000	2.3841857e-09	0.0011605594	-0.04998613	-0.0005920702	3.4320602	0.015088588	0.21825	58.0	73.98017621040344
8	0.0	0.0	0.0	0.0	1000.0	-0.002636591	0.023102937	0.14296888	-0.13554916	36000	-6.6757204e-09	0.0005442662	-0.051238406	-0.00023075522	3.442713	0.01525643	0.20775	77.0	83.19700026512146
9	1.1097757	1.9221878	4.4391026	0.0	1000.0	0.00037765157	0.0229524	0.17318206	-0.1807616	40000	-2.6702882e-08	0.08807865	-0.008938056	-0.03970509	3.4211462	0.020544743	0.247	5.0	92.066730260849
10	0.053428773	0.091656856	0.2121794	0.0	1000.0	0.021114884	0.10972442	2.2877235	-0.29163837	44000	1.3351441e-08	0.011849973	-0.04058096	-0.010239612	3.3995836	0.010554749	0.2145	79.0	101.63256907463074
11	0.00029602044	0.0005127225	0.0011840818	0.0	1000.0	0.007883761	0.047569957	0.6442031	-0.16340876	48000	8.5830685e-09	0.0026011374	-0.04305993	-0.001812222	3.3815465	0.015295601	0.19025	50.0	110.78531050682068
12	0.0	0.0	0.0	0.0	1000.0	-0.006505332	0.027849758	0.25328827	-0.16589479	52000	-1.3351441e-08	0.00081183726	-0.048929665	-0.0004363029	3.3724349	0.011043247	0.225	79.0	120.0252914428711
13	1.0759025	1.1001128	2.4764032	0.0	1000.0	0.003958263	0.027622648	0.28295752	-0.13490762	56000	-1.2397766e-08	0.024195576	-0.010782457	-0.014279578	3.3795533	0.017615817	0.2095	9.0	128.9787631034851
14	0.2838315	0.48283505	1.1200566	0.0	1000.0	0.05606407	0.14576948	1.2063388	-0.31973308	60000	-5.9604643e-10	0.021969065	-0.043632165	-0.020061731	3.3544772	0.011321827	0.1985	79.0	138.21698641777039
15	0.0	0.0	0.0	0.0	1000.0	0.00881082	0.048912175	0.4618073	-0.39276928	64000	8.5830685e-09	0.0024671243	-0.0475982	-0.0018932042	3.4332514	0.012498492	0.203	79.0	147.42934155464172
16	0.010652424	0.01845054	0.042609695	0.0	1000.0	0.002125952	0.029062735	0.21336727	-0.17257808	68000	2.3841857e-09	0.0008364847	-0.03972079	-0.00047311015	3.4200451	0.0151752	0.181	43.0	156.45763969421387
17	0.0	0.0	0.0	0.0	1000.0	-0.0012202063	0.019265175	0.14419593	-0.12930736	72000	2.4795533e-08	0.0003946398	-0.048546877	-0.00018033966	3.3896208	0.015271441	0.2355	76.0	165.6653652191162
18	0.0	0.0	0.0	0.0	1000.0	-0.00059107644	0.023153355	0.14537811	-0.1958148	76000	3.8146974e-09	0.00055682886	-0.03776147	-0.00030064638	3.3451397	0.0155471675	0.187	33.0	174.68482518196106
19	0.028816719	0.04991202	0.115266874	0.0	1000.0	0.0011478271	0.04333869	0.19814861	-0.25293162	80000	-1.4305115e-09	0.0018603576	-0.02991331	-0.0015190013	3.2785285	0.016755717	0.16475	20.0	183.74619603157043
20	0.122541174	0.16861731	0.40888378	0.0	1000.0	-0.00021241292	0.016094776	0.11815921	-0.08672067	84000	7.629395e-09	0.00057556445	-0.042386055	-0.00018740809	3.3188493	0.014239131	0.196	79.0	193.3894600868225
