Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.1217591	1.0774407	2.3146005	-2.328887	4000	5.2452087e-09	1.2556491	-0.032005027	-1.1987046	3.6810563	0.015758036	0.1515	25.0	10.683433771133423
1	6.084279	10.538281	24.337116	0.0	1000.0	-0.11568713	0.14120103	0.35289553	-0.64016545	8000	-1.0490417e-08	1.1983969	-0.0095192045	-0.25516427	3.6678543	0.022056751	0.27525	7.0	19.271056413650513
2	5.432633	9.409596	21.730532	0.0	1000.0	0.12190322	0.32528713	2.0178044	-1.208125	12000	-1.3351441e-08	0.8187496	-0.020194452	-0.23532152	3.6502118	0.015538588	0.1415	38.0	27.92223286628723
3	2.8695343	4.9701796	11.478137	0.0	1000.0	0.004369419	0.3332432	2.5242426	-1.2956308	16000	-1.9073487e-09	0.26685157	-0.018637216	-0.12819023	3.6662147	0.015307809	0.14375	15.0	36.51560735702515
4	3.6191893	3.843079	9.066343	0.0	1000.0	0.25278175	0.2694401	1.97089	-0.37687287	20000	-9.536743e-09	0.1797344	-0.027915686	-0.10406835	3.6179492	0.015408451	0.1685	66.0	45.3582284450531
5	0.0	0.0	0.0	0.0	1000.0	0.22757497	0.26154673	1.4880769	-0.74633247	24000	6.437302e-09	0.109297365	-0.047089405	-0.101919524	3.639715	0.012166982	0.207	79.0	54.19967007637024
6	0.0	0.0	0.0	0.0	1000.0	0.08831221	0.14113203	1.4846966	-0.2967525	28000	-4.7683715e-09	0.026948443	-0.009102118	-0.02201697	3.5517037	0.020377263	0.221	5.0	62.79456567764282
7	2.737932	4.742237	10.951728	0.0	1000.0	-0.06854411	0.13520262	1.0771635	-0.43258744	32000	-1.2397766e-08	0.12565424	-0.017614659	-0.035314195	3.5439525	0.015609373	0.1475	43.0	71.56003785133362
8	1.819283	3.1510906	7.277132	0.0	1000.0	0.1282282	0.22462031	1.567867	-0.47518358	36000	-1.0490417e-08	0.15084924	-0.018960949	-0.07943011	3.5512526	0.015022919	0.16575	26.0	80.20921635627747
9	2.8691509	4.969515	11.4766035	0.0	1000.0	0.01876725	0.14437039	1.268631	-0.42730412	40000	-5.722046e-09	0.1263005	-0.02349829	-0.028493918	3.5352128	0.015485154	0.20575	67.0	89.00981402397156
10	0.0	0.0	0.0	0.0	1000.0	0.044116464	0.12449445	1.467796	-0.39374712	44000	-3.242493e-08	0.016968692	-0.051291138	-0.0117002	3.499893	0.00941916	0.2505	79.0	98.43575477600098
11	0.0	0.0	0.0	0.0	1000.0	0.010985869	0.10336926	1.1630069	-0.32808876	48000	-1.6212464e-08	0.010936498	-0.04537272	-0.00650913	3.4603057	0.014937112	0.2585	68.0	107.2924427986145
12	0.4304716	0.7455987	1.7218864	0.0	1000.0	0.0026629732	0.07033236	0.8429282	-0.2914709	52000	6.556511e-09	0.011210396	-0.024789752	-0.0044439347	3.4780545	0.015698515	0.19	28.0	115.99494791030884
13	0.0	0.0	0.0	0.0	1000.0	0.0058890227	0.066558406	0.8218963	-0.29174414	56000	-1.2397766e-08	0.0044622384	-0.053759288	-0.0023012266	3.5366695	0.015033262	0.255	79.0	124.86207962036133
14	0.0	0.0	0.0	0.0	1000.0	-0.0018658813	0.055181436	0.60109234	-0.21022223	60000	2.861023e-09	0.0030968229	-0.04714672	-0.0012749223	3.5134716	0.012924633	0.231	79.0	133.72501802444458
15	1.3173536	2.2817235	5.2694144	0.0	1000.0	0.015166248	0.04677501	0.6569575	-0.21249199	64000	-1.1205673e-08	0.016367126	-0.006355246	-0.0017867805	3.42662	0.018593391	0.262	6.0	142.23253464698792
16	0.0	0.0	0.0	0.0	1000.0	0.012012934	0.045857206	0.5886291	-0.24645822	68000	1.1444092e-08	0.002348039	-0.043557726	-0.0011580422	3.4811106	0.015220541	0.21375	39.0	150.8809220790863
17	0.0	0.0	0.0	0.0	1000.0	-0.0023110397	0.04763066	0.5721917	-0.30241266	72000	-3.3378602e-09	0.0022851077	-0.050102662	-0.0009631945	3.406818	0.0154573	0.23	68.0	159.61534786224365
18	3.1040304	5.376338	12.4161215	0.0	1000.0	0.0015303129	0.048504535	0.6640687	-0.26770106	76000	-1.66893e-08	0.16267134	-0.005498888	-0.05614297	3.3892033	0.01840141	0.232	6.0	168.18538570404053
19	3.920579	6.7906423	15.682316	0.0	1000.0	-0.017244088	0.22839443	1.7529277	-1.1142516	80000	9.536743e-09	0.31765208	-0.0074543953	-0.19436243	3.406292	0.020674175	0.24825	4.0	176.74955034255981
20	0.6542261	1.133153	2.6169045	0.0	1000.0	0.11769685	0.31061283	2.3824213	-1.0264745	84000	2.6941299e-08	0.110650234	-0.053511288	-0.10242935	3.4152515	0.010504402	0.25225	79.0	185.94976782798767
21	0.0	0.0	0.0	0.0	1000.0	-0.10823498	0.22875068	0.42432523	-0.84525853	88000	-3.4332274e-08	0.056896463	-0.0294751	-0.052852705	3.4185221	0.01620862	0.193	23.0	194.49686074256897
22	0.6677045	1.1564982	2.670818	0.0	1000.0	0.013484356	0.10151307	0.65774816	-0.47144657	92000	-1.1920929e-08	0.010699499	-0.0116124535	-0.0072618965	3.4228709	0.021223605	0.26175	6.0	203.08518862724304
23	0.8295464	1.4368165	3.3181856	0.0	1000.0	0.0016164358	0.053743273	0.7549223	-0.23989697	96000	1.525879e-08	0.013160662	-0.007408352	-0.0047062105	3.4007185	0.01837214	0.231	5.0	211.72043180465698
24	2.0008538	3.4655807	8.003415	0.0	1000.0	0.020600544	0.13436885	2.2272751	-0.28323412	100000	-3.8146974e-09	0.042752586	-0.02476456	-0.017758971	3.3676507	0.011586801	0.208	79.0	220.5103862285614
25	2.2121637	3.83158	8.848655	0.0	1000.0	0.009134162	0.10467087	2.282553	-0.28348088	104000	-1.9073487e-09	0.1052219	-0.00628212	-0.083617695	3.3637702	0.018020868	0.25975	6.0	229.0365583896637
26	3.6312475	4.1235375	10.025682	0.0	1000.0	0.2805844	0.5656661	4.624801	-0.40422177	108000	-5.722046e-09	0.35563973	-0.03905482	-0.32211313	3.34969	0.00658643	0.2205	79.0	237.84704184532166
27	0.0	0.0	0.0	0.0	1000.0	0.10530676	0.22895792	2.7664974	-0.44884452	112000	-1.7166137e-08	0.05864164	-0.042692326	-0.05489853	3.309904	-0.0008608368	0.22925	79.0	246.63612031936646
28	0.0	0.0	0.0	0.0	1000.0	0.010205199	0.13382107	2.6317284	-0.4590891	116000	-1.4305115e-09	0.018350525	-0.0114351045	-0.015151355	3.2787602	0.016502539	0.22875	5.0	255.1538302898407
29	0.0	0.0	0.0	0.0	1000.0	-0.003676097	0.100361556	1.8274523	-0.51059914	120000	-1.1920929e-09	0.01037837	-0.03635129	-0.007802181	3.3109937	0.011363749	0.27125	79.0	264.1914737224579
30	0.0	0.0	0.0	0.0	1000.0	-0.0016326735	0.04257829	0.65688443	-0.31470814	124000	1.6212464e-08	0.0018246054	-0.03644311	-0.00081594544	3.1895127	0.015573314	0.20175	29.0	273.25529050827026
31	0.0	0.0	0.0	0.0	1000.0	-0.014470804	0.046108138	0.35623008	-0.3918681	128000	-2.861023e-09	0.0022467873	-0.041693587	-0.0015382804	3.2348728	0.015071329	0.17575	43.0	282.00860381126404
32	2.6925824	4.6636896	10.770329	0.0	1000.0	0.004393962	0.06545959	1.8355418	-0.273296	132000	3.8146974e-09	0.094126694	-0.0065180855	-0.0584023	3.213411	0.02310145	0.23575	6.0	290.67543506622314
33	0.0	0.0	0.0	0.0	1000.0	-0.031200532	0.1593224	1.5176921	-0.44324437	136000	-1.7166137e-08	0.023937363	-0.019217046	-0.021260692	3.2098243	0.014827257	0.20025	12.0	299.3706126213074
34	0.0	0.0	0.0	0.0	1000.0	-0.0010977844	0.047268737	0.72194296	-0.2417359	140000	7.629395e-09	0.0022637544	-0.022819486	-0.0013282516	3.2655122	0.01594319	0.236	14.0	307.9927251338959
35	0.0	0.0	0.0	0.0	1000.0	0.0013898003	0.036831185	0.25882524	-0.3942548	144000	-5.2452087e-09	0.0014308098	-0.048491146	-0.00080197875	3.19859	0.014100485	0.22675	79.0	316.8825833797455
36	0.0	0.0	0.0	0.0	1000.0	-0.009337942	0.1362168	3.2664561	-0.3059786	148000	-2.193451e-08	0.018569974	-0.007019157	-0.016747711	3.2255638	0.02140877	0.21	5.0	325.5016851425171
37	0.0	0.0	0.0	0.0	1000.0	0.022939106	0.06629216	0.45582005	-0.25945505	152000	-1.9073487e-09	0.0043502445	-0.009166937	-0.0038253092	3.2427042	0.020929478	0.238	4.0	334.1948208808899
38	0.0	0.0	0.0	0.0	1000.0	-0.015735481	0.038135577	0.58884346	-0.17289096	156000	-5.722046e-09	0.0015530541	-0.050112803	-0.0011428377	3.2023454	0.010096931	0.22575	79.0	343.12831568717957
39	2.9719129	5.1475043	11.887651	0.0	1000.0	-0.0042852336	0.03492235	0.8623078	-0.17453802	160000	-1.9073486e-08	0.15436251	-0.006272606	-0.069814324	3.234998	0.022829592	0.27625	5.0	351.74130940437317
40	0.0	0.0	0.0	0.0	1000.0	0.020320872	0.17237525	2.7561107	-0.34433526	164000	1.1444092e-08	0.030479612	-0.00822443	-0.028548844	3.2659369	0.016196027	0.21575	6.0	360.6340003013611
41	3.186201	5.5186625	12.744804	0.0	1000.0	0.005926872	0.07693586	1.3501488	-0.26216522	168000	-1.9550324e-08	0.15535668	-0.007952549	-0.12365483	3.2049077	0.019899294	0.24225	7.0	369.3470232486725
42	5.5955033	5.6000257	11.509208	0.0	1000.0	0.025042087	0.2507146	5.2372227	-0.5515629	172000	5.722046e-09	0.12913638	-0.004782198	-0.1142903	3.2244947	0.029099206	0.2695	3.0	378.12815284729004
43	0.21611395	0.37432036	0.8644558	0.0	1000.0	0.73501974	0.9422699	6.55311	-0.29989985	176000	5.722046e-09	1.1190311	-0.034732535	-1.0196904	3.23524	-0.004180603	0.20475	79.0	387.22949409484863
44	0.0	0.0	0.0	0.0	1000.0	0.22367206	0.2631889	1.721343	-0.79093224	180000	-2.324581e-08	0.10767071	-0.037105683	-0.099626206	3.2282317	0.008765948	0.1305	79.0	396.35249042510986
45	6.552186	6.755787	15.432255	0.0	1000.0	-0.07573469	0.16418564	4.317615	-0.95532215	184000	-1.7166137e-08	0.33676192	-0.008943094	-0.29074332	3.2318952	0.017745117	0.225	9.0	405.137868642807
46	0.0	0.0	0.0	0.0	1000.0	-0.004798477	0.22638907	3.976536	-0.8043348	188000	-5.722046e-09	0.050878663	-0.009459414	-0.047990445	3.241668	0.015780462	0.24875	5.0	414.13521432876587
47	2.6164532	4.53183	10.465813	0.0	1000.0	-0.021111675	0.18097778	4.3479366	-0.68657106	192000	0.0	0.06439071	-0.0073361015	-0.056069985	3.217282	0.017795084	0.25875	6.0	423.01823329925537
48	1.5443566	2.674904	6.1774263	0.0	1000.0	-0.0015376861	0.100237876	2.0610864	-0.7408055	196000	1.1444092e-08	0.07825958	-0.010004938	-0.0722597	3.2485964	0.01777526	0.21175	10.0	432.0134551525116
49	1.1232749	1.9455693	4.4930997	0.0	1000.0	0.036568414	0.1408144	3.4833183	-0.37428093	200000	-2.861023e-09	0.02743662	-0.0054249163	-0.018943967	3.2432778	0.018484188	0.20525	5.0	441.08507442474365
50	0.0	0.0	0.0	0.0	1000.0	0.018415477	0.12254427	1.7610041	-0.53894347	204000	-2.2888184e-08	0.015345495	-0.033578604	-0.012989988	3.2284477	0.01560597	0.20225	29.0	450.7292048931122
51	4.4390163	6.70758	15.989539	0.0	1000.0	0.0037530279	0.21572159	6.7059126	-0.2741353	208000	1.9550324e-08	0.18395904	-0.009119039	-0.15590097	3.2420092	0.025559742	0.34125	4.0	459.993061542511
52	3.9996705	6.927633	15.998682	0.0	1000.0	0.0035525302	0.24875517	4.8530936	-1.4569436	212000	1.525879e-08	0.32081154	-0.0081648175	-0.2905168	3.2090185	0.01973949	0.29525	6.0	469.2451169490814
53	5.759828	9.976315	23.039312	0.0	1000.0	0.03740182	0.5684869	10.382568	-0.9070291	216000	3.8146974e-09	0.24687423	-0.008294857	-0.19208427	3.2037275	0.02026226	0.276	5.0	478.5585479736328
54	2.6573384	4.602645	10.629354	0.0	1000.0	0.023148281	0.24065633	4.8739	-1.3309737	220000	3.8146974e-09	0.10093411	-0.008342621	-0.08236294	3.251237	0.018994402	0.28825	6.0	487.8806531429291
55	0.0	0.0	0.0	0.0	1000.0	-0.0225351	0.17788984	3.1593494	-0.64023346	224000	5.00679e-09	0.03315928	-0.007441438	-0.02891739	3.2007914	0.021171398	0.22525	5.0	497.26124238967896
56	3.5856907	6.2105985	14.342763	0.0	1000.0	0.018609311	0.4230533	10.950308	-0.57467604	228000	-3.3378602e-09	0.019442635	-0.005699592	-0.016598986	3.2161014	0.017045889	0.19875	4.0	506.58654856681824
57	0.0	0.0	0.0	0.0	1000.0	-0.008552257	0.073318936	1.101033	-0.51692414	232000	2.1457671e-09	0.005408823	-0.013268473	-0.0038459701	3.213491	0.016825551	0.2305	10.0	515.986517906189
58	0.0	0.0	0.0	0.0	1000.0	0.0023179513	0.07806935	3.7016597	-0.19410798	236000	-8.5830685e-09	0.0061025233	-0.014159325	-0.005687425	3.2257168	0.007944343	0.12025	79.0	525.6141710281372
59	0.0	0.0	0.0	0.0	1000.0	0.010423529	0.0797066	1.1279917	-0.5480376	240000	1.4305115e-09	0.0064331186	-0.039193314	-0.005301227	3.1523843	0.010359992	0.19975	79.0	535.222297668457
60	0.0	0.0	0.0	0.0	1000.0	0.0029462404	0.026477618	0.3214172	-0.2555223	244000	-9.536744e-10	0.0007052034	-0.012847856	-0.00036720285	3.165957	0.021065963	0.25425	6.0	545.0188055038452
61	4.719322	5.5589314	13.593091	0.0	1000.0	0.008067568	0.09570158	1.6723511	-0.23113137	248000	2.2888184e-08	0.207188	-0.0070751715	-0.19226101	3.1818168	0.022924127	0.31525	5.0	554.3259024620056
62	4.983599	8.631847	19.934397	0.0	1000.0	0.06906996	0.843393	13.542128	-2.7256474	252000	0.0	0.18622321	-0.008964531	-0.17270634	3.1903906	0.021810343	0.26675	6.0	563.6643445491791
63	0.0	0.0	0.0	0.0	1000.0	0.010149666	0.12561303	1.8118387	-1.2145194	256000	1.4305115e-09	0.015884146	-0.011023937	-0.014676972	3.1972163	0.018390138	0.2085	5.0	573.0398757457733
64	4.3682847	7.566091	17.473139	0.0	1000.0	0.027333716	0.42076108	10.226246	-0.77034754	260000	7.629395e-09	0.3247248	-0.0077497633	-0.3021514	3.157029	0.016335038	0.28425	10.0	582.3538825511932
65	0.89269155	1.546187	3.5707662	0.0	1000.0	-0.013151857	0.22595163	7.1209884	-2.4483361	264000	-4.053116e-09	0.05212599	-0.023775248	-0.048201744	3.1839883	0.008449798	0.18175	79.0	591.9590246677399
66	7.21601	7.4787445	17.210804	0.0	1000.0	0.024850598	0.33991632	9.546743	-0.3519457	268000	1.525879e-08	0.25531927	-0.007439617	-0.24757805	3.154602	0.021505859	0.254	5.0	601.210165977478
67	0.0	0.0	0.0	0.0	1000.0	0.049861085	0.36531648	5.9954515	-0.43497455	272000	4.768372e-10	0.13664415	-0.006990721	-0.13220991	3.1429892	0.018250572	0.288	6.0	610.5137305259705
68	0.0	0.0	0.0	0.0	1000.0	0.018058676	0.32915184	4.467681	-4.2717166	276000	7.629395e-09	0.10852697	-0.009367203	-0.10710929	3.123929	0.021921473	0.23975	5.0	619.9096124172211
69	0.0	0.0	0.0	0.0	1000.0	0.015006191	0.16537008	5.9462976	-0.29298633	280000	6.198883e-09	0.027527265	-0.0063110176	-0.026894564	3.1556342	0.021455318	0.3025	6.0	629.3471505641937
70	2.662369	4.6113586	10.649476	0.0	1000.0	0.0025596642	0.09098489	3.2420545	-0.7663394	284000	1.2159347e-08	0.091699034	-0.004299251	-0.076805055	3.159995	0.023288842	0.202	4.0	639.3371479511261
71	0.0	0.0	0.0	0.0	1000.0	0.20227018	0.37990144	3.816526	-0.17275356	288000	-1.1444092e-08	0.16035432	-0.0066751353	-0.15180773	3.132813	0.019598885	0.22375	3.0	648.6801114082336
72	2.9308143	5.076319	11.723257	0.0	1000.0	0.09996549	0.13560571	2.922972	-0.2930081	292000	-3.8146974e-09	0.15319802	-0.007050049	-0.13261718	3.1538708	0.020501662	0.26275	6.0	657.8855595588684
73	0.0	0.0	0.0	0.0	1000.0	0.58227575	1.0899649	4.0672164	-3.980387	296000	4.7683717e-08	1.2961944	-0.023250945	-1.2339087	3.1138594	-0.008375601	0.12575	79.0	667.4566261768341
74	0.0	0.0	0.0	0.0	1000.0	0.02934146	0.08178817	1.624221	-0.32019708	300000	-8.106232e-09	0.007508144	-0.031898607	-0.0062812567	3.1378355	0.0048185945	0.1875	79.0	677.1043219566345
75	1.7628492	2.5686367	6.1677647	0.0	1000.0	0.009873562	0.0787537	2.418713	-0.36830223	304000	-2.2888184e-08	0.07069048	-0.006999176	-0.06499701	3.1390643	0.023113465	0.18475	4.0	686.4912240505219
76	3.3318868	5.770997	13.327547	0.0	1000.0	0.038914423	0.25851026	6.4492254	-1.1611879	308000	2.861023e-09	0.0578462	-0.008099835	-0.05530949	3.1503568	0.01757177	0.27525	8.0	695.8292825222015
77	0.0	0.0	0.0	0.0	1000.0	0.023570402	0.389593	7.4373136	-0.3714059	312000	-7.629395e-09	0.15237947	-0.008590984	-0.15129717	3.1344159	0.021261932	0.3105	6.0	705.0976574420929
78	5.4152284	5.4505634	11.706744	0.0	1000.0	0.013156983	0.1873023	6.4426026	-0.17015645	316000	0.0	0.13952471	-0.008484869	-0.13213074	3.1336186	0.01858314	0.2475	8.0	714.3184571266174
79	0.0	0.0	0.0	0.0	1000.0	0.01164769	0.14526977	4.064908	-0.0010064989	320000	1.9073487e-09	0.021238925	-0.014575006	-0.020839818	3.114495	0.012973976	0.04825	79.0	723.9630568027496
80	1.3288088	2.3015642	5.315235	0.0	1000.0	-0.06343226	0.14846805	2.8423653	-0.64980924	324000	-1.4305114e-08	0.02310345	-0.009431375	-0.018231299	3.1141014	0.018191125	0.23925	5.0	733.9072074890137
