Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.90632915	0.76428956	1.8872111	0.03690671	1000.0	-0.0035181313	1.0029341	2.80705	-2.7563944	4000	1.0490417e-08	1.0721568	-0.08306516	-1.011037	19.426117	0.01798515	0.38825	5.0	11.278764009475708
1	0.6901086	0.20408155	0.99013186	0.49433696	1000.0	0.08785074	0.196945	0.7716537	-0.60799295	8000	-3.0994414e-08	0.047908783	-0.06286998	-0.03206188	19.180325	0.019751681	0.38825	6.0	21.290544748306274
2	0.6671032	0.64175797	1.7148852	0.0988035	1000.0	0.01703076	0.14825283	0.67850846	-0.6113695	12000	3.385544e-08	0.026872052	-0.054132268	-0.013445931	19.255983	0.019667195	0.3305	6.0	31.029746770858765
3	0.75325835	0.35887605	1.066517	0.14425166	1000.0	0.0022338652	0.13036074	0.7262973	-0.51397365	16000	-5.722046e-09	0.020611316	-0.052542455	-0.010486516	19.32565	0.021507885	0.35125	6.0	41.00010633468628
4	0.7860546	0.5997961	1.6640872	0.053784072	1000.0	0.007875134	0.11209882	0.5093779	-0.4709435	20000	2.193451e-08	0.016509622	-0.054347098	-0.007829214	19.295498	0.02190763	0.38075	7.0	50.17815446853638
5	1.0117203	0.26402232	1.4486879	0.7524749	1000.0	0.0064946013	0.100504965	0.49557844	-0.4048291	24000	3.242493e-08	0.013268067	-0.043369234	-0.0061084013	19.225885	0.021127395	0.28725	5.0	59.76013255119324
6	0.37379837	0.40061957	1.0108446	0.026436001	1000.0	0.004139396	0.09011241	0.6362791	-0.33017927	28000	-6.3180923e-09	0.009462289	-0.047523744	-0.004628854	19.25088	0.019254943	0.3405	6.0	69.36263132095337
7	0.80211985	0.412571	1.4616394	0.32402712	1000.0	0.0022880363	0.08295258	0.4590653	-0.32995674	32000	7.152557e-09	0.009276694	-0.04486449	-0.0042285174	19.315516	0.020906696	0.29525	6.0	78.70981526374817
8	0.59056735	0.43068773	1.2756548	0.08478649	1000.0	0.002713747	0.07514409	0.5721014	-0.30391896	36000	4.720688e-08	0.0067286594	-0.049957152	-0.0030568729	19.184399	0.019514924	0.30975	6.0	88.16047549247742
9	0.6916629	0.3509478	1.2659031	0.32303712	1000.0	0.007953671	0.06857069	0.63676053	-0.27045754	40000	2.2888184e-08	0.006177946	-0.047478527	-0.0025584055	19.291399	0.023184743	0.3215	6.0	97.24015069007874
10	0.4511368	0.12915614	0.5826372	0.27007356	1000.0	0.0013283973	0.06414766	0.5598922	-0.28363794	44000	-3.159046e-08	0.0043811663	-0.055805262	-0.0019841888	19.378689	0.022870924	0.3755	7.0	107.48307418823242
11	0.53699666	0.32927054	1.0678021	0.16708077	1000.0	0.00037253325	0.060097158	0.5553506	-0.22004041	48000	4.720688e-08	0.0046154605	-0.056978762	-0.0019296396	19.32387	0.02078203	0.346	7.0	116.41552519798279
12	1.0631175	0.4618973	1.6517906	0.44681284	1000.0	0.0032506317	0.053542394	0.6010144	-0.19749749	52000	5.531311e-08	0.0072188377	-0.03871903	-0.002469717	19.284164	0.022430874	0.306	6.0	126.00823950767517
13	0.66986597	0.34108976	1.0788922	0.20900927	1000.0	0.008147486	0.057506435	0.8265505	-0.24592313	56000	1.7642975e-08	0.00430642	-0.049514506	-0.0017772298	19.30965	0.02033497	0.37125	7.0	135.063392162323
