Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.7603873	0.459542	1.3670431	0.29807165	1000.0	-0.013718782	0.85250175	2.6560104	-2.7486656	4000	-5.722046e-09	0.847309	-0.07407492	-0.7432843	19.334097	0.01805205	0.34725	4.0	13.59912109375
1	0.5549356	0.58205664	1.4511575	0.010598437	1000.0	-0.026535865	0.18009022	0.6383482	-0.8501307	8000	5.4836273e-09	0.03682247	-0.06152427	-0.024428556	19.2735	0.019669008	0.35825	6.0	25.813393592834473
2	1.1412199	0.5046834	1.9566113	0.6940286	1000.0	0.008882526	0.12787074	0.5270038	-0.49922886	12000	-2.2888184e-08	0.023270309	-0.055585913	-0.01089316	19.277712	0.020133734	0.3615	7.0	38.29034471511841
3	1.1242459	0.30244914	1.4240096	0.7371507	1000.0	0.0027348613	0.11049539	0.41741553	-0.402316	16000	-6.890297e-08	0.01670678	-0.049610127	-0.0076674875	19.314476	0.021428969	0.3245	6.0	50.70516347885132
4	1.1055278	0.58090806	1.5780939	0.11998692	1000.0	0.009634313	0.09449513	0.4781111	-0.3759571	20000	1.3828277e-08	0.0136374775	-0.04850981	-0.0056893006	19.33052	0.021523062	0.3485	7.0	63.14497947692871
5	0.5255096	0.39234778	1.1368287	0.14749572	1000.0	0.010702961	0.086515024	0.51972747	-0.36263382	24000	-1.6212464e-08	0.008820136	-0.050929446	-0.0042797728	19.238264	0.02311379	0.3265	6.0	75.5585207939148
6	0.8376423	0.5965951	1.5117396	0.19195156	1000.0	0.0057419874	0.074768886	0.45291117	-0.3506497	28000	7.629395e-09	0.009476782	-0.042717412	-0.0037063402	19.292107	0.020168398	0.36025	7.0	87.93476128578186
7	1.1532161	0.49139643	1.601014	0.39491978	1000.0	0.006311079	0.07107644	0.59356153	-0.25884357	32000	-5.722046e-09	0.011060322	-0.041426532	-0.0039020437	19.295786	0.023652868	0.317	6.0	100.02679896354675
8	1.2828671	0.5860536	1.9307356	0.37991443	1000.0	0.00919969	0.06593681	0.6745761	-0.25228995	36000	-1.6212464e-08	0.011440312	-0.03540385	-0.0043198904	19.36264	0.020662215	0.31725	6.0	112.08919668197632
9	0.8409283	0.36609197	1.2277508	0.39553663	1000.0	0.00787281	0.066954985	0.9152705	-0.21226233	40000	9.536743e-09	0.006253856	-0.048506822	-0.0025743376	19.277306	0.019189306	0.33275	7.0	124.05927038192749
10	1.3951287	0.6025417	2.340406	0.71770585	1000.0	0.00532061	0.057010774	0.813562	-0.21227154	44000	2.193451e-08	0.012307325	-0.032726135	-0.003708221	19.298092	0.02116743	0.28	6.0	136.61457657814026
11	0.65395707	0.28173634	1.0678176	0.33958456	1000.0	0.013903788	0.063099496	1.0244964	-0.21245407	48000	9.536743e-09	0.0044551804	-0.047017273	-0.0020856848	19.310524	0.021933842	0.285	6.0	148.86289715766907
12	0.6427634	0.45196325	1.2601285	0.041815314	1000.0	0.0060337773	0.051032104	0.8384584	-0.19617034	52000	1.9073487e-09	0.0038982765	-0.04432397	-0.001385628	19.298063	0.017790928	0.35325	7.0	160.7672882080078
13	1.3665771	0.2996871	1.6314832	0.85741705	1000.0	0.0026633702	0.048360076	0.7496158	-0.1998281	56000	3.6239623e-08	0.007942444	-0.03360794	-0.0022020466	19.325603	0.022369226	0.33425	7.0	172.65505719184875
14	0.9425415	0.4796608	1.5075223	0.19574323	1000.0	0.007881808	0.052658893	0.9489566	-0.2054398	60000	2.2888184e-08	0.0050762566	-0.041027848	-0.0016020914	19.375261	0.01894447	0.29725	7.0	184.59895849227905
15	0.6290405	0.3978293	1.2573603	0.15351844	1000.0	0.0019216546	0.04566628	0.88892394	-0.15009299	64000	-7.43866e-08	0.00305742	-0.044147838	-0.0010097586	19.418707	0.018708441	0.343	7.0	196.53939533233643
16	1.0939293	0.5837225	1.6288576	0.13687442	1000.0	-0.00014788493	0.040369797	0.704446	-0.16937657	68000	-3.4332274e-08	0.00629261	-0.034283783	-0.0019415622	19.295902	0.020696271	0.31725	8.0	208.5130798816681
17	1.1114824	0.47718322	1.7439201	0.4888217	1000.0	0.0065223775	0.048987377	0.9965565	-0.21016647	72000	4.386902e-08	0.005966884	-0.036471862	-0.0020238305	19.170774	0.022942496	0.33775	7.0	220.3433141708374
18	0.5519521	0.36138597	1.1097113	0.14343324	1000.0	0.0052455035	0.047348216	1.0309579	-0.15538782	76000	2.3841857e-09	0.0027617686	-0.04537405	-0.0011794933	19.201635	0.021818625	0.32575	7.0	232.30847454071045
19	0.4569252	0.32488403	0.9352049	0.018952869	1000.0	0.0005210196	0.038607243	0.7765258	-0.16596016	80000	-9.536743e-09	0.0020285416	-0.03908374	-0.00076109834	19.18343	0.020068435	0.29125	6.0	244.2013008594513
20	0.8346404	0.53784627	1.4723225	0.13086736	1000.0	0.003358583	0.03295402	0.65717167	-0.12652151	84000	-1.525879e-08	0.0037566666	-0.028114358	-0.0010300351	19.238367	0.020059455	0.28625	6.0	256.62399983406067
21	0.72149646	0.230523	1.0971427	0.4851005	1000.0	0.0064240885	0.03899144	0.7939684	-0.12230675	88000	2.6702882e-08	0.002083725	-0.03556888	-0.00078403344	19.153109	0.021238195	0.27925	5.0	268.39700746536255
22	0.8758744	0.41232923	1.2353722	0.1873746	1000.0	0.0031166926	0.035197645	0.79334086	-0.1292553	92000	1.9073487e-09	0.0033578093	-0.026702013	-0.0011055816	19.233488	0.021373847	0.25675	5.0	280.30697202682495
23	0.6780443	0.39790708	1.1218702	0.042630184	1000.0	0.005341933	0.035116524	0.7240535	-0.14339456	96000	-3.0994414e-08	0.0024849742	-0.034366958	-0.0009050672	19.191536	0.022903973	0.3085	6.0	292.1948595046997
24	0.76742965	0.6993503	1.9483174	0.12153522	1000.0	0.002215156	0.034271818	0.76541334	-0.107390136	100000	-1.2040139e-08	0.0044455067	-0.025422962	-0.001423565	19.156593	0.022365877	0.32575	7.0	304.09381771087646
25	0.8101313	0.49772868	1.5082837	0.23245701	1000.0	0.0066010193	0.038529824	0.8377537	-0.10076402	104000	2.3841858e-08	0.003213487	-0.030767184	-0.0010719791	19.159508	0.02147137	0.28675	6.0	315.9341776371002
26	0.5585848	0.31610623	1.0385721	0.15185437	1000.0	0.006665515	0.03749176	0.8885319	-0.10787618	108000	5.722046e-09	0.0017078536	-0.042037684	-0.0007266846	19.112421	0.019794054	0.368	8.0	327.84151220321655
27	0.7063781	0.15557058	0.91617227	0.47819015	1000.0	0.0026383884	0.030634684	0.7573555	-0.099720076	112000	3.2901763e-08	0.001751815	-0.03407651	-0.00062981574	19.116646	0.020363903	0.2815	6.0	339.74853563308716
28	0.7952231	0.28570354	1.1023735	0.3332281	1000.0	0.0029625106	0.03157727	0.83058494	-0.114724636	116000	-2.0980835e-08	0.0020764137	-0.03163146	-0.0009129117	19.158754	0.021092732	0.299	6.0	351.4726736545563
29	1.0263659	0.530608	1.8116498	0.39110562	1000.0	0.0050139055	0.035126828	0.9034715	-0.0936396	120000	2.4795533e-08	0.0041548307	-0.023815045	-0.00170441	19.17775	0.021891346	0.28425	6.0	363.12417364120483
30	0.79641	0.6258543	1.4640733	0.08758272	1000.0	0.0037562223	0.04581182	1.0547909	-0.15081085	124000	1.001358e-08	0.0034853988	-0.03129142	-0.0019647162	19.14032	0.021457162	0.3325	7.0	375.6962034702301
31	1.2933357	0.5353358	1.8910915	0.45289212	1000.0	0.003088644	0.043515004	1.1253054	-0.11825263	128000	-3.242493e-08	0.0053081457	-0.02710582	-0.0032798573	19.103289	0.021890743	0.2795	6.0	387.5474503040314
32	0.9766481	0.30392796	1.3189057	0.66105	1000.0	0.011055986	0.062192127	1.3754563	-0.19594188	132000	-3.8146972e-08	0.0027059044	-0.039167345	-0.0019476353	19.183292	0.019675694	0.31175	6.0	399.31400442123413
33	0.9266115	0.5369011	1.8421082	0.5157226	1000.0	0.0048784227	0.053535793	1.3955343	-0.120190315	136000	2.0980835e-08	0.0027105813	-0.027405603	-0.001818986	19.078545	0.021374378	0.299	6.0	411.2298352718353
34	0.42776364	0.25840405	0.8266239	0.11708144	1000.0	0.005675701	0.05459124	1.2856218	-0.14960316	140000	2.861023e-09	0.0016974193	-0.036282167	-0.0014128627	19.118011	0.018163484	0.28475	6.0	422.8949337005615
35	0.91530013	0.5353832	1.643939	0.14988868	1000.0	0.0030638848	0.035865143	0.7191437	-0.11415732	144000	-8.5830685e-09	0.0026705351	-0.02578872	-0.0020595994	19.067488	0.021651868	0.37725	7.0	434.9629828929901
