Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.0	0.0	0.0	0.0	1000.0	-0.14289537	0.33678463	0.8201359	-0.8339876	4000	-1.9073487e-09	0.12898745	-0.0028268523	-0.1265469	0.9172013	0.002666964	0.03125	79.0	9.995773315429688
1	0.0	0.0	0.0	0.0	1000.0	-0.021504423	0.017481903	0.0500776	-0.035914917	8000	-3.8146972e-08	0.000626211	-0.0046563875	-0.00057319435	0.9385033	0.0048416154	0.03575	79.0	18.06376314163208
2	0.0	0.0	0.0	0.0	1000.0	-0.0022859054	0.00582052	0.030764166	-0.024074506	12000	-4.7683715e-09	3.906382e-05	-0.0025832115	-2.131191e-05	0.96214354	0.0005729018	0.01525	79.0	26.185173749923706
3	0.0	0.0	0.0	0.0	1000.0	6.499785e-05	0.0039437707	0.018126145	-0.013334467	16000	3.8146974e-09	1.5827021e-05	-0.0036980647	-6.077523e-06	0.98451906	0.0036012032	0.0305	79.0	34.27617335319519
4	0.0	0.0	0.0	0.0	1000.0	-0.0009164149	0.0020050742	0.0049882177	-0.0041997265	20000	9.536744e-10	4.6676523e-06	-0.0020311708	-3.3268298e-06	0.93663186	0.0052507906	0.03875	79.0	42.29125738143921
5	0.0	0.0	0.0	0.0	1000.0	0.0006426402	0.004104551	0.020420814	-0.021900943	24000	1.9073487e-09	1.7335062e-05	-0.0032830334	-1.0316715e-05	0.95769894	0.003767091	0.02775	79.0	50.13251090049744
6	0.0	0.0	0.0	0.0	1000.0	0.00034542347	0.0022549185	0.009974411	-0.010547349	28000	-1.0490417e-08	5.425692e-06	-0.004694602	-1.509924e-06	0.96885914	0.0024095373	0.01975	79.0	58.040512800216675
7	6.75	11.691343	27.0	0.0	1000.0	-0.00028989147	0.0025960668	0.011408128	-0.016503833	32000	7.629395e-09	1.430489	-0.00067019655	-0.6802807	0.93122524	0.005360158	0.02525	79.0	65.97633099555969
8	0.0	0.0	0.0	0.0	1000.0	0.039799042	0.46641597	6.7056246	-0.63093895	36000	-6.198883e-09	0.21733521	-0.005843619	-0.21032041	0.9379259	0.006382722	0.05025	79.0	73.84053182601929
9	0.0	0.0	0.0	0.0	1000.0	-0.030863864	0.029044792	0.14186905	-0.14690474	40000	0.0	0.0016708893	-0.003152506	-0.0014861696	0.93284	0.0027527837	0.022	79.0	81.73659205436707
10	0.0	0.0	0.0	0.0	1000.0	-0.00061331486	0.034750767	0.940291	-0.21597205	44000	-5.722046e-09	0.0012110014	-0.0031808699	-0.0006370915	0.9162031	0.0022866698	0.0225	79.0	90.13021731376648
11	0.0	0.0	0.0	0.0	1000.0	-0.0007846695	0.013185637	0.13125743	-0.1312711	48000	-6.6757204e-09	0.00017478302	-0.0022847948	-7.4163116e-05	0.86935866	0.004737551	0.0225	79.0	98.01712727546692
12	0.0	0.0	0.0	0.0	1000.0	-0.00015959382	0.010613319	0.1401751	-0.10294897	52000	2.026558e-09	0.00011411404	-0.0022510902	-2.533097e-05	0.8787221	0.0013072698	0.0245	79.0	105.9065408706665
13	0.0	0.0	0.0	0.0	1000.0	-0.0005157328	0.013759819	0.20076838	-0.11901789	56000	2.3841857e-09	0.00019188572	-0.003515993	-6.913785e-05	0.8669053	0.0034195543	0.0235	79.0	113.74998950958252
14	0.0	0.0	0.0	0.0	1000.0	-0.00086611026	0.010764878	0.19747017	-0.095440455	60000	-4.053116e-09	0.00011643268	-0.0030385354	-4.3677224e-05	0.87805223	0.00334208	0.0315	79.0	121.60256862640381
15	0.0	0.0	0.0	0.0	1000.0	0.0015750288	0.026110038	0.6705388	-0.1496635	64000	-2.861023e-09	0.0006843886	-0.004654817	-0.0003705655	0.8803143	0.005522829	0.078	79.0	129.46598386764526
16	0.0	0.0	0.0	0.0	1000.0	0.0003143842	0.010629441	0.20685953	-0.0890187	68000	-1.9073487e-09	0.00011425829	-0.006312671	-4.0936386e-05	0.8585487	0.0039035496	0.0365	79.0	137.45678853988647
17	0.0	0.0	0.0	0.0	1000.0	-0.0010669446	0.0052365186	0.023098936	-0.046257474	72000	-1.3351441e-08	2.9811219e-05	-0.0029438382	-1.4284604e-05	0.8125256	0.0046523213	0.0375	79.0	145.39234590530396
18	0.0	0.0	0.0	0.0	1000.0	0.00064082525	0.0044757626	0.023039702	-0.03460222	76000	-5.722046e-09	2.0778067e-05	-0.0027345542	-9.855557e-06	0.80176884	0.005350415	0.03	79.0	153.29595470428467
19	0.0	0.0	0.0	0.0	1000.0	-0.00014981294	0.0044453866	0.031822834	-0.0453745	80000	-3.8146974e-09	1.8974202e-05	-0.004532942	-3.4985587e-06	0.8602443	0.005485018	0.041	79.0	161.15355682373047
20	0.0	0.0	0.0	0.0	1000.0	0.00018824343	0.0033437745	0.019642983	-0.040001	84000	-7.1525574e-10	1.1205869e-05	-0.005358179	-1.7121383e-06	0.8279922	0.0030208912	0.0485	79.0	169.6700303554535
21	8.0	13.856406	32.0	0.0	1000.0	0.006431507	0.0657259	0.76580745	-0.11262558	88000	-6.6757204e-09	2.1044428	-0.0014267273	-1.7568119	0.8165028	0.0032538625	0.0095	79.0	177.5752305984497
22	0.0	0.0	0.0	0.0	1000.0	-0.190591	0.6427795	7.395363	-3.0121846	92000	-1.1444092e-08	0.4370554	-0.00471279	-0.41455722	0.8211224	0.0065434026	0.065	79.0	185.49301481246948
23	0.0	0.0	0.0	0.0	1000.0	-0.030209806	0.10713732	4.187451	-0.39036778	96000	-3.8146974e-09	0.012232901	-0.008005612	-0.009772928	0.8098701	0.0019015108	0.0575	79.0	193.4265148639679
24	0.0	0.0	0.0	0.0	1000.0	0.021696247	0.10503078	0.6595246	-0.18982023	100000	-4.7683715e-09	0.011503446	-0.0014019699	-0.010773246	0.80485976	0.0037062916	0.0255	79.0	201.35268759727478
25	0.0	0.0	0.0	0.0	1000.0	-0.0032623138	0.025410812	0.2882056	-0.16455314	104000	-3.8146974e-09	0.0006631488	-0.004973573	-0.00023703693	0.79934716	0.0059206146	0.03775	79.0	209.20834183692932
26	0.0	0.0	0.0	0.0	1000.0	-0.0029405188	0.018857505	0.14910759	-0.12618546	108000	5.722046e-09	0.00037349697	-0.0040835845	-0.00011290383	0.7512709	0.0030863113	0.0325	79.0	217.13579726219177
27	0.0	0.0	0.0	0.0	1000.0	0.00038496935	0.018727273	0.26084757	-0.13579336	112000	3.8146974e-09	0.00035629273	-0.006917424	-7.9912366e-05	0.77459794	0.003534772	0.02825	79.0	225.03234004974365
28	0.0	0.0	0.0	0.0	1000.0	0.002960755	0.020853274	0.26692578	-0.15824397	116000	9.059906e-09	0.00044799852	-0.005617062	-0.00018358289	0.7469906	0.004033554	0.0495	79.0	232.95884227752686
29	0.0	0.0	0.0	0.0	1000.0	-0.00061689503	0.013660789	0.10695767	-0.08495522	120000	-1.9073486e-08	0.00018746122	-0.0038915132	-5.1431445e-05	0.72755456	0.0068154368	0.04675	79.0	240.84637022018433
30	0.0	0.0	0.0	0.0	1000.0	0.0028316933	0.06166002	2.2644076	-0.12089659	124000	-2.3841857e-09	0.0038125815	-0.0024177097	-0.0029294568	0.7313463	0.0014715922	0.026	79.0	249.22855687141418
31	0.0	0.0	0.0	0.0	1000.0	0.0015394995	0.039190304	1.3568769	-0.35128877	128000	1.9073487e-09	0.0015428691	-0.0031239947	-0.0009250032	0.7204589	0.0017963185	0.0195	79.0	257.08758187294006
