Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.046832e-39	0.0	8.187329e-39	0.0	1000.0	0.0012055504	0.013018956	0.026409416	-0.024329118	4000	3.33786e-08	0.00013913588	-0.008450376	-0.00013118172	1.8136306	0.008655896	0.114	79.0	10.200753211975098
1	13.130388	22.7425	52.521553	0.0	1000.0	-0.0023410835	0.004028522	0.0031410148	-0.012380765	8000	-7.629395e-09	21.695713	-0.0017289886	-2.0193539	1.8587946	0.0048113265	0.026	79.0	19.05750560760498
2	1.2566148e-21	2.1766466e-21	5.026459e-21	0.0	1000.0	1.2396395	1.0733865	2.891158	-0.64762324	12000	-4.8160555e-08	2.303256	-0.0034312496	-2.2027566	1.7768307	0.0045217834	0.04775	79.0	27.759795665740967
3	131.72713	228.15808	526.9085	0.0	1000.0	0.090548575	0.119374834	0.33141437	-0.08786272	16000	-1.7881394e-08	859.00616	-0.002000704	-176.0664	1.8174038	0.007070442	0.02875	79.0	36.35868215560913
4	1.0140239e-09	1.7563407e-09	4.0560955e-09	0.0	1000.0	8.125992	5.0040784	13.771746	-4.2106977	20000	-1.5497207e-08	76.097435	-0.006736956	-69.76609	1.7859831	0.0027721997	0.05675	79.0	44.96635842323303
5	2.664095e-27	0.0	1.065638e-26	0.0	1000.0	1.9697151	1.4255565	4.5335813	-0.38228	24000	8.106232e-09	4.642495	-0.0044643055	-3.7245193	1.7334598	0.0031761837	0.02775	79.0	53.58695983886719
6	0.0	0.0	0.0	0.0	1000.0	3.818458	2.1328623	7.8635197	-0.39114976	28000	-1.5735626e-08	16.51765	-0.004158815	-15.179096	1.7351869	0.0042859437	0.0425	79.0	62.149847984313965
7	0.0046025873	0.007971915	0.01841035	0.0	1000.0	0.3329	1.045036	2.1629553	-0.9101142	32000	-9.775162e-09	1.051611	-0.0062676733	-0.83278424	1.7317318	0.009424998	0.08575	79.0	70.75513887405396
8	4.9223256	8.525718	19.689302	0.0	1000.0	-0.44845873	0.57731754	1.1081438	-1.302626	36000	8.5830685e-09	4.110346	-0.0034249087	-0.74983263	1.7490749	0.007537949	0.0715	79.0	79.43860483169556
9	9.836986e-29	0.0	3.9347943e-28	0.0	1000.0	0.2936933	0.19057879	0.8798011	-0.027047776	40000	-1.0204315e-07	0.11498129	-0.0034011584	-0.06517264	1.769147	0.0054204077	0.04525	79.0	88.07489037513733
