Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.76902	5.408001	19.562313	5.52595	1000.0	-0.18884164	0.61610055	2.1537344	-2.0397623	4000	-3.051758e-08	1.7010279	-0.049064096	-0.9800788	11.033854	0.018121392	0.247	4.0	13.46235179901123
1	11.664	3.2994392	16.940666	7.988058	1000.0	0.35086754	0.361313	1.9015428	-1.0137424	8000	-3.051758e-08	0.85061985	-0.036148015	-0.5130387	10.932925	0.020182246	0.24225	5.0	24.655924320220947
2	10.035469	1.8652477	11.93043	7.079837	1000.0	0.43047318	0.41577795	2.7205846	-1.2574655	12000	1.2397766e-08	0.37786317	-0.040052846	-0.25888866	11.023752	0.019841153	0.268	6.0	35.77367043495178
3	239.04953	227.19463	467.30063	10.951163	1000.0	0.933305	0.83165026	4.502451	-1.2886386	16000	-7.712841e-08	874.524	-0.049822766	-614.0365	11.013282	0.018034225	0.275	7.0	46.77559494972229
4	239.23499	232.86559	475.3222	4.743325	1000.0	11.093305	11.538892	22.683155	-19.423885	20000	1.525879e-08	294.53006	-0.043598875	-180.08737	10.993485	0.017843168	0.27775	6.0	57.83550214767456
5	127.04868	199.8812	473.07126	3.449218	1000.0	8.641253	13.706708	30.85792	-17.535692	24000	-2.2888184e-08	83.68792	-0.082042165	-39.90732	11.045678	0.015772434	0.41475	18.0	68.84328651428223
6	127.267555	201.01692	475.34558	4.7348742	1000.0	9.218986	14.64926	34.04139	-12.819348	28000	-2.0980835e-08	54.63458	-0.042251144	-26.142088	11.03706	0.01740254	0.288	7.0	79.96875810623169
7	121.92403	198.01709	464.88937	5.5904155	1000.0	9.923107	15.528365	36.654945	-21.321465	32000	2.002716e-08	32.409855	-0.045062058	-17.465649	10.981435	0.016442658	0.33075	9.0	91.14332175254822
8	246.78069	232.16357	483.07166	13.650123	1000.0	19.974468	18.946999	38.785915	-19.265882	36000	-2.0980835e-08	54.138153	-0.09119308	-33.868362	10.997617	-0.004576329	0.61325	79.0	102.35758638381958
9	10.161177	3.581295	14.059912	4.318467	1000.0	0.8711683	4.518743	41.956917	-21.27516	40000	3.8146974e-09	16.25224	-0.034295063	-14.385302	10.930491	0.01748464	0.3195	7.0	113.20146417617798
10	243.23833	232.1155	476.3187	8.968972	1000.0	19.7964	19.585417	42.271667	-11.15486	44000	0.0	66.34127	-0.045401607	-45.05516	10.884968	0.01843831	0.35675	8.0	124.39556646347046
11	7.604299	2.1348133	10.887622	5.1283183	1000.0	0.7955251	3.2589984	42.445065	-19.644716	48000	0.0	8.914344	-0.028877772	-8.232355	10.957697	0.021202747	0.351	7.0	135.1354730129242
12	12.232316	5.1062675	19.563599	5.187125	1000.0	0.91318923	3.7854242	42.230774	-22.476906	52000	-2.2888184e-08	9.589363	-0.04523641	-8.790664	10.960024	-0.04350429	0.41775	79.0	146.16794800758362
13	9.895051	1.6918675	12.070531	7.548008	1000.0	0.6794456	2.0688925	38.501583	-13.445101	56000	-1.525879e-08	2.9322612	-0.047917645	-2.7230983	10.92082	0.002618872	0.4865	79.0	157.40928316116333
14	8.992195	2.8831708	11.872061	4.7751255	1000.0	0.5972597	1.5053625	37.20871	-14.406036	60000	-8.5830685e-09	1.5270493	-0.02644495	-1.380517	10.846899	0.015271353	0.376	14.0	168.18806195259094
15	124.94639	202.53857	475.7331	4.9658737	1000.0	10.041004	16.855436	43.45772	-14.233652	64000	9.536743e-09	28.193785	-0.037793722	-26.255322	10.900801	0.024070397	0.28125	5.0	179.0282871723175
16	6.6880403	2.0087092	8.9577675	3.456451	1000.0	0.55604357	1.240837	23.548597	-12.172003	68000	2.8610229e-08	1.1928804	-0.021772787	-1.1295501	10.784545	0.020324424	0.31225	5.0	189.89638757705688
17	9.947258	6.396487	20.313053	3.9742334	1000.0	0.9566331	4.3485527	44.699097	-3.7915916	72000	4.7683715e-09	12.491879	-0.019838732	-12.166957	10.781552	0.017418023	0.37975	8.0	200.59354877471924
18	7.160906	3.0972195	10.980432	3.9982648	1000.0	0.46578223	1.3056755	30.527882	-12.817919	76000	4.7683715e-09	1.4117436	-0.017812269	-1.3174013	10.865701	0.020957202	0.27425	6.0	211.2627077102661
19	246.21202	226.2652	473.292	9.413415	1000.0	20.860762	20.476048	44.64643	-15.964821	80000	1.0490417e-08	46.01038	-0.042170547	-42.28634	10.869931	0.026044695	0.32775	5.0	222.00202465057373
20	8.084145	4.4461756	15.602562	4.5325103	1000.0	0.80375254	3.771123	45.57594	-8.383242	84000	-2.0980835e-08	11.093493	-0.018791597	-10.505997	10.779756	0.018691093	0.3365	6.0	233.4225971698761
21	7.0859756	2.6301966	11.60942	5.0910077	1000.0	0.49900183	1.4836898	43.044697	-14.83643	88000	-9.536743e-09	1.6868055	-0.016851813	-1.6127647	10.805754	0.021850295	0.334	7.0	244.19375729560852
