Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.004616	3.9864259	13.492591	3.0663466	1000.0	-0.38046873	0.7607172	2.3188126	-2.588806	4000	4.2915342e-09	1.4134195	-0.056662597	-1.1265914	11.010218	0.019751348	0.26675	4.0	9.295830726623535
1	185.74376	209.04259	520.4129	3.7338116	1000.0	0.30120417	0.24063452	1.3880329	-0.6795945	8000	-8.5830685e-09	721.8127	-0.060887534	-357.54584	11.016206	0.018182404	0.31075	7.0	16.926026821136475
2	132.59186	221.26204	515.824	3.3849788	1000.0	2.7054958	9.462787	17.252583	-16.290316	12000	-8.8214875e-09	361.8281	-0.054905396	-158.72743	11.044356	0.018482065	0.316	8.0	24.464856386184692
3	154.76866	254.08665	594.84357	5.8482876	1000.0	6.334056	10.457539	24.077923	-18.581833	16000	-1.4305114e-08	323.6819	-0.049919702	-127.133316	11.074149	0.020415204	0.3075	7.0	31.895133018493652
4	7.9247417	2.0546744	10.2937975	4.705438	1000.0	0.6884513	4.7285733	30.312328	-23.741241	20000	-3.9100648e-08	21.91277	-0.038144127	-19.198751	11.023658	0.02086891	0.29625	6.0	39.466018199920654
5	150.6313	245.07693	575.0243	3.2101376	1000.0	6.8550444	11.508877	31.094135	-13.833207	24000	2.6702882e-08	236.37059	-0.052380342	-130.86867	11.028845	0.021109119	0.3105	9.0	47.015862464904785
6	148.00172	249.4311	580.02594	2.8823338	1000.0	9.234858	15.40857	35.931435	-17.438398	28000	-3.6239623e-08	120.15401	-0.047485434	-48.90702	10.929404	0.020366462	0.28675	8.0	54.70147967338562
7	12.592246	9.023298	27.24777	3.4826818	1000.0	1.1278843	5.0925226	40.54523	-18.1502	32000	-3.4809112e-08	15.496984	-0.03805238	-14.418096	11.07361	0.017606867	0.37325	9.0	62.23184585571289
8	4.4145985	1.5309397	6.5833354	2.5881147	1000.0	0.297917	1.1846635	27.830751	-11.771309	36000	9.059906e-09	1.3996758	-0.028235689	-1.1060143	10.990463	0.019990409	0.249	6.0	69.68686985969543
9	10.163544	5.465588	18.55437	3.594468	1000.0	0.9915009	4.2570457	40.513683	-7.232967	40000	-3.051758e-08	13.144417	-0.027737604	-12.14598	10.97025	0.01742854	0.3275	8.0	77.14996004104614
10	153.62761	251.25064	588.7923	6.1183176	1000.0	8.986821	15.316593	40.777218	-9.331699	44000	2.002716e-08	160.2497	-0.04026014	-109.07886	10.950613	0.01874942	0.2525	7.0	85.9428780078888
11	11.251142	6.0746737	21.359028	6.3040056	1000.0	1.1310264	5.5295224	45.0517	-14.481308	48000	-3.8146974e-09	20.958391	-0.0555266	-19.924353	10.9539795	-0.04160696	0.4535	79.0	93.86486005783081
12	147.82172	238.65637	561.08453	3.1399302	1000.0	11.280444	18.79868	45.43346	-11.363087	52000	-1.1444092e-08	53.55318	-0.04279671	-27.009594	10.909426	0.025007289	0.2955	6.0	101.38724541664124
13	7.0364485	4.3996778	14.483578	3.14464	1000.0	0.42379865	2.4114883	45.475735	-16.105076	56000	4.196167e-08	3.9442883	-0.022916974	-3.241983	10.860552	0.018352149	0.3075	8.0	109.04573106765747
14	157.4625	255.88812	600.6591	6.8108907	1000.0	12.435803	20.522429	48.46127	-7.307197	60000	-3.4570693e-08	50.04569	-0.04115734	-26.22107	10.839795	0.019548316	0.36425	8.0	116.7458667755127
15	143.37454	233.35544	547.50867	3.2110531	1000.0	13.7626295	22.34911	51.60481	-23.92976	64000	0.0	39.34498	-0.038047653	-23.206995	10.873413	0.01822821	0.341	7.0	124.05845713615417
16	156.52945	256.0568	600.0199	6.365406	1000.0	13.745572	22.580873	52.987495	-10.883444	68000	3.8146974e-09	29.393343	-0.03562302	-15.79958	10.940027	0.018551663	0.328	7.0	131.610990524292
17	310.76617	291.79443	603.75256	9.480421	1000.0	28.187977	27.28885	55.385235	-18.543459	72000	-3.242493e-08	37.99504	-0.037606597	-19.898733	10.921556	0.01957891	0.333	6.0	138.8588788509369
18	13.2645235	8.176193	26.666521	6.077282	1000.0	1.4374436	6.584871	57.951897	-24.375803	76000	2.0980835e-08	32.371696	-0.026491312	-32.026234	10.870289	0.018870011	0.3145	7.0	145.68737173080444
19	158.04514	262.10452	611.99365	2.9778128	1000.0	13.880651	23.729187	58.275925	-3.39212	80000	8.5830685e-09	42.51433	-0.03246006	-37.107273	10.849122	0.020813221	0.284	6.0	152.51860332489014
20	155.39003	250.43208	589.0906	4.1864243	1000.0	15.178538	25.277952	59.518383	-3.9147623	84000	-1.9073486e-08	22.349735	-0.02885673	-17.001888	10.945807	0.01908503	0.3905	9.0	159.73920512199402
21	291.9931	288.15787	595.8115	3.2342885	1000.0	29.793922	29.48711	59.77287	-2.478776	88000	-2.4795533e-08	29.433947	-0.036482006	-6.9180183	10.888954	0.019950211	0.28675	5.0	166.38934421539307
22	6.0896196	3.302589	11.779297	3.729096	1000.0	0.4771838	2.0583322	49.16044	-7.7409444	92000	3.4332274e-08	3.179483	-0.016673831	-3.0332246	10.815035	0.017721333	0.317	8.0	173.28698348999023
23	159.11229	265.80347	619.49664	4.956042	1000.0	14.708184	24.92764	59.055187	-2.2996316	96000	8.106232e-09	11.144699	-0.043056726	-4.084282	10.783033	0.019861724	0.28125	7.0	179.85749864578247
24	10.202186	4.240012	15.543688	4.4069624	1000.0	0.4828955	1.59904	52.809006	-10.202688	100000	1.7166137e-08	2.111009	-0.017036963	-1.8742261	10.839943	0.022113826	0.26525	7.0	186.50660300254822
25	19.269066	12.636659	39.14521	4.245666	1000.0	1.399627	6.639534	59.954163	-23.877428	104000	1.4305114e-08	27.1361	-0.026795471	-26.754833	10.783657	0.017655276	0.31575	8.0	193.16208028793335
26	8.176594	5.0827827	16.910034	4.2770886	1000.0	0.58007795	1.8671858	52.722687	-22.298464	108000	7.629395e-09	3.2217393	-0.016745532	-2.870344	10.825512	0.017987926	0.2725	8.0	199.90065598487854
27	163.45686	266.27167	624.5233	3.8641946	1000.0	14.484793	24.370876	60.121544	-1.8795635	112000	-1.1444092e-08	39.593662	-0.0365616	-28.70176	10.890927	0.019107925	0.30375	7.0	206.76291871070862
28	8.643535	3.8043609	12.880542	3.807362	1000.0	0.44391957	0.9276547	25.54958	-8.093317	116000	-1.5497208e-09	0.59550124	-0.020973526	-0.511695	10.832328	0.019585416	0.32325	8.0	213.47259426116943
29	15.835156	8.423292	29.181366	5.9852138	1000.0	0.76220423	4.7494445	60.813183	-32.92508	120000	-7.629395e-09	14.1510725	-0.018787036	-13.639937	10.815826	0.017590443	0.3015	9.0	220.23269939422607
30	9.334524	3.279567	13.798784	4.5866704	1000.0	0.4152855	0.8973127	29.881086	-29.89283	124000	-2.002716e-08	0.7370774	-0.018866977	-0.63801026	10.876197	0.017772373	0.27125	10.0	229.61262249946594
31	116.50463	178.72067	425.85162	4.303548	1000.0	9.331608	20.68409	60.82455	-6.6730204	128000	-2.002716e-08	36.979233	-0.034781393	-29.909843	10.784719	0.020040818	0.2575	6.0	236.2754180431366
32	198.71428	265.42596	652.549	3.9958932	1000.0	17.581861	26.24475	61.024345	-9.820695	132000	2.6702882e-08	61.65094	-0.037016794	-37.938614	10.838319	0.025323153	0.3575	6.0	243.1810426712036
33	306.57324	301.44174	628.10547	4.0113707	1000.0	28.723913	29.724293	62.299118	-4.7843747	136000	2.3841858e-08	91.20949	-0.038680885	-53.640583	10.782548	0.021867963	0.324	6.0	249.94914197921753
34	5.7515492	1.5480675	7.595467	4.139505	1000.0	0.34222504	0.69141334	12.414592	-21.208988	140000	1.4305114e-08	0.4951215	-0.01991896	-0.44708586	10.724238	0.021145398	0.3285	7.0	256.6559636592865
35	323.75693	314.11728	640.3609	5.5095744	1000.0	29.822374	29.655127	62.440605	-5.3946896	144000	-1.859665e-08	49.32353	-0.03911286	-31.484072	10.876332	0.02204184	0.29575	6.0	263.7062122821808
36	13.291971	6.912616	23.568073	5.919179	1000.0	0.54546744	1.9992716	48.701874	-24.33919	148000	-3.6239623e-08	2.7908611	-0.020462442	-2.410595	10.775483	0.022051683	0.328	7.0	270.57382583618164
