Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	129.20682	200.91917	477.1659	9.57598	1000.0	-0.034532767	0.64437324	1.8002405	-1.9638667	4000	2.0980835e-08	483.1552	-0.02494174	-236.37444	12.879408	0.021587228	0.25825	4.0	14.041306972503662
1	162.47571	228.0584	554.71405	5.1346145	1000.0	5.72654	3.042201	12.353965	-3.6929014	8000	-1.7166137e-08	606.416	-0.018279925	-314.37213	12.900448	0.01988878	0.2535	5.0	26.501279830932617
2	195.6542	293.32474	702.56146	7.8085113	1000.0	3.6986973	14.137774	22.20506	-17.560946	12000	7.1644784e-08	675.42914	-0.01726399	-242.80414	12.877073	0.019549716	0.20525	5.0	38.992321729660034
3	238.93663	394.03528	921.412	8.560055	1000.0	6.777272	12.471822	28.848438	-21.229042	16000	5.6266785e-08	1058.6129	-0.017241305	-428.11444	12.772198	0.020070892	0.2955	7.0	51.56732702255249
4	85.796	109.25821	274.76688	14.975038	1000.0	26.403107	14.869941	38.65598	-0.94151247	20000	2.6702882e-08	429.9353	-0.02301831	-400.09656	12.81207	0.018329937	0.27275	10.0	64.19129586219788
5	459.528	433.4337	995.148	15.004833	1000.0	23.561325	12.280075	36.759827	2.9560072	24000	-9.536743e-09	1426.0507	-0.021726035	-614.907	12.909706	0.016225534	0.2455	8.0	76.52195477485657
6	9.865275	1.8066608	11.203946	6.770022	1000.0	9.315149	8.750444	44.78393	2.7590919	28000	-1.525879e-08	121.73328	-0.020336801	-101.05292	12.914419	0.01798855	0.2995	8.0	88.96768403053284
7	219.67557	206.2112	429.65164	5.8601594	1000.0	25.93877	18.928434	47.42697	1.9542216	32000	6.6757204e-09	189.57288	-0.01813704	-178.91156	12.80863	0.019414535	0.288	7.0	101.52519249916077
8	328.0683	291.3823	660.236	17.460764	1000.0	25.598421	18.933222	46.815926	-0.0017742813	36000	1.9073487e-09	301.84753	-0.020158576	-139.94174	12.883111	0.018020332	0.26375	7.0	114.01730036735535
9	242.5303	276.37952	713.03455	13.973183	1000.0	32.15822	20.01679	49.83393	0.46300343	40000	-2.1457673e-08	516.44543	-0.016992267	-342.286	12.861545	0.017741712	0.232	7.0	126.46382761001587
10	126.20099	138.61723	358.6646	11.079343	1000.0	28.207655	20.404493	51.62351	4.8323517	44000	2.8610229e-08	618.5838	-0.017071515	-534.2519	12.95276	0.019277783	0.25925	6.0	139.35294556617737
