Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.010499223	0.01817075	0.04197188	4.2324325e-11	1.1460799	2.4439545	8.20459	3.0838325e-11	1000.0	1000.0	3999	1.0141065	0.53869957	2.261212	-1.4422408	1.014109	0.5386703	2.2642236	-1.0792031	-0.68049884	0.14027011	2.8149586	-5.5756655	-1.1451752	0.000631993	0.0006257062	41.84692072868347
2	0.35818267	0.3793436	0.8944812	7.980663e-07	0.3000172	0.793757	2.6749654	1.3783955e-10	1000.0	1000.0	7999	2.8855186	0.6079179	4.396649	1.0378615	2.8855302	0.60786843	4.4252286	1.0824823	-0.68308735	0.11976353	-0.09908652	-5.832938	-3.0159802	0.00054362323	0.00053556793	92.26055264472961
3	0.60084486	0.67406714	1.7451028	0.015551391	0.043562196	0.0706995	0.20555815	3.9100385e-12	1000.0	1000.0	11999	4.7028036	0.5169396	6.0067916	2.486305	4.702797	0.5169572	5.9844646	2.49154	-0.6833411	0.118126646	0.043547034	-4.867339	-4.8314996	0.0006143298	0.00062383106	144.8932363986969
4	0.114109986	0.17775106	0.42095998	2.97921e-10	1.4382076	2.400013	7.8849335	3.693124e-12	1000.0	1000.0	15999	6.2124376	0.43899575	7.703192	4.6156096	6.212442	0.4389788	7.762906	4.622888	-0.68379563	0.11798448	0.6204128	-4.485998	-6.340736	0.00065077015	0.00063490175	198.7349615097046
5	0.040771257	0.07030975	0.1625509	5.6359635e-08	4.8633256	7.613369	24.662271	2.4757027e-08	1000.0	1000.0	19999	7.467254	0.36607665	9.094247	6.256736	7.467249	0.3661225	9.034271	6.2232504	-0.683321	0.116216846	0.013042688	-4.609643	-7.5941844	0.0006545654	0.000683169	255.2474763393402
6	15.000978	17.03992	41.432587	9.119387e-09	1.4420232	4.0106244	13.463352	6.9628086e-08	1000.0	1000.0	23999	8.491349	0.44962004	23.81318	7.2653227	8.491342	0.4494829	23.718554	7.2916226	-0.68367976	0.117812246	0.58666706	-5.0869236	-8.615352	0.000983128	0.0010446367	310.4834325313568
7	0.964825	1.501472	3.5630867	0.0012115695	4.791184	12.432956	41.92726	1.7208539e-08	1000.0	1000.0	27999	9.312552	0.709367	36.142475	7.918795	9.312539	0.7091036	37.878895	8.0153885	-0.6836066	0.120160736	0.29960763	-6.2313986	-9.4319105	0.0015464416	0.0018340795	364.3123502731323
8	12.571806	12.254413	24.950287	0.06455451	1.8885552	5.2711625	17.6868	2.7777598e-11	1000.0	1000.0	31999	9.95694	0.9068948	45.30966	8.218169	9.956927	0.907037	44.43369	8.400959	-0.682865	0.11985857	1.140332	-4.923484	-10.073148	0.0022909245	0.002548753	420.64376163482666
9	0.030786548	0.04333005	0.10469363	2.8660466e-07	1.2569422	3.4229553	11.483748	1.562558e-11	1000.0	1000.0	35999	10.473492	0.9171427	49.561344	9.202417	10.473476	0.9166603	48.335186	9.119193	-0.6825763	0.12449813	2.0394003	-5.948716	-10.592203	0.0018848224	0.0021553186	476.490198135376
10	10.090856	16.113132	37.977493	0.025004666	2.76751	8.175906	27.294657	9.270916e-08	1000.0	1000.0	39999	10.887978	0.95616007	53.373337	9.644654	10.887985	0.9562771	52.325077	9.336425	-0.68258995	0.12572342	2.4071333	-4.721489	-11.002637	0.002481024	0.002708592	529.6637809276581
11	6.056624	10.483252	24.214146	4.3594805e-06	6.116031	12.249564	33.41926	3.8876564e-08	1000.0	1000.0	43999	11.232288	1.0032216	51.45136	9.807838	11.232296	1.0032154	51.617435	9.620265	-0.68287987	0.124277584	2.449544	-6.329816	-11.349746	0.002220279	0.0018997823	584.9436740875244
12	0.027087085	0.04668818	0.1079529	3.6042613e-09	1.7756535	3.9292374	12.959979	5.674015e-10	1000.0	1000.0	47999	11.516417	0.94239897	54.232433	10.343499	11.516402	0.9421422	54.08595	10.243694	-0.6829125	0.12537259	2.9378526	-4.889935	-11.634672	0.0019798465	0.0021201882	636.8464546203613
13	5.2010155	8.956832	20.714575	4.669006e-10	4.0784187	9.154393	30.886696	2.494142e-11	1000.0	1000.0	51999	11.763139	0.9389718	52.519165	10.441925	11.763132	0.9389894	52.904617	10.490508	-0.68287843	0.123200804	2.1805856	-5.0924797	-11.880503	0.002005374	0.0020846524	688.2466900348663
14	0.059720423	0.09683186	0.22724555	1.1660299e-10	1.2921209	3.6208012	12.13918	1.4890733e-10	1000.0	1000.0	55999	11.95697	0.9406167	53.42693	10.781889	11.956978	0.9405696	55.491325	10.778608	-0.6826972	0.12181274	2.71343	-5.642564	-12.07425	0.0020259672	0.0018213575	739.6385939121246
15	0.016735338	0.026781606	0.06304299	4.056957e-12	3.4379888	5.1940274	15.791223	2.1463158e-10	1000.0	1000.0	59999	12.124874	0.9006188	52.687294	10.9593525	12.124863	0.90061355	53.31783	10.895906	-0.682605	0.12471249	3.5147543	-5.743002	-12.243627	0.001664575	0.0018512054	791.0777022838593
16	0.013337686	0.021914674	0.051266402	5.263765e-12	6.7999334	17.2808	58.099968	4.544019e-12	1000.0	1000.0	63999	12.271545	0.85079455	50.46437	11.196519	12.27154	0.85066205	50.638462	11.102922	-0.68265766	0.12328824	2.517324	-4.550173	-12.39158	0.0015182096	0.001602313	842.3552207946777
17	23.165968	24.027113	62.004154	5.5142874e-12	3.061692	5.200266	17.429699	0.00019866737	1000.0	1000.0	67999	12.400368	0.9754486	47.921425	10.870344	12.400364	0.9753831	48.08573	10.76065	-0.68254775	0.12605934	1.8574952	-4.9987497	-12.518942	0.0018371182	0.001991527	893.5184342861176
18	14.876724	25.71003	59.40775	3.7821383e-07	10.305564	28.371775	95.33722	8.20405e-12	1000.0	1000.0	71999	12.478831	1.0329366	47.959072	10.830776	12.478827	1.0327908	47.840366	10.591791	-0.6824028	0.124073826	1.7879797	-5.2282343	-12.595766	0.0024808147	0.0028063755	944.5208036899567
19	4.234671	7.187269	16.682064	8.40352e-10	2.4317892	4.640574	15.873836	4.7829804e-12	1000.0	1000.0	75999	12.5377865	1.1606317	48.557274	10.455295	12.537804	1.1605551	48.362717	10.797384	-0.682159	0.12801796	2.3066251	-5.4404984	-12.654266	0.0029372654	0.0027366471	995.773717880249
20	6.694117	11.538383	26.67913	1.3191486e-05	7.272294	16.706715	56.531696	1.2694546e-11	1000.0	1000.0	79999	12.574239	1.2121854	51.245487	9.73176	12.57421	1.2123321	49.372932	9.902193	-0.6823647	0.13032432	2.8640223	-5.913317	-12.68817	0.0037752986	0.004127296	1047.3887646198273
21	0.031139353	0.05006714	0.11772598	7.12037e-11	8.505316	16.485838	48.452026	7.440836e-07	1000.0	1000.0	83999	12.5891075	1.2214408	51.75107	9.820522	12.589112	1.221293	53.627617	10.119368	-0.681743	0.13196635	3.0848997	-4.490007	-12.70399	0.0035786363	0.0037568584	1098.5241577625275
22	0.06953824	0.09338173	0.22721933	4.3728857e-12	0.75033987	1.3522375	4.2498493	1.5478113e-08	1000.0	1000.0	87999	12.592033	1.2032528	53.457302	10.060845	12.59205	1.2029638	52.69929	9.735905	-0.6816394	0.13104464	2.988615	-4.933684	-12.706168	0.0048613995	0.005049658	1149.453643321991
23	0.33361503	0.39903358	0.9890113	4.459714e-06	2.195816	5.841757	19.662989	1.1464398e-07	1000.0	1000.0	91999	12.59046	1.1733681	52.044548	9.810055	12.590483	1.173277	51.691757	9.8322115	-0.6819878	0.13217515	2.446435	-6.0526466	-12.70651	0.0037877774	0.0042407047	1200.4351887702942
24	0.8345592	0.820718	1.7800933	5.768706e-12	0.14351118	0.2644763	0.79285765	4.2021647e-11	1000.0	1000.0	95999	12.593675	1.1851774	50.88854	9.097494	12.593664	1.1845686	51.017387	9.379785	-0.6820123	0.13094085	2.6010103	-5.4374685	-12.7091055	0.0038599872	0.00400803	1251.94380068779
25	1.0471039	1.8051338	4.17367	3.4412875e-11	3.0427246	5.3997836	14.041291	6.986203e-10	1000.0	1000.0	99999	12.59347	1.1382811	52.23787	9.338126	12.593476	1.1380265	50.920666	9.699276	-0.6824268	0.12955274	2.9648144	-6.0200415	-12.70997	0.0039274856	0.0043233414	1303.8509318828583
26	0.8383049	1.4473215	3.3451376	3.2465691e-06	0.35701945	0.8659999	2.8974948	4.887384e-12	1000.0	1000.0	103999	12.588232	1.1859951	54.14769	9.551452	12.588234	1.1860762	57.299953	9.514542	-0.6815917	0.13249071	4.981351	-6.0997763	-12.704129	0.004074191	0.004737634	1355.208927154541
27	0.015599369	0.026976043	0.062323224	3.3570283e-10	0.012093576	0.023972828	0.07401442	1.9098575e-11	1000.0	1000.0	107999	12.571235	1.1752262	55.56789	9.050846	12.571238	1.1749108	52.804832	9.24829	-0.68188584	0.1326234	3.5713062	-5.5410166	-12.684993	0.0040710466	0.004850827	1406.851535320282
28	0.15923491	0.16372544	0.3725267	4.140824e-12	4.3550754	12.204384	40.951595	3.6318244e-11	1000.0	1000.0	111999	12.551999	1.10646	61.609978	8.593731	12.55202	1.1054924	52.412132	8.790631	-0.68216515	0.12719603	2.8748162	-4.8803926	-12.664994	0.0048773196	0.0046281465	1458.5719089508057
29	2.7005348	4.3163667	10.174498	0.03810418	0.6759493	1.2992746	4.2688165	4.9197113e-12	1000.0	1000.0	115999	12.539794	1.0810256	47.870422	7.842628	12.539785	1.0815119	48.75764	7.77967	-0.682525	0.12790914	3.0845628	-4.2320805	-12.654973	0.0027216736	0.0030009851	1509.995510339737
30	0.27325028	0.32921636	0.8375367	0.022759523	0.72511154	1.5354283	5.172937	4.057728e-12	1000.0	1000.0	119999	12.5321865	1.0187985	47.082317	7.770013	12.532181	1.0188704	47.282722	8.295415	-0.6824932	0.12578958	1.4365132	-4.9934816	-12.64674	0.002638943	0.0026344885	1561.5030999183655
31	16.53829	28.61012	66.09245	1.7938552e-11	0.07325439	0.092598975	0.25634605	1.8707118e-08	1000.0	1000.0	123999	12.541006	1.0367286	47.924206	7.810514	12.541013	1.0364649	47.978767	8.269764	-0.6824356	0.124486335	1.926167	-5.7186155	-12.655719	0.0023959603	0.0024229935	1613.4792695045471
32	1.0837138	1.877047	4.3348546	1.11760245e-11	14.11371	38.045975	127.99768	3.887743e-12	1000.0	1000.0	127999	12.555771	1.054136	48.928234	8.314146	12.555789	1.0535752	48.781166	8.141104	-0.6827414	0.12800008	2.6027675	-4.9294577	-12.670193	0.0027509513	0.0028197237	1665.3138525485992
33	1.3613579	1.4640833	3.80286	0.066960216	0.58496004	1.3721977	4.636612	8.356572e-12	1000.0	1000.0	131999	12.552806	1.0676589	47.83346	8.406059	12.552806	1.0672996	47.245888	8.49592	-0.6821281	0.12611195	2.3627503	-5.177474	-12.666638	0.0027410812	0.0026729102	1717.1531805992126
34	3.8761718	6.424804	14.999716	8.50063e-11	6.359347	17.37718	58.419262	3.9546153e-12	1000.0	1000.0	135999	12.5569515	1.060887	46.076607	8.488864	12.55695	1.0607626	46.54139	9.202957	-0.68244135	0.12730266	2.593831	-6.202115	-12.670184	0.0026798851	0.0029747996	1769.4108083248138
35	0.35666803	0.48034328	1.1687807	6.4637916e-08	0.13440284	0.26457694	0.85551715	1.1465267e-11	1000.0	1000.0	139999	12.560089	1.0635571	47.53048	9.204434	12.560096	1.063663	47.720608	9.15379	-0.68212485	0.12743907	2.2542417	-5.1557446	-12.67499	0.003186707	0.0028600583	1821.7120428085327
36	0.0051398873	0.0051827747	0.011220896	4.5752404e-12	3.9810529	7.2671957	23.832684	2.2623972e-11	1000.0	1000.0	143999	12.564335	1.0148946	51.19374	9.49411	12.56434	1.0144598	51.232075	9.377602	-0.6819967	0.12804383	2.55996	-4.9764977	-12.680744	0.0024387545	0.0026132476	1873.828055381775
37	1.0866235	1.8819528	4.3462615	1.0062725e-09	0.8695494	1.343537	4.035079	3.6745494e-12	1000.0	1000.0	147999	12.581879	1.0120217	48.38722	9.719372	12.581873	1.0121164	50.26824	9.335383	-0.6826568	0.12896533	1.9048159	-5.9263535	-12.696261	0.00291699	0.003201478	1926.2385685443878
38	0.0008930471	0.0014037789	0.0033182672	2.0579729e-07	2.6150737	7.2414618	24.308052	5.3175754e-12	1000.0	1000.0	151999	12.594562	0.9800971	47.71252	9.742509	12.594555	0.9805322	49.78685	9.9722	-0.6822857	0.12660512	2.6818428	-5.1932797	-12.70989	0.0028826967	0.0027066993	1978.7131206989288
39	0.009340175	0.016066197	0.03716745	1.01746514e-10	0.6098662	1.7411324	5.8310275	1.42223655e-11	1000.0	1000.0	155999	12.610406	0.94503176	49.269024	9.587773	12.610397	0.9447414	49.045403	9.589218	-0.6822093	0.12472106	2.7454748	-6.4641247	-12.726913	0.0021965862	0.002406959	2031.3039243221283
40	0.13966708	0.1652869	0.42021707	1.08357275e-10	26.17217	71.61857	240.45547	1.4506574e-11	1000.0	1000.0	159999	12.63507	0.94890213	50.70634	9.246738	12.635075	0.948489	50.063526	9.294372	-0.6829116	0.12305888	2.5761604	-4.7891273	-12.753005	0.0019355598	0.0019027529	2083.4276683330536
41	5.877617	10.000387	23.197424	6.8410655e-09	1.231714	3.5502589	11.876079	4.5283512e-12	1000.0	1000.0	163999	12.657875	0.947997	48.016872	9.943539	12.657855	0.94816905	48.00947	9.933418	-0.6821505	0.12657784	3.0097022	-6.4416685	-12.776041	0.0020881265	0.0024189865	2135.4775080680847
42	0.13539112	0.14326894	0.37637466	0.00032353264	2.8017788	8.208567	27.424685	2.868324e-11	1000.0	1000.0	167999	12.67398	0.93656504	50.17971	10.279392	12.673994	0.9366843	49.125618	10.468306	-0.68253	0.12396849	2.1304193	-6.1843615	-12.791444	0.002265479	0.0019198536	2187.6870517730713
43	2.8456273	2.9703767	7.3226886	4.2524698e-10	8.2898655	22.673872	76.06059	1.4520686e-05	1000.0	1000.0	171999	12.693074	0.92480403	51.986977	10.446374	12.693083	0.9245674	51.880302	10.485542	-0.6826933	0.12472762	2.199812	-7.097739	-12.811363	0.002331221	0.0021043424	2239.793194770813
44	0.11260493	0.10033655	0.23843144	0.0075055654	5.1580534	11.367047	38.667957	6.2793178e-12	1000.0	1000.0	175999	12.706457	0.91079485	48.869762	10.563383	12.706448	0.91081125	49.146782	10.499869	-0.68279946	0.12297371	2.560607	-5.43205	-12.824913	0.0023683682	0.0022221324	2291.5618093013763
45	0.013810402	0.01592942	0.0394458	3.199286e-05	0.16743812	0.21467562	0.6853277	2.3149025e-06	1000.0	1000.0	179999	12.718799	0.9102198	46.718666	10.641357	12.7188015	0.9102635	46.480225	10.60032	-0.6824709	0.12520222	1.9200239	-4.553936	-12.838138	0.0019124892	0.002086995	2343.4502277374268
46	0.10728531	0.11533399	0.28648046	6.244065e-12	0.11502598	0.14278424	0.3874404	4.1969522e-10	1000.0	1000.0	183999	12.735535	0.91255665	45.551678	10.708761	12.735529	0.9126255	45.78105	10.763582	-0.6825762	0.12589976	2.0277843	-5.9501038	-12.85528	0.002137863	0.0022853017	2395.6440258026123
47	0.008153593	0.013994516	0.03239268	5.9376393e-12	1.0018896	2.1271245	7.195544	3.4390425e-11	1000.0	1000.0	187999	12.746451	0.8832828	47.569954	10.715587	12.746451	0.88324463	47.784416	10.515916	-0.68301827	0.12584235	2.0925956	-4.6640096	-12.864386	0.0022894593	0.0020498415	2447.6618547439575
48	0.048118133	0.082338415	0.19072711	7.9849494e-10	3.854772	9.981422	33.59161	1.2514001e-10	1000.0	1000.0	191999	12.756331	0.84661925	45.486	10.515843	12.756332	0.8465924	47.516174	10.722298	-0.68320185	0.122906744	2.4646487	-5.6938305	-12.8735	0.002298877	0.002090211	2499.846925973892
49	0.100063786	0.17331535	0.4002548	5.170766e-12	0.13001779	0.26641524	0.89254403	1.9736772e-10	1000.0	1000.0	195999	12.7651415	0.8383544	48.047443	10.734353	12.765145	0.83816695	46.46472	10.722599	-0.68261015	0.121734805	2.163895	-5.066762	-12.885121	0.0015084153	0.0019639465	2552.023227930069
50	0.34204936	0.35443634	0.85338545	0.007598904	1.0386088	1.8980715	5.900569	9.254014e-12	1000.0	1000.0	199999	12.777592	0.84965885	47.539196	10.816759	12.777582	0.84947413	47.552536	10.816957	-0.68322384	0.12277981	2.2453027	-4.854833	-12.896811	0.0018413286	0.0016812455	2603.760273694992
51	19.915497	33.320816	77.61065	4.6522374e-12	2.9866643	5.760663	18.42683	1.3723407e-11	1000.0	1000.0	203999	12.78869	0.8728528	48.607502	10.799873	12.788692	0.87267643	48.862793	10.798433	-0.6825865	0.123403504	1.734834	-6.7306566	-12.907495	0.0016399176	0.0018089977	2655.638760328293
52	1.4444431	2.4538999	5.6943126	1.5574187e-08	1.2010088	2.8796217	9.718621	8.478769e-12	1000.0	1000.0	207999	12.80195	0.93982935	51.409363	10.939222	12.801939	0.94005626	51.675194	10.914703	-0.68283737	0.121296816	1.9337265	-8.024765	-12.921563	0.0016047825	0.0017339664	2707.8578329086304
53	0.028223848	0.03646836	0.08910827	2.9353934e-08	10.659327	26.111559	88.05904	4.331545e-12	1000.0	1000.0	211999	12.81311	0.9382063	54.95422	11.129391	12.813112	0.9381404	55.061047	10.742143	-0.68292964	0.12466502	2.0010347	-5.5378513	-12.932734	0.0016595721	0.0017534428	2759.550031900406
54	1.1813115	2.0460913	4.725246	4.4883984e-12	0.11611488	0.24811506	0.8095264	4.6832195e-12	1000.0	1000.0	215999	12.824091	0.92797476	54.46096	10.956794	12.824085	0.9280439	55.518616	11.057882	-0.6829553	0.12414363	2.152799	-4.9276953	-12.943067	0.0017050192	0.0017023615	2811.7554178237915
55	0.19090086	0.32508007	0.75391436	8.978305e-11	2.7760758	7.5666647	25.38446	7.2492455e-12	1000.0	1000.0	219999	12.834943	0.9306794	55.651665	10.90913	12.834933	0.93051046	55.858643	10.859095	-0.6832365	0.12426506	2.1491392	-5.3376284	-12.954068	0.0018590001	0.0018668529	2863.9206850528717
56	9.471241	16.114313	37.379765	1.6203178e-09	0.1978587	0.29717046	0.76791936	7.126852e-11	1000.0	1000.0	223999	12.842154	0.9749445	57.64162	10.88388	12.842153	0.9749167	56.908924	10.869374	-0.682677	0.12465845	2.2136915	-4.934245	-12.962153	0.001724287	0.0018206261	2915.8242588043213
