Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	18.734713	14.059471	42.399227	5.4972568	4.710825	0.11076733	4.9077144	4.445211	1000.0	1000.0	3999	1.1459955	0.5956703	3.4385521	-0.112499334	1.1459852	0.5956857	3.445542	-0.12654008	-0.6819704	0.12903129	0.27023244	-5.4104505	-1.2790918	0.00046595398	0.00046609866	44.86484241485596
2	26.17313	3.7067947	31.559486	21.688463	178.19965	18.048819	201.4404	147.51125	1000.0	1000.0	7999	3.363874	0.88588643	8.819899	1.8500112	3.363875	0.885899	8.827976	1.8415942	-0.68048906	0.13845158	0.015818119	-5.874794	-3.4968534	0.0004912797	0.000491839	96.66361260414124
3	68.27869	56.25748	160.19218	14.195622	222.9415	22.62357	276.61005	201.78102	1000.0	1000.0	11999	5.683029	1.2472717	16.159575	3.9534078	5.6830225	1.2472689	15.885051	3.9557784	-0.6666429	0.21630651	0.5457499	-5.030527	-5.8149643	0.00077899435	0.00080836366	147.9258644580841
4	200.95988	12.234468	217.66362	185.22498	171.19437	17.488224	211.33856	139.91206	1000.0	1000.0	15999	8.404757	2.4639318	21.303213	5.6342573	8.404757	2.4639242	21.36184	5.6340184	-0.6487847	0.2849284	0.8050878	-4.778058	-8.528863	0.0017846571	0.0017654231	204.97045183181763
5	251.18863	55.45909	304.83987	158.92763	243.15182	12.285048	277.00998	232.97983	1000.0	1000.0	19999	11.529146	4.3324294	31.891954	6.983185	11.529153	4.332408	31.833935	7.0123544	-0.63830525	0.31523454	0.9497422	-5.5654335	-11.645187	0.0027896815	0.0028586434	262.04404759407043
6	259.2053	36.50837	301.79678	202.02351	275.65005	38.77297	363.77386	239.82158	1000.0	1000.0	23999	14.77354	6.58741	41.87695	8.131837	14.773518	6.587392	41.831635	8.115465	-0.6203497	0.35755694	1.4356139	-6.6709843	-14.880853	0.0047203484	0.004966601	319.74659609794617
7	317.55908	40.02254	372.746	268.00882	424.65692	53.43752	503.98737	310.28867	1000.0	1000.0	27999	17.816948	8.570973	49.944843	8.837701	17.816921	8.570993	49.96002	8.838012	-0.5825153	0.44107884	1.8150108	-7.0688877	-17.917177	0.008648504	0.008101811	374.421897649765
8	436.75397	94.011955	567.5718	301.9173	724.60815	34.924244	763.38495	668.2866	1000.0	1000.0	31999	21.172165	11.0364895	60.59659	9.539095	21.172163	11.036455	60.589287	9.49046	-0.5340971	0.5271847	2.5005226	-6.9187045	-21.267464	0.014223216	0.014821288	436.5808730125427
9	556.68506	109.03287	743.13995	475.95987	727.4664	5.14631	733.53235	714.9791	1000.0	1000.0	35999	25.14284	14.295772	68.10444	9.805491	25.142872	14.295686	67.96154	9.837676	-0.4946392	0.5891263	2.7168114	-8.349964	-25.234774	0.021463273	0.021196324	491.917765378952
10	642.2701	108.35778	737.4787	458.08487	529.8739	7.722384	539.75305	516.9376	1000.0	1000.0	39999	29.560448	17.831923	74.197174	10.311621	29.560406	17.831835	74.21836	10.37853	-0.46113324	0.6345513	3.1717014	-10.057675	-29.64525	0.029861698	0.029822526	539.2604701519012
11	646.3626	65.24783	748.2669	570.05005	775.9684	1.0394466	777.57874	774.00854	1000.0	1000.0	43999	34.044205	21.0775	79.45683	10.645922	34.044224	21.077398	79.498375	10.538275	-0.43402913	0.6688711	2.9779801	-7.944264	-34.119865	0.037081633	0.03731196	584.4019260406494
12	715.78973	33.723133	752.3421	660.6593	782.8929	2.074214	785.78546	779.83765	1000.0	1000.0	47999	38.411083	23.792812	83.99641	10.483015	38.41104	23.792728	84.03607	10.326225	-0.40800965	0.69785744	2.8981504	-7.309679	-38.48094	0.042935435	0.04541762	631.0739715099335
13	730.2455	18.52198	749.2722	702.44836	780.396	1.49585	782.47784	778.72473	1000.0	1000.0	51999	42.71848	26.20327	88.01353	9.985016	42.71849	26.203066	87.84172	10.369033	-0.38791946	0.7195806	3.0292177	-6.902788	-42.781757	0.048692327	0.05068943	677.7462410926819
14	712.85767	54.08232	763.9352	636.34973	794.5433	0.557191	795.4958	793.4448	1000.0	1000.0	55999	46.49503	27.967958	90.915	10.134494	46.495026	27.96784	91.00263	10.194496	-0.36958903	0.7356634	3.65579	-7.83138	-46.55875	0.05332501	0.054497395	724.8815557956696
15	746.58276	13.832899	764.10254	729.407	787.59955	15.599131	798.8641	752.8256	1000.0	1000.0	59999	49.996414	29.409399	93.501236	10.040511	49.996395	29.409306	93.61662	10.10086	-0.35952497	0.7441308	3.4875956	-8.289625	-50.065296	0.05295362	0.055102736	768.8780236244202
16	747.14844	14.702794	766.23785	725.07996	801.2412	0.9288064	803.307	799.7968	1000.0	1000.0	63999	53.38104	30.533154	95.68937	10.2454605	53.381065	30.533184	95.78179	10.307225	-0.3546266	0.7514505	3.828825	-8.294969	-53.444813	0.05600865	0.055403516	813.8080825805664
17	741.1139	7.6541924	751.3244	730.66736	804.70215	0.8489421	806.58954	803.3303	1000.0	1000.0	67999	56.30607	31.266617	97.38585	10.622404	56.30608	31.266548	97.42471	10.674603	-0.3520866	0.75626755	3.7684894	-7.915391	-56.36572	0.057394065	0.06012181	861.8083708286285
18	756.2688	6.304593	763.7869	748.71405	799.58704	0.32487103	800.2578	799.0907	1000.0	1000.0	71999	59.04794	31.845972	98.65345	10.695589	59.04793	31.845987	98.656586	10.660819	-0.3511481	0.7555493	4.004873	-9.9429035	-59.108772	0.053321082	0.056373794	905.6861009597778
19	754.26135	6.8174324	761.3976	746.43567	795.68225	0.63268244	796.60614	794.60394	1000.0	1000.0	75999	61.31784	32.25681	99.88457	10.878138	61.31788	32.256634	100.00043	10.805302	-0.35066605	0.755974	3.443518	-9.625275	-61.37449	0.05960755	0.060638063	950.3575537204742
20	755.0793	6.6781535	761.81525	746.82355	792.52844	0.76245683	793.6641	791.31726	1000.0	1000.0	79999	63.48814	32.50786	100.8305	11.274224	63.48819	32.50763	100.972755	11.289681	-0.34719855	0.7611879	3.6010501	-8.505381	-63.547665	0.058910124	0.058964334	991.6308255195618
21	750.53815	7.8798857	761.26996	739.6141	781.1174	26.550936	807.39343	703.88586	1000.0	1000.0	83999	65.42223	32.58514	101.8064	11.477009	65.42226	32.584988	101.76032	11.414419	-0.3490452	0.75689214	3.9453697	-7.785666	-65.47786	0.057289924	0.059973877	1032.4434175491333
22	759.59204	4.031252	766.5288	756.5407	801.2863	0.36994842	801.87115	800.6331	1000.0	1000.0	87999	67.14441	32.661068	102.364105	12.026381	67.144394	32.661037	102.63206	11.909181	-0.3542459	0.75166327	3.8113832	-8.465975	-67.195854	0.05701809	0.059482094	1073.0653548240662
23	757.7783	2.247059	761.1223	755.00006	803.11395	0.7268918	804.0735	801.8547	1000.0	1000.0	91999	68.64135	32.72122	103.08187	12.29578	68.64132	32.72133	103.06304	12.142529	-0.3576121	0.7460531	3.98029	-8.742785	-68.6888	0.057672888	0.055837963	1113.8878545761108
24	756.60486	2.5110328	759.94885	753.37854	807.9963	0.53794694	808.6245	806.8122	1000.0	1000.0	95999	69.94753	32.736385	103.542076	12.429895	69.94756	32.736347	103.4616	12.410563	-0.3681487	0.7378054	3.7909384	-9.274508	-69.99487	0.051916365	0.05557385	1154.2684788703918
25	756.2009	3.4113405	761.87915	753.0575	806.9419	0.6749155	808.0318	805.4832	1000.0	1000.0	99999	71.07818	32.73983	103.72793	12.547615	71.07816	32.739662	103.777794	12.38955	-0.382215	0.7160684	3.8158147	-7.894363	-71.12169	0.05236956	0.05442989	1195.5474877357483
26	757.9323	2.3111284	760.0202	754.28	808.4837	1.0378624	810.0499	806.34454	1000.0	1000.0	103999	72.08576	32.788074	103.99263	12.587483	72.08578	32.78803	104.18715	12.174834	-0.39078242	0.7067639	3.9443197	-8.592135	-72.13053	0.05081944	0.053957116	1237.0753827095032
27	756.05457	1.0645722	757.10834	754.45526	808.5871	0.46746382	809.351	807.846	1000.0	1000.0	107999	73.03993	32.779713	104.52663	12.552334	73.03991	32.77965	104.40706	12.449813	-0.39625818	0.7033212	3.8188293	-7.5821915	-73.08054	0.053207077	0.052297827	1277.6238021850586
28	757.93585	7.6206226	766.39703	746.1608	802.86194	0.64383775	803.83594	801.8358	1000.0	1000.0	111999	73.86643	32.770657	104.51737	12.769551	73.86642	32.770634	104.52354	12.812474	-0.3978376	0.69887686	3.8191178	-8.738599	-73.90547	0.04926577	0.053059243	1318.3382420539856
29	753.3676	10.245947	766.38556	737.66425	809.5378	0.6288105	810.58246	808.4182	1000.0	1000.0	115999	74.78176	32.657417	104.80848	12.599946	74.78178	32.65743	104.73134	12.603846	-0.39700896	0.70206696	4.099293	-7.5051527	-74.82561	0.05066769	0.050241828	1359.3495302200317
30	757.57916	4.426524	762.5849	752.40186	802.42395	0.5399209	803.2581	801.69244	1000.0	1000.0	119999	75.49925	32.566162	104.887024	12.462099	75.49928	32.566082	104.842995	12.355406	-0.40710613	0.6882001	4.2194567	-7.376196	-75.54115	0.049318932	0.050117508	1400.210294008255
31	759.53625	3.4177763	765.24255	756.1524	811.1239	0.77663606	812.68823	810.3202	1000.0	1000.0	123999	76.18919	32.41666	104.95048	12.151648	76.18923	32.416573	104.932556	12.294433	-0.40737855	0.689873	4.4163127	-7.8635874	-76.235695	0.048787583	0.048755657	1442.5281252861023
32	761.6918	5.0591784	769.3177	755.30316	810.9425	0.6027835	811.6457	809.7969	1000.0	1000.0	127999	76.74457	32.388714	104.99334	12.367518	76.74448	32.388893	104.99845	12.426245	-0.4072811	0.68297076	3.6870403	-7.2912054	-76.78905	0.044784483	0.048833787	1483.7173988819122
33	763.3217	4.6193285	770.5521	758.875	808.09094	0.47368637	809.04767	807.4602	1000.0	1000.0	131999	77.436516	32.21363	105.038994	12.3509035	77.436485	32.213634	105.04652	12.429577	-0.40854004	0.6837172	4.174619	-7.35076	-77.48141	0.043404967	0.0465792	1525.5420789718628
34	760.52637	1.8245897	763.5832	758.75354	804.50635	0.6480238	805.5169	803.499	1000.0	1000.0	135999	77.872894	32.109074	105.07869	12.298859	77.872856	32.109077	105.12057	12.315064	-0.41182485	0.68071127	4.013763	-11.702494	-77.91506	0.04540028	0.04665028	1569.061576128006
35	758.54395	1.7990923	760.57635	755.73114	806.1318	0.5426833	807.0288	805.36664	1000.0	1000.0	139999	78.46183	32.0096	105.23579	12.181332	78.46181	32.00959	105.192184	12.101169	-0.4152773	0.6746232	3.5329661	-10.460583	-78.50796	0.042674005	0.04539007	1611.3974421024323
36	755.3589	1.4878336	757.7326	753.99646	810.39795	0.4874219	811.2889	809.62164	1000.0	1000.0	143999	78.83293	31.92157	105.17573	12.408518	78.83291	31.921555	105.29824	12.594331	-0.41774598	0.67375875	3.8967361	-7.9588027	-78.87757	0.040671807	0.043539435	1655.7182245254517
37	755.2024	2.174662	757.70593	751.7782	810.88	0.58269304	811.8409	809.7754	1000.0	1000.0	147999	79.288086	31.803652	105.326096	12.530161	79.2881	31.803732	105.30885	12.640371	-0.42177367	0.66718733	3.808792	-11.066591	-79.33412	0.040593214	0.040754333	1699.001327753067
38	758.39966	4.0878515	762.0097	751.4946	807.6273	0.71235657	808.7202	806.64215	1000.0	1000.0	151999	79.72692	31.696442	105.44374	12.836054	79.7269	31.696463	105.47626	12.972283	-0.4188539	0.6681765	4.1065617	-8.740119	-79.773026	0.038681597	0.04253595	1741.652985572815
39	760.7606	3.0104754	765.1912	757.0469	806.1595	0.5392927	807.0508	804.93134	1000.0	1000.0	155999	80.08743	31.601122	105.55098	13.127829	80.08742	31.601177	105.450836	13.046319	-0.424964	0.6578331	4.4315057	-7.5143147	-80.1349	0.040099014	0.03870585	1784.6640372276306
40	758.91327	1.5098876	760.50244	756.45886	809.34796	0.45432097	809.9761	808.3353	1000.0	1000.0	159999	80.56036	31.490097	105.51896	13.1967745	80.560295	31.490093	105.55737	13.110795	-0.42861214	0.65803367	3.7291434	-9.012873	-80.60951	0.038187914	0.041500665	1826.6739168167114
41	756.4456	4.674627	761.7528	749.80237	805.9993	0.5371901	806.76025	805.1781	1000.0	1000.0	163999	80.90072	31.399727	105.62311	13.36684	80.9007	31.399876	105.62716	13.177944	-0.43764418	0.64302325	3.798449	-10.0597515	-80.946815	0.038460035	0.03975553	1870.461033821106
42	758.4783	3.278557	762.05334	754.61975	803.5851	0.6111329	804.6665	802.74994	1000.0	1000.0	167999	81.23653	31.27945	105.736565	13.401686	81.2365	31.27958	105.67027	13.365667	-0.43529257	0.64800787	4.467859	-8.447002	-81.28063	0.036618218	0.03791029	1912.5852987766266
43	757.5094	3.63883	761.12476	751.44305	807.9875	0.5612474	808.95264	807.25977	1000.0	1000.0	171999	81.529175	31.194412	105.713036	13.46031	81.52912	31.194664	105.79896	13.372397	-0.43620315	0.6457325	3.6491232	-9.571112	-81.57169	0.038608167	0.037928917	1955.225925207138
44	756.1267	3.9912977	761.40607	751.97174	807.1707	0.56020886	808.1355	805.9742	1000.0	1000.0	175999	81.79633	31.172504	105.76515	13.540009	81.79633	31.172646	105.75446	13.677028	-0.43694934	0.6434812	3.6305857	-7.4580526	-81.843376	0.037266128	0.038189508	1998.52223777771
45	756.88605	2.4882343	760.1694	753.6659	806.7319	0.667608	808.4674	806.11163	1000.0	1000.0	179999	82.10479	31.056107	105.93096	13.496952	82.10475	31.05597	105.853905	13.512458	-0.4373671	0.64280325	3.5892804	-7.4003363	-82.150185	0.03715464	0.038211305	2042.3929131031036
46	756.9413	1.6303132	759.1862	754.6405	806.2186	0.55180776	807.056	805.4078	1000.0	1000.0	183999	82.27212	31.022354	106.07608	13.350951	82.27212	31.02232	105.88491	13.3473425	-0.43670723	0.64257663	3.4775102	-7.833055	-82.31611	0.03617947	0.03613614	2085.725737810135
47	762.88873	0.8935162	764.4076	762.1026	806.2199	0.6165537	807.0834	805.0008	1000.0	1000.0	187999	82.54841	30.973467	105.829636	13.175557	82.548454	30.973536	105.942184	13.249208	-0.43906152	0.6377783	4.116872	-8.782775	-82.59303	0.035462096	0.036018383	2128.784489631653
48	754.8407	5.2921004	761.25323	746.62366	805.4906	0.26276907	806.0998	805.081	1000.0	1000.0	191999	82.78435	30.912054	105.914795	12.803978	82.78434	30.912136	105.956825	12.94819	-0.43740684	0.6413246	3.8990417	-8.185802	-82.830185	0.035900842	0.03667518	2172.0048458576202
49	759.42017	3.9238517	762.7674	753.16095	808.57684	0.31001338	809.1565	807.9236	1000.0	1000.0	195999	82.96719	30.841942	105.93324	13.335604	82.96711	30.842009	105.8669	13.462548	-0.4390649	0.6332663	3.7465372	-6.977984	-83.01317	0.034787126	0.034830626	2215.0181062221527
50	761.32764	2.6967006	764.0881	757.37646	807.91425	0.33340123	808.52515	807.48975	1000.0	1000.0	199999	83.21956	30.771885	105.91371	13.459737	83.219604	30.771885	105.94675	13.334423	-0.43972495	0.6363886	3.6560733	-7.195773	-83.26596	0.03438167	0.036266	2257.8972511291504
51	761.6857	1.6220342	764.05914	759.8651	808.606	0.51996636	809.104	807.27155	1000.0	1000.0	203999	83.436516	30.6888	105.89109	13.064372	83.43648	30.688831	105.859474	13.107223	-0.44339594	0.63113964	3.893743	-9.438978	-83.48669	0.03415517	0.03415825	2301.09423661232
52	759.3997	1.192737	761.0239	758.1791	806.15564	0.31764936	806.4841	805.403	1000.0	1000.0	207999	83.52463	30.672752	105.88422	13.397535	83.52463	30.672773	106.02549	13.241631	-0.44582358	0.6305855	3.7832246	-10.023946	-83.57616	0.03435348	0.034898132	2343.70400595665
53	758.1362	2.9864213	761.84906	754.6804	808.8133	0.59934664	810.0046	808.0285	1000.0	1000.0	211999	83.71361	30.621819	105.87556	13.46187	83.71358	30.621803	105.87978	13.513437	-0.4502443	0.6220965	3.6042123	-7.759295	-83.76427	0.033359576	0.034690913	2385.81654548645
54	755.625	4.072857	761.5134	750.2825	810.05237	0.764676	811.2482	809.08386	1000.0	1000.0	215999	83.97709	30.506102	105.9334	13.260163	83.97708	30.506098	105.91717	13.393931	-0.45287234	0.6186657	3.728886	-7.2645097	-84.02451	0.0339643	0.036096167	2428.577691078186
55	757.89246	2.746817	762.4314	755.563	805.8949	0.6025299	806.79016	805.0088	1000.0	1000.0	219999	84.11728	30.446337	105.96739	13.331722	84.1173	30.446348	105.965614	13.4172	-0.45417616	0.61748433	3.8873775	-7.329584	-84.16706	0.03346032	0.035195857	2471.580455303192
56	752.55164	1.618068	754.5922	750.60504	806.7165	0.38385695	807.3717	806.20667	1000.0	1000.0	223999	84.21494	30.43293	105.91486	13.485173	84.21494	30.432917	105.96771	13.514595	-0.4552918	0.6142825	3.5728533	-7.3116083	-84.26184	0.033417884	0.03399447	2514.171451330185
57	756.10547	2.870176	758.7698	751.5623	803.6234	0.42021158	804.3186	802.92426	1000.0	1000.0	227999	84.46834	30.294817	106.048996	12.975136	84.46833	30.2949	106.17013	13.161229	-0.45225704	0.6167939	4.2503853	-9.7284155	-84.516815	0.033820946	0.03373922	2556.6017904281616
58	756.3029	5.2196374	763.66504	751.2098	807.33215	0.32299155	807.8179	806.632	1000.0	1000.0	231999	84.50671	30.293175	105.90203	12.917936	84.50672	30.293139	105.928406	13.04957	-0.45643887	0.61202025	3.4439187	-9.044878	-84.55202	0.034262314	0.03260038	2601.0060374736786
59	757.0105	1.8545916	758.84546	753.96954	806.8662	0.5176412	807.7135	806.03076	1000.0	1000.0	235999	84.68366	30.219877	105.90106	12.955264	84.68362	30.220013	105.98592	13.211301	-0.46033293	0.6081374	3.5906591	-7.7637634	-84.72984	0.03235216	0.033084933	2642.7377581596375
60	760.48096	1.3482124	762.7733	759.3018	805.6219	0.6487863	806.63324	804.72424	1000.0	1000.0	239999	84.8386	30.148	105.92336	13.103811	84.83861	30.147942	105.90358	13.292129	-0.46060017	0.6077332	3.6919074	-7.6324224	-84.88587	0.032035887	0.032677118	2684.550224304199
61	760.97754	4.0529795	766.0096	754.97546	806.3264	0.46082956	807.0025	805.67645	1000.0	1000.0	243999	84.9277	30.095308	106.018845	13.116201	84.92774	30.09534	105.95258	12.986028	-0.4587606	0.6062605	3.6793094	-7.363475	-84.973	0.033885244	0.031659637	2725.94642496109
62	758.3264	3.159622	762.7862	754.2033	807.3356	0.45746577	807.94336	806.6116	1000.0	1000.0	247999	84.98414	30.075455	105.94987	12.897955	84.98415	30.075369	105.905655	12.873011	-0.4601257	0.6059918	4.006662	-7.8949594	-85.02829	0.030685596	0.031373277	2768.2073571681976
63	759.8441	0.9690703	761.3944	758.72186	805.7653	0.64848	806.9684	804.446	1000.0	1000.0	251999	85.14332	30.009392	105.89718	13.277176	85.14329	30.009558	105.97679	13.352704	-0.4606149	0.60624456	4.0725417	-6.768555	-85.1862	0.0319459	0.03240123	2810.454129219055
64	756.8129	3.9601798	761.2073	751.22327	806.29083	0.4593243	807.0861	805.55005	1000.0	1000.0	255999	85.28497	29.92349	106.035324	13.256637	85.28496	29.92354	106.01428	13.133632	-0.4631077	0.60055804	3.8628602	-7.2219005	-85.330315	0.033100523	0.031433623	2852.2446627616882
65	755.0707	3.6104085	758.73236	749.72815	806.97046	0.39712116	807.52856	806.0372	1000.0	1000.0	259999	85.37756	29.916805	105.919365	13.060378	85.37752	29.916845	105.90527	12.851771	-0.46342307	0.60274935	3.6783156	-8.518312	-85.42172	0.031630624	0.03197516	2894.6270549297333
66	758.06244	0.94900304	759.6064	757.15424	809.09717	0.52919537	809.8126	808.1733	1000.0	1000.0	263999	85.53915	29.810152	105.91265	13.053598	85.53911	29.810286	105.99021	12.946939	-0.46170172	0.6042652	3.975257	-7.0147634	-85.5857	0.030931985	0.03163776	2936.601770401001
67	757.151	3.6863387	762.042	751.71936	806.72253	0.939264	808.74664	804.9508	1000.0	1000.0	267999	85.65105	29.746925	105.94273	13.151975	85.65107	29.746862	105.87658	13.233099	-0.45937157	0.6065849	4.0588646	-8.530978	-85.69638	0.029158836	0.030521546	2978.34223484993
68	759.0492	3.544926	761.9625	753.199	806.05066	0.6512405	806.9712	804.87506	1000.0	1000.0	271999	85.72002	29.718079	106.0001	13.3131895	85.71992	29.718222	106.032715	13.068058	-0.4599666	0.6071718	3.598898	-7.934563	-85.765915	0.02988437	0.030135676	3020.371553659439
69	755.01434	2.509775	759.1877	753.04596	806.04706	0.58274364	806.95013	805.2635	1000.0	1000.0	275999	85.85195	29.66754	105.924706	12.811894	85.85197	29.667595	105.94509	12.658157	-0.4567426	0.6041246	3.6002572	-7.4834695	-85.9007	0.029330272	0.030520087	3062.6032371520996
