Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	2.7453318	0.89391077	3.6297836	1.5979081	2.2660918	0.63796437	2.9728396	0.9000428	1000.0	1000.0	3999	5.98538	3.008066	11.906879	-1.183733	5.9849963	3.008795	11.822988	-0.7810824	-4.004922	0.5629643	8.519835	-10.267761	-6.773446	0.0110703	0.011360757	43.479655265808105
2	3.7399988	1.4140493	5.4423714	2.3009832	0.18752465	0.12939353	0.540567	0.049931325	1000.0	1000.0	7999	17.372225	3.5023959	24.070518	10.545372	17.372234	3.502246	24.14361	10.53764	-4.0894465	0.34433347	-2.0146198	-11.733824	-18.145805	0.010601211	0.01016414	92.24352955818176
3	3.8136783	1.930584	6.875135	1.8151963	0.13642465	0.06075739	0.26660314	0.04716141	1000.0	1000.0	11999	28.466923	2.9306555	34.08628	22.51655	28.46695	2.930376	34.041016	22.544235	-4.0946407	0.31180844	-2.239028	-9.621205	-29.242628	0.010765541	0.01017284	143.74387073516846
4	4.2434154	1.4826275	6.5082183	2.3472993	0.1444256	0.062139355	0.24367654	0.05746243	1000.0	1000.0	15999	37.75726	2.457053	42.632854	32.77975	37.757298	2.4566283	42.607224	32.55159	-4.095172	0.30383307	-2.5139866	-9.842429	-38.53975	0.009573893	0.008725073	200.0338590145111
5	3.139687	0.6010812	4.1332397	2.51947	0.1505795	0.08585509	0.31276724	0.058366407	1000.0	1000.0	19999	45.51764	2.045787	49.782562	41.35348	45.51765	2.0456462	49.812485	41.29015	-4.0972776	0.3004943	-2.4542856	-10.345818	-46.306858	0.008216967	0.007980862	252.24012994766235
6	6.1792917	2.0016518	9.03203	3.3802645	0.26531273	0.11646831	0.5018856	0.15728953	1000.0	1000.0	23999	51.94764	1.6896385	56.83518	48.131332	51.94765	1.6893915	56.721416	48.228836	-4.098645	0.30207303	-2.3582735	-10.340339	-52.742775	0.008409575	0.007951299	307.54292845726013
7	4.054499	1.4958125	6.3217273	2.3247294	0.20863923	0.09309062	0.38417903	0.074293174	1000.0	1000.0	27999	57.23978	1.3905181	60.60625	54.253887	57.23979	1.3904734	60.613865	54.245735	-4.098805	0.29547593	-2.3404074	-10.545284	-58.03285	0.007894625	0.007806466	362.9723324775696
8	3.7778592	0.49467984	4.2967677	2.9685934	0.64287806	0.5108994	1.4931829	0.12701498	1000.0	1000.0	31999	61.573856	1.1399295	64.66867	58.980957	61.57386	1.1392305	64.459435	59.049454	-4.0997157	0.29551533	-2.7246075	-9.644412	-62.36592	0.008462776	0.007651871	415.8207790851593
9	6.462748	1.8631421	8.790856	3.739584	0.7366539	1.1027552	3.9636497	0.1343151	1000.0	1000.0	35999	65.12782	0.9399718	68.4624	63.097794	65.12785	0.9401383	68.48412	62.90332	-4.0999146	0.29380915	-2.538581	-10.012684	-65.92077	0.0073772185	0.0075161452	471.75284457206726
10	5.070365	2.2864635	9.017074	3.5238683	1.1665938	1.2301586	3.883362	0.16076799	1000.0	1000.0	39999	68.03764	0.775985	71.29021	66.04279	68.03764	0.77541345	71.25146	65.92885	-4.1005473	0.29465696	-2.372591	-11.459761	-68.829094	0.008163426	0.0077122687	526.2151226997375
