Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.75	0.8291562	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	1.6509813	1.0274929	4.3687196	-1.7253474	1.6510102	1.0274806	4.3679924	-1.6950828	-1.3546805	0.23059374	1.8698583	-7.1119337	-1.910334	0.0025450634	0.0024668586	48.14002442359924
2	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	5.4961114	1.1902717	8.285695	2.942151	5.496156	1.1901767	8.387492	2.9299626	-1.3643289	0.18445173	0.9556565	-5.7184863	-5.7549567	0.0018355458	0.0017721754	103.99406862258911
3	2.0	2.1213202	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	9.260517	0.9977996	12.447565	7.014736	9.260541	0.9976973	12.590492	6.9489512	-1.3649845	0.18426082	1.3757648	-6.0469418	-9.520789	0.0020272308	0.001979749	164.54521226882935
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	12.403386	0.8294426	16.976252	10.1298895	12.403402	0.8293376	17.229239	10.253285	-1.3642939	0.18734205	3.7965264	-6.049019	-12.66491	0.0029255305	0.002817032	225.45389127731323
5	2.0	2.9154758	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	14.997546	0.6816609	19.220528	13.062374	14.997555	0.6816481	19.432243	13.152032	-1.3642055	0.18712732	4.3871894	-6.3594418	-15.259196	0.0034792386	0.0033960852	288.55837082862854
6	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	17.123573	0.56291443	22.471315	15.287402	17.123587	0.5628372	22.631456	15.590744	-1.3647226	0.18626636	4.4941106	-6.369725	-17.385708	0.0032563952	0.003083828	349.9901342391968
7	1.75	3.0310888	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	18.876032	0.4650046	24.37933	16.826056	18.876024	0.4652129	24.524107	16.715055	-1.3638562	0.1914732	5.409342	-7.0521774	-19.137915	0.00349684	0.0034348832	406.3539516925812
8	2.0	2.4494898	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	20.313852	0.38446456	26.07757	18.55454	20.313852	0.3846935	26.010027	18.636404	-1.365095	0.18735035	5.099607	-6.744802	-20.576561	0.00313805	0.0031793779	464.0752127170563
9	2.75	2.9474566	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	21.493645	0.32040805	26.778564	20.243189	21.493637	0.32061943	26.159039	20.034126	-1.3643874	0.19057748	5.7985764	-6.240507	-21.756544	0.003467351	0.0035086675	523.6659579277039
10	2.75	4.7631397	11.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	22.461973	0.27102646	28.079918	21.21009	22.461977	0.271179	27.921614	21.044289	-1.3637701	0.1884778	5.224983	-6.172714	-22.724598	0.0038079184	0.0038575598	579.4140493869781
11	4.0	3.535534	10.0	1.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	23.263683	0.23425546	28.430069	21.766565	23.263672	0.23487173	28.904331	21.87993	-1.3646252	0.1901009	5.4858665	-7.5988617	-23.525171	0.004110398	0.004259204	638.1839299201965
12	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	23.923613	0.19841582	28.973621	21.938822	23.923622	0.19889325	29.37245	22.448788	-1.364492	0.18492407	6.019631	-6.160928	-24.185696	0.004048008	0.0041359607	697.0149817466736
13	2.5	4.3301272	10.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	24.458572	0.16810907	28.51945	23.200235	24.45857	0.1692624	29.653976	23.111351	-1.3651167	0.18621875	7.73829	-6.1268234	-24.719223	0.003846857	0.003942796	753.8650667667389
14	1.5	1.6583124	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	24.899067	0.15198706	29.233818	23.103304	24.899063	0.15342732	29.06522	22.996006	-1.3643075	0.19176786	4.174117	-5.620476	-25.16135	0.0040612402	0.003914162	813.3840782642365
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	25.263268	0.13320583	30.591448	23.720242	25.263258	0.13432719	30.21715	23.995583	-1.3650734	0.18721454	5.277462	-6.9986305	-25.524849	0.003642063	0.0035731602	868.8720057010651
16	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	25.567568	0.121381946	30.26746	23.657948	25.567572	0.12291386	30.217953	24.083187	-1.3655158	0.18635766	6.8223696	-6.064083	-25.83047	0.0034690907	0.0034175892	923.6191663742065
17	2.5	2.6925824	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	25.810434	0.113483675	30.863585	23.727968	25.810446	0.11514581	30.69979	23.802212	-1.3645154	0.18683682	5.8809586	-6.0036077	-26.072348	0.003931612	0.0037572621	978.2527816295624
18	2.25	2.2776084	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	26.012753	0.10244163	31.233957	24.673872	26.012753	0.10415814	31.37628	24.795628	-1.3651291	0.18302909	5.7398767	-6.467142	-26.27558	0.003346357	0.0033865005	1032.812111377716
19	1.25	0.8291562	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	26.179253	0.104321	31.41628	25.045246	26.179247	0.105865866	31.539454	25.126108	-1.364928	0.18377876	8.257784	-5.8891606	-26.43971	0.0039523	0.0039579547	1087.4831912517548
20	3.0	3.3166249	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	26.315247	0.093008704	30.98295	25.087542	26.315247	0.09463059	30.87652	24.811678	-1.3648292	0.18609597	11.69989	-7.0839663	-26.576256	0.0033710394	0.0033111959	1142.4217550754547
21	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	26.42984	0.08656482	30.851751	24.942677	26.429838	0.088821195	31.202055	25.331985	-1.365422	0.18409532	6.3685513	-6.149109	-26.691187	0.0029883035	0.00303228	1196.8887197971344
22	3.25	3.112475	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	26.522987	0.09295473	31.715382	25.469604	26.522976	0.09593839	31.331589	25.455366	-1.365263	0.17948627	6.425113	-6.036536	-26.784433	0.0033740865	0.0033382021	1251.3883118629456
23	3.75	2.384848	7.0	1.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	26.599148	0.094614275	32.332985	25.38165	26.59915	0.09802123	31.844643	25.433868	-1.3652456	0.18223557	7.1645365	-6.8949413	-26.860493	0.0035491986	0.0034581586	1305.9739565849304
24	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	26.662428	0.10047267	31.887814	25.726429	26.662418	0.103685476	32.412888	24.880863	-1.3645406	0.19336486	8.54982	-6.4965177	-26.924484	0.0040979	0.0041136113	1360.6040771007538
25	4.5	7.7942286	18.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	26.71305	0.09243698	31.09384	25.380875	26.713047	0.09522151	31.79905	25.091051	-1.3648933	0.18434392	6.5663238	-4.9399643	-26.974703	0.0033368052	0.003340147	1414.9638183116913
26	3.0	3.3166249	8.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	26.758915	0.10152465	33.630756	25.562628	26.758913	0.10396905	33.753834	25.791298	-1.3650688	0.19251728	8.779398	-6.1407514	-27.019276	0.0039081792	0.0039121932	1469.5582938194275
27	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	26.7941	0.098381825	32.166943	25.561459	26.794085	0.100410715	33.44713	25.172846	-1.3649564	0.18867348	7.985665	-8.005245	-27.055021	0.003809916	0.0037358447	1524.1672058105469
28	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	26.81848	0.090088174	33.867073	25.510914	26.818476	0.093820676	32.41278	25.82182	-1.3656707	0.18226026	6.7135515	-5.9894323	-27.07859	0.003408205	0.0033085227	1578.3689432144165
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	26.841965	0.09145042	32.404266	25.630917	26.84197	0.09383137	32.738403	25.895998	-1.365295	0.18044609	4.955502	-6.7521973	-27.10068	0.0034207513	0.0032476205	1633.0031609535217
30	4.5	4.974937	12.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	26.859825	0.09406439	32.851692	25.617102	26.859827	0.09783144	32.69598	25.853395	-1.3657258	0.18406603	7.502592	-7.58385	-27.119549	0.003544502	0.003483446	1687.4892251491547
31	1.0	0.70710677	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	26.880457	0.100854605	32.554943	25.167742	26.880445	0.10350886	32.825726	25.508936	-1.3647716	0.1848503	7.9874277	-6.9814987	-27.142189	0.0035214066	0.0036246276	1742.0710179805756
32	4.75	5.53963	14.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	26.894693	0.097824164	32.679016	25.676464	26.8947	0.101181105	32.603374	25.71151	-1.364823	0.18569265	7.485654	-6.384348	-27.154322	0.0035802538	0.0033548928	1796.5880193710327
33	2.25	1.7853571	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	26.90683	0.09983003	33.04925	25.873116	26.906832	0.10132927	33.0378	25.833712	-1.3653243	0.18110004	5.322138	-6.6140776	-27.16776	0.0032728482	0.0032283121	1851.3246095180511
34	1.25	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	26.917377	0.097309105	31.717016	26.027744	26.917376	0.10184696	32.464073	25.616148	-1.3653433	0.18376502	7.219709	-6.869481	-27.177483	0.0037161144	0.0034389172	1906.3006863594055
35	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	26.925808	0.09566024	32.84349	25.933561	26.9258	0.09770792	33.15393	25.64172	-1.3651427	0.17944552	6.12266	-5.890403	-27.186855	0.0033987828	0.003251903	1961.2038609981537
36	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	26.935852	0.10142886	32.761086	26.113222	26.935862	0.10353032	32.80326	25.54808	-1.3652719	0.18059263	5.435963	-6.6280346	-27.196836	0.003272707	0.0032739402	2015.915720462799
