Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	221.75	384.08228	887.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	2.7398944	2.444634	14.466383	-0.7732949	2.739913	2.4442506	14.448654	-0.4288771	-1.317022	0.360291	4.551073	-7.671635	-2.9977734	0.0073351073	0.008003498	47.678980112075806
2	88.5	153.2865	354.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	9.369557	6.762014	35.637123	2.4633894	9.369594	6.761957	35.16821	2.1052794	-1.2405381	0.5339857	7.0430326	-6.642663	-9.626187	0.03002168	0.029140659	101.91905450820923
3	0.0	0.0	0.0	0.0	403.8	486.91885	1000.0	0.0	1000.0	1000.0	11999	13.817416	10.3487	56.25347	4.5935144	13.817449	10.348768	55.78932	3.4350224	-1.1650633	0.7024231	9.563031	-7.559082	-14.082922	0.0793311	0.0773749	162.30067467689514
4	54.5	78.04326	188.0	0.0	155.1	304.62845	1000.0	0.0	1000.0	1000.0	15999	17.879293	14.199937	89.15863	0.340024	17.87948	14.199917	89.58134	2.1755576	-0.9971711	0.94447654	9.073396	-8.79445	-18.169441	0.17210487	0.16822647	220.3497350215912
5	250.0	433.0127	1000.0	0.0	61.7	185.09999	617.0	0.0	1000.0	1000.0	19999	21.481457	17.84127	114.41785	8.671982	21.481552	17.840994	113.947136	4.888878	-1.0227079	0.9118793	9.411365	-9.896476	-21.76417	0.19661008	0.20199747	281.4958233833313
6	457.75	460.0165	980.0	0.0	298.0	455.2318	1000.0	0.0	1000.0	1000.0	23999	30.354088	28.093838	131.37473	8.087589	30.35393	28.093653	133.8285	7.4899955	-0.9593497	0.9795403	10.60834	-8.644253	-30.644905	0.2516515	0.2623058	345.35463786125183
7	168.5	291.85056	674.0	0.0	188.3	376.6638	957.0	0.0	1000.0	1000.0	27999	35.375328	32.27067	139.98758	6.338962	35.375336	32.270676	144.8455	7.417101	-0.9143607	1.0320923	9.343321	-8.536657	-35.677887	0.24758007	0.25075796	407.2072539329529
8	322.0	393.1469	963.0	0.0	290.7	444.2828	1000.0	0.0	1000.0	1000.0	31999	38.874878	34.3454	147.45554	10.433107	38.874825	34.345127	147.78508	10.008975	-0.85682064	1.0783126	11.318981	-9.096348	-39.17215	0.3203465	0.33969215	464.86450362205505
9	471.5	473.21954	1000.0	0.0	194.9	385.568	969.0	0.0	1000.0	1000.0	35999	44.44404	39.33948	162.5824	11.2398405	44.44417	39.339584	162.70404	10.856811	-0.86650854	1.0878894	12.503359	-8.225006	-44.7296	0.32539317	0.3206895	524.0946342945099
10	256.75	429.25714	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	39999	48.95096	42.600124	170.73933	10.699105	48.95098	42.60029	170.29338	10.517581	-0.8802808	1.0835187	8.690072	-10.251095	-49.24673	0.29516503	0.29854992	588.113605260849
11	220.5	381.9172	882.0	0.0	301.0	457.61227	1000.0	0.0	1000.0	1000.0	43999	51.53509	43.981693	188.07903	11.871923	51.53518	43.982006	186.95161	11.478915	-0.8935496	1.0512593	9.267643	-9.226696	-51.809303	0.32100177	0.31421682	646.5905797481537
12	250.0	433.0127	1000.0	0.0	101.3	297.62057	994.0	0.0	1000.0	1000.0	47999	52.625946	44.416206	204.103	12.47843	52.625904	44.41618	204.11987	12.07596	-0.8927277	1.0685323	9.152761	-8.703599	-52.896454	0.36936304	0.3702321	706.1383349895477
13	250.0	433.0127	1000.0	0.0	98.9	292.06314	975.0	0.0	1000.0	1000.0	51999	53.292213	45.097256	211.0664	12.248817	53.292496	45.097576	210.39977	10.6153965	-0.7650166	1.2142764	9.810762	-10.03096	-53.612118	0.4388569	0.42580053	767.7482988834381
14	0.0	0.0	0.0	0.0	285.6	436.65738	1000.0	0.0	1000.0	1000.0	55999	55.245075	47.022785	199.04222	11.682275	55.24519	47.022636	199.03658	11.194399	-0.8045573	1.1371754	9.465076	-9.3505945	-55.51824	0.35247466	0.35466546	828.9784581661224
15	489.25	489.48615	1000.0	0.0	101.8	299.42938	1000.0	0.0	1000.0	1000.0	59999	54.59669	45.064953	191.08708	10.981252	54.59668	45.064945	190.111	9.898397	-0.8542398	1.1075553	13.5634365	-9.205785	-54.856834	0.34857965	0.3420478	887.3242473602295
16	43.5	75.34421	174.0	0.0	281.0	429.8544	1000.0	0.0	1000.0	1000.0	63999	54.038136	43.50401	179.81473	10.538484	54.038185	43.504	179.00307	8.080081	-0.88638407	1.0670154	10.198303	-9.211958	-54.290016	0.3156248	0.3088256	948.7354447841644
17	0.0	0.0	0.0	0.0	589.6	481.52515	1000.0	0.0	1000.0	1000.0	67999	52.93528	42.33866	178.90398	10.7282915	52.935394	42.33862	178.35928	10.107186	-0.87968415	1.0754684	10.005958	-9.973584	-53.193207	0.3084594	0.30657586	1009.74045753479
18	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	71999	51.50866	41.570698	171.05728	9.576359	51.508835	41.570667	171.54077	4.6733127	-0.926866	1.0116789	10.427273	-13.004038	-51.738155	0.30124018	0.29941967	1068.6687779426575
19	719.25	418.2842	1000.0	0.0	97.6	292.80002	976.0	0.0	1000.0	1000.0	75999	53.781487	42.68042	172.16994	10.907084	53.781513	42.680607	171.25102	11.25598	-0.9013425	1.0392272	8.169928	-9.737541	-54.020084	0.29913715	0.29744282	1129.851572751999
20	195.25	338.18292	781.0	0.0	202.8	387.0178	1000.0	0.0	1000.0	1000.0	79999	54.065964	42.68402	170.65138	9.298515	54.066204	42.683743	166.82787	10.381903	-0.92149556	1.0134426	10.256687	-8.866482	-54.29818	0.30921254	0.3068952	1192.3938686847687
21	708.75	411.93893	991.0	0.0	287.8	439.82196	993.0	0.0	1000.0	1000.0	83999	54.3469	42.420963	166.05267	8.987205	54.34699	42.420727	163.92455	7.890978	-0.9368191	0.98971534	9.867578	-9.343153	-54.565918	0.34751403	0.34313598	1252.017656803131
22	472.25	472.27237	951.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	87999	56.847355	43.759716	170.2563	8.534197	56.84732	43.75939	166.33977	9.776087	-0.8628886	1.0942289	11.044767	-9.118703	-57.077736	0.41850752	0.41425762	1313.8412110805511
23	693.25	401.447	974.0	0.0	107.6	298.23184	1000.0	0.0	1000.0	1000.0	91999	58.17164	44.076027	156.2891	9.640409	58.171955	44.075592	155.50761	8.372609	-0.84908944	1.124395	10.878683	-10.538132	-58.415955	0.40342182	0.39216033	1373.8173561096191
24	242.0	419.15628	968.0	0.0	496.8	496.88245	1000.0	0.0	1000.0	1000.0	95999	58.477764	43.849426	148.32646	12.472965	58.477837	43.849407	149.00151	11.680464	-0.8602182	1.091304	13.080935	-9.636725	-58.729225	0.30958092	0.29296973	1438.2993173599243
25	172.5	298.77878	690.0	0.0	104.5	295.40048	990.0	0.0	1000.0	1000.0	99999	58.29069	43.298893	141.89507	10.8424	58.29076	43.29908	141.22754	13.058138	-0.88848615	1.0425452	9.799766	-10.00578	-58.521706	0.29733092	0.2856227	1501.2935667037964
26	485.5	485.93286	1000.0	0.0	190.5	381.0032	956.0	0.0	1000.0	1000.0	103999	58.910873	42.993835	134.61069	7.693164	58.9111	42.994354	134.11661	12.350179	-0.90999526	1.01335	8.943188	-8.908545	-59.132343	0.26388243	0.24638417	1562.8764572143555
27	486.0	486.00464	975.0	0.0	614.7	454.53317	997.0	0.0	1000.0	1000.0	107999	58.56488	42.614403	136.67575	8.591278	58.564983	42.614174	133.86269	6.3814716	-0.93702143	0.99822	7.9650283	-9.4059515	-58.764843	0.26783606	0.27740997	1624.914787530899
