Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	3.2657955	5.6565237	13.063182	0.0	4.5337496	9.163469	27.594013	0.0	1000.0	1000.0	3999	3.990923	2.227449	25.786062	-1.0409783	3.9906826	2.2278433	25.47474	-1.0782444	-2.6263926	0.6132085	8.364857	-9.2187	-4.522657	0.010792984	0.010944555	49.382330656051636
2	0.0	0.0	0.0	0.0	2.037754	2.5334158	5.98076	0.0	1000.0	1000.0	7999	12.124494	3.829921	63.20965	4.9380593	12.124452	3.8303864	61.562737	4.8603177	-2.5955775	0.77069134	16.803204	-9.203117	-12.66962	0.045607578	0.04465858	104.48737215995789
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	23.335575	8.31513	160.22517	12.491919	23.335503	8.315892	170.49104	12.344819	-0.9355893	2.252005	16.147116	-12.458031	-24.475698	0.24763696	0.24425174	160.37595176696777
4	4.1914024	7.259722	16.76561	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	41.279724	11.469665	125.37119	18.86082	41.27985	11.470115	126.40523	18.41837	-0.6370516	2.0919771	13.588022	-12.202028	-42.522255	0.36057794	0.3445353	218.13173365592957
5	3.23212	3.4903429	8.327513	0.0	1.8805164	3.7679806	9.914	0.0	1000.0	1000.0	19999	54.22184	9.637701	88.48046	32.952038	54.222027	9.638104	89.563095	34.085407	-1.0377703	2.0485842	13.623235	-12.232063	-55.202854	0.27613214	0.2647752	276.06235241889954
6	0.0	0.0	0.0	0.0	5.4368296	7.3178616	20.236237	0.0	1000.0	1000.0	23999	61.118565	7.835133	102.34164	43.62062	61.1185	7.8358655	103.81087	43.643784	-1.5735196	1.80952	22.347225	-11.102808	-61.900707	0.19553989	0.19078843	334.29223585128784
7	0.0	0.0	0.0	0.0	0.6798656	2.0395968	6.798656	0.0	1000.0	1000.0	27999	62.66762	7.5440464	92.82626	47.179718	62.667614	7.543974	91.888885	48.010532	-2.1673367	1.1884329	7.449606	-11.94186	-63.224266	0.10156007	0.100257054	392.3702919483185
8	0.0	0.0	0.0	0.0	2.5109487	5.4712577	17.41026	0.0	1000.0	1000.0	31999	60.559975	7.315417	81.667336	47.494938	60.55992	7.31527	81.60322	47.216553	-2.4229915	0.8634952	4.424238	-10.438818	-61.05827	0.050475076	0.049096882	450.5524444580078
9	3.4560347	5.9860277	13.824139	0.0	1.2882521	2.8118916	8.959554	0.0	1000.0	1000.0	35999	58.606316	6.6003017	77.02748	47.42441	58.60635	6.600103	75.634865	47.840614	-2.5866196	0.60706645	4.780739	-11.736786	-59.087055	0.033346195	0.032521814	508.8878173828125
10	3.494301	6.0523076	13.977204	0.0	3.9780579	7.968563	20.885826	0.0	1000.0	1000.0	39999	56.851734	5.485478	71.31505	47.088192	56.85175	5.4853764	72.280136	46.97454	-2.6390293	0.50711954	4.676469	-10.060803	-57.34103	0.022619825	0.022286208	567.2234151363373
