Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	1.0167329	0.30785283	1.2813219	0.49225157	1.0064236	0.5635104	2.002215	0.09678008	1000.0	1000.0	3999	16.58468	9.79572	39.16437	-29.28436	16.58253	9.800635	38.884857	-30.602062	-13.699533	4.088604	186.82867	-21.3152	-19.17815	0.5003033	0.4995007	60.63314771652222
2	0.89099616	0.37393698	1.4907354	0.52016354	1.0902989	0.4669977	1.9130385	0.58210224	1000.0	1000.0	7999	55.424	13.053391	90.564285	24.549295	55.424557	13.05384	89.96189	23.890839	-12.373145	2.309944	4.9052296	-23.121908	-58.20806	0.6606353	0.6456331	128.18945837020874
3	0.98567414	0.24940145	1.3386158	0.717757	0.7565785	0.36793253	1.3458496	0.22502702	1000.0	1000.0	11999	98.07785	12.148601	133.47125	54.794502	98.07899	12.143935	134.09094	54.196003	-10.340123	3.20297	13.838949	-23.589046	-101.04939	1.3288171	1.2785661	197.8854489326477
4	1.0024539	0.34307092	1.443824	0.5868141	0.82909906	0.5444747	1.9750743	0.06989126	1000.0	1000.0	15999	128.10454	7.909284	154.33533	89.140724	128.10568	7.9023604	156.15636	89.79573	-11.731519	2.5988631	8.208176	-22.869509	-130.53407	1.4870427	1.4209899	270.0019500255585
5	0.92054695	0.76355493	2.1111095	0.06348952	0.63196075	0.30442488	1.1588782	0.1968157	1000.0	1000.0	19999	148.29205	6.9195714	173.02666	111.19109	148.29225	6.9151235	171.89192	114.45562	-12.169397	2.3998728	9.357376	-22.609978	-150.60881	1.4265826	1.3984169	342.04732513427734
6	1.0497539	0.4577735	1.5612477	0.3151814	1.0197915	0.8009291	2.7869792	0.066327736	1000.0	1000.0	23999	164.11497	6.313263	184.20909	130.30603	164.11552	6.310494	185.16277	131.31926	-12.594736	2.1866777	5.9277134	-23.381294	-166.38725	1.3076726	1.2825099	413.53908348083496
7	0.7244885	0.39810592	1.1403742	0.06782409	0.74192417	0.42381534	1.4154968	0.06377632	1000.0	1000.0	27999	176.99144	5.282707	194.73085	148.7385	176.99187	5.273201	194.1669	148.48157	-12.900299	1.9974151	10.585743	-22.703684	-179.26822	1.1766639	1.14624	485.7355840206146
8	0.92155015	0.5911017	1.8956982	0.33094373	1.1070137	0.64837086	2.2072563	0.1450642	1000.0	1000.0	31999	187.83446	4.785681	203.23119	162.00685	187.8348	4.779346	204.34627	163.80484	-13.177168	1.8091586	4.602007	-23.595364	-190.12677	1.0544207	1.0451659	557.5893158912659
9	0.57806236	0.50360453	1.3968748	0.031033682	0.9038892	0.40695843	1.4785565	0.19104071	1000.0	1000.0	35999	197.38326	4.254852	211.9652	174.57195	197.38383	4.2423215	212.33595	173.76355	-13.368136	1.652697	1.9092369	-22.019659	-199.70319	0.9781963	0.9402114	629.3508670330048
10	0.5048111	0.24921446	0.8134631	0.2142218	0.9821088	0.5103302	1.7703863	0.21783589	1000.0	1000.0	39999	205.5703	3.7490122	221.5392	184.69377	205.57042	3.7426546	221.22217	184.27492	-13.509453	1.5356736	3.1568718	-22.09692	-207.91202	0.8939864	0.87091404	701.7310843467712
11	0.8685472	0.6381069	1.8625841	0.17671107	1.1201183	0.59646076	1.9430543	0.09598037	1000.0	1000.0	43999	212.75452	3.3854587	228.29744	171.57597	212.75468	3.3858876	226.50027	174.16655	-13.601756	1.4449466	6.496258	-21.507353	-215.11266	0.8215673	0.8236797	773.8345890045166
12	0.8680292	0.64500105	1.790747	0.165286	0.85535777	0.5455069	1.6068194	0.08314185	1000.0	1000.0	47999	219.01633	3.0670683	230.86581	187.18358	219.01637	3.0648973	229.88942	191.1152	-13.671096	1.3907388	7.7305775	-22.556646	-221.39062	0.78660387	0.78047323	845.4035542011261
