Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	7.442704	1.3775879	8.947639	5.3913007	3.1852841	3.6828163	11.579377	0.16441563	1000.0	1000.0	3999	17.416424	10.1997385	43.601856	-34.510223	17.415997	10.199444	43.86251	-24.046492	-13.550347	3.4504292	151.44261	-20.608318	-20.08184	0.45264274	0.42552295	59.79876351356506
2	5.355527	0.9490234	6.794736	4.156306	4.4888525	2.9861906	9.592566	0.45840552	1000.0	1000.0	7999	58.002773	13.225114	96.910164	23.910978	58.00346	13.223674	95.88799	24.228144	-12.036368	2.383391	5.944395	-24.934687	-60.85822	0.6757727	0.65022504	126.37852382659912
3	3.3718429	1.2610354	4.9134674	1.5165112	3.8287215	2.5557525	8.693156	1.0125445	1000.0	1000.0	11999	100.26375	11.712677	135.46481	43.7232	100.26397	11.712451	134.64769	40.104156	-10.629498	3.1400633	18.608322	-25.233198	-103.14866	1.3374711	1.2821031	194.93885207176208
4	6.1350794	4.103801	10.748437	1.6402268	4.756844	2.7356205	9.387668	0.26836097	1000.0	1000.0	15999	129.07904	8.211723	161.70564	59.018974	129.07964	8.207416	167.16179	56.8967	-11.598745	2.7028906	9.107937	-23.271812	-131.49678	1.6512356	1.6167365	265.4169216156006
5	8.067596	2.976191	11.859967	3.915446	4.382123	2.349774	7.719879	0.5251051	1000.0	1000.0	19999	149.21378	6.6532707	175.69981	86.09544	149.21501	6.6415763	175.54393	87.0798	-11.735184	2.6633883	13.0452385	-23.948666	-151.52162	1.7025007	1.6261972	335.97135281562805
6	3.8983705	2.2021458	7.6373997	2.1690137	5.0629883	3.2860177	9.250726	0.32361215	1000.0	1000.0	23999	164.4063	5.3501716	186.97762	116.46248	164.40738	5.3331904	185.75859	118.866425	-12.127222	2.5049474	19.850409	-23.300512	-166.66502	1.570689	1.4786046	407.0078523159027
7	5.62628	2.0051706	8.808537	3.4878497	4.9242773	2.4758632	8.969415	1.432111	1000.0	1000.0	27999	176.40295	4.469526	196.55286	139.98047	176.40324	4.4662085	196.75774	140.12967	-12.688425	2.1734722	12.022594	-23.341623	-178.62991	1.3650348	1.3192693	477.6258592605591
8	8.1771145	2.3228633	10.238956	4.4068723	4.9736724	3.4361818	12.079447	0.7526297	1000.0	1000.0	31999	186.44707	3.9406307	204.38927	154.54631	186.44742	3.9357493	203.93396	153.66916	-13.054715	1.923479	12.197407	-22.42934	-188.69576	1.1648684	1.1251168	548.3219330310822
9	4.9308324	2.8336058	7.5771294	0.5111381	5.3155785	3.2724369	10.817267	0.68478405	1000.0	1000.0	35999	195.44572	3.5719345	215.93863	167.39685	195.44585	3.572228	211.54749	164.99568	-13.287078	1.7315567	8.762346	-22.055326	-197.72763	1.0152607	0.9931538	619.5092051029205
10	4.1101594	0.65461236	4.9550347	3.45743	5.2096925	2.0307884	7.5856714	1.838648	1000.0	1000.0	39999	203.70634	3.3693745	220.14767	173.19418	203.70657	3.363952	222.37274	174.18025	-13.365016	1.6573415	10.148537	-23.32756	-206.03905	0.92425925	0.89473146	690.783037185669
11	4.0603504	2.042087	7.04358	1.3123345	4.6334944	2.7845445	10.079656	1.432763	1000.0	1000.0	43999	211.01193	3.023842	227.97684	186.24826	211.01193	3.021071	227.39455	185.54448	-13.547327	1.5172331	6.981554	-22.800058	-213.34766	0.8623941	0.8536853	762.0483088493347
12	4.427785	1.6510769	6.2404723	2.3824828	4.5698667	2.304046	8.273365	1.5369502	1000.0	1000.0	47999	217.42593	2.7260847	230.69571	191.90712	217.4262	2.7187555	233.13187	188.02597	-13.619938	1.4617126	9.327169	-22.344133	-219.80077	0.7976046	0.77542543	832.9764919281006
13	6.8627176	0.48968366	7.3822412	6.151319	4.6944976	3.790293	11.9081335	0.1593936	1000.0	1000.0	51999	223.03642	2.5206728	254.2707	186.96068	223.03676	2.5062644	237.37677	194.43504	-13.71044	1.3696911	9.17881	-22.58199	-225.42378	0.749944	0.7237191	904.2856125831604
14	5.7606716	3.4165633	10.05463	1.8724295	6.500325	3.279829	12.209016	1.5605005	1000.0	1000.0	55999	227.97888	2.417951	242.04507	203.4381	227.97916	2.404608	243.1407	205.22775	-13.743946	1.3242644	9.898123	-21.338585	-230.38043	0.70149696	0.67485225	975.2099404335022
15	5.480337	2.2946727	8.907871	2.4409564	3.8697734	2.5017817	9.790642	0.45073208	1000.0	1000.0	59999	232.32207	2.4026985	245.64969	207.43729	232.32233	2.3934207	246.11252	211.03561	-13.794687	1.2809837	12.0823	-21.674416	-234.74895	0.66335386	0.64792794	1046.0158610343933
16	4.3992023	2.584434	8.138226	1.480389	5.718835	3.0141544	11.546328	0.36634976	1000.0	1000.0	63999	236.10054	2.427128	252.45401	197.35359	236.10078	2.4170716	250.65512	200.43202	-13.85729	1.2069162	0.8989086	-21.16309	-238.53915	0.64565563	0.6258324	1117.2058703899384
