Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	5.5	9.526279	22.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	1.0145674	0.6379022	11.119379	-0.55286145	1.0145972	0.6378909	11.138771	-0.52682364	-0.6814254	0.13538477	1.4638908	-6.340585	-1.1481012	0.00081851083	0.0008028913	51.45109248161316
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	3.0102663	1.1246145	31.057734	0.9200855	3.01027	1.1247734	30.6363	0.9347769	-0.678728	0.15053776	2.5754855	-5.244553	-3.1457107	0.0019626233	0.0018679977	108.57347583770752
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	4.8775454	1.3872536	45.92153	2.9845057	4.877521	1.3872595	47.39056	3.0723512	-0.67977804	0.14994566	3.4086838	-6.710725	-5.0119405	0.0026955672	0.0031715864	167.143949508667
4	7.5	12.990381	30.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	15999	6.481983	2.3614578	56.730045	4.1187916	6.48199	2.3616014	56.206455	4.2736692	-0.6791301	0.15294552	4.04842	-5.5005755	-6.6125345	0.0064134626	0.0058427295	227.04315876960754
5	0.0	0.0	0.0	0.0	196.8	393.66504	1000.0	0.0	1000.0	1000.0	19999	7.7068987	2.4436042	68.66795	4.905819	7.7068577	2.4432206	68.28636	4.7996325	-0.6776692	0.17345566	5.672297	-5.022423	-7.839332	0.007084173	0.008498645	286.10787749290466
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	8.688856	2.320728	75.98614	5.643555	8.688891	2.321418	77.44088	6.118468	-0.68031776	0.1518591	5.7446237	-4.4901805	-8.820708	0.009484432	0.009382572	346.13549637794495
7	0.0	0.0	0.0	0.0	13.7	41.1	137.0	0.0	1000.0	1000.0	27999	9.507331	2.3974857	79.994606	7.302226	9.507326	2.3970363	78.76714	7.447642	-0.6801374	0.14986196	4.455364	-6.1750393	-9.639166	0.007486097	0.0076254453	402.20546412467957
8	0.0	0.0	0.0	0.0	7.1	21.300001	71.0	0.0	1000.0	1000.0	31999	10.148684	2.2575912	87.28794	7.852224	10.1486635	2.2568328	83.06329	7.821642	-0.6807107	0.15137747	5.8231854	-5.683818	-10.2742815	0.008859875	0.010461101	460.08615589141846
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	10.682287	2.043905	81.13279	8.415911	10.682277	2.0445127	85.42092	7.905957	-0.68119484	0.13482742	4.9091144	-5.39574	-10.805611	0.0075085373	0.008891354	513.9071960449219
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	11.120869	1.9424276	84.50685	8.4305935	11.120865	1.9426973	85.30013	8.646204	-0.6816132	0.13794932	4.824176	-6.859548	-11.246405	0.009472595	0.008345345	566.6313157081604
11	40.5	70.148056	162.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	43999	11.643045	3.6488526	84.66473	9.39469	11.643012	3.6486228	86.14595	9.141228	-0.67715424	0.18150756	6.520814	-6.474016	-11.769914	0.008205083	0.010120588	619.3610532283783
