Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	0.04886961	0.084644645	0.19547844	0.0	1.0188821e-19	3.0566464e-19	1.0188821e-18	0.0	1000.0	1000.0	3999	2.045399	1.0333489	3.9705763	-0.08753252	2.0454838	1.0331985	3.9754016	-0.0023796419	-1.3657337	0.17274512	-0.44002724	-6.5420074	-2.3160193	0.00078382366	0.00076595956	49.20904231071472
2	0.0	0.0	0.0	0.0	1.059332e-13	3.177996e-13	1.059332e-12	0.0	1000.0	1000.0	7999	5.97011	1.195457	8.135731	3.727854	5.9701114	1.1954602	8.137606	3.7250698	-1.3667773	0.16745816	-0.92580867	-8.300381	-6.2411366	0.0006984628	0.00070312945	104.89079856872559
3	1.6673848e-20	2.8879948e-20	6.669539e-20	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	9.752992	0.9975613	11.57967	7.8082094	9.752988	0.9975638	11.574866	7.809792	-1.3671131	0.16648972	-0.9846175	-6.9303446	-10.023334	0.0007327361	0.0007389388	157.3008599281311
4	0.007832319	0.013565974	0.031329274	0.0	4.510645e-21	1.3531936e-20	4.510645e-20	0.0	1000.0	1000.0	15999	12.879328	0.81822306	14.384964	11.24917	12.879328	0.8182297	14.383285	11.24695	-1.3671042	0.16629599	-0.9994054	-5.978211	-13.149851	0.0007628884	0.0007693322	210.17192316055298
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	15.448647	0.6717698	16.707489	14.117959	15.448641	0.6717919	16.708454	14.126436	-1.367952	0.16756827	-0.9829247	-7.1448755	-15.718972	0.00081334903	0.0008276774	258.9682471752167
6	3.0284254e-21	5.245426e-21	1.21137014e-20	0.0	1.8381731e-06	4.4537137e-06	1.48122745e-05	0.0	1000.0	1000.0	23999	17.561014	0.5533725	18.570591	16.46144	17.561014	0.55339813	18.572203	16.455906	-1.3670548	0.16476318	-0.98510695	-6.3339815	-17.831413	0.0008056263	0.0008203133	307.71071553230286
7	6.3072593e-31	0.0	2.5229037e-30	0.0	2.9814e-41	0.0	2.95074e-40	0.0	1000.0	1000.0	27999	19.291656	0.4522811	20.151663	18.372765	19.291655	0.452315	20.157108	18.370564	-1.3672171	0.16634417	-0.9853275	-6.049674	-19.56171	0.0008019695	0.0008173914	352.12339782714844
8	2.4502548e-35	0.0	9.801019e-35	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	20.705162	0.3699799	21.428528	19.949043	20.705153	0.37004313	21.432629	19.939844	-1.3670382	0.16612835	-1.0173268	-5.9598393	-20.975794	0.00083782425	0.0008609342	395.9726302623749
9	1.2102451e-25	0.0	4.8409805e-25	0.0	25.732342	77.19703	257.32343	0.0	1000.0	1000.0	35999	21.862635	0.30334198	22.466278	21.24167	21.862635	0.30338413	22.468357	21.238163	-1.3673558	0.16596735	-1.0055897	-7.6849775	-22.131739	0.00083899975	0.0008518219	438.321249961853
10	2.7067142e-30	0.0	1.0826857e-29	0.0	2.1413e-41	0.0	2.14128e-40	0.0	1000.0	1000.0	39999	22.808695	0.24848828	23.32408	22.26459	22.808695	0.24854891	23.322645	22.249607	-1.3666005	0.16446766	-1.0116174	-5.391671	-23.07732	0.00086334907	0.0008778347	481.038450717926
