Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	95.05965	142.24503	339.7676	0.0	237.06013	146.61984	616.943	110.796616	1000.0	1000.0	3999	11.794653	5.936329	29.845312	-8.258567	11.795055	5.935427	30.196354	-9.862632	-8.033995	1.2787163	69.7099	-16.159233	-13.319595	0.06196255	0.059801407	56.34677195549011
2	207.95374	198.86992	448.18137	5.0152316	247.84521	143.16139	487.1069	0.0	1000.0	1000.0	7999	34.080986	7.823945	65.415215	13.681262	34.08099	7.8238935	65.581215	13.331178	-7.970872	0.8430955	-0.35056782	-15.335007	-35.60644	0.091467634	0.09254982	119.57543206214905
3	120.26249	77.82233	237.54749	37.969036	327.0191	216.72998	813.9293	18.955048	1000.0	1000.0	11999	55.29624	10.441132	101.71002	16.545326	55.29624	10.441255	101.25199	16.841404	-7.77208	1.1179953	0.9222183	-15.734489	-56.791046	0.1866294	0.18840717	185.5236759185791
4	318.02118	146.87589	467.358	82.16238	174.55994	177.1944	524.7841	0.0	1000.0	1000.0	15999	73.5947	12.653129	131.89226	25.193113	73.59436	12.655014	131.43541	24.396854	-7.570741	1.3059311	2.6715755	-14.483335	-75.04699	0.25329757	0.25483716	253.6331603527069
5	191.25793	119.42803	306.92578	0.0	134.22952	195.76123	517.60925	0.0	1000.0	1000.0	19999	92.20956	16.581966	174.0731	52.9227	92.20888	16.58529	173.58192	53.245903	-7.4981556	1.3920716	5.091135	-15.591888	-93.619446	0.35215032	0.35362855	321.8810727596283
6	191.13913	188.68724	512.45435	52.90732	165.81235	150.42549	476.9177	0.0	1000.0	1000.0	23999	104.39948	16.696423	183.68045	69.91548	104.39943	16.6966	184.45743	70.829704	-7.454565	1.4359566	5.9812984	-16.185623	-105.76478	0.45208558	0.44994226	390.0366020202637
7	332.9338	195.90096	505.4832	0.0	205.66167	184.85684	559.0009	4.429921	1000.0	1000.0	27999	115.81452	17.815172	200.49701	76.25265	115.81517	17.811817	200.25818	76.867325	-7.2582526	1.6123983	5.7271004	-17.96273	-117.17939	0.4932919	0.48472655	457.8695101737976
8	225.12663	152.31755	431.64325	9.721763	220.63525	198.57207	592.9914	0.0	1000.0	1000.0	31999	126.27968	19.606367	236.6684	83.60847	126.27987	19.604372	237.21977	83.34017	-7.303495	1.5475179	7.0066967	-16.083973	-127.60617	0.5794509	0.57660484	525.8781719207764
9	367.24103	135.98334	491.65775	152.04588	113.41377	110.615295	369.9714	3.8427956	1000.0	1000.0	35999	134.00256	20.738789	222.46281	79.90546	134.00272	20.73806	223.70244	78.863556	-7.2292256	1.6216224	7.544117	-16.653538	-135.32771	0.60803294	0.6038406	593.6390295028687
10	202.60791	218.3562	570.7749	2.9995987	217.99594	138.8213	455.7471	31.683191	1000.0	1000.0	39999	137.72987	21.814325	227.33893	86.68626	137.73003	21.812574	226.18684	87.005264	-7.2559867	1.5711533	7.4275455	-18.495897	-139.04709	0.6132643	0.6194175	661.3625104427338
11	289.92267	20.110437	315.22955	261.60596	228.20415	230.24545	657.06036	1.207124	1000.0	1000.0	43999	141.16647	22.527428	229.60808	88.31251	141.16685	22.52566	229.15134	87.84035	-7.2590623	1.5484171	5.5287447	-15.072432	-142.47389	0.5982241	0.6061357	728.8604159355164
12	310.85544	198.4425	570.99854	43.587967	254.03426	179.35327	647.83466	24.41331	1000.0	1000.0	47999	144.00726	23.209175	230.26857	91.43372	144.0075	23.20828	230.72331	91.66612	-7.3404408	1.487481	9.774448	-15.240923	-145.28307	0.5894489	0.58105	796.3711688518524
13	81.09201	77.65574	209.10919	0.0	119.105576	173.53117	529.0245	0.0	1000.0	1000.0	51999	146.58136	22.484549	230.9647	99.16329	146.58128	22.484432	229.3903	99.24402	-7.4629006	1.3683698	7.0358114	-14.85018	-147.84732	0.5488054	0.55186915	864.29922914505
