Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
1	356.9458	350.62964	777.8247	9.622802	125.05278	207.83414	557.58105	6.61763	1000.0	1000.0	3999	17.868668	10.362283	45.788322	-0.63245934	17.869167	10.361313	46.944447	-0.56429493	-7.546962	2.9311264	16.639015	-17.912687	-20.071741	0.056477692	0.05713846	62.70372724533081
2	325.00015	334.68604	796.4311	7.8284836	127.40316	276.37173	949.301	6.46975	1000.0	1000.0	7999	84.61698	34.72438	178.40231	21.791868	84.61706	34.72441	179.1017	21.574774	4.3282576	6.24399	36.29998	-18.968372	-90.77258	0.43895292	0.44363427	129.27942299842834
3	131.25006	213.6636	501.28488	4.745011	335.28998	339.70163	1000.0	8.259049	1000.0	1000.0	11999	239.39574	54.942055	395.48813	121.604774	239.39597	54.94184	395.283	121.34489	10.495478	6.983431	43.25099	-18.201656	-250.22821	1.8569794	1.8948767	203.3954119682312
4	20.614252	22.383862	59.312584	5.8214035	44.02287	70.48328	240.14455	4.7200747	1000.0	1000.0	15999	366.89365	41.50405	508.50803	257.53488	366.89352	41.50376	511.012	258.2315	5.187568	6.9562697	37.9893	-17.596304	-375.12424	2.1719189	2.1726935	279.7621970176697
5	7.6196947	3.2544506	13.186424	5.0322843	242.29292	377.82596	975.4431	4.742985	1000.0	1000.0	19999	423.23248	30.556131	507.1698	325.54465	423.23224	30.555317	507.95966	327.0947	-1.3113399	4.909333	30.784908	-21.515137	-427.48682	1.2200332	1.2405679	352.55930852890015
6	241.57118	397.49524	930.02765	9.136906	36.170815	65.74006	231.53996	4.9432006	1000.0	1000.0	23999	413.1119	31.773699	523.8117	334.79178	413.11163	31.77455	523.03955	335.23135	-5.419319	3.5089335	21.080917	-20.12326	-415.70993	0.747541	0.7648902	428.3325128555298
7	105.65315	158.26404	379.6243	7.987114	177.83652	292.07645	771.6982	7.6121016	1000.0	1000.0	27999	388.41547	31.41678	494.45975	317.4698	388.4154	31.417631	493.15805	317.6525	-7.2590814	2.3471298	8.036245	-18.706905	-390.4284	0.49292755	0.5007671	502.70127153396606
8	8.224477	2.959201	12.897494	4.8724995	247.77373	327.42276	880.5693	4.6018405	1000.0	1000.0	31999	362.7968	28.511168	455.0194	297.5358	362.79675	28.511742	455.14716	297.66382	-8.219114	1.8070383	4.0563755	-19.812714	-364.58905	0.38192654	0.397567	574.4359769821167
9	183.35495	280.32138	667.8316	5.2638173	157.02597	306.8386	999.954	4.7603917	1000.0	1000.0	35999	337.7604	23.158878	406.89154	276.77948	337.7604	23.159328	407.23544	275.85706	-8.496671	1.7194318	6.48872	-17.083393	-339.53015	0.3042838	0.3200735	644.6233584880829
10	11.446775	5.5509334	20.983358	7.122382	123.133766	201.17711	657.62915	6.4616666	1000.0	1000.0	39999	314.5272	18.372568	382.60764	258.5788	314.52713	18.372358	382.11176	258.5464	-8.71963	1.5340459	4.3230095	-17.649101	-316.2644	0.26286092	0.26461753	716.2943201065063
