Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	5.480436	9.490904	21.919163	1.3452811e-11	0.013116339	0.029792637	0.09741606	3.6813802e-10	1000.0	1000.0	3999	-0.34571147	0.41474697	3.9263525	-4.50367	-0.34567702	0.41469264	4.0355663	-4.6962614	0.33623597	0.0024281917	27.51567268371582
2	1.2385489	2.1337786	4.934335	1.2079525e-11	3.4697692	10.273571	34.288586	2.2271709e-11	1000.0	1000.0	7999	-0.1981483	0.46362868	8.164041	-2.3137083	-0.19815923	0.46356434	8.174943	-2.2941287	0.19293329	0.0010634924	56.85999655723572
3	0.04978455	0.07916387	0.18683004	2.0513618e-05	21.877619	36.15009	113.10434	0.006509012	1000.0	1000.0	11999	-0.17752624	0.56645834	11.656499	-2.0696535	-0.17752403	0.56648993	11.532724	-2.038517	0.17448108	0.0010469932	89.82363152503967
4	1.0658611	1.2213262	2.975023	5.848031e-09	0.6199038	1.6609739	5.591222	7.806103e-10	1000.0	1000.0	15999	-0.16784999	0.57424587	14.100218	-2.3360085	-0.16783318	0.5743463	14.028533	-2.006638	0.16628405	0.0014538125	124.25809454917908
5	3.4603755	5.626509	13.195094	3.8203208e-07	0.7851182	2.2575133	7.5549355	1.7345672e-11	1000.0	1000.0	19999	-0.16320147	0.576253	15.960553	-1.7358682	-0.16318326	0.57617086	16.43054	-1.7676145	0.1600615	0.0017674494	159.1059594154358
6	0.17084263	0.29590765	0.6833697	2.904727e-09	1.8936266	5.532063	18.487421	4.3320757e-11	1000.0	1000.0	23999	-0.14010917	0.5580761	17.94161	-1.3893144	-0.14011703	0.5581923	17.987066	-1.3836879	0.13552743	0.0019666427	193.6221375465393
7	1.1658639	1.7538246	4.1846585	1.4773032e-07	4.062503	5.950077	17.955862	6.179363e-11	1000.0	1000.0	27999	-0.11723172	0.5388136	17.969975	-1.1776327	-0.117246434	0.53845	18.156572	-1.2256372	0.11421564	0.0022062226	227.893718957901
8	5.533888	9.575557	22.119236	1.1851073e-08	4.086669	5.8319807	14.143177	0.0020580958	1000.0	1000.0	31999	-0.100965604	0.5327574	16.46742	-1.1465968	-0.10096506	0.53277934	16.525143	-1.0047286	0.10031337	0.0021899962	262.8153293132782
9	0.44427612	0.6760559	1.6092603	1.4957102e-10	25.243137	38.24983	118.37542	0.06690312	1000.0	1000.0	35999	-0.090406515	0.56101364	15.274591	-1.0750574	-0.09040347	0.5612059	15.015385	-1.0429727	0.087935016	0.0033892593	297.94004559516907
10	0.2707495	0.38603544	0.93301725	4.230444e-07	8.158756	19.583801	66.33309	3.5120273e-09	1000.0	1000.0	39999	0.035881802	0.9107656	14.807596	-1.192252	0.0358661	0.9108944	14.40624	-1.167777	-0.040494934	0.005049257	332.8048052787781
11	10.211707	16.632687	38.990444	3.3696058e-06	2.8427107	7.2853193	24.486664	1.5709082e-08	1000.0	1000.0	43999	0.017438496	0.87086	14.762221	-1.2196698	0.01743594	0.87088525	14.617	-1.246234	-0.019021057	0.0037456437	368.8613541126251
12	1.1342685	1.9546058	4.519724	0.000114164446	0.5921525	1.2087703	3.662478	2.4733673e-08	1000.0	1000.0	47999	0.0021067264	0.84950495	16.16938	-1.2190983	0.002113592	0.8494708	15.411043	-1.2267298	-0.006005925	0.004242483	404.65894174575806
13	3.0870223	5.2948127	12.257806	0.0007598031	1.6788676	3.033231	9.470613	2.2234058e-10	1000.0	1000.0	51999	-0.0022217757	0.8648428	15.492115	-1.1678293	-0.0022105663	0.8647855	15.726631	-1.1321423	0.00024027062	0.0038290177	439.3842716217041
14	1.3427103	1.6578544	4.060646	2.861075e-10	5.4943376	10.627939	32.31715	2.1639338e-11	1000.0	1000.0	55999	0.010123887	0.9216838	16.874947	-1.2898917	0.010142392	0.9215849	15.978164	-1.1837481	-0.012337788	0.004275389	473.4806716442108
15	16.335516	25.512339	60.38494	1.3563729e-09	17.554409	18.161007	49.148018	2.8524882e-10	1000.0	1000.0	59999	-0.005978171	0.98149806	19.448418	-1.3859928	-0.005975002	0.9814076	19.666056	-1.5136044	0.0034726528	0.0041183797	507.25754022598267
16	2.5235016	2.075451	5.4746275	3.069659e-11	16.121674	22.058401	73.77646	1.7921048e-10	1000.0	1000.0	63999	-0.011234908	1.1120586	23.470428	-1.462747	-0.011188491	1.1121504	22.93986	-1.5158509	0.010284258	0.005191096	542.2613859176636
17	0.036432628	0.06289125	0.14536321	1.6972439e-10	0.89178896	1.3938861	4.0181813	8.487086e-11	1000.0	1000.0	67999	-0.039934274	1.1372721	26.187023	-1.5652099	-0.03990804	1.1370851	26.056217	-1.5950971	0.038105294	0.0054659257	577.877968788147
18	0.3357199	0.5800203	1.340343	1.8872708e-10	1.0546073	1.6674005	4.9074135	7.118935e-11	1000.0	1000.0	71999	-0.06452569	1.1748776	28.00634	-1.4782872	-0.06451566	1.1748838	27.955448	-1.4870721	0.06131875	0.0063577606	614.6096267700195
19	0.5108627	0.88481873	2.0434136	8.409567e-11	0.010676091	0.02641587	0.08919148	2.3277269e-11	1000.0	1000.0	75999	-0.09216324	1.1663818	29.023085	-1.4834701	-0.092156425	1.1662222	28.978662	-1.4856013	0.08511061	0.006903541	651.7675440311432
20	7.8372736	12.18855	28.875973	1.9927162e-07	4.738154	11.3672695	37.86264	2.8253939e-11	1000.0	1000.0	79999	-0.114338554	1.1815145	29.227518	-1.9427748	-0.11431059	1.1816856	29.434464	-1.8407587	0.11176395	0.008071719	687.2526886463165
21	5.3102674	8.040292	19.216366	7.163194e-07	0.43016344	0.9103854	3.0926092	1.303286e-08	1000.0	1000.0	83999	-0.14080621	1.2008287	29.903503	-2.1136274	-0.1408035	1.2008283	30.548878	-1.9956932	0.13601093	0.009045922	722.767561674118
22	15.848716	27.351402	63.22267	1.9236229e-08	3.6419327	6.1721716	19.457638	1.4888407e-09	1000.0	1000.0	87999	-0.15619746	1.2774029	30.304277	-2.237808	-0.1561838	1.2775117	28.893509	-2.2827508	0.15302135	0.011368526	758.4207904338837
23	4.0768915e-05	6.942792e-05	0.00016101358	1.208237e-09	0.6765271	1.3609948	4.6524844	2.4203107e-11	1000.0	1000.0	91999	-0.18261786	1.2857492	30.621504	-1.992332	-0.18256786	1.2857994	29.810741	-1.8895552	0.17573023	0.008313909	793.5723593235016
24	31.001982	41.415005	100.83901	3.508528e-11	7.1833396	21.343136	71.21235	4.217635e-09	1000.0	1000.0	95999	-0.19669402	1.350896	32.62519	-2.0599797	-0.19661385	1.3510149	30.179974	-2.0365572	0.196087	0.013083234	828.7852339744568
25	0.41136998	0.5640495	1.3684992	7.688876e-11	0.7156646	1.7714984	5.9217854	2.6689716e-11	1000.0	1000.0	99999	-0.1925049	1.5113552	30.623394	-2.0394337	-0.19250147	1.5111321	30.760843	-1.9947019	0.1845446	0.011455537	866.1319606304169
26	0.13579646	0.14376117	0.33832538	1.7662077e-11	3.3750641	8.8178835	29.758034	3.397475e-10	1000.0	1000.0	103999	-0.21141258	1.5385139	36.48711	-2.0545328	-0.21138394	1.5388951	36.44821	-2.0773096	0.20800887	0.011781582	903.5796518325806
27	0.006052445	0.010483141	0.024209779	5.264493e-11	3.12657	7.653901	25.651182	4.4689957e-10	1000.0	1000.0	107999	-0.23362412	1.567564	41.19892	-2.1567698	-0.23359255	1.5674565	41.770863	-2.193131	0.23260418	0.013229071	939.5802471637726
28	5.6334248	9.334146	21.794977	9.2111414e-08	8.164355	19.914608	67.1525	4.6152918e-10	1000.0	1000.0	111999	-0.25860196	1.5349891	44.625587	-2.1445773	-0.25854912	1.5349535	45.67594	-2.0857658	0.25432628	0.013076105	976.7353756427765
29	0.046705198	0.079740524	0.18481253	2.1059337e-11	6.3541265	15.060615	50.861557	0.00021583284	1000.0	1000.0	115999	-0.27585426	1.566067	47.199844	-2.3136253	-0.2758207	1.566037	46.568203	-2.2061834	0.27364936	0.012640165	1013.2316093444824
30	0.000756224	0.000993347	0.002423342	1.669129e-11	0.30402124	0.4595942	1.4862707	5.855192e-08	1000.0	1000.0	119999	-0.2988643	1.5528648	48.990158	-2.2646785	-0.29886982	1.5531316	49.91586	-2.1616204	0.2986812	0.012624453	1047.065489768982
31	6.9608703	9.495428	23.324484	0.0049945433	2.8562322	6.778049	23.08625	7.1982167e-09	1000.0	1000.0	123999	-0.31998518	1.5242165	51.43865	-2.21598	-0.31997493	1.5241518	52.35948	-2.411827	0.31535822	0.011697013	1082.8505272865295
32	0.41407755	0.67236936	1.5773697	1.3758165e-05	17.461185	30.153267	93.48138	2.5994534e-10	1000.0	1000.0	127999	-0.33935747	1.5057681	54.885098	-2.9386606	-0.33933753	1.5061525	53.17828	-2.6744127	0.33768383	0.012570119	1117.9467315673828
33	0.0077218674	0.010292712	0.025067942	2.5244954e-11	0.41225633	0.87943983	2.9148827	2.2141146e-10	1000.0	1000.0	131999	-0.35828567	1.4301676	53.947502	-2.6172307	-0.3582962	1.4298486	54.76981	-2.4757895	0.35485524	0.012426766	1153.666330575943
34	7.8483152	5.2078443	13.072806	0.00014177586	0.119143024	0.27104425	0.91343814	7.276583e-09	1000.0	1000.0	135999	-0.3628189	1.532591	57.469063	-2.747138	-0.3627964	1.5327063	58.877075	-2.714445	0.3570714	0.013097317	1191.3241086006165
35	2.6065195	4.075595	9.643999	2.0073056e-10	1.4297512	3.3445477	11.076825	2.926656e-11	1000.0	1000.0	139999	-0.38333154	1.4703729	58.257584	-2.7624667	-0.3832743	1.4701797	59.29661	-2.8230124	0.3781312	0.012770838	1227.1215641498566
36	0.09739155	0.16868515	0.3895628	2.335735e-10	0.19823207	0.36718452	1.1059356	1.9284331e-11	1000.0	1000.0	143999	-0.39647734	1.4159344	57.311043	-2.786025	-0.39643443	1.4159312	59.920116	-2.7192614	0.39459834	0.01231497	1264.5613753795624
37	2.8101494	4.6385884	10.839411	2.6255385e-09	4.609889	13.444887	44.941265	3.4460934e-10	1000.0	1000.0	147999	-0.4029425	1.4180336	56.456345	-2.6558137	-0.40292615	1.4179738	56.667534	-2.8824925	0.39546654	0.012001786	1301.4553802013397
