Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	20.195808	8.773951	33.75821	10.786507	109.777115	0.40400648	110.46345	109.1088	1000.0	1000.0	3999	-0.014085419	0.20538382	1.597654	-0.81591666	-0.014075152	0.20538944	1.6070668	-0.7728919	0.0049264603	0.0003258286	38.912362575531006
2	29.322098	17.721062	58.14347	12.540104	156.52744	0.7405758	157.57323	154.64388	1000.0	1000.0	7999	0.20505442	0.3583304	3.3504777	-0.77369404	0.20505714	0.35833	3.2217	-0.7224838	-0.21447043	0.00023844374	82.31541109085083
3	107.580444	66.32941	209.79514	47.268246	147.97018	0.7084753	149.21254	146.64929	1000.0	1000.0	11999	0.64332974	0.79112273	6.7334313	-0.56964284	0.6433399	0.79111785	6.9509254	-0.6206197	-0.6635932	0.0009891212	127.35359621047974
4	186.70264	20.718798	221.87892	169.21767	178.64134	1.6890768	181.52501	176.32553	1000.0	1000.0	15999	1.5795336	1.5280341	12.284947	-0.30520377	1.579542	1.5279574	11.911096	-0.35663974	-1.613335	0.0042456295	174.27110147476196
5	236.74767	77.33675	364.6225	173.53252	235.9397	3.4866297	242.83226	230.28876	1000.0	1000.0	19999	3.1105537	2.7688987	18.285877	0.023559928	3.1105871	2.7688787	18.30907	-0.0050405115	-3.1432686	0.0077604447	221.3988516330719
6	229.28387	74.28077	350.74216	149.15834	319.7353	1.125467	321.27448	317.46765	1000.0	1000.0	23999	4.7117486	3.8725533	25.583443	-0.055332154	4.711776	3.8725538	25.583483	-0.06123653	-4.771793	0.011089636	268.43583583831787
7	372.0692	102.89598	549.40656	297.7317	454.2455	10.443284	471.1984	437.84985	1000.0	1000.0	27999	6.316469	5.040392	32.555042	0.3052713	6.3165164	5.0403905	32.27678	0.14799745	-6.366696	0.016439449	315.62340450286865
8	307.55435	108.27227	428.83157	198.67178	365.3863	4.026335	370.3488	356.69772	1000.0	1000.0	31999	8.321347	6.93194	38.576965	0.6499936	8.321333	6.93202	38.55775	0.72264636	-8.390981	0.022449149	362.14808201789856
9	326.80533	70.726654	396.90002	208.72044	498.45157	7.8369594	509.33975	487.23047	1000.0	1000.0	35999	9.983942	8.151657	44.120335	0.79569393	9.984004	8.151728	44.282127	0.81979525	-10.059462	0.030134099	409.2971999645233
10	407.00348	48.30659	478.6129	347.2563	421.5794	2.293336	425.39346	417.67877	1000.0	1000.0	39999	11.934012	9.572876	49.34381	1.038461	11.934	9.572961	49.41111	0.91849256	-12.0073185	0.038728513	456.67556858062744
11	436.76538	34.04398	494.05515	406.1942	627.60223	40.052242	682.5093	564.9673	1000.0	1000.0	43999	14.134775	10.946706	53.945736	1.1533887	14.134651	10.946871	54.06777	1.0828972	-14.244432	0.05649395	503.9047758579254
12	491.66013	14.7353735	507.79825	474.7988	615.38574	8.418311	627.29846	601.8588	1000.0	1000.0	47999	16.430246	12.20509	57.854874	0.9036236	16.430288	12.205204	57.969086	0.81829476	-16.509977	0.07613652	550.7938697338104
13	532.0739	41.442074	580.3901	466.4734	656.1884	0.9021813	658.2118	654.89594	1000.0	1000.0	51999	18.79415	13.656592	61.48519	0.36147702	18.794058	13.656724	61.58741	-0.08322507	-18.881817	0.10396061	598.0416202545166
14	740.7718	87.28337	803.91327	591.4864	766.2229	5.1574345	777.3112	759.45483	1000.0	1000.0	55999	21.622528	15.710166	64.67756	-1.0020378	21.622543	15.710216	64.52231	-0.66821975	-21.75123	0.13093552	645.1769828796387
15	744.2331	88.046135	802.23456	592.07605	802.9635	3.8641317	808.20917	797.18866	1000.0	1000.0	59999	24.629854	17.630903	67.329254	-2.6755285	24.629755	17.63106	67.258316	-2.291604	-24.734076	0.1539148	692.2983915805817
16	768.8687	25.97096	797.403	735.3136	800.28143	0.39143574	800.97797	799.7304	1000.0	1000.0	63999	27.91008	19.406925	69.61852	-3.6612911	27.91004	19.40716	69.77847	-3.895416	-28.097124	0.18286686	739.8359475135803
17	833.41504	16.822285	853.2999	811.5357	802.57117	0.89420223	803.68964	800.7925	1000.0	1000.0	67999	30.98153	20.94679	71.88137	-5.5424976	30.981403	20.947071	72.07353	-5.9547825	-31.121994	0.20022644	787.0566227436066
