Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	-0.12958929	0.115144484	0.20627421	-0.6432358	-0.12959206	0.11516004	0.18931916	-0.64589703	0.12291419	0.00017304263	34.196916341781616
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	-0.08415959	0.105583474	0.14444523	-0.5568465	-0.08415962	0.105585426	0.1458321	-0.56499666	0.081228115	5.096864e-05	73.22234559059143
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	-0.062018227	0.10318819	0.24987793	-0.60991335	-0.062017765	0.103189506	0.26356494	-0.6197928	0.05984522	4.9466937e-05	113.89099025726318
4	1.75	3.0310888	7.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	-0.056976046	0.09919852	0.6412443	-0.76778823	-0.05700414	0.09914689	0.58753765	-0.6364785	0.05494887	0.00048697722	156.17614674568176
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	-0.044998042	0.110715695	3.388002	-0.98661757	-0.045022275	0.11038494	3.120863	-0.78698653	0.042861886	0.0008682975	198.37073707580566
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	-0.03973248	0.15506227	3.9307826	-0.7501724	-0.03971936	0.15503673	3.7637973	-0.8654864	0.03622869	0.0005559034	240.81028771400452
7	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	-0.033870097	0.17475612	6.460608	-1.2220557	-0.0338247	0.17479137	6.629242	-1.5545462	0.031050103	0.00066932	283.5464041233063
8	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	0.0030454884	0.42515433	7.0228987	-2.0307703	0.0030654543	0.42491296	6.9392524	-2.094801	-0.0054132035	0.0019921672	327.91824769973755
9	0.0	0.0	0.0	0.0	2.2	0.4	3.0	2.0	1000.0	1000.0	35999	0.06741876	0.6478686	6.244283	-2.7579043	0.06740793	0.6477127	6.379026	-2.646153	-0.07050437	0.0022738385	373.10848736763
10	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	0.07955786	0.6790932	5.1905904	-3.186775	0.0795915	0.67906207	5.229527	-3.0440953	-0.08196172	0.0032114547	417.6860535144806
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	0.06712238	0.6584408	3.4814947	-3.3147175	0.06712606	0.65842444	3.610085	-3.3414114	-0.07315134	0.003339409	462.05516052246094
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	0.018878844	0.57963836	3.4541078	-3.5675237	0.018885164	0.5796905	3.4711993	-3.4733372	-0.024151798	0.0030238095	506.54146099090576
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	-0.019394375	0.52507174	4.270425	-4.803464	-0.019390725	0.52527183	4.096754	-4.857389	0.014637999	0.002810368	550.990302324295
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	-0.047728002	0.46575016	4.808972	-4.8467116	-0.047735337	0.46597898	5.005764	-4.807677	0.04187913	0.002848802	595.381272315979
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	-0.073642194	0.4185258	5.14991	-5.059907	-0.07364481	0.41876712	4.978765	-4.9249816	0.06911273	0.0027594797	639.7762043476105
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	-0.09739152	0.3779719	5.1769714	-4.8642616	-0.09738631	0.37785622	5.0689344	-4.6675463	0.09244743	0.002606795	684.6248769760132
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	-0.115089685	0.34662542	5.1125107	-4.809468	-0.115090236	0.34677526	4.945916	-4.7081957	0.11121979	0.002081911	729.1353876590729
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	-0.13216545	0.3246673	4.7843847	-5.140643	-0.13216314	0.3246903	4.6368766	-5.110278	0.13004695	0.0017142551	773.5545523166656
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	-0.14393716	0.29947394	4.4459553	-5.3772383	-0.14393552	0.299447	4.3467093	-5.359826	0.14194772	0.0014598536	818.0420627593994
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	-0.15309529	0.28414902	4.534732	-5.4046783	-0.15309678	0.2839929	4.2575703	-5.7569633	0.14944465	0.0012302801	862.6903114318848
21	1.5	2.598076	6.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	-0.15773253	0.28151658	3.612333	-5.206017	-0.15773292	0.2814065	3.3438203	-5.3279567	0.15502058	0.0011080226	907.4716401100159
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	-0.15593123	0.27426216	4.174568	-4.768348	-0.15593214	0.27409726	4.2678566	-4.924577	0.1529635	0.0010245851	952.0862753391266
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	-0.15447475	0.26867086	4.8518453	-4.931995	-0.15447803	0.26852334	4.864122	-5.230436	0.15188299	0.001021511	996.5247647762299
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	-0.15020104	0.27242723	4.931327	-4.8269033	-0.15019993	0.2723644	4.9181952	-5.074693	0.14713496	0.00092606567	1041.0008237361908
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	-0.14176725	0.27404526	5.233187	-4.7084565	-0.141766	0.27402988	5.1645026	-4.753965	0.13900238	0.00090851233	1085.754370689392
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	-0.12913425	0.26747784	5.0588446	-4.4746513	-0.12913574	0.2674837	4.916474	-4.546465	0.1265955	0.00081412506	1130.642365694046
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	-0.11799249	0.2697856	5.228377	-4.112243	-0.11799032	0.26959464	5.168206	-4.1416664	0.11590615	0.0009664522	1175.421245098114
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	-0.10560947	0.27466363	5.441612	-3.7359805	-0.105608635	0.2745646	5.5770097	-3.905408	0.10249289	0.0009459953	1220.1597218513489
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	-0.09536851	0.27736703	5.5809464	-3.5675895	-0.095369294	0.27725273	5.7435956	-3.683268	0.092788845	0.00088973	1264.7522494792938
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	-0.084509246	0.27825665	5.362422	-3.5348709	-0.084512316	0.27814814	5.19777	-3.5197544	0.08224084	0.000858517	1309.4936690330505
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	-0.073783144	0.28034782	5.23087	-3.5033576	-0.07378008	0.28024945	5.3766212	-3.4432557	0.07080803	0.00079045066	1354.4638080596924
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	-0.06581097	0.29383296	5.68845	-3.5746663	-0.06581604	0.2937235	5.5239363	-3.610749	0.06355223	0.0009186982	1399.2963271141052
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	-0.0659131	0.29027563	6.4193716	-3.3902626	-0.06590854	0.2901271	6.155786	-3.4474003	0.064038165	0.0009295645	1444.060988664627
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	-0.060896356	0.28862837	7.1560965	-3.3867872	-0.060898185	0.28857046	7.185926	-3.4886513	0.05848168	0.0008557576	1489.063367843628
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	-0.05639509	0.28557277	7.257351	-3.285759	-0.0563935	0.2855888	7.0011535	-3.367754	0.05458861	0.00080035935	1533.8964183330536
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	-0.053951398	0.2815431	6.865417	-3.1095288	-0.05395294	0.28145143	6.647817	-3.2125342	0.052180205	0.0008647511	1578.7061841487885
37	3.25	3.6996622	9.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	-0.048029818	0.29947698	7.8074985	-3.0119655	-0.048026983	0.29940096	7.6404805	-2.892445	0.045987695	0.0010202157	1623.5926718711853
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	-0.043734584	0.30864453	7.6206107	-2.7684934	-0.04373796	0.30856964	7.7671375	-2.8751915	0.04075935	0.00094909803	1668.3078889846802
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	-0.04621464	0.29347557	8.0746565	-2.7278473	-0.046212383	0.29338238	8.250294	-2.610849	0.04394639	0.0008095549	1713.263298034668
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	-0.046680044	0.29440686	8.347926	-2.581426	-0.04668415	0.29427716	8.505519	-2.6509786	0.044093896	0.00086304295	1758.526273727417
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	-0.048395097	0.28793854	8.257445	-2.6109278	-0.048394106	0.28790408	8.507411	-2.72948	0.045937452	0.00073343056	1803.6309196949005
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	-0.04838851	0.27876645	6.7746687	-2.5182085	-0.04838517	0.2788076	6.3508835	-2.560967	0.04607653	0.00067272666	1848.7818622589111
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	-0.047804534	0.2718502	6.0517316	-2.4525778	-0.04780747	0.27184638	6.048612	-2.5259144	0.046013135	0.00070345355	1893.7036921977997
