Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	7.2636395	3.294711	12.322617	3.5002563	82.09778	12.906282	101.86207	59.56651	1000.0	1000.0	3999	-0.046368252	0.11999334	0.5169288	-0.8398593	-0.04637133	0.12009422	0.5192198	-1.0143486	0.040659368	0.00028134772	37.52915668487549
2	18.999947	10.982945	35.502853	5.3044686	78.16711	12.743099	95.98003	51.568394	1000.0	1000.0	7999	0.045714613	0.16761301	1.2237403	-0.3513795	0.045716777	0.16763027	1.267687	-0.3399058	-0.049536202	0.00010416138	80.60866570472717
3	74.01306	34.8805	111.48184	31.748867	82.73765	15.059646	100.60608	54.085342	1000.0	1000.0	11999	0.2609864	0.38655007	2.9793973	-0.60074663	0.26100007	0.38655993	2.8955522	-0.81310415	-0.26759654	0.00076015235	126.51912045478821
4	110.52696	14.743437	131.23026	89.55	129.66713	9.847718	145.3697	117.47687	1000.0	1000.0	15999	0.6815314	0.74621814	5.7466946	-0.3906315	0.6815622	0.74626243	5.656711	-0.3844278	-0.68795323	0.0030243685	174.2558398246765
5	120.67912	17.213001	145.97441	103.91783	136.55211	10.473279	154.01547	116.918945	1000.0	1000.0	19999	1.2543145	1.2177728	8.305656	-0.31857008	1.2543101	1.217789	8.342912	-0.46214345	-1.2617863	0.008052122	221.31517934799194
6	141.08047	19.16955	172.155	121.31487	99.1389	9.757515	111.48724	78.57007	1000.0	1000.0	23999	1.8721161	1.7273144	10.277869	-0.2327162	1.8721306	1.7274368	10.373542	-0.250511	-1.8859633	0.012058727	268.3940110206604
7	117.35297	27.797909	135.96683	69.39614	126.225815	9.603098	146.7429	115.34959	1000.0	1000.0	27999	2.4891913	2.2050025	12.145139	-0.31466454	2.489169	2.2051451	12.07611	-0.28578535	-2.5103967	0.017729733	316.09988713264465
8	128.91147	7.8565865	139.44316	117.41569	127.723206	8.391975	137.83788	111.94911	1000.0	1000.0	31999	3.0896356	2.519272	14.702844	-0.05983311	3.0896378	2.5194368	14.667993	-0.072539926	-3.1167338	0.029207988	363.94061374664307
9	125.74913	4.7878695	132.18536	119.94091	137.05345	19.877447	176.66676	111.52576	1000.0	1000.0	35999	3.6055665	2.7108552	17.031322	-0.020585358	3.6056263	2.7109046	17.167961	-0.039819777	-3.636114	0.037687447	411.88607478141785
10	130.4425	6.980924	136.43855	118.77882	136.06032	9.041161	149.83069	117.49952	1000.0	1000.0	39999	4.071722	2.825092	18.575935	-0.047031462	4.071753	2.8251677	18.777851	-0.045051873	-4.109343	0.04849462	459.7559356689453
11	139.14656	10.429245	149.84781	122.03532	134.92232	12.942403	146.82146	100.22804	1000.0	1000.0	43999	4.47934	2.8911424	19.512867	-0.08552837	4.4792614	2.8916276	19.69427	-0.04560995	-4.5249047	0.058148094	507.44669675827026
12	133.35251	9.744021	146.34523	119.84488	127.65633	12.034513	148.09985	103.57976	1000.0	1000.0	47999	4.830469	2.913416	20.039585	-0.44020742	4.830331	2.9139981	20.28274	-0.4868682	-4.880671	0.07061307	555.1103913784027
13	143.7436	12.955481	158.29457	128.70224	133.15799	12.367281	158.78496	112.516266	1000.0	1000.0	51999	5.0856442	2.9073668	20.014574	-0.48521632	5.0856633	2.9077435	20.162327	-0.46250665	-5.1420946	0.08176968	602.9147934913635
14	134.5089	12.660445	156.05434	123.51329	138.4056	19.534079	174.58429	95.5023	1000.0	1000.0	55999	5.280653	2.8773918	19.334679	-0.39751267	5.2807126	2.8779933	19.68257	-0.58685935	-5.327754	0.08604919	650.9347984790802
15	130.05084	14.397615	152.1037	111.72397	126.82765	13.856048	145.75978	106.02582	1000.0	1000.0	59999	5.438205	2.8747132	20.762873	-0.7972617	5.438099	2.8755069	20.726423	-0.54655695	-5.488098	0.08980019	698.9872274398804
16	134.63051	18.74568	165.20076	117.4074	135.74324	16.216017	162.63058	107.705086	1000.0	1000.0	63999	5.5555577	2.8617766	21.883476	-0.4520725	5.555452	2.8626056	21.65463	-0.4934652	-5.610345	0.09047511	746.8139064311981
17	134.68239	12.516728	150.84724	118.37511	151.67032	19.228724	189.07027	123.7595	1000.0	1000.0	67999	5.6669793	2.851617	22.52075	-0.6391772	5.666998	2.8523672	22.426023	-0.82652915	-5.7150226	0.09269267	794.9151940345764
18	136.92932	16.15785	162.97412	120.79608	148.4183	15.176528	170.64044	119.43542	1000.0	1000.0	71999	5.7669854	2.817515	22.621546	-2.3360949	5.766997	2.8183527	22.706392	-2.4006267	-5.8147078	0.09571814	842.7267782688141
19	153.83978	9.837231	168.3393	144.0411	139.37401	16.570312	172.07954	107.98565	1000.0	1000.0	75999	5.895753	2.8131967	22.770277	-4.047723	5.895755	2.8139944	22.50396	-4.136797	-5.9525576	0.09608481	890.5182590484619
20	134.40779	6.83111	145.8285	127.7091	151.16478	12.389377	179.99615	132.45226	1000.0	1000.0	79999	6.02179	2.8007624	22.811241	-4.8422003	6.021766	2.801606	22.637165	-4.812348	-6.066383	0.09678364	938.9243779182434
21	135.88396	6.3610597	140.91653	125.08827	137.45833	16.783579	168.67198	109.82518	1000.0	1000.0	83999	6.141937	2.7740068	22.875212	-3.0853934	6.141961	2.774829	23.118866	-3.1153858	-6.1904464	0.09984368	986.8666806221008
22	150.18883	20.142479	172.87758	119.00178	136.47095	14.990251	161.22455	113.278305	1000.0	1000.0	87999	6.245867	2.7449458	23.582672	-0.556769	6.2458043	2.7458496	23.133371	-0.6282985	-6.2918463	0.10250901	1034.6916630268097
23	144.74823	11.108502	157.32234	127.213806	136.91328	20.571136	170.43198	105.50819	1000.0	1000.0	91999	6.3414083	2.7423048	23.112404	-1.2927039	6.3412514	2.7433822	23.100061	-1.1533573	-6.387752	0.10661596	1082.5755758285522
24	157.07443	14.450631	176.90004	137.02605	132.24374	20.001158	167.72641	95.04825	1000.0	1000.0	95999	6.3868856	2.7539473	23.10735	-1.9440174	6.3867636	2.7551637	22.725744	-1.9601202	-6.4332395	0.11039796	1130.5114912986755
25	132.1795	23.884848	171.78113	107.81822	149.68709	17.676916	173.40704	123.682	1000.0	1000.0	99999	6.403048	2.780838	23.188152	-2.079218	6.4030437	2.7820787	23.16981	-1.9220322	-6.4421496	0.11253289	1178.3690769672394
26	145.71858	11.211305	157.76993	127.77472	149.6517	11.55415	166.18007	130.58319	1000.0	1000.0	103999	6.419509	2.8077428	23.644655	-1.6793793	6.4193444	2.808804	23.502075	-1.7550993	-6.4654922	0.11405186	1226.198519706726
27	148.4803	17.033674	169.91376	123.2399	145.47664	13.000569	166.08357	126.62976	1000.0	1000.0	107999	6.441674	2.8225212	23.267626	-0.46978164	6.4417005	2.8234627	23.576017	-0.6178825	-6.479245	0.11527341	1274.2371981143951
28	145.07227	18.840988	169.13167	117.50199	137.38232	15.516037	158.9284	113.4719	1000.0	1000.0	111999	6.426179	2.8411517	24.368698	-0.17601144	6.4260535	2.8419766	24.466084	-0.30226958	-6.46271	0.11923623	1321.7162306308746
29	138.36209	13.051204	157.16985	123.95307	153.67772	10.44198	166.82588	128.1904	1000.0	1000.0	115999	6.407978	2.8619876	25.915684	-0.24016285	6.4077964	2.8631012	26.021374	-0.47302413	-6.442417	0.11882561	1368.876732826233
30	150.77579	10.894007	168.18915	139.20866	138.02512	18.149324	177.63861	116.93858	1000.0	1000.0	119999	6.3938336	2.8787594	26.589869	-1.097524	6.3938136	2.8798213	26.76253	-1.3590434	-6.4298635	0.124538615	1415.6836261749268
31	153.5799	20.990208	179.1696	124.01559	154.49149	18.021387	186.37083	128.4189	1000.0	1000.0	123999	6.3836207	2.9250891	27.169743	-2.0118902	6.3836193	2.9259572	27.27661	-1.4801011	-6.427074	0.1264655	1462.242197751999
32	140.95993	19.330637	160.13957	109.7325	160.61597	11.042958	182.46706	150.88019	1000.0	1000.0	127999	6.358449	2.9565864	27.227703	-1.9495851	6.358449	2.9574735	27.826817	-1.552918	-6.394027	0.12929387	1508.7349569797516
33	174.59541	17.093204	197.8852	149.61269	156.18062	12.172267	175.94295	135.78351	1000.0	1000.0	131999	6.3357863	2.962687	27.316303	-3.007575	6.3357263	2.9635413	27.790138	-3.6986878	-6.3691707	0.13374683	1555.4182300567627
