Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	13.576069	4.7437196	19.928694	8.0457945	44.827892	2.7652752	51.46858	42.83475	1000.0	1000.0	3999	0.08409979	0.09141592	0.76207393	-0.485412	0.08410762	0.09115351	0.751331	-0.33356893	-0.08933356	0.00030784975	43.07498288154602
2	13.422237	6.8912153	23.715914	7.0968337	126.03524	15.453194	157.65381	102.60862	1000.0	1000.0	7999	0.19223863	0.19191764	1.8656288	-0.18449256	0.19224356	0.19191279	1.8201602	-0.17574272	-0.19662325	0.000112270354	90.57864141464233
3	65.585396	53.383995	132.74158	9.463083	97.144325	12.144812	117.69234	83.703964	1000.0	1000.0	11999	0.3893456	0.40480375	3.661631	-0.10342395	0.38934582	0.4047973	3.5732493	-0.10367845	-0.3982948	0.0006149172	139.27403855323792
4	106.1423	21.061165	133.41086	74.60597	126.76162	11.879901	148.03157	113.88099	1000.0	1000.0	15999	0.9178567	0.8529889	5.720533	0.030008484	0.9178556	0.85297155	5.800629	0.02839014	-0.9312249	0.0015986555	189.62358927726746
5	133.75208	8.416186	145.36574	122.638016	133.96457	10.940843	149.75201	119.89992	1000.0	1000.0	19999	1.6226809	1.3314446	8.573264	0.06270937	1.6226792	1.3314466	8.498491	0.07433017	-1.6364326	0.0035273102	240.59552907943726
6	122.13263	11.783586	136.1905	109.82963	124.10203	10.767327	145.17578	110.32814	1000.0	1000.0	23999	2.3616238	1.7434026	10.8257065	0.03299837	2.3616216	1.7434138	10.833311	0.06093937	-2.3852315	0.008937225	290.63728857040405
7	129.3298	4.4351873	133.78374	124.749084	120.53916	10.270503	144.14143	107.78519	1000.0	1000.0	27999	3.09554	2.0092297	12.52548	0.22434017	3.0955794	2.009365	12.522939	0.25211325	-3.1269948	0.0147150215	341.18979144096375
8	125.697296	6.822179	136.5593	118.97261	134.4678	25.097832	182.74417	79.07501	1000.0	1000.0	31999	3.7405524	2.1261072	13.771777	0.32496822	3.7405133	2.1262136	13.744962	0.3249985	-3.7757645	0.020676758	391.96694016456604
9	114.682945	21.977674	139.9923	80.4367	136.97954	19.91053	168.12512	86.324905	1000.0	1000.0	35999	4.2885594	2.155457	14.996858	0.40926284	4.2885723	2.1556153	15.10049	0.38368496	-4.3289175	0.026559701	442.4665153026581
10	133.19107	9.039562	145.77301	122.84199	134.87534	14.186858	153.78528	107.6653	1000.0	1000.0	39999	4.709074	2.1681738	15.718456	0.6610737	4.709104	2.1682978	16.091389	0.62079936	-4.740738	0.035036225	493.1866846084595
