Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	3.257385	1.0964606	4.865862	1.8714432	0.24367058	0.03858471	0.31389704	0.19557472	1000.0	1000.0	3999	0.40720344	0.26230222	1.4202002	-2.1424665	0.4074714	0.2619467	1.1925573	-1.2549325	-0.5328141	0.006629921	30.558416604995728
2	4.078273	1.2560936	5.1344447	1.9640692	0.44594112	0.058663994	0.53783494	0.37204188	1000.0	1000.0	7999	0.4762943	0.14314754	1.1481414	-0.014206119	0.47630727	0.14296953	1.1504136	-0.012400217	-0.49275196	0.0013766792	66.14564371109009
3	5.385483	4.4664583	12.961842	1.4509661	11.999069	0.9879744	13.561768	10.773802	1000.0	1000.0	11999	0.8942639	0.15039518	1.7762004	0.26835772	0.89427155	0.15035315	1.7609595	0.24439703	-0.9641932	0.0006863868	103.04201793670654
4	11.444863	1.6371027	14.051114	9.607485	6.509858	2.5768085	11.623907	3.518715	1000.0	1000.0	15999	1.3159766	0.30129874	2.7976024	0.5982648	1.3159739	0.30131668	2.8597858	0.5985514	-1.4121429	0.0018699041	143.85188055038452
5	25.453814	12.103399	42.89795	9.27836	8.511329	3.406936	14.612773	4.2853045	1000.0	1000.0	19999	1.9800283	0.59991467	6.7640533	0.36513826	1.9800296	0.59991366	7.035094	0.32843328	-2.1376119	0.008566605	184.7651720046997
6	22.251076	6.207556	32.723553	17.243164	32.4527	16.894966	66.7003	17.782654	1000.0	1000.0	23999	3.2726665	0.66826683	7.874397	0.9084306	3.2726371	0.6683037	7.988966	0.8542615	-3.4827313	0.014707191	224.52251648902893
7	39.22782	15.367414	62.183773	22.39764	16.796013	5.8756027	26.21088	9.555765	1000.0	1000.0	27999	4.140552	1.1419985	8.8969555	1.5321199	4.1405497	1.142091	8.7777	1.5092566	-4.311163	0.018432831	265.46733474731445
8	27.151794	7.749523	40.433575	21.136482	64.62586	23.617132	119.59096	37.070717	1000.0	1000.0	31999	4.4888225	1.5935414	10.073441	1.243366	4.488807	1.5936011	10.123391	1.2072318	-4.6308327	0.017198753	307.515944480896
9	49.838737	14.928314	70.51599	28.948948	43.652378	15.702548	67.080574	17.139471	1000.0	1000.0	35999	4.6948414	1.960168	15.939866	0.5739088	4.694857	1.9601338	15.551988	0.50173074	-4.829901	0.020008214	348.1451277732849
10	86.254585	58.273506	175.4268	30.356525	98.173996	35.07646	146.72443	29.60262	1000.0	1000.0	39999	4.9926224	2.3135302	17.037348	0.79576325	4.9926324	2.3135219	17.071838	0.90750694	-5.136887	0.02499239	391.0052433013916
11	68.45368	36.45886	121.66054	30.302467	92.31182	26.566586	160.2943	63.53194	1000.0	1000.0	43999	5.379399	2.7314022	18.611816	1.1176435	5.3793926	2.7313764	18.42416	1.0522354	-5.5379086	0.036437057	432.19917702674866
12	52.513733	28.134932	98.82324	22.895447	138.95534	58.554615	242.67496	72.735825	1000.0	1000.0	47999	5.8341956	3.4338117	39.260246	1.2242334	5.834197	3.4337907	41.038326	1.1536204	-5.9894934	0.058893938	468.5731041431427
13	109.86623	51.1203	169.44888	40.680054	120.976395	67.90929	228.00249	33.089493	1000.0	1000.0	51999	6.372019	4.201228	33.99773	0.5498214	6.3720694	4.2012377	34.50798	0.4436798	-6.5779696	0.06604367	510.127317905426
14	190.5853	98.65598	289.4188	28.67741	179.18985	67.475555	293.65372	106.12132	1000.0	1000.0	55999	6.810949	4.5560403	29.923122	0.7491343	6.81097	4.5561075	29.65863	0.5133489	-7.019983	0.07799624	549.862551689148
15	242.1111	66.814896	300.9332	128.67218	145.75023	73.78755	294.98572	66.84413	1000.0	1000.0	59999	7.573835	5.0630374	27.738148	0.5374327	7.573758	5.063162	28.350098	0.32374275	-7.771008	0.09590392	590.8101694583893
16	168.69826	76.01161	235.62682	39.57335	190.69228	74.83972	306.56915	80.01253	1000.0	1000.0	63999	8.415335	5.6942167	33.434246	0.47228485	8.415324	5.694354	34.030106	0.49228352	-8.606802	0.12001391	631.5612964630127
17	210.55252	100.45959	319.1451	68.8749	105.80884	60.98019	247.96925	29.334871	1000.0	1000.0	67999	9.183716	6.2894597	30.15187	-0.26181114	9.183698	6.2895174	30.256844	-0.15570772	-9.393391	0.13685901	671.1617472171783
18	156.50983	97.9288	306.45956	37.158077	77.46484	34.274708	156.51904	27.486681	1000.0	1000.0	71999	9.921737	6.716966	28.380884	-1.0731884	9.921769	6.717029	28.272964	-0.97952497	-10.151254	0.14208053	712.2140905857086
19	107.652664	93.34529	258.70068	28.44838	29.333302	2.0387185	31.89644	25.502752	1000.0	1000.0	75999	10.560807	6.9796357	27.990229	-2.2762341	10.560892	6.979598	28.340626	-1.9441085	-10.803477	0.15240707	753.3484332561493
20	88.99707	100.31208	262.708	28.130125	39.425922	20.273819	100.1014	30.259657	1000.0	1000.0	79999	10.866508	7.127543	28.602814	-2.3719556	10.866564	7.1275268	28.713427	-2.322586	-11.062714	0.14444949	789.935643196106
21	93.04465	98.09072	262.56165	30.722967	45.97763	56.032524	213.92322	22.616892	1000.0	1000.0	83999	11.191411	7.329241	28.089273	-0.6989746	11.191391	7.329455	27.862507	-0.7559098	-11.417676	0.14611879	823.914101600647
22	105.810875	86.74345	241.01059	28.674994	177.45657	120.33966	392.1346	29.244804	1000.0	1000.0	87999	11.466245	7.5758605	29.531906	-0.6419376	11.46626	7.5759497	29.161427	-0.7693528	-11.655082	0.14324576	858.4846923351288
23	197.36539	160.88045	364.58408	32.28608	32.110317	1.1909834	34.04624	30.43835	1000.0	1000.0	91999	11.700948	7.698346	30.356453	-1.0130322	11.700949	7.6984787	30.245924	-1.1736568	-11.991345	0.14381362	893.8607985973358
24	172.64758	142.14816	412.7367	49.45843	307.94843	115.682556	480.42767	147.20625	1000.0	1000.0	95999	11.774001	7.964919	32.722298	-1.5930505	11.774041	7.965147	32.78768	-1.5056821	-12.048912	0.15286988	927.915641784668
25	232.02887	89.00094	367.83978	144.1631	285.15405	141.62209	454.32245	82.72989	1000.0	1000.0	99999	11.842892	8.440746	32.790775	-1.6942165	11.842864	8.440933	32.963974	-1.8343236	-12.13876	0.16459256	962.2407028675079
26	375.27554	33.978237	422.57544	340.43356	397.41718	65.39315	485.7457	293.3238	1000.0	1000.0	103999	12.111922	8.966383	34.74344	-1.423278	12.111931	8.966589	35.092487	-1.5095922	-12.36759	0.1798168	996.4892570972443
27	395.5517	35.436127	421.05786	334.61353	374.7764	149.71236	489.9485	104.78564	1000.0	1000.0	107999	12.733229	9.463348	35.150757	-1.2980257	12.733224	9.463453	35.45131	-1.3119701	-13.009648	0.20766494	1034.3273348808289
28	296.5144	159.36446	478.7953	48.665127	311.84464	115.3308	437.40176	123.9714	1000.0	1000.0	111999	13.345302	9.986447	36.254223	-1.5013486	13.345288	9.986766	36.020535	-1.5909911	-13.599448	0.24666648	1070.06076836586
