Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	3999	-0.12638019	0.13680162	1.2830801	-2.4590473	-0.12638125	0.13734524	2.2743614	-1.5377145	0.08788725	0.0033996236	38.20216488838196
2	250.0	433.0127	1000.0	0.0	106.9	294.07632	986.0	0.0	1000.0	1000.0	7999	0.08887533	0.24812862	2.900198	-0.40297565	0.088889	0.2481911	2.9254417	-0.43445864	-0.111945756	0.0010640402	80.47326993942261
3	556.75	373.3205	993.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	11999	1.5238278	2.5648813	12.126758	-0.116732866	1.5238681	2.5647948	12.203989	-0.086675316	-1.5543753	0.009540341	125.2590880393982
4	250.0	433.0127	1000.0	0.0	0.8	2.3999999	8.0	0.0	1000.0	1000.0	15999	4.3347783	6.036333	20.872763	-0.15880188	4.3348246	6.036286	21.43018	-0.29058364	-4.4053516	0.022796229	171.71982502937317
5	247.0	427.81656	988.0	0.0	295.3	446.76038	990.0	0.0	1000.0	1000.0	19999	6.6234655	9.187097	29.640575	-0.87293446	6.623505	9.187061	29.439732	-0.8479037	-6.6481786	0.038183417	218.085932970047
6	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	23999	8.331579	11.947892	36.957405	-1.5229095	8.331582	11.947897	36.882435	-1.4742184	-8.341965	0.048661347	264.4041450023651
7	2.25	3.8971143	9.0	0.0	200.5	397.76205	1000.0	0.0	1000.0	1000.0	27999	9.070388	14.259198	47.12718	-1.6869893	9.070394	14.25923	44.73014	-1.8880209	-9.106376	0.070590995	310.6991629600525
8	250.0	433.0127	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	31999	9.620689	16.374529	51.684032	-2.808442	9.62065	16.374495	52.07666	-2.7587328	-9.623369	0.13798544	357.10317754745483
9	3.25	5.629165	13.0	0.0	1.9	5.7	19.0	0.0	1000.0	1000.0	35999	10.4799185	18.454731	66.94081	-3.232228	10.479898	18.45473	61.78074	-4.0224347	-10.500138	0.26859644	403.48165011405945
10	497.75	497.76016	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	39999	12.088185	20.884144	78.93556	-4.9523516	12.0882635	20.884224	79.53848	-7.675535	-12.191834	0.4634757	449.73732805252075
11	0.0	0.0	0.0	0.0	400.6	489.41113	1000.0	0.0	1000.0	1000.0	43999	13.438449	23.572336	86.8902	-6.1150723	13.438446	23.572863	90.67183	-6.2775393	-13.491365	0.5372247	496.08189725875854
12	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	47999	13.270747	24.574308	95.68372	-6.065611	13.270825	24.57434	97.0876	-6.469244	-13.230601	0.44420803	542.2418682575226
13	250.0	433.0127	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	12.922879	24.6003	94.44628	-4.3405657	12.922761	24.600363	96.42874	-4.657506	-12.800545	0.36205462	588.3904542922974
14	0.0	0.0	0.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	55999	12.023824	24.126995	92.43912	-7.612026	12.023799	24.12698	96.54087	-7.98991	-12.022539	0.34334522	634.7202031612396
15	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	59999	11.270218	23.81362	99.18032	-4.8665614	11.270376	23.813854	99.12732	-4.091973	-11.295389	0.3705015	680.8086235523224
16	0.0	0.0	0.0	0.0	2.1	6.2999997	21.0	0.0	1000.0	1000.0	63999	10.5353775	23.56641	101.97015	-3.6194556	10.535353	23.566572	100.91134	-3.9349544	-10.462541	0.39625952	727.4300961494446
17	0.0	0.0	0.0	0.0	100.4	299.86905	1000.0	0.0	1000.0	1000.0	67999	9.334875	22.415054	97.173004	-5.900606	9.334686	22.415245	95.391426	-6.5765724	-9.366037	0.28504252	773.5957961082458
18	500.0	500.0	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	71999	8.996612	22.53776	104.0837	-4.7942834	8.996712	22.53777	105.07287	-2.6445518	-9.016475	0.3171309	819.7571363449097
19	0.0	0.0	0.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	75999	9.989029	23.857094	120.00569	-2.4644537	9.988914	23.856888	122.45033	-2.3924751	-10.018477	0.49318662	865.7100968360901
20	244.5	423.48642	978.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	79999	10.1195755	24.370125	115.27509	-2.9942296	10.119401	24.37062	111.84589	-3.8625336	-10.184051	0.35796133	911.5647509098053
21	750.0	433.0127	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	83999	11.260455	25.612215	112.43721	-3.3977036	11.26047	25.611937	113.610016	-5.246316	-11.291824	0.4397718	957.4413299560547
22	0.0	0.0	0.0	0.0	299.2	457.04022	1000.0	0.0	1000.0	1000.0	87999	12.569798	27.218689	106.396576	-3.9108458	12.569524	27.218739	106.63747	-2.570334	-12.720993	0.37348858	1003.2478864192963
23	498.5	498.50452	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	91999	13.220789	28.412615	122.09524	-4.6202536	13.220342	28.41291	108.93198	-4.915756	-13.370615	0.45216438	1049.0385241508484
24	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	95999	13.987385	29.43778	105.48686	-2.3503945	13.9872265	29.438177	107.83166	-8.02873	-14.031572	0.36439344	1094.963695526123
25	500.0	500.0	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	14.603054	30.365517	113.3262	-3.97611	14.60271	30.365803	111.64947	-3.5004945	-14.716033	0.38210317	1140.9178109169006
26	250.0	433.0127	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	103999	16.185612	32.465916	121.45391	-2.980769	16.185617	32.466057	116.277054	-3.327352	-16.201296	0.50987554	1186.9278655052185
27	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	107999	16.182558	32.67288	111.470055	-2.705933	16.182533	32.672684	116.23539	-5.6333094	-16.28013	0.6551864	1233.0624895095825
28	250.0	433.0127	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	111999	15.9042015	32.93352	113.96348	-3.8570647	15.904249	32.933327	113.74675	-10.053498	-16.03371	0.48248675	1279.2745373249054
29	248.75	430.84763	995.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	115999	16.63005	34.13844	157.42552	-3.5397472	16.630283	34.138058	117.241875	-17.938337	-16.624367	0.57986265	1325.4047496318817
30	500.0	500.0	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	119999	17.296686	34.73469	108.69057	-2.949347	17.297066	34.73446	108.67403	-10.129498	-17.315914	0.46746165	1371.4005751609802
31	248.75	430.84763	995.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	123999	18.556364	35.81121	116.504196	-4.6966767	18.556149	35.810974	110.01172	-8.512882	-18.608631	0.5171912	1417.6951937675476
32	0.0	0.0	0.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	127999	18.144	35.848743	111.61861	-3.1995082	18.143818	35.848804	108.06376	-9.840742	-18.134558	0.48729843	1463.7465915679932
33	1.75	3.0310888	7.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	131999	17.62383	35.56668	111.48844	-4.9175987	17.623495	35.566673	109.32478	-9.5050125	-17.784258	0.44915566	1509.9408926963806
34	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	135999	16.956144	34.864815	110.04542	-4.2619457	16.95619	34.864437	112.042725	-6.772159	-16.982086	0.4725107	1556.04346036911
35	0.0	0.0	0.0	0.0	401.9	488.37738	1000.0	0.0	1000.0	1000.0	139999	16.690851	34.808086	113.42306	-4.3413334	16.691038	34.807995	111.97862	-8.721656	-16.825367	0.47040758	1602.7718350887299
36	0.0	0.0	0.0	0.0	1.4	4.2000003	14.0	0.0	1000.0	1000.0	143999	16.55057	35.110752	111.94963	-5.9680796	16.550287	35.110706	107.78359	-7.641358	-16.639036	0.50225765	1648.789948940277
37	250.0	433.0127	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	147999	16.704292	35.32367	105.06785	-7.851041	16.704494	35.323727	108.38424	-11.086451	-16.772518	0.53537136	1695.1599533557892
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	16.496548	35.346203	104.384514	-6.948128	16.496685	35.34613	105.621124	-9.899103	-16.498308	0.5231023	1741.386156797409
39	250.0	433.0127	1000.0	0.0	100.6	299.80536	1000.0	0.0	1000.0	1000.0	155999	16.449865	35.298656	110.041664	-8.180154	16.450094	35.298374	108.672676	-11.7699995	-16.400547	0.598104	1787.8269739151
40	237.0	410.49603	948.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	16.396614	35.34309	113.28669	-8.300968	16.396757	35.343426	108.48292	-14.066342	-16.539122	0.6470938	1834.250946521759
41	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	163999	16.18359	35.295586	108.24104	-14.134504	16.183668	35.29576	109.13639	-14.836361	-16.222805	0.7012659	1880.901712179184
42	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	167999	15.911751	34.93637	113.79838	-18.743647	15.911725	34.936592	111.25749	-15.674518	-16.031775	0.61782247	1927.4955310821533
43	0.0	0.0	0.0	0.0	299.5	457.49564	1000.0	0.0	1000.0	1000.0	171999	15.428722	34.748013	109.67627	-9.04812	15.428638	34.747715	108.07179	-13.172248	-15.482477	0.61914194	1973.8807606697083
44	250.0	433.0127	1000.0	0.0	101.1	299.65128	1000.0	0.0	1000.0	1000.0	175999	15.600742	35.380264	113.64264	-11.051117	15.600787	35.380512	112.84734	-9.606826	-15.621785	0.5517791	2020.375503063202
45	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	179999	16.270393	35.99424	121.45235	-7.445962	16.270327	35.994167	118.46726	-7.473287	-16.253716	0.53920704	2066.9478204250336
46	250.0	433.0127	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	183999	16.235054	36.12614	117.54931	-7.394607	16.235514	36.125957	115.89509	-18.915104	-16.328157	0.6569131	2113.558602809906
47	2.75	4.7631397	11.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	187999	16.056234	36.0818	112.715965	-10.216381	16.056767	36.081203	111.59527	-9.374839	-16.03868	0.57582855	2160.053025484085
48	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	191999	15.754457	35.916317	114.12753	-12.31665	15.75467	35.916283	118.35378	-7.3609858	-15.808466	0.5797814	2206.794810771942
49	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	195999	15.448969	35.542812	118.815796	-12.003051	15.44843	35.54299	115.569984	-10.99127	-15.413208	0.6965492	2253.4566259384155
50	250.0	433.0127	1000.0	0.0	200.7	399.65536	1000.0	0.0	1000.0	1000.0	199999	15.543008	35.652733	115.06681	-11.76196	15.543146	35.652462	107.30809	-11.216797	-15.594854	0.6357475	2300.416484117508
51	255.75	429.79553	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	15.724454	35.80024	111.18695	-10.228689	15.724342	35.79987	109.29111	-9.321515	-15.734633	0.609469	2347.1876318454742
52	500.0	500.0	1000.0	0.0	598.6	488.77158	1000.0	0.0	1000.0	1000.0	207999	15.940739	35.873676	109.65345	-18.788914	15.94038	35.87364	107.15545	-9.707595	-15.97944	0.55868894	2393.9947872161865
53	0.0	0.0	0.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	211999	15.788036	35.60401	107.22843	-10.393543	15.788056	35.60372	104.34705	-10.9473295	-15.850618	0.53749335	2440.771555662155
54	250.0	433.0127	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	215999	15.700691	35.473633	138.37016	-11.663013	15.700609	35.47341	116.17898	-12.310885	-15.810089	0.53049666	2487.359964132309
55	0.0	0.0	0.0	0.0	499.2	499.20514	1000.0	0.0	1000.0	1000.0	219999	15.544304	35.437565	118.60846	-11.623087	15.544494	35.43729	110.0924	-11.232205	-15.625376	0.67128074	2533.9895417690277
56	498.0	498.00803	1000.0	0.0	2.3	6.9	23.0	0.0	1000.0	1000.0	223999	15.545749	35.79311	119.598335	-13.175815	15.545902	35.792656	116.98343	-15.363108	-15.624581	0.53725386	2580.687679052353
57	250.0	433.0127	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	227999	15.818314	35.97564	108.98712	-12.391361	15.818506	35.976055	107.62669	-22.816536	-15.773101	0.5742623	2627.0197637081146
58	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	231999	15.62415	35.617134	113.991554	-15.090969	15.624252	35.616413	107.26221	-16.869204	-15.716783	0.701667	2673.5360271930695
59	498.0	498.00803	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	235999	15.6726465	35.37852	109.34629	-19.07538	15.673117	35.378475	108.22167	-87.9362	-15.679187	0.7095203	2719.8712000846863
60	253.75	430.89114	1000.0	0.0	101.0	299.6815	1000.0	0.0	1000.0	1000.0	239999	16.048658	35.65788	111.72568	-37.944134	16.0488	35.657406	107.19009	-12.257097	-16.110691	0.7393942	2766.2962963581085
61	250.0	433.0127	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	243999	15.978244	35.546127	103.39603	-17.357899	15.978382	35.54586	102.85192	-13.304766	-16.00071	0.7193085	2813.1523633003235
62	0.0	0.0	0.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	247999	15.673638	35.160152	99.998405	-18.303879	15.673625	35.160053	104.36279	-17.000576	-15.701938	0.6144734	2859.6565828323364
63	250.0	433.0127	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	251999	15.567966	35.04077	113.50659	-14.71392	15.567885	35.04076	104.315796	-36.233982	-15.636809	0.6279912	2906.205659866333
64	250.0	433.0127	1000.0	0.0	0.9	2.7000003	9.0	0.0	1000.0	1000.0	255999	15.562865	35.056656	106.42998	-60.28431	15.562733	35.05607	103.13889	-34.698486	-15.687255	0.72872376	2952.6924147605896
65	0.0	0.0	0.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	259999	15.483341	35.121758	102.866486	-18.052649	15.48343	35.121487	110.95778	-18.41323	-15.557736	0.6244939	2999.4557225704193
66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	263999	15.414449	35.213818	120.519684	-24.882439	15.41456	35.21387	113.94117	-18.775742	-15.491096	0.7356565	3046.1426587104797
67	0.0	0.0	0.0	0.0	200.3	399.85098	1000.0	0.0	1000.0	1000.0	267999	14.882248	34.799744	135.28766	-15.699914	14.882036	34.79973	119.30692	-15.977896	-15.063843	0.7203042	3092.710210800171
68	500.0	500.0	1000.0	0.0	101.4	299.5624	1000.0	0.0	1000.0	1000.0	271999	14.871215	34.764133	101.267914	-14.077516	14.871154	34.764343	121.41199	-14.15623	-14.895982	0.573881	3139.430472135544
69	250.0	433.0127	1000.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	275999	15.35437	35.145992	110.55597	-13.216531	15.354096	35.14487	102.81642	-14.873914	-15.433857	0.7577777	3186.059088945389
70	250.0	433.0127	1000.0	0.0	200.0	400.0	1000.0	0.0	1000.0	1000.0	279999	15.412792	35.13265	104.30551	-12.975258	15.412525	35.132797	104.0791	-22.203075	-15.549283	0.6862596	3232.9155972003937
71	250.0	433.0127	1000.0	0.0	100.0	300.0	1000.0	0.0	1000.0	1000.0	283999	15.2106085	34.88887	102.9695	-17.819153	15.210514	34.888725	103.740456	-15.643976	-15.279151	0.65504456	3280.02329826355
72	250.0	433.0127	1000.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	287999	15.47906	35.187477	104.10455	-58.64494	15.478949	35.187626	100.485985	-15.900059	-15.546686	0.66390854	3327.1138508319855
73	0.0	0.0	0.0	0.0	300.0	458.25757	1000.0	0.0	1000.0	1000.0	291999	15.410575	35.16054	118.89022	-16.693893	15.410389	35.160263	104.92034	-18.022827	-15.576412	0.6025732	3373.9654421806335
74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	295999	14.901458	34.66823	106.68571	-14.861429	14.90143	34.6678	113.38057	-15.780548	-14.998382	0.6936244	3421.3403737545013
