Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	36.571926	25.864939	77.97655	14.31074	69.86723	36.886642	116.05338	14.670993	1000.0	1000.0	3999	0.22608976	0.1499419	1.9283665	-1.4062383	0.2261618	0.14937797	0.87766945	-0.92982304	-0.2566582	0.0045819366	46.626349687576294
2	75.29193	24.604113	102.26343	38.391678	160.99031	201.55797	757.6982	56.38294	1000.0	1000.0	7999	0.6600708	0.4159274	2.0112445	0.027685389	0.66007674	0.41593233	2.0292513	-0.0120080635	-0.7002228	0.00090495957	96.3817253112793
3	20.948803	13.384044	38.106316	0.86838096	85.5262	141.62347	505.85382	13.338655	1000.0	1000.0	11999	1.2705297	0.6527749	2.9915144	0.24442883	1.2705411	0.65276563	2.9918284	0.24173158	-1.2975205	0.000605212	147.44342064857483
4	72.416115	39.75975	100.4887	3.7976482	153.46819	241.57857	856.56494	4.8276024	1000.0	1000.0	15999	1.6704745	0.92360866	3.7625911	0.37510192	1.6704845	0.9236025	3.7356389	0.37202644	-1.6807016	0.00041265425	198.65537214279175
5	75.90284	36.25277	114.865456	16.54797	52.60323	35.270912	113.2339	8.713723	1000.0	1000.0	19999	2.1138759	1.1813071	4.553163	0.38687408	2.1138794	1.1813055	4.5755363	0.3891387	-2.127391	0.0003660642	251.35008788108826
6	52.63886	29.690453	83.13874	16.173925	72.92015	78.55207	280.36887	3.739957	1000.0	1000.0	23999	2.5397797	1.3746918	5.3574867	0.5373188	2.53978	1.3746892	5.3457146	0.5529299	-2.5515704	0.0003926388	302.76869344711304
7	102.01637	19.803833	122.07344	69.649124	82.6616	32.287468	118.42618	22.948534	1000.0	1000.0	27999	2.9572384	1.5878856	6.138545	0.58896714	2.9572375	1.587884	6.131656	0.6013756	-2.9722846	0.00046701956	353.270170211792
8	66.22474	18.666782	94.035416	41.409637	113.22789	101.64176	407.6681	41.142212	1000.0	1000.0	31999	3.5264528	1.7015718	6.821489	0.80868995	3.52645	1.7015741	6.8588247	0.81045896	-3.5659347	0.0005972867	403.772253036499
9	85.519516	20.412945	116.32482	63.45994	93.65816	120.44662	443.75345	7.01423	1000.0	1000.0	35999	4.239215	1.681469	7.766885	1.0840979	4.239224	1.6814585	7.797464	1.0824951	-4.3302264	0.0012512624	453.8929307460785
10	60.975147	35.841263	116.65994	17.559853	50.09498	41.81666	117.79231	4.125006	1000.0	1000.0	39999	4.739063	1.6490178	8.209213	1.2948551	4.7390666	1.6490115	8.250318	1.3173739	-4.768785	0.0019689563	504.18508863449097
