Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.006455908	0.019367725	0.06455908	0.0	1000.0	1000.0	3999	0.12574367	0.1543837	1.1590301	-1.3849076	0.12569898	0.1545701	1.1667715	-1.429484	-0.20911531	0.004537108	39.01543092727661
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.8282856	0.4854784	2.871489	-0.2131713	0.8282787	0.48547688	2.9200854	-0.23606582	-0.9973451	0.0065610055	82.37683987617493
3	0.012146717	0.02103873	0.048586868	0.0	0.008877144	0.01786896	0.048905134	0.0	1000.0	1000.0	11999	1.7239943	0.4322624	3.8243082	0.28619492	1.7239572	0.4323072	3.3883123	0.2729802	-1.8317459	0.006189697	127.82723045349121
4	0.0	0.0	0.0	0.0	0.049494892	0.123816796	0.4137817	0.0	1000.0	1000.0	15999	2.2882783	0.40764147	3.7854867	0.81901467	2.288271	0.40765974	3.6660216	0.8585074	-2.3821752	0.0030806046	174.9315640926361
5	0.0	0.0	0.0	0.0	0.0037291914	0.011187574	0.037291914	0.0	1000.0	1000.0	19999	2.4807281	0.3310567	3.8015463	1.302265	2.4807491	0.3309929	3.8567705	1.3186243	-2.5122988	0.0015291629	221.5504252910614
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	2.3900626	0.31659698	3.6170862	1.5907753	2.390065	0.31658787	3.7053232	1.579736	-2.421953	0.0011124936	268.51339864730835
7	0.0	0.0	0.0	0.0	0.0033343039	0.010002911	0.03334304	0.0	1000.0	1000.0	27999	2.4504983	0.26846123	3.5182168	1.530299	2.4504983	0.26844373	3.4395177	1.5469157	-2.487728	0.0011023338	315.2730784416199
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	2.469611	0.19541974	3.5568807	1.61766	2.4696205	0.19536264	3.6077209	1.6030164	-2.4979892	0.00072056695	362.0973312854767
9	0.0	0.0	0.0	0.0	0.012209892	0.031731	0.10635567	0.0	1000.0	1000.0	35999	2.3937197	0.21678975	4.4724073	1.6843266	2.39372	0.21679994	4.597722	1.6918077	-2.412334	0.00046635623	409.1332657337189
10	0.0039136913	0.0067787124	0.015654765	0.0	0.00043710583	0.0011559267	0.0038765653	0.0	1000.0	1000.0	39999	2.251277	0.21630096	6.4093375	1.658397	2.2512755	0.21625794	6.27847	1.6704508	-2.2628162	0.00048507977	455.9103202819824
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	2.0847135	0.25504518	9.85865	1.5561024	2.0847123	0.2549234	10.140991	1.5713453	-2.094517	0.0015415954	503.0876188278198
