Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.53755516	1.6126655	5.3755517	0.0	1000.0	1000.0	3999	-0.2837862	0.1381767	0.7010422	-2.9269478	-0.2838438	0.1384902	0.12593792	-2.7801664	0.22334012	0.004324047	39.79710054397583
2	0.0	0.0	0.0	0.0	8.693884	18.649141	58.545235	0.0	1000.0	1000.0	7999	-0.18983613	0.079362325	0.117196634	-0.6260953	-0.18983833	0.07938271	0.08514361	-0.6298738	0.16830629	0.00040600126	82.93933320045471
3	5.2830987	9.150596	21.132395	0.0	6.427681	9.275954	28.900866	0.0	1000.0	1000.0	11999	-0.049884282	0.12340905	4.46493	-0.35014763	-0.04986557	0.1234572	4.981771	-0.3477219	0.0072365873	0.0014138782	128.28277897834778
4	8.55855	8.5741	17.847025	0.0	2.0863457	3.4692297	10.463457	0.0	1000.0	1000.0	15999	0.7668421	0.8840952	10.336208	-0.32822183	0.76681304	0.8842626	10.876152	-0.40745616	-0.9678135	0.01698808	175.44406962394714
5	0.0	0.0	0.0	0.0	3.9631467	6.970739	23.522482	0.0	1000.0	1000.0	19999	2.3260734	1.6195489	14.789307	-0.29929876	2.3262658	1.619557	14.153101	-0.8385258	-2.550851	0.028873289	222.4511375427246
6	0.0	0.0	0.0	0.0	3.4784741	5.692462	15.282836	0.0	1000.0	1000.0	23999	4.3145714	1.4341812	19.27893	0.5431449	4.314632	1.4340069	20.179802	0.6289148	-4.6137547	0.032756176	269.80397605895996
7	7.4273944	12.864625	29.709578	0.0	7.423993	12.714117	37.841797	0.0	1000.0	1000.0	27999	5.5753727	0.6620758	21.031683	2.443982	5.5754113	0.6620462	22.081821	2.5310163	-5.7277346	0.027889784	317.32807660102844
8	0.0	0.0	0.0	0.0	3.2415588	6.52066	17.770153	0.0	1000.0	1000.0	31999	5.4660935	0.7005348	22.700134	3.4333215	5.466153	0.7004358	23.93416	3.6837296	-5.52771	0.022232054	364.3276216983795
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	5.1970925	0.82986075	24.452389	3.363121	5.1971364	0.8297324	22.880123	3.325706	-5.2698326	0.018937126	411.5840632915497
10	3.7087386	6.4237237	14.834954	0.0	0.72413766	1.3223451	4.040648	0.0	1000.0	1000.0	39999	5.077841	0.8945893	28.168192	3.2102432	5.077885	0.8944611	26.3275	2.8675332	-5.152947	0.021819038	458.9370105266571
11	3.89757	6.750789	15.59028	0.0	9.917484	22.97141	77.346016	0.0	1000.0	1000.0	43999	4.946149	0.9422271	29.637007	2.4634452	4.9461536	0.9427302	28.58058	2.754195	-5.011718	0.023917895	506.1400635242462
12	3.6616673	6.342194	14.646669	0.0	3.6199727	9.367367	31.390982	0.0	1000.0	1000.0	47999	4.711433	1.0585462	32.375908	2.6233795	4.711452	1.0585551	29.82218	2.6727285	-4.7635775	0.030546518	553.4562504291534
13	25.217033	39.063828	92.6261	0.0	5.9258904	9.908296	29.64243	0.0	1000.0	1000.0	51999	4.4312525	1.108857	30.57213	2.5534186	4.4312825	1.1083281	28.941416	2.5765924	-4.500207	0.054526743	600.4588847160339
14	6.7169685	7.013671	16.288376	0.0	1.529857	4.5895715	15.298571	0.0	1000.0	1000.0	55999	4.333071	1.3644797	26.145966	2.3735924	4.333083	1.3644172	26.611605	0.29909158	-4.4406824	0.07550781	647.9919023513794
15	0.0	0.0	0.0	0.0	3.6287415	5.6828203	15.33067	0.0	1000.0	1000.0	59999	4.357442	1.8478373	23.43138	1.6633191	4.357498	1.8478374	23.119873	1.7411458	-4.4928603	0.049818106	695.3211061954498
16	5.7482986	9.956346	22.993195	0.0	9.15708	22.833765	77.12302	0.0	1000.0	1000.0	63999	4.7123456	2.4931128	18.19411	1.4069086	4.71241	2.492937	18.43066	1.0530708	-4.860618	0.032314695	742.608784198761
17	42.39529	29.00387	73.987404	0.0	5.8604307	7.9119163	20.88183	0.0	1000.0	1000.0	67999	4.912855	2.8900971	20.231499	0.9223261	4.9129605	2.8899653	20.568338	0.5966625	-5.001418	0.029051522	789.7068030834198
18	5.3046937	9.187999	21.218775	0.0	20.227634	24.74615	78.63884	0.0	1000.0	1000.0	71999	4.673619	2.919832	21.580029	0.28080428	4.673704	2.9197342	21.360834	0.5712888	-4.7281775	0.031571843	836.6439161300659
19	0.0	0.0	0.0	0.0	28.092066	25.356714	65.024635	0.0	1000.0	1000.0	75999	4.39197	2.9366932	22.922922	0.9586998	4.392016	2.9367151	22.852081	1.1047692	-4.4808583	0.035299584	883.6387662887573
20	70.77764	107.19532	255.40924	0.0	17.530478	22.07677	65.274124	0.0	1000.0	1000.0	79999	4.320657	3.1696727	23.740658	-0.12764215	4.3206835	3.1697693	24.055906	0.4742931	-4.4060216	0.03798346	930.972005367279
21	3.4473717	5.971023	13.789487	0.0	61.069252	93.341576	211.51993	0.0	1000.0	1000.0	83999	4.2578225	3.2974818	27.059818	-1.0667611	4.257484	3.297782	27.55757	-0.4723413	-4.3326087	0.037035447	978.5146853923798
22	128.4661	129.74385	282.61984	0.0	61.695045	117.08837	297.64792	0.0	1000.0	1000.0	87999	4.223812	3.5186667	29.280571	-0.6686065	4.22391	3.5187752	29.67253	-0.14812183	-4.3106446	0.04267473	1025.6816220283508
23	43.527252	43.743076	93.192085	0.0	44.43183	51.479652	172.20651	0.0	1000.0	1000.0	91999	4.3467546	3.9943311	32.939575	-1.5155941	4.3467894	3.994481	33.076675	-1.1212233	-4.439537	0.05391557	1072.8735723495483
24	74.72904	59.598404	169.6174	11.4348	8.899666	22.085371	73.734215	0.0	1000.0	1000.0	95999	4.4142985	4.334324	35.18538	-1.8729751	4.414238	4.334609	35.649773	-1.2828367	-4.5059676	0.06535124	1120.1915192604065
25	19.000381	21.02102	50.718376	0.0	43.128666	63.77195	219.93213	0.0	1000.0	1000.0	99999	4.4353995	4.747784	36.432755	-0.9028883	4.4354424	4.747984	35.89866	-0.65872335	-4.534976	0.07582414	1167.2870464324951
26	55.7445	56.36229	123.2583	0.0	12.3259	12.974788	36.00444	0.0	1000.0	1000.0	103999	4.4437346	5.130679	36.41986	-1.862638	4.4436464	5.130762	36.392612	-1.4771892	-4.5570498	0.089160904	1214.6207365989685
27	19.367718	21.580395	52.196857	0.0	19.370176	24.528774	66.43416	0.0	1000.0	1000.0	107999	4.5338564	5.5364947	35.8187	-1.534802	4.5338225	5.536685	36.03173	-1.286532	-4.656173	0.08828568	1261.6472988128662
