Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.1039637	0.6390323	1.765006	0.46363595	0.88588697	0.5211406	1.6573836	0.21679655	1000.0	1000.0	3999	-0.27311903	0.71026766	2.6243284	-7.4746237	-0.27329946	0.7120397	2.2639909	-8.107368	-0.16021092	0.15734029	52.161927223205566
2	0.56731725	0.15419933	0.6976935	0.3052315	0.60341144	0.3007941	1.229247	0.20052497	1000.0	1000.0	7999	0.6084127	0.1881196	2.0751789	-0.63211805	0.60844624	0.18701927	2.058748	-0.65221876	-0.78550655	0.010759817	109.57292056083679
3	0.8741218	0.3916476	1.2691194	0.23973095	0.84675276	0.576394	1.6100625	0.0184256	1000.0	1000.0	11999	0.93689626	0.12805313	2.270477	0.36035836	0.9369149	0.12779635	2.3532305	0.37637845	-1.0275968	0.0032435493	169.7808177471161
4	1.0056431	0.52280366	1.7123071	0.39304945	0.87791175	0.49949202	1.8315301	0.308948	1000.0	1000.0	15999	1.0374517	0.08820823	2.3573387	0.63996357	1.0374477	0.088183686	2.4700322	0.63477314	-1.0755429	0.0010599658	231.18763828277588
5	1.1442627	0.32087046	1.5245675	0.63692904	0.72623974	0.27981916	1.2207228	0.32194826	1000.0	1000.0	19999	0.9977492	0.08487917	2.640459	0.75995076	0.99774283	0.08482321	2.4857287	0.7629888	-1.0135585	0.00052168925	293.3905346393585
6	0.9306907	0.49665383	1.5741395	0.40711597	1.0132914	0.43862176	1.626553	0.34547102	1000.0	1000.0	23999	0.93592346	0.086293064	2.7388961	0.68433726	0.9359268	0.08622635	2.8475347	0.74857086	-0.94489604	0.00036804355	355.1212856769562
7	1.1214482	0.5853467	1.9557157	0.56617576	1.0083936	0.32859573	1.6834842	0.44730198	1000.0	1000.0	27999	0.8674369	0.090590976	2.8835273	0.7023722	0.8674361	0.09056482	3.1258821	0.67604595	-0.87554103	0.00039679595	417.7545280456543
8	0.728379	0.3574485	1.0899464	0.22097863	1.0959144	0.42303586	1.5962735	0.2596992	1000.0	1000.0	31999	0.7989252	0.09279834	2.9224293	0.56031173	0.7989295	0.09281078	2.7789116	0.5708532	-0.80278206	0.00033935835	479.5961365699768
9	1.2235593	0.079270385	1.344779	1.1300639	0.7565298	0.33163136	1.6209308	0.354183	1000.0	1000.0	35999	0.72682655	0.07974637	2.6785731	0.53458184	0.72683173	0.079741634	2.7479367	0.53308856	-0.7304744	0.00028285914	541.3459498882294
10	0.78006375	0.36727306	1.1937255	0.18657191	0.7868468	0.43352073	1.5714805	0.19777007	1000.0	1000.0	39999	0.6687429	0.07311497	2.5235152	0.52570903	0.66874695	0.07310015	2.650291	0.5394859	-0.6723651	0.00023418022	603.5018706321716
11	1.1067268	0.43734708	1.4779868	0.37687215	1.0573941	0.3583547	1.5641646	0.64930487	1000.0	1000.0	43999	0.61167234	0.067791045	2.4138474	0.53113586	0.61167264	0.06777185	2.425539	0.5140412	-0.61365503	0.00017602117	665.1723952293396
12	0.89371526	0.52681607	1.7070259	0.23708922	0.8927704	0.46187738	1.5753233	0.13667862	1000.0	1000.0	47999	0.55968195	0.06750595	2.416422	0.17473206	0.55968314	0.06751589	2.4488544	0.38558072	-0.5612866	0.00018669612	726.7556302547455
13	1.1251123	0.4014933	1.5836431	0.60018784	0.9508788	0.60439473	2.04701	0.095745705	1000.0	1000.0	51999	0.50983924	0.068410724	2.690238	0.43240502	0.50983936	0.06841302	2.4550447	0.4105742	-0.51137227	0.00018218148	788.2143955230713
14	0.89477503	0.40566644	1.4935976	0.4839815	0.7726636	0.45866552	1.6235232	0.053174965	1000.0	1000.0	55999	0.46534288	0.068800345	2.7666354	0.4125236	0.46534306	0.06881697	2.3743062	0.12858474	-0.4670293	0.00020455994	849.7850828170776
15	1.1045804	0.516582	1.6305523	0.30376276	1.0341504	0.37973848	1.6104715	0.4804126	1000.0	1000.0	59999	0.43227953	0.07900572	2.4424574	0.29037812	0.43228194	0.07897114	2.41502	0.3474912	-0.4363447	0.0002780755	911.4574193954468
16	1.2001711	0.37333485	1.6606301	0.77534014	1.0696335	0.57283264	1.7275232	0.17732115	1000.0	1000.0	63999	0.4016798	0.075184084	2.3153238	0.22456817	0.401679	0.075179644	2.3503625	0.31190634	-0.40434888	0.0001930942	973.0603330135345
17	1.273796	0.41781083	1.6334512	0.5652106	1.2270749	0.4715867	1.7047143	0.16854812	1000.0	1000.0	67999	0.37054887	0.07387085	2.2443666	0.30924094	0.3705489	0.073837444	2.2942653	0.3019187	-0.3727647	0.00019300974	1033.802443742752
18	1.274564	0.34290245	1.6781955	0.7563782	1.1994027	0.3112894	1.5460593	0.54809684	1000.0	1000.0	71999	0.33983022	0.08113741	2.4533184	0.28439385	0.33983126	0.08112862	2.547598	0.24727257	-0.34148178	0.00022158408	1095.1240301132202
19	0.7464349	0.24233915	1.1622264	0.55581546	1.0855621	0.31497377	1.5860538	0.51850486	1000.0	1000.0	75999	0.31058624	0.08151589	2.387374	0.27365863	0.31058547	0.081505924	2.3857822	0.19412339	-0.3121221	0.0002189937	1156.3189511299133
20	1.3174582	0.41106495	1.6000977	0.6113677	0.9898403	0.5048694	1.8299308	0.18229397	1000.0	1000.0	79999	0.28477445	0.077094436	2.3388574	0.19784825	0.2847736	0.0771153	2.3680701	0.24268371	-0.28677106	0.00019091093	1217.619749546051
21	1.0948486	0.16614564	1.2818931	0.8264259	1.3483832	0.21185768	1.659234	1.0792911	1000.0	1000.0	83999	0.26174092	0.08042669	2.3501697	0.18495834	0.26174173	0.08040867	2.2842157	0.21444635	-0.2636017	0.00019830855	1278.9267647266388
22	1.2567642	0.39051798	1.7205822	0.70305204	1.0032053	0.5775196	1.6103276	0.030460145	1000.0	1000.0	87999	0.23717462	0.076831706	2.4053144	0.17522828	0.23717615	0.07679837	2.5294538	0.17803857	-0.23822346	0.0001734264	1340.0439176559448
23	1.1618503	0.49313828	1.6883701	0.48419878	1.1754843	0.4099207	1.6967484	0.5626513	1000.0	1000.0	91999	0.21472438	0.07364132	2.2271788	0.09938313	0.21472444	0.07362141	2.2675962	0.18155146	-0.21591195	0.00017624402	1401.354513168335
24	1.2926495	0.3482521	1.7525841	0.8836369	0.7514601	0.54246414	1.5676342	0.07297932	1000.0	1000.0	95999	0.19707033	0.07763765	2.0869567	0.11542258	0.1970699	0.07761517	2.3252878	0.16345544	-0.19833069	0.00017834675	1463.0111289024353
25	0.8524717	0.5793673	1.533333	0.106004484	1.1790435	0.45172885	1.6940595	0.07703746	1000.0	1000.0	99999	0.17954461	0.07403837	2.0364733	0.1254058	0.17954504	0.07403881	2.0492225	0.0509509	-0.1803422	0.00018045356	1524.1344077587128
26	1.083936	0.1016433	1.2187673	0.93996537	1.1316744	0.42511192	1.5422971	0.01344882	1000.0	1000.0	103999	0.16399404	0.07316627	2.136746	0.110585764	0.16399336	0.07316639	2.1487358	0.14675072	-0.16497003	0.00018293045	1585.3464515209198
27	1.0629054	0.15645178	1.3322302	0.9492295	1.0808713	0.3967932	1.7788239	0.38512602	1000.0	1000.0	107999	0.15007693	0.07138674	1.9812418	0.11418826	0.15007631	0.071393155	2.100357	0.060814604	-0.15064229	0.00015898302	1646.2935073375702
28	1.4240562	0.2169535	1.6665405	1.097212	1.1988194	0.33466178	1.6475621	0.74511147	1000.0	1000.0	111999	0.13754709	0.07306852	2.0310757	0.092131235	0.1375478	0.07307334	1.9986062	0.061892584	-0.13863143	0.00017155704	1707.920797586441
29	0.7962992	0.35518748	1.2560425	0.27407372	1.2604799	0.4441443	1.8829728	0.3812038	1000.0	1000.0	115999	0.12590829	0.07051994	2.0010257	0.09378941	0.12591004	0.070503294	1.942029	0.088589095	-0.12662883	0.0001654251	1770.085500240326
