Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.0698905	0.49951696	1.6340097	0.41948166	0.5479624	0.40221077	1.4502639	0.066491224	1000.0	1000.0	3999	-0.5191508	0.7430735	10.959669	-15.964436	-0.52116394	0.73798203	2.9563003	-7.4598875	0.059757967	0.24417643	46.90835189819336
2	1.2179227	0.58794445	1.9348484	0.38544253	0.73833936	0.3372173	1.3548752	0.25414506	1000.0	1000.0	7999	0.31140915	0.1886503	1.4903005	-0.96840715	0.31146118	0.18266355	1.1473088	-0.9602162	-0.49695107	0.015168986	97.443532705307
3	0.4621802	0.31120378	0.9502613	0.11556647	0.881487	0.48595655	1.6619059	0.0849262	1000.0	1000.0	11999	0.6015989	0.12417614	1.5213537	-0.1763233	0.60173595	0.12315019	1.5197518	0.058188014	-0.70776904	0.0036866833	150.23494029045105
4	0.7156288	0.26299843	1.0322988	0.34746104	0.5670835	0.4276565	1.3884562	0.021906257	1000.0	1000.0	15999	0.79408836	0.0651807	1.8655367	0.532821	0.7941591	0.06509704	1.9619379	0.53226787	-0.8315812	0.0010169172	203.6273820400238
5	1.0301915	0.15483232	1.2052093	0.8494528	0.7481199	0.3991145	1.362669	0.22426865	1000.0	1000.0	19999	0.7930546	0.0590699	2.1105456	0.68689847	0.79306406	0.059143618	2.1023774	0.68351084	-0.803341	0.0003830086	257.6085855960846
6	1.0446607	0.4508298	1.5015305	0.4016187	0.8869928	0.56976354	1.7929047	0.079006836	1000.0	1000.0	23999	0.7361639	0.072847195	2.163033	0.6356428	0.73615307	0.072932765	2.187618	0.63086903	-0.74209166	0.00033724844	311.2424108982086
7	0.7312968	0.42442042	1.3885	0.22145057	0.85773027	0.39025596	1.4141527	0.13872601	1000.0	1000.0	27999	0.73017627	0.09140407	2.2695634	0.619704	0.730173	0.091434926	2.2327964	0.61983806	-0.7449146	0.00036636562	364.44341802597046
8	0.97363937	0.70569646	1.7904558	0.15107886	0.73794454	0.39861766	1.2777516	0.24145934	1000.0	1000.0	31999	0.8428838	0.095564686	2.3150203	0.63480425	0.842882	0.09558942	2.1927834	0.63876057	-0.8733441	0.00032649035	417.70717096328735
9	0.8639889	0.28520453	1.321311	0.56348526	1.1199152	0.39399612	1.7494355	0.26570067	1000.0	1000.0	35999	0.98784524	0.10160887	2.0541272	0.7211993	0.9878423	0.10162707	2.1171212	0.7201494	-1.0102408	0.00027384722	471.0799927711487
10	1.1588888	0.54225606	1.6994431	0.33922595	0.50858223	0.2828948	1.0524043	0.1287411	1000.0	1000.0	39999	1.009433	0.09790146	2.1816812	0.7748201	1.0094303	0.097911105	2.191466	0.7806121	-1.0201299	0.00030393965	523.9681885242462
