Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.39110228	0.67740905	1.5644091	0.0	8.281707	24.845108	82.81703	0.0	1000.0	1000.0	3999	-0.021491045	0.014903635	0.06279752	-0.12611713	-0.021493282	0.014918176	0.06244185	-0.11886567	0.019641282	4.2747062e-05	36.89905023574829
2	0.0	0.0	0.0	0.0	3.920452	7.895349	21.671988	0.0	1000.0	1000.0	7999	0.033588443	0.13051939	0.516913	-0.058315016	0.033588942	0.13051888	0.44627762	-0.05569341	-0.035591967	1.2998676e-05	77.93136191368103
3	0.0	0.0	0.0	0.0	0.14878336	0.4463501	1.4878336	0.0	1000.0	1000.0	11999	0.048707455	0.14536999	0.5059611	-0.062476568	0.048708133	0.14537477	0.5052452	-0.062353116	-0.04991144	7.2736734e-06	121.33220934867859
4	0.0	0.0	0.0	0.0	2.1015515	6.304654	21.015514	0.0	1000.0	1000.0	15999	0.075284585	0.16647045	0.5093913	-0.05685035	0.07528483	0.16647191	0.50864124	-0.058754105	-0.076014906	5.543264e-06	166.57348775863647
5	3.0351543	5.2570415	12.140617	0.0	1.6902033	5.0705967	16.901995	0.0	1000.0	1000.0	19999	0.09029736	0.17193362	1.138328	-0.08915238	0.090295784	0.17194124	1.2194414	-0.09497253	-0.09097894	0.0001404741	211.95637273788452
6	2.684593e-09	4.6498516e-09	1.0738372e-08	0.0	1.0093621	3.0280864	10.093621	0.0	1000.0	1000.0	23999	0.06996908	0.20620441	5.471449	-0.21620415	0.0699683	0.2064995	5.535284	-0.15581073	-0.07435916	0.0005879775	257.4718563556671
7	0.0	0.0	0.0	0.0	6.9826317e-10	1.689261e-09	5.616542e-09	0.0	1000.0	1000.0	27999	0.07595472	0.3143513	8.735961	-0.23253071	0.07595562	0.31446078	9.2136545	-0.16630161	-0.07948459	0.0010813345	302.72368717193604
8	0.0	0.0	0.0	0.0	0.0075146877	0.022544064	0.07514688	0.0	1000.0	1000.0	31999	0.06552797	0.34941417	10.858349	-0.81738377	0.06551707	0.34945956	10.992606	-0.7894406	-0.06746071	0.0010899246	348.0873370170593
9	0.0	0.0	0.0	0.0	1.3876649e-31	0.0	1.3876649e-30	0.0	1000.0	1000.0	35999	0.06871821	0.39779097	13.145644	-1.1601949	0.06870941	0.3977163	13.162158	-1.1605389	-0.07098827	0.0015618089	393.2827379703522
10	0.96187025	1.6658752	3.8472507	0.0	6.362866e-12	1.908786e-11	6.3626444e-11	0.0	1000.0	1000.0	39999	0.07424332	0.46809658	14.36778	-1.3144424	0.074243896	0.4680259	14.371296	-1.3531824	-0.07714815	0.002113684	438.80820965766907
11	6.109222	10.581483	24.436888	0.0	1.3114019e-14	3.9342058e-14	1.3114019e-13	0.0	1000.0	1000.0	43999	0.07435766	0.5858274	15.848574	-1.6085337	0.07435833	0.58579874	15.618081	-1.7617226	-0.08182101	0.0031001682	484.1501154899597
