Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	245.37813	159.25278	426.27774	0.0	62.303944	89.34449	312.57785	2.0734656	1000.0	1000.0	3999	1.5555311	1.2252256	7.3856997	-7.941093	1.5556211	1.2236848	7.452765	-4.301526	-1.8154472	0.06184038	48.87750506401062
2	297.7975	261.06717	714.6023	28.702698	55.4758	57.27035	212.27368	9.424551	1000.0	1000.0	7999	4.032605	2.2921267	16.009634	-0.47056225	4.0326715	2.2921062	16.100376	-0.4525169	-4.287831	0.040104736	102.5607750415802
3	273.7653	249.33504	621.7982	35.10249	19.25348	16.949543	51.57158	0.0	1000.0	1000.0	11999	8.72275	4.6393685	31.994146	-11.622638	8.722874	4.6392736	31.424273	-12.6722	-9.328161	0.17538679	158.1603136062622
4	46.975235	29.601227	81.04077	11.223693	57.07024	45.050415	132.77089	0.0	1000.0	1000.0	15999	14.184974	7.8939886	51.40297	1.6603019	14.185049	7.8938417	54.996006	-2.3395553	-14.896637	0.3141003	215.61465096473694
5	54.40276	42.523792	126.19252	16.04741	29.657358	29.187832	87.233406	1.4395006	1000.0	1000.0	19999	18.291555	11.6837	75.08023	1.580969	18.291374	11.684	73.124626	1.5410992	-18.987827	0.5038307	273.30851697921753
6	34.803078	20.077223	51.052612	0.8825294	65.42038	84.609566	305.6086	12.010335	1000.0	1000.0	23999	19.98977	15.164975	76.86531	0.7036312	19.989807	15.165149	77.36972	-0.5526821	-20.685041	0.58248425	330.6011824607849
7	66.36626	67.730515	179.1528	11.205689	83.57207	74.71843	216.04384	0.04824411	1000.0	1000.0	27999	21.487585	17.231216	88.97277	-0.71166486	21.487448	17.231413	86.52649	-1.9098629	-22.170916	0.77087116	388.19073367118835
8	35.45117	50.19149	122.24366	2.8155172	43.157204	39.875534	143.28464	0.0	1000.0	1000.0	31999	22.96214	18.76282	92.258514	0.121935725	22.962578	18.762545	91.913414	0.28858554	-23.59514	0.8579828	445.29426193237305
9	25.076143	18.550201	51.75141	0.0	105.074974	139.86723	460.99768	0.37651557	1000.0	1000.0	35999	24.506678	21.183863	105.436195	0.5789653	24.507208	21.18356	105.004395	-1.8983064	-25.21032	1.0709084	502.68208718299866
10	37.006714	23.51944	66.32914	5.082824	83.51628	99.97597	342.39297	0.0	1000.0	1000.0	39999	24.726917	22.746393	115.741646	0.81588626	24.72747	22.746634	114.61097	0.6851714	-25.374294	1.119041	559.7892320156097
11	87.65215	94.781494	249.49976	18.34848	96.19765	48.76551	175.22035	11.159361	1000.0	1000.0	43999	24.897993	24.536198	132.2926	1.2288791	24.898294	24.536438	120.8424	0.9449698	-25.557161	1.5219074	616.6674649715424
12	58.016182	50.760593	141.37874	3.892516	121.99845	192.78885	565.77795	3.8792741	1000.0	1000.0	47999	24.797258	25.719006	122.28062	1.0717481	24.797083	25.719719	121.5272	1.3816869	-25.478615	1.3464067	673.4856266975403
13	26.187334	32.016903	79.29073	0.0	90.38113	93.03112	341.86905	5.362174	1000.0	1000.0	51999	23.963127	26.24128	131.20763	-0.33990097	23.963087	26.242256	131.92604	-0.24375403	-24.55083	1.4920939	730.6298973560333
14	206.1433	198.86609	543.8863	29.807926	114.94546	160.1284	443.01395	0.0	1000.0	1000.0	55999	24.531828	28.132154	132.92242	-0.9163314	24.53154	28.132908	130.7282	-0.946887	-25.09139	1.5243161	787.457197189331
15	147.66132	158.0927	410.45663	0.36131555	93.3534	176.55334	613.7454	2.195519	1000.0	1000.0	59999	24.293623	28.480589	132.08919	-3.6522157	24.29348	28.481995	133.58958	-4.18445	-24.945675	1.510215	844.2235977649689
16	20.841017	26.304565	64.4718	0.0	194.42877	143.7224	477.1288	39.67429	1000.0	1000.0	63999	23.550833	28.496038	128.09177	-5.5657115	23.5473	28.499544	129.24548	-6.148014	-24.170164	1.4637234	900.9880232810974
17	46.942627	60.57874	151.78848	8.410904	139.72455	164.68813	566.9715	25.02342	1000.0	1000.0	67999	22.3489	27.99548	133.71956	-6.915654	22.344275	27.999807	134.14944	-8.839037	-22.850962	1.3572812	957.7571370601654
18	116.11744	161.1747	393.68475	0.0	63.79472	80.17564	278.093	8.762051	1000.0	1000.0	71999	21.46536	27.786638	134.10315	-7.337554	21.465187	27.787802	135.13289	-7.357168	-22.092136	1.4287986	1014.4543993473053
19	39.669014	26.047672	70.91897	1.2269866	39.121647	28.326141	88.62028	0.0	1000.0	1000.0	75999	20.379484	27.523027	132.14066	-7.420706	20.379196	27.524252	131.71208	-6.780074	-20.934925	1.2977467	1071.6022148132324
20	54.14833	49.251106	117.071594	2.3068554	109.19558	171.9965	598.5178	5.2115855	1000.0	1000.0	79999	19.289497	27.346764	129.39076	-10.384345	19.290016	27.347366	129.22629	-10.390076	-19.777292	1.2902317	1128.318489074707
21	47.922222	28.621872	81.17072	3.3672347	70.54467	55.11613	173.16019	0.002088245	1000.0	1000.0	83999	18.49867	26.905075	131.1527	-11.472294	18.498636	26.9061	130.06665	-11.927039	-18.943953	1.3389255	1185.0642404556274
22	260.00037	236.78752	624.46606	0.3277737	131.46088	123.02413	373.6275	4.803059	1000.0	1000.0	87999	17.933245	26.483995	129.01913	-12.24973	17.933865	26.48441	128.71127	-12.292863	-18.462845	1.2888296	1241.9033415317535
23	32.09906	38.108192	95.853806	0.0	158.86958	136.60878	460.61914	0.16356148	1000.0	1000.0	91999	17.69968	26.075201	126.37331	-12.966672	17.69925	26.076523	127.34206	-12.74649	-18.163454	1.2462139	1298.7238159179688
24	87.724144	47.332184	156.85147	23.1929	81.83367	106.66767	295.4557	3.0093477	1000.0	1000.0	95999	16.746498	25.222925	122.566925	-17.377556	16.744934	25.224615	122.4509	-16.279602	-17.153997	1.177182	1355.7316756248474
25	29.576698	31.14599	80.73547	3.0288208	105.765335	147.63431	442.36163	0.0	1000.0	1000.0	99999	15.890115	24.566217	119.3357	-18.734108	15.89	24.567345	119.23349	-17.570028	-16.306623	1.1236295	1412.4679780006409
26	180.78964	215.78838	547.6296	24.62068	119.28754	143.14114	414.42795	3.8702807	1000.0	1000.0	103999	15.486059	24.57525	113.44038	-20.240814	15.487096	24.575418	114.777596	-17.989311	-15.94859	1.1213806	1469.4004480838776
27	121.05	179.27509	429.57193	0.18605724	47.900898	53.62048	138.31468	0.10311113	1000.0	1000.0	107999	15.302888	24.289959	110.88838	-17.654877	15.302911	24.290766	109.9748	-17.104486	-15.705143	1.117665	1526.4486927986145
28	34.775314	12.053442	46.774426	17.197563	34.93061	42.26396	134.53012	0.0	1000.0	1000.0	111999	14.749026	23.85925	108.77496	-18.387943	14.748269	23.860981	107.43404	-16.91816	-15.136039	1.1133525	1583.210163116455
29	58.909332	49.497463	110.321205	8.854815	114.17964	125.37549	428.2117	0.0	1000.0	1000.0	115999	13.967172	23.342085	107.26125	-18.467043	13.967076	23.342712	106.25592	-18.00541	-14.366697	1.1400174	1639.9835879802704
30	37.525333	26.06214	77.12293	5.6435633	67.344345	64.90237	237.46428	4.744606	1000.0	1000.0	119999	13.472073	23.139242	107.03038	-19.26715	13.472808	23.13948	107.206726	-19.00154	-13.864883	1.0768962	1696.632565021515
31	141.785	90.91473	267.72165	19.90118	115.53345	146.13528	512.7539	12.2378435	1000.0	1000.0	123999	13.0297985	22.993921	108.00111	-20.071295	13.029814	22.99472	107.318245	-18.862963	-13.401192	1.0937328	1753.935269355774
32	219.94518	203.39882	485.39346	0.40221193	123.19275	183.52222	647.5412	11.306454	1000.0	1000.0	127999	12.737558	22.883642	106.236534	-18.37501	12.736926	22.884903	106.6211	-18.171854	-13.067313	1.0574514	1810.95636343956
33	78.71305	101.02719	252.15474	6.3737073	165.62784	241.15347	648.5875	19.335047	1000.0	1000.0	131999	12.386184	22.671352	103.751	-18.388178	12.386136	22.672672	103.78108	-19.029194	-12.810316	1.0495025	1867.985763311386
34	34.64655	6.4601035	41.338596	25.778185	111.21946	109.10632	307.15118	1.4488834	1000.0	1000.0	135999	11.49888	22.09329	102.29544	-18.794392	11.499779	22.093887	102.49221	-19.321907	-11.902023	0.99226207	1925.264794588089
35	88.552	126.65719	307.27914	0.0	86.649	101.979195	336.40424	6.4542966	1000.0	1000.0	139999	11.027595	21.902092	102.09293	-21.735088	11.028579	21.90296	103.252464	-21.413818	-11.42016	0.9964037	1982.4320421218872
36	246.2175	246.24197	662.5263	39.62079	211.87778	282.37646	883.9185	1.2545167	1000.0	1000.0	143999	10.772573	22.114372	101.43389	-23.303347	10.772805	22.115196	101.41205	-22.145376	-11.116083	0.9299967	2039.539585351944
37	16.005571	27.481802	63.60453	0.0	118.26915	180.40466	615.96387	0.04335132	1000.0	1000.0	147999	10.338259	22.0905	98.75873	-22.980862	10.3378935	22.09189	98.96288	-22.384153	-10.672368	0.8984163	2097.118493795395
38	21.213379	21.2172	42.996243	0.0	90.50367	71.14142	243.92418	0.0	1000.0	1000.0	151999	9.836114	21.924208	99.263954	-23.024784	9.835484	21.925367	98.75301	-22.482382	-10.105219	0.89200675	2154.199714899063
39	46.692265	44.27297	95.61623	1.9804195	89.85173	88.49908	243.46886	0.0	1000.0	1000.0	155999	9.198984	21.57506	99.47444	-22.3679	9.198709	21.576155	99.423615	-21.805666	-9.450444	0.83074486	2211.8312163352966
40	17.916702	7.745753	26.69427	5.5305114	100.93707	72.22151	284.69437	27.076899	1000.0	1000.0	159999	8.534518	21.13728	107.35304	-23.107658	8.534129	21.138424	99.98786	-23.290623	-8.833086	0.81163645	2269.442556619644
41	73.94815	44.567177	140.82664	31.767982	60.131012	29.678598	122.53308	22.78209	1000.0	1000.0	163999	7.883697	20.693254	103.173546	-23.06067	7.883726	20.694107	103.88906	-22.945347	-8.227064	0.8147669	2326.966312646866
42	116.59827	151.78215	378.8783	19.809877	85.46529	131.11104	456.12567	0.0	1000.0	1000.0	167999	7.2757707	20.204437	103.56119	-22.225855	7.275874	20.205557	103.52264	-22.091097	-7.5564814	0.7839805	2384.3079929351807
43	105.30542	47.49897	169.29247	35.55427	57.246174	95.260414	325.8647	0.8966255	1000.0	1000.0	171999	6.8528395	19.777534	105.17852	-23.007002	6.8530273	19.778358	104.34101	-23.878172	-7.130549	0.73717546	2441.602217197418
44	125.53349	125.27594	322.71997	0.14946003	50.12188	54.89882	187.02708	0.0005548218	1000.0	1000.0	175999	6.53428	19.63079	106.001945	-22.988194	6.533901	19.632566	107.22818	-23.325775	-6.7891903	0.7642192	2498.9282689094543
45	56.166313	40.55927	112.20128	6.6567283	82.37493	74.54643	251.14754	6.715727	1000.0	1000.0	179999	6.1500244	19.602642	108.25447	-26.811161	6.149511	19.604229	109.09328	-21.573523	-6.4446473	0.76569754	2556.3124465942383
46	170.23532	159.425	427.47482	0.0	43.618492	40.05586	127.1109	3.3060956	1000.0	1000.0	183999	5.872003	19.418703	111.63527	-20.730854	5.871828	19.419945	110.88837	-20.73807	-6.2186093	0.7375328	2613.339283466339
47	136.59306	216.67734	511.51672	0.0	167.33025	179.931	665.44806	7.9622993	1000.0	1000.0	187999	5.706028	19.268173	114.08237	-20.812162	5.7055464	19.269701	114.89217	-21.729437	-5.977746	0.7396223	2671.0164086818695
