Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	6.190145	2.5292945	8.700658	2.6759925	131.13797	121.2885	262.2641	6.885479	1000.0	1000.0	3999	-0.85536826	0.3678866	18.34118	-21.9868	-0.85555214	0.38539726	20.571253	-39.554554	0.7723438	0.15011615	43.64445519447327
2	11.815265	5.649997	21.546345	7.9540825	168.78505	151.10413	497.87683	8.490364	1000.0	1000.0	7999	-0.82420987	0.34340316	6.652807	-5.4856844	-0.824195	0.3446475	6.7248263	-7.475219	0.72715014	0.015379471	126.76983690261841
3	137.00249	208.68797	498.01202	2.4453533	37.284367	71.13389	249.97342	5.919159	1000.0	1000.0	11999	5.698913	5.2632027	33.176517	-1.7300502	5.6996856	5.262645	33.36184	-1.361882	-7.497086	0.3022113	329.7229890823364
4	70.32186	107.805275	257.01578	5.802042	65.549614	91.75138	248.00606	6.802201	1000.0	1000.0	15999	14.112992	6.038553	66.01142	-10.208218	14.1131935	6.039161	92.639366	-17.926834	-14.895943	0.4588177	512.1260514259338
5	76.66535	102.09481	252.49751	7.50606	98.787125	122.259544	285.69275	11.698178	1000.0	1000.0	19999	14.051455	5.8379383	47.12923	5.8471637	14.051666	5.837926	43.754845	-2.1596947	-14.20671	0.2183909	579.1874170303345
6	148.38322	128.51709	279.42624	17.305992	95.08405	123.238914	287.92032	9.002509	1000.0	1000.0	23999	12.99439	5.91646	115.92996	-8.649493	12.99466	5.9162984	126.99484	3.640436	-13.153097	0.30885443	640.2678680419922
7	17.589075	2.7150953	20.572628	13.259015	70.38562	105.63185	282.1257	11.078307	1000.0	1000.0	27999	11.656267	5.7101946	42.144276	4.2460594	11.655855	5.7110925	77.6297	-11.269552	-11.773892	0.16031697	701.1680088043213
8	331.015	188.30185	475.33716	10.29497	104.50553	164.37997	441.6962	14.845974	1000.0	1000.0	31999	11.508922	6.9430156	41.44243	4.459127	11.50916	6.9429016	41.596684	0.7988278	-11.671315	0.1433882	762.0469484329224
9	163.04013	153.88452	427.99646	50.4292	36.76107	30.48148	126.82077	20.644627	1000.0	1000.0	35999	13.314339	9.517468	44.83764	5.4132595	13.314265	9.51761	44.71182	5.949363	-13.639859	0.19578405	822.9793136119843
10	29.2554	9.298893	42.910595	19.038092	34.067593	13.466478	62.548706	18.647182	1000.0	1000.0	39999	13.739783	10.067004	49.191174	6.1381264	13.73965	10.067138	49.55024	5.8884807	-14.083971	0.18323925	884.680004119873
11	40.750607	10.32843	56.15547	28.113667	63.16643	39.053867	174.38904	37.372833	1000.0	1000.0	43999	13.015252	10.280125	51.31807	4.4793935	13.015292	10.280205	50.99884	5.5531926	-13.203276	0.1824197	964.3659780025482
12	162.36234	71.547066	280.61923	97.048935	65.7085	7.370286	78.524216	56.766064	1000.0	1000.0	47999	12.173673	10.260613	49.93742	3.675384	12.173606	10.260651	50.200348	2.6134212	-12.292516	0.20369615	1027.8694815635681
13	260.80554	205.58037	467.8715	54.1215	129.2836	146.06093	463.34058	42.687927	1000.0	1000.0	51999	12.117079	10.887873	47.704483	4.1484427	12.116971	10.887954	47.158386	3.8169394	-12.308394	0.16794774	1092.6354932785034
14	157.53667	176.76404	462.59015	31.443413	121.76195	168.81442	456.0678	0.35976574	1000.0	1000.0	55999	12.237548	11.651766	47.19334	3.614783	12.237485	11.651731	46.643734	1.9018595	-12.353055	0.16704947	1306.2043998241425
15	85.93564	10.020081	96.72173	70.45743	110.11322	121.98546	457.99255	3.851783	1000.0	1000.0	59999	11.892949	11.75468	52.19162	4.4551277	11.8928585	11.754596	50.06243	2.6926222	-11.992963	0.15454128	1513.724993944168
16	276.7728	182.07874	462.85245	94.37321	24.891727	9.916249	34.070736	5.4331355	1000.0	1000.0	63999	11.687125	11.941338	49.97533	1.0777578	11.687085	11.941308	48.3091	4.399405	-11.842049	0.15997227	1605.3836832046509
17	28.917477	16.105675	52.834984	8.365457	106.39473	81.8912	268.03522	25.84472	1000.0	1000.0	67999	12.092902	12.548077	46.771835	2.9492192	12.092928	12.548069	47.254753	4.064285	-12.222706	0.14724323	1666.29749751091
18	41.757633	31.813263	94.08085	8.02864	47.585217	39.604942	164.19061	23.953663	1000.0	1000.0	71999	11.639206	12.313397	48.066925	4.4106703	11.639068	12.313422	47.94996	2.9186125	-11.791209	0.13065507	1726.6743037700653
19	124.28047	141.01883	367.91092	32.98841	34.568985	11.215532	55.28965	20.621624	1000.0	1000.0	75999	11.407352	12.446847	47.961742	3.4053245	11.407223	12.446807	49.592472	3.8864994	-11.529135	0.14837392	1786.4965381622314
20	56.296127	30.5007	92.11345	19.73247	207.97334	172.66716	473.0626	83.56708	1000.0	1000.0	79999	10.901998	12.419941	47.43826	3.8856125	10.90194	12.419964	48.53004	0.9424207	-10.995205	0.14083341	1846.540468454361
21	88.06441	37.219955	135.28877	30.987804	98.62188	14.232172	130.82709	78.88302	1000.0	1000.0	83999	10.399488	12.341829	47.61892	1.6845021	10.399414	12.341808	46.785378	0.9122844	-10.508571	0.14716004	1958.083746433258
22	34.762997	40.16127	102.94395	0.92884994	169.81583	191.91121	459.01846	2.884641	1000.0	1000.0	87999	10.059155	12.353279	47.63601	0.32367754	10.059115	12.353352	48.32822	-1.3931708	-10.162077	0.14607245	2171.8196988105774
23	129.45157	191.04332	460.22864	14.543497	116.892624	177.17374	466.14648	4.162529	1000.0	1000.0	91999	9.795654	12.538003	55.145535	2.201132	9.795565	12.538092	53.38264	0.24512792	-9.932153	0.16092202	2358.296014547348
24	157.0972	189.53397	467.07007	2.388526	115.94011	181.78918	469.64465	3.0359058	1000.0	1000.0	95999	9.94139	12.99234	48.251865	2.3267455	9.9414	12.992372	48.051834	1.9806681	-10.021541	0.14810498	2478.7327375411987
25	162.96945	180.1274	470.45844	10.862815	163.42607	154.64388	474.3733	82.961075	1000.0	1000.0	99999	9.988034	13.217161	47.740154	1.7996228	9.987897	13.217204	47.89689	1.7200086	-10.041336	0.13609031	2540.6795921325684
26	207.55328	155.31454	473.5364	89.94368	69.75696	135.98769	470.07883	3.252205	1000.0	1000.0	103999	9.927814	13.364156	47.08897	0.50400233	9.92757	13.3642435	47.74935	1.1469975	-10.00808	0.13227257	2602.3138551712036
27	77.3095	68.51065	157.33072	7.906064	195.3468	148.64754	469.61398	8.888274	1000.0	1000.0	107999	9.715916	13.42002	47.646946	1.6815727	9.717255	13.419328	49.779415	1.399355	-9.726451	0.14807425	2663.620055437088
28	55.3363	41.81287	109.60864	0.74428475	224.21265	123.42393	471.76926	155.29019	1000.0	1000.0	111999	9.298243	13.15594	51.285984	0.5528145	9.299484	13.154955	47.564274	1.6823525	-9.341126	0.16160357	2724.5850987434387
