Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	15.947458	8.475922	28.232273	7.3008795	99.57107	87.179565	238.3617	30.858795	1000.0	1000.0	3999	-0.13516602	0.5183782	31.59199	-51.950314	-0.13522232	0.52729285	56.90948	-37.113873	-0.071494415	0.13007955	44.43931603431702
2	6.4641604	3.509001	10.792187	2.2694378	149.65572	97.12163	282.5368	31.361393	1000.0	1000.0	7999	25.17849	29.277956	268.22433	-22.927156	25.175423	29.273167	271.09964	-18.078451	-40.67129	10.810476	92.70371007919312
3	204.62991	201.46512	501.78378	1.6396888	145.34138	85.92981	233.07738	33.771805	1000.0	1000.0	11999	388.94473	212.12271	1791.0431	23.804045	388.9342	212.11166	2100.4885	38.65061	-462.77356	601.5923	144.25162959098816
4	235.27931	5.9282165	245.40483	231.05098	187.80484	87.2224	286.13776	32.74674	1000.0	1000.0	15999	679.0248	161.35085	3122.295	260.27722	679.01373	161.37593	3482.2283	-155.46027	-704.0141	553.8256	199.05039405822754
5	93.68431	85.48035	240.37666	31.076189	138.83864	101.631096	283.8795	33.71471	1000.0	1000.0	19999	702.73834	86.73136	1286.3141	241.96494	702.73553	86.7415	1355.9176	238.7054	-716.81976	302.0905	253.8517951965332
6	81.23643	78.337814	216.67545	30.712976	166.88246	85.11814	245.65492	32.066296	1000.0	1000.0	23999	596.5279	78.66397	1462.0057	148.568	596.53143	78.652885	1760.2147	94.52833	-602.3603	216.85568	308.6279671192169
7	198.34926	65.4323	241.67882	85.21693	78.442955	71.6814	271.37552	31.030312	1000.0	1000.0	27999	496.9992	68.57069	1144.0704	79.11724	497.0023	68.547516	926.3606	92.71607	-501.43326	140.64053	363.2920820713043
8	127.3302	94.832085	233.8566	32.644264	183.93546	76.90157	240.99728	32.278736	1000.0	1000.0	31999	421.08777	62.576416	825.7866	137.14471	421.08557	62.583992	792.6268	139.10825	-424.5421	80.47114	417.71403431892395
9	209.69406	68.0614	282.6651	98.0856	178.68698	96.99085	275.7621	31.181458	1000.0	1000.0	35999	361.74545	58.93877	627.318	140.87207	361.7458	58.93745	617.8848	118.16063	-364.5621	59.230564	472.73289155960083
10	139.80035	95.84652	243.43816	40.83957	129.77585	89.94259	239.6559	30.847631	1000.0	1000.0	39999	314.3183	55.70326	758.92896	-67.17699	314.31885	55.711308	811.6254	-492.98868	-316.7407	45.54812	528.5747830867767
11	146.55359	110.87507	286.03217	36.439857	132.89993	95.77959	275.24484	31.62369	1000.0	1000.0	43999	272.73773	50.56119	905.4219	-58.492626	272.7394	50.553684	946.9344	-95.95855	-274.936	40.06221	583.5231108665466
12	96.98458	77.44029	227.98683	31.989708	114.73549	96.06676	239.52827	31.021856	1000.0	1000.0	47999	236.93384	43.948425	588.461	-43.641006	236.9357	43.93033	575.0408	54.500378	-238.72134	26.392235	638.3434951305389
13	86.45606	82.93116	229.13074	30.92146	148.52011	100.87587	281.1119	35.53874	1000.0	1000.0	51999	206.1461	38.95436	309.7417	55.151478	206.14256	38.988087	776.9475	-46.260334	-207.65366	16.994339	693.3050863742828
14	153.41298	68.30798	232.9567	70.16339	143.63841	94.17004	259.47775	31.478441	1000.0	1000.0	55999	179.26357	34.23547	347.22073	50.510693	179.26453	34.231285	336.3094	56.775665	-180.50201	12.191863	748.2729830741882
15	99.877205	67.74738	215.11835	40.623383	144.96396	108.63651	282.94763	30.692245	1000.0	1000.0	59999	155.99205	30.667604	391.3335	-50.99429	155.99269	30.661715	378.03146	-57.61926	-157.04951	11.024911	803.1578242778778
16	102.66622	106.39693	286.17957	32.50059	123.11217	84.849884	272.9219	30.784784	1000.0	1000.0	63999	135.64633	27.34096	275.0255	15.105856	135.6462	27.340528	316.35782	12.726338	-136.5285	7.2078943	857.9881820678711
17	49.208763	21.037579	85.328514	33.259853	97.403694	87.215614	247.44843	31.017775	1000.0	1000.0	67999	118.22701	24.46877	178.03442	39.4142	118.22609	24.47632	280.37796	-63.34648	-119.01764	5.098861	912.6221871376038
18	115.13381	77.75729	242.3989	31.176622	155.93329	80.573845	241.42012	31.04711	1000.0	1000.0	71999	103.64534	21.873495	235.80301	26.406294	103.64574	21.873117	259.43152	8.779171	-104.24165	3.9890556	967.4891226291656
19	135.81763	95.44114	231.80794	34.546257	109.00769	89.845795	245.86116	30.821697	1000.0	1000.0	75999	91.31921	20.087563	168.4076	23.765528	91.31897	20.08905	154.48251	23.98724	-91.86176	2.8303933	1022.3521265983582
20	142.20059	83.40849	235.32321	32.09376	135.48483	104.437614	284.26074	30.987085	1000.0	1000.0	79999	80.553	18.218744	145.9955	16.681597	80.55338	18.21662	131.11807	20.806215	-81.021736	2.2251558	1076.942682981491
21	132.73672	94.10979	231.22452	31.502668	122.5238	96.71037	284.0856	31.175276	1000.0	1000.0	83999	71.08943	16.38625	146.30995	19.704248	71.089584	16.386099	127.33757	18.132256	-71.45286	1.7448621	1133.3409509658813
22	99.823074	106.4297	284.02606	34.63123	148.04272	107.19102	284.51767	30.839666	1000.0	1000.0	87999	62.74519	14.851008	128.68573	19.183636	62.74546	14.849781	132.55336	17.568874	-62.998676	1.3979633	1188.424840927124
23	140.65295	91.16881	237.58917	44.055824	161.09033	97.86146	282.86926	30.968048	1000.0	1000.0	91999	55.552044	13.669112	99.542305	17.751844	55.552216	13.669173	101.00765	16.742203	-55.884895	1.0616122	1243.3811011314392
24	145.73186	85.69343	242.67818	35.726723	189.76035	89.991135	283.6315	31.960508	1000.0	1000.0	95999	49.734776	12.742983	144.38417	14.494816	49.735046	12.74169	78.25086	13.7123785	-50.05973	0.8310166	1298.2423000335693
25	116.80296	66.565125	227.59686	52.301033	110.429344	93.91149	277.82855	30.748735	1000.0	1000.0	99999	44.39559	11.690586	99.300606	9.444046	44.395866	11.690123	73.54193	12.854216	-44.650314	0.65760964	1353.0585489273071
26	150.25426	78.42298	227.91295	40.570206	125.648605	101.66905	286.12558	31.167246	1000.0	1000.0	103999	39.47621	10.965671	106.7107	8.051533	39.476627	10.964157	59.746433	9.063202	-39.65079	0.5113442	1408.2309889793396
27	195.73633	89.55012	274.55334	43.528816	93.471245	90.07918	239.77643	30.704252	1000.0	1000.0	107999	35.619946	10.442857	63.0302	5.076225	35.62001	10.44319	62.814636	6.8156023	-35.790115	0.43962726	1462.8486473560333
28	149.22414	90.6792	243.94302	30.862673	154.97658	97.15566	281.56622	30.598982	1000.0	1000.0	111999	32.167953	10.037846	82.765	3.0835512	32.16815	10.037713	74.63797	2.2898533	-32.332413	0.37200063	1517.7932560443878
29	208.99933	104.03856	285.40317	32.70268	182.31537	88.17368	275.6723	31.391024	1000.0	1000.0	115999	29.123638	9.670333	65.85564	0.10985041	29.123674	9.670486	70.66778	1.6240187	-29.240015	0.32261854	1573.0608336925507
30	193.93994	96.639175	283.73785	31.96963	152.42685	97.99475	284.00244	30.87068	1000.0	1000.0	119999	26.717436	9.4249325	46.117744	3.1199608	26.71733	9.425242	52.264194	4.53413	-26.82957	0.25708753	1627.5393397808075
31	150.28099	90.69721	242.809	32.566017	140.65317	104.48623	274.96054	30.627893	1000.0	1000.0	123999	24.361652	9.156157	93.87048	1.7479484	24.361752	9.155566	43.087193	2.363808	-24.454742	0.25230503	1682.586074590683
32	107.166016	102.44125	284.20584	41.372314	123.751015	90.56797	234.65332	30.579197	1000.0	1000.0	127999	22.236855	8.923129	54.12074	-2.7835085	22.236828	8.92324	45.843227	-3.585178	-22.328894	0.21509252	1737.3452875614166
33	104.646645	106.878006	289.7269	39.624588	167.21048	111.25943	286.4684	31.02148	1000.0	1000.0	131999	20.500027	8.769363	34.984978	-3.850149	20.499996	8.769834	41.139446	-14.813503	-20.57336	0.184678	1792.0008718967438
34	210.10573	66.77208	276.8678	98.81639	161.14975	92.35062	243.7536	32.38346	1000.0	1000.0	135999	19.017845	8.631162	45.28966	-27.775974	19.017809	8.631316	42.741615	-4.5658555	-19.071949	0.18938227	1847.0258202552795
