Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	53.131275	57.611553	152.3584	12.82197	98.35024	143.20633	485.7113	5.775882	1000.0	1000.0	3999	1.6925836	0.9888232	4.779064	-0.3590053	1.69245	0.98899037	4.7367883	-0.42394164	-2.196038	0.0052248435	48.47472524642944
2	230.1164	381.73724	891.2609	5.198348	117.68508	188.84122	571.20197	4.4723783	1000.0	1000.0	7999	6.268565	2.281753	15.510488	1.6793184	6.268485	2.2818384	15.688956	1.6613947	-7.0230417	0.020287838	102.15293264389038
3	111.029594	109.39316	295.43066	11.659773	24.439152	23.712242	82.18077	6.004206	1000.0	1000.0	11999	13.134576	3.2786038	24.565878	5.8845215	13.134575	3.2786655	24.689089	5.8391323	-13.974334	0.03556939	158.84149360656738
4	74.21698	109.035515	262.84283	5.172436	200.98653	281.22397	857.2809	4.361872	1000.0	1000.0	15999	17.203386	2.5085397	31.49381	10.855418	17.20334	2.5086615	31.293549	10.799852	-17.579374	0.03426685	216.5467813014984
5	7.293518	2.6138	11.571323	4.513467	103.72628	204.93541	708.98883	8.467617	1000.0	1000.0	19999	19.322737	2.7175078	31.18901	13.065478	19.322763	2.717592	31.352894	13.154647	-19.69317	0.032422345	273.4181559085846
6	223.45404	364.8555	855.3947	10.785796	60.929237	141.8175	484.9372	3.663247	1000.0	1000.0	23999	22.554493	3.831323	38.423542	14.477951	22.554502	3.831356	38.350964	14.477436	-23.165628	0.045497246	329.82046818733215
7	69.42568	50.89315	150.9764	24.507332	28.917013	53.412228	188.08176	4.5245724	1000.0	1000.0	27999	27.907032	5.740595	48.66853	17.913004	27.907036	5.7406206	48.84463	17.87481	-28.8834	0.06939978	386.6726167201996
8	225.08875	371.06	867.78345	10.595361	162.42535	300.96048	967.97266	9.513479	1000.0	1000.0	31999	33.06515	6.053154	52.297955	19.126642	33.06515	6.05326	52.085457	19.188251	-33.837032	0.070918456	443.4912781715393
9	13.715722	11.407662	33.090546	5.309816	207.73865	367.6025	998.9307	5.1034746	1000.0	1000.0	35999	36.519943	7.158731	65.91212	21.730501	36.519962	7.1588354	65.54003	21.93539	-37.52807	0.08235324	500.39866399765015
10	73.50276	101.82055	248.74908	5.0310326	174.3038	266.16058	775.3685	5.4371033	1000.0	1000.0	39999	41.935074	9.258413	71.39586	23.448841	41.935062	9.258591	71.18037	23.422535	-43.110516	0.09772463	557.2065994739532
11	43.057636	53.00986	134.74107	8.64907	96.58383	249.11787	843.2275	4.083533	1000.0	1000.0	43999	45.79777	9.48617	80.46869	26.08748	45.79782	9.48628	80.20657	26.115116	-46.898216	0.12847179	613.9983723163605
12	8.764146	2.8167007	12.34905	4.5081797	202.11754	280.8439	901.9206	5.462207	1000.0	1000.0	47999	48.02071	11.1419935	79.476715	26.81863	48.020756	11.142252	79.60208	26.986662	-49.081367	0.14017645	670.6395173072815
13	218.02339	244.31242	608.5914	10.765017	19.039558	14.980539	54.45491	6.832743	1000.0	1000.0	51999	49.498585	11.792335	80.43809	27.039934	49.49864	11.792449	80.39088	27.552084	-50.731937	0.15071024	727.3940742015839
14	158.31413	149.78476	359.72116	8.032036	253.56021	335.769	989.8019	7.14506	1000.0	1000.0	55999	51.910286	12.7230835	85.18737	27.022398	51.91032	12.723069	85.37235	27.031921	-53.11575	0.14350617	784.1183366775513
15	442.29797	421.39273	881.78485	16.398424	158.3447	209.65822	661.8738	4.1022882	1000.0	1000.0	59999	53.21055	14.143251	89.29437	24.201729	53.210594	14.143446	89.18036	24.412176	-54.30626	0.14832917	840.8280117511749
