Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	22.31081	2.0779524	25.254047	19.888844	18.824749	5.6025105	22.693327	9.595755	1000.0	1000.0	3999	1.0691016	0.5846959	3.1936002	-4.669777	1.0693449	0.5855617	3.1309302	-5.5284557	-1.3335272	0.06611502	32.34458088874817
2	22.44412	1.0546894	24.214678	21.43422	39.31611	13.440726	57.261555	9.9291725	1000.0	1000.0	7999	1.4601763	0.28898525	2.6318672	0.15699212	1.4601177	0.28937045	2.6490803	0.1142478	-1.5289851	0.008875694	68.56231164932251
3	32.027145	10.232773	44.3603	19.646143	39.440453	15.096955	57.61756	4.4905396	1000.0	1000.0	11999	1.5715823	0.5038141	3.7145638	0.77270854	1.571564	0.50385225	3.683063	0.77584624	-1.5707151	0.003648983	106.29499578475952
4	44.951706	0.17742364	45.18928	44.691486	33.25725	9.130476	44.705368	24.741049	1000.0	1000.0	15999	1.854184	0.75667596	4.032475	0.70674235	1.8541714	0.7566799	3.9898088	0.7410641	-1.8814743	0.0018976849	147.58257365226746
5	28.53179	12.6409645	48.65499	14.049962	25.032818	2.7023447	28.533289	21.715128	1000.0	1000.0	19999	2.1169252	0.70933664	4.1964393	0.8497398	2.1169071	0.7093651	4.2051973	0.91772276	-2.137691	0.0016609721	186.626540184021
6	45.777473	11.815961	64.1772	31.632322	37.87633	27.399052	63.51273	4.1091785	1000.0	1000.0	23999	2.2540011	0.6293611	4.5415907	1.2013171	2.253987	0.6294073	4.495388	1.1139412	-2.2909756	0.0016800931	224.76863074302673
7	41.20098	28.321123	70.85604	12.419478	71.67087	3.8375545	74.22418	60.69484	1000.0	1000.0	27999	2.4705346	0.5813182	5.30493	0.6795067	2.4705184	0.58132035	4.9029417	0.73734164	-2.5038912	0.0026964948	262.95975613594055
8	56.184917	15.526087	77.75249	34.06716	68.76467	11.638931	84.24649	46.702637	1000.0	1000.0	31999	2.81947	0.54401934	5.2257185	0.7482415	2.8194604	0.5440133	5.392605	0.665304	-2.860127	0.0033450578	300.8775269985199
9	80.30668	3.9082153	86.393364	76.83659	42.81878	26.523842	77.83986	17.853718	1000.0	1000.0	35999	3.2227697	0.57527155	6.4816732	1.7709355	3.2227612	0.575313	6.640659	1.7571173	-3.2791352	0.004633895	338.1582260131836
10	61.003586	24.931698	76.80215	17.892014	77.71828	9.929418	91.44544	54.991123	1000.0	1000.0	39999	3.7262328	0.60778314	8.241142	1.7589295	3.7262087	0.60791886	7.9540224	1.5592027	-3.8043325	0.006202616	376.4667510986328
11	51.524715	17.562578	72.87637	28.519339	51.42227	29.743021	85.063225	11.444557	1000.0	1000.0	43999	4.263034	0.6554392	8.092514	2.0233753	4.263032	0.6554192	8.131069	1.9274031	-4.3324256	0.007974155	414.60096502304077
12	84.07489	22.781847	114.440735	52.523064	94.477554	24.006006	120.53436	60.88033	1000.0	1000.0	47999	4.6397634	0.61355096	8.371012	2.7790027	4.6397705	0.6135476	8.632847	2.7970595	-4.6990786	0.007996891	453.6696629524231
13	90.030754	22.809097	129.38051	75.03227	80.852455	13.748459	109.491196	70.00176	1000.0	1000.0	51999	5.0418177	0.7667493	9.398612	2.7624083	5.041809	0.76677066	9.35104	2.8063543	-5.116179	0.010674438	491.708753824234
14	90.86116	20.885424	124.83683	71.32441	103.849686	28.548893	139.89833	35.67326	1000.0	1000.0	55999	5.3956676	0.826246	10.572773	3.150401	5.395674	0.82635313	10.534781	3.035866	-5.4656124	0.011669263	532.2707440853119
15	102.544174	24.758408	144.59941	81.10195	102.070435	29.21645	140.39743	47.725502	1000.0	1000.0	59999	5.724183	0.95172805	11.59371	2.6882505	5.7241793	0.9518068	11.79203	3.1966794	-5.78904	0.014616379	571.5402138233185
16	120.90159	24.271214	148.78372	92.48173	127.13827	26.822443	154.2107	87.66442	1000.0	1000.0	63999	6.0365205	1.0806731	11.544128	3.5487814	6.0365114	1.0807222	11.502763	3.6209738	-6.099769	0.018840011	609.8822367191315
