AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
16.983736	13.354816	102.440956	6.2922034	21.556757	4000	0.7944037914276123
20.136692	20.696548	217.48715	5.4087863	23.594118	8000	2.003448009490967
19.314861	19.097181	195.50638	4.6664968	22.71591	12000	3.241931915283203
19.632923	17.288662	100.726326	5.56457	23.40351	16000	4.4667370319366455
17.59317	13.361227	88.08714	4.971259	22.474577	20000	5.688282489776611
17.05881	14.17208	116.377594	4.884566	20.859375	24000	6.477648735046387
33.909832	13.270797	112.22501	5.590815	22.511236	28000	28.041621685028076
100.19457	67.77285	221.2994	17.100368	56.084507	32000	57.43606162071228
187.59239	8.274038	207.66646	169.6474	93.48837	36000	87.81065559387207
307.45352	87.51376	521.3624	185.41592	179.5	40000	121.0927586555481
303.8451	47.161575	399.781	169.89801	161.92	44000	151.24251770973206
278.51346	32.59439	316.04382	167.38281	139.78572	48000	182.17323970794678
396.75418	152.15327	813.5732	170.91876	197.1	52000	215.38031029701233
374.12064	112.538345	708.4216	219.93999	162.68	56000	246.57412695884705
432.10422	118.11054	719.85364	267.8269	185.0	60000	278.66166162490845
559.88043	210.33862	1000.6511	242.87738	207.05263	64000	308.9423544406891
738.1107	225.15726	1072.4263	338.41608	247.3125	68000	341.3348693847656
353.5031	242.50522	943.0579	129.08109	144.64285	72000	372.3326416015625
260.9682	129.71289	582.79034	119.84875	111.42857	76000	404.29263186454773
605.6684	260.31775	944.883	143.97977	223.44444	80000	436.55111479759216
252.83946	148.2053	686.72595	60.46706	157.23077	84000	466.42118310928345
435.33417	369.8397	1638.8915	57.802902	224.58824	88000	498.0970344543457
885.0749	659.66235	1884.0095	197.82556	331.0	92000	530.608909368515
953.46094	660.6569	2140.453	212.45238	357.36365	96000	564.9346725940704
1453.2633	283.59686	1946.2667	1102.2144	491.42856	100000	598.3609392642975
1008.4455	892.6955	2808.7512	222.79587	392.54544	104000	627.8455741405487
963.1962	738.03357	2081.6226	131.63348	407.18182	108000	663.2560534477234
936.6053	368.7497	1757.3771	448.90295	371.63635	112000	696.6402788162231
1197.1924	648.187	2292.3025	163.8123	458.875	116000	730.9683592319489
937.1869	507.00317	1638.024	142.04004	384.4	120000	766.7165133953094
1608.411	381.36517	2304.106	1234.9154	626.1667	124000	796.8680157661438
177.28934	464.00452	2040.0797	5.9693866	119.75676	128000	827.0392656326294
1355.1337	683.6566	2688.371	650.3952	489.42856	132000	861.8364841938019
1142.8502	864.2823	2363.8972	67.61021	676.1429	136000	901.2326390743256
1102.3809	559.8155	2673.4841	699.7954	413.7	140000	933.7207083702087
1274.4171	392.2967	1980.5626	792.83185	434.125	144000	962.7668867111206
2743.329	259.4594	2927.31	2296.325	947.5	148000	1000.315666437149
1933.036	855.9686	2759.2175	364.73566	778.0	152000	1036.234757900238
1098.0132	412.00555	1804.3259	770.85834	971.5	156000	1076.4584753513336
915.03455	78.58127	983.9007	781.79126	1000.0	160000	1116.9502966403961
987.871	541.6599	1936.323	253.94008	822.2	164000	1146.5931928157806
707.85815	793.4295	2929.0466	127.02313	252.2	168000	1186.7684230804443
1542.5499	1143.0902	2864.8765	172.47719	580.1429	172000	1218.0128383636475
1319.8335	787.89325	2750.4417	569.444	470.33334	176000	1256.4190547466278
1413.4812	649.773	2827.3008	625.7942	482.42856	180000	1297.0954632759094
2462.098	760.4241	2892.617	944.26294	863.4	184000	1326.7890312671661
1789.1519	640.17084	2547.6567	793.73676	700.3333	188000	1366.938619852066
681.3928	377.87552	1679.3496	308.71228	235.58824	192000	1398.151573419571
879.664	742.73096	2555.4963	430.1051	311.15384	196000	1437.4919965267181
2764.7083	140.73442	2952.924	2570.6804	994.25	200000	1477.307629108429
2685.8386	220.22356	2852.97	2308.0593	940.0	204000	1507.2750220298767
1784.2227	903.99854	3033.4934	679.79767	616.8571	208000	1544.6156554222107
1814.9282	736.6317	2778.4648	713.1006	666.6667	212000	1581.9301104545593
1167.7015	1008.50165	2752.177	276.7403	432.14285	216000	1615.3814873695374
1859.1416	876.3769	2740.0566	338.8879	691.0	220000	1654.872074842453
1784.0151	977.9452	3041.9155	616.43713	595.625	224000	1684.5548241138458
2208.8923	675.28827	3093.578	1003.2233	671.8333	228000	1718.2653093338013
1567.4672	782.30566	3272.162	797.2787	473.2857	232000	1757.3998582363129
2539.555	685.1001	3311.4678	1384.3171	776.1667	236000	1797.7537381649017
1909.3018	581.91077	3126.9036	1380.4355	579.5714	240000	1833.7126967906952
2314.2856	1190.6296	3232.0745	309.14313	726.2	244000	1863.393624305725
1449.298	991.1251	3270.8696	270.45297	471.0	248000	1895.7692458629608
1877.9325	1265.2823	3357.1658	229.61015	620.5	252000	1933.0216400623322
1858.806	940.78406	3115.9924	354.0584	616.7143	256000	1971.7161841392517
2290.1033	725.2618	3214.0435	1401.2568	738.6	260000	2011.2430486679077
2088.998	660.2388	3024.5974	1274.9435	665.6667	264000	2040.5822505950928
2738.2786	584.6404	3222.398	1821.4036	847.8	268000	2080.719831943512
3437.7852	34.736115	3482.262	3401.8591	1000.0	272000	2121.8284442424774
2673.527	938.58905	3405.473	856.7614	809.2	276000	2162.793068408966
3217.3877	393.35287	3570.8772	2560.2378	932.75	280000	2203.5730147361755
3370.351	65.06409	3464.6667	3291.6787	1000.0	284000	2232.769391298294
2507.253	1024.1085	3343.2551	761.8999	761.8	288000	2273.733207464218
3366.8757	103.59382	3526.2708	3241.2932	1000.0	292000	2314.21023106575
3374.8533	51.968433	3454.6885	3316.1582	1000.0	296000	2354.4546403884888
3017.4895	438.31714	3382.644	2167.483	912.8	300000	2393.233063220978
2582.399	776.66284	3356.073	1629.4247	767.8	304000	2423.5568585395813
2719.0227	535.60315	3321.406	1847.1824	805.0	308000	2458.593911409378
2147.9553	732.8493	3437.4932	1305.353	643.1667	312000	2497.8658123016357
1988.9863	860.83795	3364.8855	1100.493	602.5714	316000	2538.9999034404755
2844.2449	609.44116	3357.996	1854.9059	845.5	320000	2575.84991312027
3001.9666	411.14273	3395.2925	2458.7969	883.6	324000	2605.3551168441772
3082.077	501.96902	3408.3882	2214.7495	914.5	328000	2645.2566289901733
2399.4548	1145.2429	3458.806	280.0313	710.8333	332000	2684.607885360718
2796.9224	514.63214	3374.1226	2181.428	818.2	336000	2723.256724357605
2067.5374	386.98978	2752.2314	1559.7014	595.1667	340000	2763.506059408188
3150.1997	478.8548	3489.5083	2209.8953	909.6	344000	2793.601497411728
3018.4282	597.8073	3389.5571	1983.7208	891.25	348000	2834.5749232769012
3059.2117	408.21988	3432.538	2511.462	895.0	352000	2874.0196948051453
2629.1582	776.06506	3392.3838	1485.813	772.0	356000	2913.711730480194
2612.8176	712.01654	3315.181	1473.949	767.6	360000	2946.051249027252
2946.3408	241.08356	3336.6619	2682.7039	864.0	364000	2976.814744949341
2815.4895	617.7688	3419.9521	1958.7009	825.5	368000	3016.5902061462402
3236.376	338.77542	3447.9556	2650.52	933.25	372000	3056.256398677826
3113.7893	544.234	3488.2312	2176.0886	903.25	376000	3092.110402584076
2326.9656	1097.3367	3648.7644	352.7433	659.2857	380000	3131.0548713207245
2920.7607	752.13727	3550.8735	1675.4945	833.0	384000	3160.8035078048706
2887.8767	659.59607	3520.335	2058.1445	806.6	388000	3197.7842519283295
2985.1226	664.6026	3552.5469	2138.227	840.0	392000	3237.596973657608
2961.276	688.329	3558.9265	2039.523	833.6	396000	3278.001001596451
3389.8823	262.1494	3571.4963	2936.994	950.75	400000	3317.9235124588013
1896.2972	905.545	3445.8303	249.37708	538.125	404000	3347.8876917362213
2354.4077	932.85065	3654.01	1430.4224	644.6	408000	3387.783182859421
3164.4832	685.06494	3563.886	1801.0277	886.4	412000	3427.91925740242
3508.8513	40.566624	3576.952	3474.337	1000.0	416000	3467.801657438278
3156.7249	477.04636	3556.5146	2345.1216	883.8	420000	3507.748455762863
3081.7637	612.41486	3527.5867	2041.2941	855.0	424000	3538.1759748458862
2994.3633	786.8433	3627.9702	1703.6218	821.2	428000	3578.393279314041
2484.0356	592.45825	3582.1023	1776.1052	680.8333	432000	3613.3806064128876
2607.696	798.94147	3673.597	1704.6573	700.8333	436000	3649.7744069099426
1579.1304	406.6575	2600.3042	1257.3984	429.625	440000	3686.2031378746033
2356.5396	924.28955	3591.7468	1423.3068	646.4286	444000	3716.1583123207092
2087.43	915.33936	3565.5364	1405.7004	579.0	448000	3753.452999353409
2118.4055	303.79535	2594.8616	1745.7324	566.0	452000	3789.556504011154
