AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
123.49279	37.89077	324.97513	78.40726	24.527607	4000	1.907973289489746
124.927444	40.75128	304.78543	78.229355	24.86875	8000	3.960108995437622
124.49397	36.97562	258.24857	78.264366	24.660494	12000	5.988972902297974
127.46045	39.29956	286.83627	78.323524	25.283018	16000	8.032958507537842
119.19856	31.607265	211.83751	78.40019	23.784431	20000	10.045118570327759
121.28876	33.944263	229.94934	78.43409	24.11976	24000	12.049619197845459
124.9906	76.26918	409.18048	61.877632	24.8625	28000	34.07026505470276
228.2438	42.766716	323.52374	169.6382	43.402172	32000	63.093841791152954
200.97586	105.26429	534.0226	66.39038	40.26	36000	92.0631935596466
278.4619	52.391956	414.24545	128.7609	53.133335	40000	120.76329231262207
173.53204	85.74604	367.3549	66.47137	33.83051	44000	149.17212176322937
216.7288	85.63949	432.1766	80.63449	46.03448	48000	177.94640636444092
248.13008	58.306877	450.76593	173.17155	49.9625	52000	207.0528745651245
252.59596	49.20546	351.87814	137.73303	49.333332	56000	236.5299472808838
186.28577	96.938545	467.99713	76.24619	35.936935	60000	266.29330706596375
185.07855	84.76758	440.94366	86.82517	35.78761	64000	294.38487458229065
174.79747	71.74758	356.24142	96.891304	33.462185	68000	323.07826566696167
212.23105	58.40837	350.34692	108.733986	44.043957	72000	351.45305156707764
306.9868	49.42181	431.18576	219.36276	67.118645	76000	380.2648277282715
244.08492	67.29606	417.03714	139.82928	53.18421	80000	409.04185724258423
198.19392	59.810574	337.35095	82.147385	37.801888	84000	436.725403547287
113.38756	29.713348	224.93672	76.479324	24.546013	88000	464.01260566711426
123.67455	20.330383	190.52576	91.49808	27.937063	92000	491.48948884010315
106.04265	32.54749	270.98947	71.67249	22.093924	96000	518.658299446106
119.49083	28.269722	243.15558	76.56801	24.863354	100000	546.2008833885193
177.14174	105.366615	748.03314	81.19102	37.466667	104000	574.4209449291229
301.38293	63.28325	489.08203	173.91359	66.816666	108000	603.2250497341156
181.87729	66.04878	434.84265	113.82654	36.772728	112000	631.1579246520996
223.33151	55.68993	380.676	131.6601	46.255814	116000	658.8392810821533
178.87592	79.53781	382.06943	76.10379	36.963303	120000	686.532306432724
218.40613	120.05277	538.0654	80.81036	48.609756	124000	714.3941502571106
270.9986	81.999565	615.96606	107.760254	55.859154	128000	743.8626990318298
272.6736	66.44185	541.78394	159.89346	55.328766	132000	772.4780592918396
292.5915	102.93974	678.0182	152.22366	64.3871	136000	801.1788668632507
226.88474	56.712376	468.46497	144.57007	50.55696	140000	829.242678642273
240.65948	74.81507	524.63806	135.47707	50.97468	144000	857.2731289863586
