AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
17.145144	12.604548	99.714005	3.6115034	22.055248	4000	0.7870941162109375
20.632372	20.423733	132.96494	4.7773423	24.13253	8000	1.803166151046753
17.696299	15.013496	109.33196	5.381987	21.625	12000	2.822507858276367
18.615253	17.619656	144.52126	5.3255033	22.994152	16000	3.8225197792053223
20.90681	24.186834	189.0451	6.1304626	23.039549	20000	4.83129620552063
17.320448	12.192788	78.00122	4.4066277	21.31016	24000	5.63174033164978
36.180695	18.424795	178.6723	4.5518603	23.822485	28000	28.091325998306274
177.66316	30.48607	244.60503	32.92068	88.53333	32000	56.95972561836243
188.61264	7.1622705	202.10175	173.77126	86.521736	36000	85.81370258331299
215.08939	47.444054	464.52957	188.73848	103.35897	40000	115.23061871528625
249.35345	18.175196	315.65466	214.43791	126.129036	44000	144.37655806541443
267.28778	24.108007	336.756	232.23625	140.82759	48000	174.0576310157776
265.0739	59.292145	368.48114	120.11738	141.42308	52000	203.4071922302246
267.59164	165.09381	934.0496	173.46518	139.74193	56000	232.51733326911926
290.00595	148.21107	1007.4208	214.12602	143.44444	60000	262.0614356994629
325.51254	19.517052	392.4035	302.27374	149.48148	64000	290.58051443099976
250.06404	44.585808	351.82983	202.22346	106.3421	68000	319.72966480255127
102.3182	145.33485	724.8042	25.184683	77.78846	72000	348.73316764831543
216.30559	261.10394	1048.4644	27.68516	181.5238	76000	378.08450055122375
347.4612	297.1712	1702.8798	112.815	173.08333	80000	407.3991892337799
326.66278	244.6609	1331.2515	114.91537	133.56667	84000	435.4095706939697
398.19687	273.53314	1207.2644	166.04594	173.30435	88000	465.136656999588
607.1741	529.6149	1701.4808	172.92252	352.6	92000	497.5279858112335
552.37573	451.04916	1817.9772	146.63568	246.0	96000	526.3725237846375
486.97812	314.11636	1189.0017	130.057	199.05	100000	559.3228032588959
997.29083	6.0539556	1006.63794	990.04315	1000.0	104000	587.4427235126495
1288.4531	717.67896	2509.274	506.36807	507.25	108000	616.5656750202179
1278.9147	816.2712	2824.0273	104.28788	477.0	112000	646.2210965156555
1160.7075	318.29205	1731.5707	713.5264	387.22223	116000	677.0568602085114
1219.0945	338.41168	1802.2432	985.49524	972.25	120000	709.5405237674713
1292.5414	270.54062	1763.9409	982.8493	777.6667	124000	736.4228868484497
1228.8899	440.26523	1831.0325	688.79663	738.2	128000	767.7327466011047
1745.5674	663.27356	2579.1606	518.2214	705.0	132000	799.1545441150665
1833.0768	680.4052	2609.135	928.73785	697.6667	136000	828.8419127464294
