AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
-43.35824	4.0594378	-32.47587	-53.1984	50.0	4000	0.39964938163757324
-42.31231	4.090334	-33.647057	-51.59948	50.0	8000	1.0115151405334473
-43.457634	3.4402502	-33.81188	-51.117496	50.0	12000	1.6293365955352783
-43.24075	3.8690574	-33.950706	-51.30229	50.0	16000	2.2269225120544434
-43.675446	3.8596218	-35.382244	-53.111244	50.0	20000	2.831934690475464
-43.578003	3.7277148	-37.4872	-52.252056	50.0	24000	3.233585834503174
-33.4955	30.432018	-6.937364	-103.80803	50.0	28000	20.884856939315796
-10.427049	2.1212401	-6.8227434	-14.794012	50.0	32000	44.758660078048706
-10.821958	2.182952	-7.249888	-15.1908655	50.0	36000	68.79000115394592
-11.107343	2.0532484	-7.3194323	-15.248937	50.0	40000	92.92540240287781
-10.591201	2.3776262	-6.216256	-15.814319	50.0	44000	116.80300045013428
-10.741122	2.0838118	-7.2018447	-15.14551	50.0	48000	141.08758234977722
-10.411982	2.3183548	-6.314773	-15.976692	50.0	52000	165.1755542755127
-10.654051	2.1663363	-6.6720686	-15.411676	50.0	56000	189.61511707305908
-10.4452305	2.2948058	-6.541262	-15.517754	50.0	60000	213.8817756175995
-10.806096	2.3814445	-6.5386066	-16.199656	50.0	64000	237.71520376205444
-11.049739	2.1995254	-7.082866	-15.624016	50.0	68000	262.11194920539856
-10.927275	2.153075	-6.9170856	-15.350612	50.0	72000	286.26210737228394
-10.8197	2.08919	-7.1616163	-15.142977	50.0	76000	310.36776208877563
-10.362091	2.491036	-6.001537	-14.839102	50.0	80000	334.7587466239929
-10.5288925	2.464315	-6.547017	-14.959037	50.0	84000	358.91932916641235
-10.086237	2.027337	-6.0943193	-15.295523	50.0	88000	383.22429060935974
-10.906607	2.3767166	-6.385739	-14.932623	50.0	92000	407.4758930206299
-10.672489	1.9705619	-7.034083	-15.267056	50.0	96000	431.6225781440735
-10.394153	2.2723174	-6.6150646	-14.631716	50.0	100000	455.75710105895996
-10.475695	2.1528656	-6.399571	-14.376057	50.0	104000	479.6358857154846
-10.438054	2.1600451	-6.362626	-15.293189	50.0	108000	504.16443061828613
-10.27902	2.2505062	-6.2113075	-15.022592	50.0	112000	528.4939713478088
-10.707296	2.1380484	-6.4210944	-15.568591	50.0	116000	552.9938161373138
-10.421233	1.958676	-6.9487844	-15.531856	50.0	120000	577.2856357097626
-10.482152	2.0166578	-6.412933	-14.400264	50.0	124000	601.2494833469391
-10.198573	2.000847	-6.8323083	-14.758645	50.0	128000	625.5369958877563
-9.340146	1.8468188	-6.6856155	-14.496957	50.0	132000	649.8997213840485
-10.313617	2.1450107	-6.507157	-14.605023	50.0	136000	674.4751031398773
-10.524385	2.2875705	-6.550815	-15.006195	50.0	140000	698.7582864761353
-10.220545	1.9263744	-6.8562684	-14.5393505	50.0	144000	722.7971351146698
-10.486135	1.9131701	-7.3793645	-14.2731905	50.0	148000	747.2099635601044
-10.924529	1.9793632	-6.87345	-15.165331	50.0	152000	771.9890561103821
-10.768738	2.057238	-6.712736	-14.609885	50.0	156000	796.4045603275299
-10.532549	2.1121933	-6.6285596	-14.797999	50.0	160000	820.6803984642029
-11.049106	1.9644117	-7.491866	-14.813418	50.0	164000	844.7842969894409
-11.079665	2.0034416	-7.0929627	-14.88027	50.0	168000	869.238579750061
-10.605903	1.9410093	-6.436887	-14.531503	50.0	172000	893.467892408371
-10.545939	1.9036715	-6.72184	-14.295632	50.0	176000	917.5589723587036
-10.7991	1.8357137	-7.3846555	-14.618796	50.0	180000	941.7101113796234
-10.325594	1.7370464	-7.0333843	-14.452057	50.0	184000	965.8379423618317
-10.830896	1.9489995	-6.785284	-15.062806	50.0	188000	990.1863081455231
-10.541171	1.8824552	-6.8054495	-14.562499	50.0	192000	1014.2211129665375
-10.831126	2.0652971	-6.8353868	-14.619334	50.0	196000	1038.4080686569214
-10.893	1.6875994	-7.519145	-14.668313	50.0	200000	1062.7014305591583
