AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
-277.95544	94.41656	-188.5419	-425.30902	1000.0	4000	0.44252562522888184
-222.07579	58.35802	-138.63869	-282.57208	1000.0	8000	5.984280586242676
-227.90147	53.446007	-136.93976	-273.59766	1000.0	12000	11.95089316368103
-218.42297	56.90967	-149.18408	-306.078	1000.0	16000	18.070764780044556
-285.666	36.94373	-224.87805	-324.76477	1000.0	20000	24.87324285507202
-262.3587	47.41439	-184.1328	-310.86572	1000.0	24000	25.318366289138794
-407.16467	109.720116	-227.99835	-526.60986	1000.0	28000	53.272457122802734
-380.61792	36.327126	-335.19583	-436.38675	1000.0	32000	89.67935538291931
-206.93802	58.707188	-170.38026	-308.55124	1000.0	36000	126.24343919754028
96.683685	242.55032	502.34906	-141.03331	1000.0	40000	163.46353888511658
1151.3983	540.1175	1569.3792	245.34114	1000.0	44000	192.50568389892578
1526.5637	403.71188	2131.8584	1057.5254	1000.0	48000	229.2573664188385
1468.9104	945.81995	2565.166	501.36694	1000.0	52000	266.2021737098694
2753.401	109.154274	2890.474	2597.7876	1000.0	56000	302.68673157691956
2993.1348	249.30113	3255.5815	2638.6484	1000.0	60000	340.14314889907837
2216.2737	1111.7181	3327.1648	1006.41974	1000.0	64000	368.17118191719055
3463.6812	158.28925	3586.5369	3192.9434	1000.0	68000	405.4493205547333
2756.9092	1488.745	3731.151	186.90422	1000.0	72000	442.46694135665894
3669.9465	132.18935	3888.046	3554.289	1000.0	76000	480.21124815940857
3064.3489	1060.8298	4183.41	1920.6781	1000.0	80000	517.5389533042908
3369.4644	1277.7504	4299.554	1199.0836	1000.0	84000	545.4398832321167
1719.871	1602.7742	4336.7183	284.9842	1000.0	88000	582.8214461803436
3600.268	1088.1934	4246.1606	1715.632	1000.0	92000	620.3850116729736
4394.1196	78.51681	4485.8096	4269.38	1000.0	96000	657.7639894485474
4450.7437	133.70978	4605.7036	4252.3247	1000.0	100000	694.8626520633698
4580.2783	156.33826	4827.82	4440.766	1000.0	104000	723.3667132854462
4691.182	74.57816	4777.6777	4573.838	1000.0	108000	760.8046441078186
4956.997	260.7426	5169.7637	4511.466	1000.0	112000	797.4956278800964
5052.613	166.51688	5267.0327	4860.349	1000.0	116000	834.3406536579132
5237.963	67.59453	5345.209	5162.226	1000.0	120000	873.0533964633942
5333.385	87.49549	5479.3037	5259.419	1000.0	124000	901.7075567245483
5550.4272	101.807884	5649.7993	5395.3394	1000.0	128000	937.6263020038605
5898.5977	89.215614	5968.1284	5745.52	1000.0	132000	973.8501534461975
5316.5337	1169.752	6023.468	3290.8018	1000.0	136000	1009.7910346984863
5818.4814	140.47108	5971.085	5633.453	1000.0	140000	1046.7744557857513
5988.955	102.8263	6148.7085	5861.937	1000.0	144000	1075.1602556705475
6115.4053	54.62145	6194.2144	6040.064	1000.0	148000	1112.1197609901428
6228.7	127.6624	6435.845	6102.2803	1000.0	152000	1149.7429745197296
6257.492	84.215454	6335.5557	6125.324	1000.0	156000	1186.9226396083832
6285.04	126.80886	6483.73	6162.6436	1000.0	160000	1224.153625011444
6443.5312	65.12124	6544.2793	6362.808	1000.0	164000	1251.7088539600372
6491.12	66.68413	6566.6914	6386.2026	1000.0	168000	1289.5935552120209
6480.505	74.82319	6586.2144	6376.96	1000.0	172000	1326.8758354187012
6623.839	50.299828	6666.3276	6541.2085	1000.0	176000	1364.041084766388
6601.626	178.29578	6888.67	6411.285	1000.0	180000	1401.411024570465
6632.288	113.986755	6796.2314	6500.7686	1000.0	184000	1429.2795550823212
6833.054	112.21177	7015.44	6726.6377	1000.0	188000	1466.1255407333374
6995.9624	72.131134	7092.115	6892.334	1000.0	192000	1502.7744810581207
6944.1406	234.9889	7295.0674	6697.701	1000.0	196000	1539.2076642513275
7048.023	57.93226	7144.6655	7002.9917	1000.0	200000	1575.2828660011292
7079.8877	156.04669	7337.2686	6917.289	1000.0	204000	1603.5970799922943
7241.3623	77.01377	7332.459	7131.147	1000.0	208000	1640.0367505550385
7352.541	89.796684	7465.7734	7214.6055	1000.0	212000	1676.561919927597
7426.9355	92.52185	7518.4404	7309.0186	1000.0	216000	1712.2637934684753
7325.765	69.63215	7445.152	7272.281	1000.0	220000	1749.1106860637665
7345.887	41.61922	7405.192	7288.7144	1000.0	224000	1777.0133876800537
7287.0137	102.76145	7403.5566	7141.2583	1000.0	228000	1814.1694638729095
7414.7314	214.7183	7681.6694	7174.1978	1000.0	232000	1851.5270330905914
7483.78	66.79028	7580.283	7396.053	1000.0	236000	1889.4966278076172
7481.1475	94.0446	7607.3706	7366.3564	1000.0	240000	1926.7882268428802
7648.084	108.27853	7818.8936	7532.7417	1000.0	244000	1955.3716745376587
7613.577	93.16355	7757.1567	7523.7754	1000.0	248000	1992.748888015747
7562.9062	145.69084	7773.213	7409.7236	1000.0	252000	2030.1831295490265
7552.2305	58.849384	7613.913	7481.035	1000.0	256000	2067.0620591640472
7711.805	106.30058	7816.293	7574.0522	1000.0	260000	2104.1227383613586
7705.446	57.99971	7780.614	7639.9575	1000.0	264000	2132.035031557083
7603.8975	221.08228	7926.4556	7304.694	1000.0	268000	2169.9237339496613
7667.4517	54.51939	7734.911	7585.651	1000.0	272000	2207.100804567337
7753.909	158.97183	7979.0674	7557.7627	1000.0	276000	2243.859995365143
7814.9536	115.37085	7944.2183	7628.202	1000.0	280000	2280.1896772384644
7800.1113	89.63662	7917.889	7688.7793	1000.0	284000	2308.7825689315796
7859.249	144.3499	8103.1714	7746.889	1000.0	288000	2345.5348510742188
7911.1074	45.985832	7956.024	7842.768	1000.0	292000	2381.4755141735077
7875.9995	121.33958	8002.807	7707.942	1000.0	296000	2417.8929274082184
7955.1772	108.377106	8057.1626	7789.2954	1000.0	300000	2455.092709541321
8023.6436	78.777336	8136.427	7940.061	1000.0	304000	2482.832008600235
8068.4004	49.523808	8152.3706	8026.326	1000.0	308000	2519.82635140419
8092.156	44.689457	8151.492	8031.163	1000.0	312000	2556.9486474990845
8061.797	92.80248	8202.493	7971.7427	1000.0	316000	2593.5073359012604
8124.838	153.47083	8270.771	7902.925	1000.0	320000	2629.3470935821533
8149.912	112.7731	8277.217	8025.668	1000.0	324000	2657.0783207416534
8166.1343	152.7559	8300.608	7913.301	1000.0	328000	2693.7328095436096
8055.8306	197.75499	8234.135	7723.8687	1000.0	332000	2730.741676568985
8143.3164	27.798822	8174.3643	8098.3613	1000.0	336000	2766.8097627162933
8153.2344	104.89453	8283.474	8023.609	1000.0	340000	2803.8823442459106
8258.543	161.5297	8487.006	8040.3525	1000.0	344000	2831.950003862381
8331.669	103.34269	8465.821	8194.217	1000.0	348000	2868.477167367935
8151.6104	157.24162	8349.36	7909.136	1000.0	352000	2906.068860054016
8337.331	42.491844	8405.739	8301.524	1000.0	356000	2943.2552127838135
8370.897	94.33982	8474.62	8220.212	1000.0	360000	2979.9328055381775
8433.832	197.29156	8761.015	8259.123	1000.0	364000	3008.2103340625763
8422.187	154.33128	8645.587	8223.269	1000.0	368000	3045.1633298397064
8418.049	104.66712	8520.539	8274.754	1000.0	372000	3082.5439083576202
8326.634	118.26753	8439.28	8150.595	1000.0	376000	3119.933744430542
8441.56	138.13005	8602.321	8290.593	1000.0	380000	3156.753472328186
8453.621	100.1251	8569.617	8294.868	1000.0	384000	3185.1809804439545
8469.439	75.2705	8575.877	8388.659	1000.0	388000	3221.53453373909
8515.564	98.31683	8628.65	8388.15	1000.0	392000	3257.3434734344482
8484.156	44.261578	8522.755	8410.306	1000.0	396000	3293.3624379634857
8439.005	121.74889	8549.466	8235.436	1000.0	400000	3330.283855199814
8534.921	97.43784	8699.381	8450.481	1000.0	404000	3357.5581483840942
