AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
2.2689002	5.6325006	36.29062	-8.312216	20.469072	4000	0.8932890892028809
1.6142347	5.0481834	20.706701	-11.140293	20.323233	8000	2.5373144149780273
1.7830673	5.485661	19.04707	-9.633711	20.352041	12000	4.166520833969116
1.2543107	5.379324	28.347973	-8.741189	20.47449	16000	5.916369438171387
2.614315	6.073613	28.930685	-7.590277	21.347593	20000	7.638048410415649
2.7259398	6.8781266	59.892456	-10.241906	20.418367	24000	8.472592830657959
16.17063	60.86448	392.48434	-30.002588	39.86076	28000	32.17524528503418
187.53392	213.90381	1076.0735	-5.348494	185.26923	32000	70.95185017585754
194.86942	91.6696	395.09476	9.432293	130.03226	36000	104.8834273815155
312.17685	194.25627	680.8051	-53.400204	266.53333	40000	142.42755246162415
495.59256	195.78046	797.56903	269.60544	443.625	44000	174.36501145362854
444.98184	126.36418	613.15796	61.150368	265.46667	48000	209.13421487808228
478.69183	98.94011	791.2233	325.53146	268.5625	52000	243.23677945137024
354.9979	216.38486	650.2332	-5.8970046	215.63158	56000	276.36278533935547
449.05624	101.04976	818.35175	306.643	226.94444	60000	309.0733690261841
379.61115	83.85206	522.0629	73.03416	194.1	64000	339.5892856121063
451.1091	152.13069	1005.1148	341.31903	261.33334	68000	374.00203824043274
416.78693	73.68501	629.43616	324.30414	218.52632	72000	408.97661304473877
394.6787	50.172943	495.71667	309.33957	205.52632	76000	443.0384883880615
468.52652	132.65909	624.6067	65.246635	251.6875	80000	478.69266986846924
395.31726	204.61609	979.2095	32.6246	226.55556	84000	510.1912395954132
512.3919	152.87291	884.9317	333.04758	285.7857	88000	545.7693514823914
489.04764	262.50226	1093.1069	72.20863	318.66666	92000	580.8980658054352
433.38898	280.17633	780.9203	-54.41586	242.82353	96000	615.7182569503784
418.8287	78.695076	603.66376	315.6877	208.52632	100000	648.7351233959198
383.4341	74.86017	536.1593	240.53918	197.9	104000	681.4377558231354
385.36356	116.36629	709.89343	140.36354	188.13637	108000	717.72953748703
332.17813	100.92819	454.24075	122.02347	182.95454	112000	754.5804262161255
372.3074	106.81403	649.69037	140.21051	178.31818	116000	790.671108007431
343.8128	130.18169	641.2382	123.910965	160.2	120000	826.4993193149567
592.8322	251.69412	923.6742	40.216705	258.26666	124000	860.3588616847992
515.15	273.69522	972.3463	133.4619	239.70589	128000	897.276891708374
523.1134	235.01079	868.1726	186.41537	277.7857	132000	933.1036939620972
484.00287	252.66614	914.35767	170.1215	241.25	136000	970.1635203361511
552.284	239.2098	1009.9343	151.61722	233.05556	140000	1004.3678255081177
539.65967	206.08385	834.1279	162.2845	229.38889	144000	1038.1986792087555
507.45227	202.48299	856.5192	162.72426	214.0	148000	1072.7426750659943
647.2642	91.96628	854.30853	440.85434	265.2	152000	1109.2927300930023
680.7174	77.959625	885.4933	561.3309	257.0	156000	1142.5562961101532
500.8496	212.30801	746.13336	113.8173	197.7	160000	1175.23504114151
517.4741	223.70006	944.09796	155.90932	209.63158	164000	1205.572211265564
539.83093	94.80206	756.5916	249.83585	216.52632	168000	1237.6754031181335
541.28424	175.65872	786.69904	112.71043	208.89473	172000	1270.118409395218
664.08826	105.84059	918.22156	508.36298	251.6875	176000	1302.657341003418
680.84564	133.99832	858.3845	292.20047	249.1875	180000	1335.587328195572
681.7129	137.41083	863.17865	278.88644	238.875	184000	1365.7454171180725
649.75073	220.06679	949.3284	168.1573	232.72223	188000	1398.2847867012024
672.7203	258.64755	978.63135	124.556274	237.05882	192000	1431.6710195541382
844.88434	74.99836	948.9226	714.4851	284.2857	196000	1468.2661807537079
767.98126	212.10037	954.922	246.42743	263.0	200000	1504.8323097229004
717.0184	268.1546	1076.2736	9.679282	267.53333	204000	1536.8611874580383
893.96387	91.27066	1075.1436	731.69354	309.0	208000	1570.1984124183655
899.1733	69.81351	1025.9688	797.19604	313.23077	212000	1603.532374382019
902.8803	66.22824	1079.2267	821.0258	313.25	216000	1636.5852272510529
867.83514	181.44398	1151.0813	283.9545	299.42856	220000	1669.5840482711792
841.5279	81.75403	987.8798	643.5339	293.76923	224000	1699.7334315776825
807.7906	201.09616	966.74915	164.87665	277.33334	228000	1733.0850503444672
891.6121	81.11217	1025.6754	762.90436	328.41666	232000	1766.0447988510132
726.5048	72.86493	933.332	607.75146	264.0	236000	1799.4708025455475
724.4772	73.38647	885.314	603.66833	260.8125	240000	1832.2403829097748
678.7287	97.82974	960.49915	577.5125	254.6	244000	1862.1560876369476
686.2962	108.98062	992.7056	599.1327	253.875	248000	1894.6603229045868
660.4656	236.4847	992.2368	135.74223	245.0	252000	1927.069872379303
690.50793	67.720184	903.8039	611.1815	247.0	256000	1959.3604695796967
639.3773	231.19492	968.1949	157.92075	233.88889	260000	1990.75918674469
694.0932	182.01332	902.95776	241.50955	244.9375	264000	2020.6866891384125
502.55936	287.35464	1039.4215	147.87886	185.45454	268000	2052.606330871582
782.0228	234.18317	1167.8546	210.15784	269.2857	272000	2085.488068342209
775.5196	230.4989	1051.4082	113.73309	263.5	276000	2118.36540722847
792.7709	202.79784	1011.9937	169.26826	267.8	280000	2149.995386362076
902.91077	79.73325	995.2443	750.95703	300.53845	284000	2179.840672492981
764.81995	234.54169	1096.0533	341.44336	256.3125	288000	2212.6693618297577
817.92566	202.64963	1012.2313	113.13033	267.73334	292000	2245.4855921268463
852.3207	41.25162	907.46783	770.0908	275.7857	296000	2277.5475549697876
774.5913	187.80998	969.28784	341.80756	255.6875	300000	2309.5391974449158
776.19977	181.27255	924.66455	303.55704	266.53333	304000	2339.4290375709534
789.0346	136.66414	977.56757	470.97778	263.4	308000	2371.9132676124573
856.09186	90.46301	1036.8766	733.31256	298.30768	312000	2404.392682313919
737.12756	214.71805	956.55914	130.1497	245.17647	316000	2436.9855723381042
787.0597	139.27501	1052.8151	362.95358	266.53333	320000	2469.385185956955
746.8426	95.680855	872.4184	535.63495	250.5625	324000	2498.6601581573486
714.90424	220.59206	1019.0172	130.00368	238.05882	328000	2530.697766304016
718.1276	260.30005	1047.0586	121.400856	243.8125	332000	2563.115697622299
