AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
120.80321	36.14003	268.05667	83.19648	24.048193	4000	2.033757209777832
128.68138	38.402267	260.66367	83.19585	25.67742	8000	4.363515615463257
118.42851	32.723347	222.71657	78.20736	23.582354	12000	6.664259433746338
124.07731	36.19164	256.71313	78.487625	24.656443	16000	9.042151689529419
119.56809	35.20889	243.96773	78.335075	23.922155	20000	11.399123668670654
118.65922	32.42824	256.5512	78.50578	23.619047	24000	13.429972887039185
113.156204	75.21077	386.70352	61.6537	22.508379	28000	38.22029113769531
250.1773	28.162367	305.68277	177.79393	47.987953	32000	71.61328554153442
288.5051	62.022884	474.0317	181.13971	55.90141	36000	105.0284354686737
249.72795	105.40543	475.11627	76.14898	48.566265	40000	137.2471947669983
76.605675	4.895163	148.79652	71.26505	16.076	44000	168.0063133239746
143.20291	64.740906	269.4065	75.776276	27.544828	48000	199.37659358978271
201.1731	42.00114	301.17557	134.03519	39.66337	52000	231.34591054916382
203.12947	35.9276	287.7737	123.25058	38.54369	56000	263.06824684143066
280.02985	29.334166	419.17685	213.33058	51.307693	60000	294.61920857429504
270.7606	21.626219	354.27237	225.52705	50.4	64000	325.44727396965027
277.23843	25.935526	325.90744	214.10968	51.205128	68000	357.3545608520508
280.83432	56.5501	429.3876	178.88908	54.20548	72000	388.462069272995
320.822	96.7245	620.4431	130.94398	63.412697	76000	419.8910822868347
379.47397	71.29207	558.79956	255.14114	74.57407	80000	451.6512117385864
390.47238	62.231075	576.28864	275.39514	73.85185	84000	482.3006808757782
414.17032	74.18539	570.4901	304.27847	79.117645	88000	514.498729467392
336.6754	134.25665	741.77026	81.83675	67.86207	92000	545.5076251029968
403.40146	70.206245	542.1945	265.5094	84.541664	96000	577.1128203868866
375.89136	98.795044	706.38477	179.67946	77.62745	100000	608.6859314441681
450.96268	136.98657	858.08716	236.78827	90.61364	104000	638.955461025238
448.591	91.45217	735.937	229.30016	87.934784	108000	670.9785060882568
467.75958	100.675186	686.6858	303.39163	91.34091	112000	703.3541700839996
413.04288	118.06652	780.24384	190.19725	81.3125	116000	734.9719853401184
541.49884	160.88692	890.31586	293.58365	112.19444	120000	766.9355428218842
414.8954	100.02696	671.9154	282.1481	90.454544	124000	797.2871081829071
453.07056	133.9533	929.3488	259.6474	94.7619	128000	829.0774638652802
514.0213	152.16187	911.5133	225.63374	106.0	132000	861.436393737793
511.45303	78.58257	731.24884	351.8011	103.97436	136000	893.6386940479279
512.2628	118.46505	943.6857	315.19968	99.875	140000	926.077006816864
473.57956	111.784485	818.90796	256.61957	88.933334	144000	956.5364575386047
446.41562	100.18957	760.91205	252.74638	86.28261	148000	988.0534400939941
538.82574	157.89839	934.14294	216.66916	104.73684	152000	1020.1253719329834
549.4471	134.79106	839.0048	296.186	107.432434	156000	1052.2608501911163
601.4636	175.6127	1107.5117	329.36972	118.70588	160000	1085.0018455982208
643.3477	244.52403	1664.2211	328.54315	130.33333	164000	1115.5067582130432
598.30176	162.81796	1008.4572	325.0059	121.55882	168000	1148.093493461609
698.714	243.65686	1453.5963	401.45157	141.0	172000	1180.7750642299652
637.76	172.67627	1092.266	343.0029	128.2258	176000	1213.4125201702118
662.36414	252.42322	1408.128	357.87354	134.6	180000	1245.9320476055145
631.44666	182.52516	1013.1442	341.97418	128.87097	184000	1276.5452103614807
658.4853	219.1483	1231.9902	360.3544	133.26666	188000	1309.074705839157
667.56934	186.64574	1040.639	349.9801	132.5	192000	1341.5068576335907
712.04193	203.52911	1248.5271	402.61807	137.82759	196000	1373.9751796722412
714.4392	138.16544	1031.1682	445.91852	138.7931	200000	1406.6061463356018
739.79755	202.6643	1061.4288	403.02164	144.39285	204000	1436.6125900745392
661.5565	159.52145	994.75116	432.76175	131.63333	208000	1468.717619895935
709.6423	149.03522	1125.0443	404.97278	139.64285	212000	1501.040343761444
705.12067	202.04588	1118.1581	396.12833	139.48276	216000	1533.5318114757538
776.95056	224.9018	1275.6462	409.40686	152.8077	220000	1566.2488205432892
757.8167	236.94011	1490.8026	456.24054	150.18518	224000	1596.5532507896423
847.70337	234.51369	1337.4973	384.7198	163.95833	228000	1628.62473487854
1021.01013	405.03012	2295.4421	627.6165	196.95	232000	1660.711710691452
867.8527	275.67752	1452.1931	392.6867	168.48	236000	1693.405417919159
913.38043	192.30917	1302.6768	583.4289	178.13637	240000	1725.637190580368
967.3737	323.2636	1796.9175	514.1017	189.95238	244000	1756.4418845176697
774.6889	204.19131	1196.222	444.9857	150.77777	248000	1789.0162498950958
941.02045	261.7541	1423.2307	471.86823	182.14285	252000	1822.1690139770508
870.4339	301.26083	1591.209	508.2948	170.20833	256000	1854.5204734802246
939.74475	322.9224	1686.3397	482.56784	185.13637	260000	1887.7418944835663
1164.5396	445.622	2367.4314	486.88596	224.70589	264000	1918.0992152690887
956.2564	309.74152	1466.9366	404.11966	188.72728	268000	1951.278846502304
985.0874	442.53027	2033.3192	433.53073	193.71428	272000	1984.420973777771
1046.8077	503.5542	2508.5437	523.2369	205.52632	276000	2018.3221578598022
1233.4529	797.18463	3554.9631	604.87695	247.0625	280000	2051.8775622844696
1273.4523	554.3229	2424.8745	442.44803	248.5	284000	2082.2378363609314
978.5511	211.89746	1428.4342	625.8157	194.28572	288000	2116.411929130554
1244.3063	333.45743	1774.896	795.7146	245.5	292000	2149.7725715637207
1157.3909	416.83398	2024.3402	451.4768	228.66667	296000	2183.835995197296
1559.7837	818.0861	3441.2808	591.2214	309.15384	300000	2218.5133035182953
1360.9172	778.76	3828.9624	636.55786	267.53333	304000	2248.6459414958954
1325.0223	701.1455	3399.856	647.957	261.6	308000	2283.934782266617
1393.2161	770.9378	3177.4546	574.348	284.57144	312000	2317.686610221863
1705.5542	801.54065	3233.5796	516.13947	341.27274	316000	2351.831372976303
1854.5463	868.8913	3471.9988	648.6271	362.16666	320000	2385.4005529880524
1407.0194	731.5744	2984.3076	713.25336	277.0	324000	2415.5186698436737
1484.4485	530.5957	2720.342	600.03815	295.23077	328000	2449.5247435569763
1639.8887	693.7061	3335.7795	718.2118	321.46155	332000	2485.5442769527435
2031.3984	589.286	2710.4133	1105.8175	394.7	336000	2519.654765844345
1559.0905	648.8526	2851.8242	450.35736	306.15384	340000	2555.0008742809296
1599.8828	811.2648	3586.7732	707.5778	313.0	344000	2585.239508867264
2024.0352	811.6633	3385.021	762.57324	398.375	348000	2619.9793496131897
2190.8306	1592.182	5057.529	786.65875	432.7	352000	2653.182763814926
2417.7473	902.10205	3825.1023	947.77356	474.77777	356000	2687.533157348633
2518.6223	419.0883	3169.9854	1907.1179	495.25	360000	2727.007616519928
3042.0886	1553.6648	5142.4595	1101.1152	593.2857	364000	2756.9117336273193
1965.9744	1446.0417	4932.607	714.8679	379.0	368000	2790.951610326767
1855.4117	1399.0095	4841.854	561.35516	362.16666	372000	2826.7025220394135
2912.6545	1694.5753	5162.0747	833.89856	567.0	376000	2864.3757903575897
1676.414	837.7904	3124.016	708.40173	323.08334	380000	2901.043958902359
1698.1973	980.3343	4252.3315	707.4647	327.91666	384000	2931.0219213962555
2257.6553	1400.8848	4122.2983	666.61816	438.22223	388000	2969.592875957489
2208.4097	977.265	3827.932	972.0144	428.66666	392000	3008.221876859665
2824.3467	1076.1182	5091.8594	1564.3374	551.0	396000	3049.0291941165924
1929.5426	1668.957	5247.0444	551.53064	368.54544	400000	3086.840497493744
2394.3748	654.13586	3642.5798	1540.6008	461.7143	404000	3115.9984998703003
2743.3145	1364.0774	5164.9062	1251.3799	528.125	408000	3156.2655580043793
2793.3062	1340.6992	5149.8467	1004.6996	540.625	412000	3196.516700029373
3390.6653	1327.9052	5177.2646	2011.2556	659.3333	416000	3232.4016103744507
3587.0916	1825.4989	5154.3643	982.07996	703.0	420000	3268.83167386055
2026.1002	1157.5355	3885.9004	593.5132	397.8889	424000	3299.033438682556
3735.679	1460.6213	5218.4634	1775.902	727.6667	428000	3336.5490338802338
3493.497	1196.5006	5146.4585	2377.133	680.8333	432000	3378.2400119304657
3903.7173	1456.4402	5096.7603	1815.6713	773.4	436000	3421.4177236557007
2875.573	1115.7925	4541.8545	1407.4236	563.6667	440000	3460.387386083603
3469.5312	1575.1989	5134.6836	997.67725	678.8571	444000	3489.990884780884
4570.3594	1001.4548	5174.128	2836.0059	888.25	448000	3533.0109872817993
2940.4885	1619.797	5121.6416	872.6664	580.2857	452000	3574.0815834999084
4214.7134	1536.0542	5221.77	1232.0725	811.8	456000	3615.8250358104706
3748.996	1458.1885	5204.8823	1707.7086	724.6667	460000	3658.3120164871216
5149.4727	46.776215	5193.4243	5070.669	1000.0	464000	3688.5957334041595
5070.117	113.86151	5161.122	4879.5273	991.75	468000	3731.495314836502
5140.748	35.612015	5164.762	5079.428	1000.0	472000	3774.4524676799774
3153.7605	1667.5812	5191.609	977.3598	619.0	476000	3814.484799385071
4963.9526	298.3214	5157.3003	4448.9336	968.25	480000	3853.970112323761
4200.6084	1213.5399	5190.614	2278.6416	812.4	484000	3883.8324856758118
3625.028	1598.2332	5219.2793	1502.9128	702.8333	488000	3925.5198628902435
4380.0107	1353.8379	5206.857	2035.6682	851.0	492000	3967.444844722748
2972.8306	1865.4415	5193.3306	375.68335	578.5	496000	4010.702635526657
2907.2832	1258.074	5109.0415	1551.9554	565.8333	500000	4051.8727152347565
5172.8086	36.76562	5208.2446	5115.182	1000.0	504000	4081.3630945682526
3688.5613	1661.7726	5243.435	1225.5697	714.0	508000	4122.89760017395
4603.37	1170.0891	5204.171	2263.309	887.8	512000	4167.2396376132965
5191.782	21.40385	5219.6646	5159.5205	1000.0	516000	4207.4699466228485
4667.4297	869.6102	5212.683	3161.9602	907.0	520000	4249.887982845306
4781.4746	680.2857	5200.012	3603.5332	922.0	524000	4280.150232076645
3443.0637	1561.8871	5181.8477	549.29395	674.0	528000	4321.907749414444
5188.776	8.819421	5203.5576	5180.678	1000.0	532000	4362.743650436401
5191.6895	31.172493	5238.309	5154.7793	1000.0	536000	4406.478854417801
5207.5156	11.226234	5220.7544	5190.329	1000.0	540000	4446.753076553345
5200.142	34.298267	5230.1855	5144.4717	1000.0	544000	4477.3482484817505
4696.7183	984.4011	5215.3237	2728.2703	906.0	548000	4519.685718297958
5119.863	128.29109	5243.461	4904.8633	985.75	552000	4562.075036287308
3024.7227	1288.5238	5204.687	1932.4733	586.8571	556000	4606.0194482803345
5194.5737	22.831581	5217.4307	5160.346	1000.0	560000	4649.052838802338
4258.598	1594.9768	5183.8267	1496.033	824.0	564000	4678.9376792907715
3893.4792	1772.5747	5170.8604	1180.9365	757.5	568000	4722.779902219772
4942.5713	353.48962	5180.1714	4331.678	961.5	572000	4764.240933179855
5157.818	22.253405	5181.9395	5129.1216	1000.0	576000	4807.103455781937
3802.5188	1604.9951	5177.452	1405.7341	737.8	580000	4849.798479795456
4690.3164	1005.0375	5209.864	2680.407	903.4	584000	4879.3069841861725
3806.06	1716.1805	5199.084	952.6893	740.0	588000	4923.612439870834
5173.963	23.710125	5211.3276	5149.7964	1000.0	592000	4967.077126979828
4311.3193	1628.4347	5177.776	1055.7234	841.6	596000	5007.872774362564
4389.678	1494.2712	5179.3394	1401.5206	858.6	600000	5050.657705068588
5157.525	27.720818	5199.456	5122.502	1000.0	604000	5081.333543300629
3597.1765	1949.6434	5190.175	699.55255	696.0	608000	5124.925824642181
4279.494	1689.4095	5153.054	900.83795	837.8	612000	5168.666776895523
4504.3115	1121.8597	5215.814	2562.7017	874.25	616000	5211.704824924469
5134.654	26.876398	5160.562	5091.2764	1000.0	620000	5255.610342025757
5122.439	36.036674	5172.8984	5080.9	1000.0	624000	5286.112885475159
4460.491	1359.6241	5199.147	1742.1901	872.2	628000	5328.138357639313
5223.9434	25.381172	5253.2285	5191.6274	1000.0	632000	5369.732753276825
5161.6855	44.24105	5212.2026	5095.927	1000.0	636000	5414.02019739151
4484.5757	832.3246	5169.8354	3266.7258	869.2	640000	5456.477125406265
5168.339	44.28519	5210.208	5094.9097	1000.0	644000	5486.745926618576
5175.3926	19.7656	5200.7686	5149.2456	1000.0	648000	5530.174497127533
5154.2085	38.320805	5211.4873	5103.5405	1000.0	652000	5571.53737783432
5161.97	37.42775	5215.436	5111.7114	1000.0	656000	5614.807416915894
5113.433	44.09067	5175.2764	5050.729	1000.0	660000	5658.341746091843
3956.9375	1492.5917	5218.585	1966.0137	765.4	664000	5689.477509975433
5173.8057	35.41303	5216.0146	5124.6533	1000.0	668000	5732.995977401733
5210.308	48.587784	5264.67	5138.191	1000.0	672000	5776.4834043979645
4166.675	1836.2338	5253.1646	508.20718	800.2	676000	5819.6830513477325
5208.9497	42.023884	5250.354	5144.7275	1000.0	680000	5861.183402061462
5276.6143	33.38683	5323.187	5242.2275	1000.0	684000	5891.401510953903
4318.462	1641.8195	5159.2427	1035.0787	840.8	688000	5933.16290974617
5214.1113	33.227825	5264.384	5172.4995	1000.0	692000	5974.027851104736
5185.064	53.47026	5273.447	5131.2847	1000.0	696000	6017.3950090408325
5212.666	43.408615	5269.9897	5151.955	1000.0	700000	6059.741811990738
5209.872	10.147678	5220.254	5193.4404	1000.0	704000	6089.675675392151
5228.979	34.594547	5270.294	5186.1973	1000.0	708000	6133.523239850998
5207.204	54.351723	5271.153	5132.3867	1000.0	712000	6177.599092721939
5221.1094	57.64188	5273.582	5131.6143	1000.0	716000	6221.202570915222
5176.328	47.009495	5223.3643	5121.2393	1000.0	720000	6265.032750368118
5183.9873	26.608982	5222.8267	5147.6504	1000.0	724000	6295.513517141342
4276.7676	1554.3243	5239.779	1585.5245	826.5	728000	6339.833426952362
4933.924	330.2945	5172.051	4367.204	961.75	732000	6382.956317663193
5140.913	43.395973	5210.074	5091.42	1000.0	736000	6425.21923327446
5172.7153	47.291447	5224.2344	5097.233	1000.0	740000	6469.440993070602
5136.861	75.46775	5225.5645	5055.841	1000.0	744000	6499.505206108093
4603.393	1095.889	5188.025	2413.1077	893.6	748000	6542.119934082031
5159.7607	64.353226	5250.0034	5071.4785	1000.0	752000	6586.8682425022125
4173.009	1589.9661	5163.877	1018.57684	822.0	756000	6630.844205617905
4521.452	707.8111	5217.495	3614.794	871.75	760000	6675.576887845993
5157.384	81.91526	5265.026	5046.769	1000.0	764000	6705.113593578339
5240.9404	29.776339	5274.702	5199.2217	1000.0	768000	6749.7146553993225
4763.8174	898.4082	5260.792	2967.7585	916.6	772000	6794.468234777451
4373.5728	1068.2511	5313.7456	2963.941	838.8	776000	6838.655390024185
5220.809	13.0337305	5234.238	5199.422	1000.0	780000	6880.895261287689
5242.47	8.428904	5250.3687	5228.529	1000.0	784000	6910.647226810455
5272.6484	40.127155	5318.258	5212.5273	1000.0	788000	6954.651741266251
5223.396	26.749918	5247.9126	5178.219	1000.0	792000	6998.142038106918
5019.738	326.26157	5275.8315	4472.968	967.25	796000	7041.659667730331
5168.7495	39.518806	5226.1025	5127.937	1000.0	800000	7086.116482019424
4580.509	1028.6072	5214.517	2800.1116	887.0	804000	7116.507540225983
3511.4592	1862.9724	5242.9424	853.94305	675.3333	808000	7158.39359498024
5234.586	40.36892	5279.157	5182.619	1000.0	812000	7199.837748765945
5182.7285	34.34686	5238.475	5154.1504	1000.0	816000	7243.647172927856
5198.1846	41.00432	5255.467	5142.2188	1000.0	820000	7288.910982131958
4601.2217	1188.4178	5228.877	2225.2727	885.6	824000	7318.695315361023
5228.6787	28.356615	5260.898	5185.2476	1000.0	828000	7361.527846574783
4348.2314	1567.7219	5335.6797	1634.6902	828.75	832000	7405.43975353241
4572.695	1366.6487	5280.656	1839.5876	872.0	836000	7450.915697813034
5275.0605	39.573982	5334.372	5222.953	1000.0	840000	7494.905052185059
5266.0337	52.747818	5334.332	5192.19	1000.0	844000	7524.732070684433
4589.345	1307.1436	5325.2793	1977.2294	875.2	848000	7569.421187877655
5227.477	45.160244	5284.285	5167.8667	1000.0	852000	7612.8239097595215
4855.295	660.4353	5393.475	3773.5767	911.0	856000	7657.169042110443
4459.303	1053.1814	5355.7197	3136.2085	848.0	860000	7701.1323273181915
5355.13	17.157503	5374.411	5329.253	1000.0	864000	7731.1492302417755
5239.89	29.169731	5272.0664	5193.854	1000.0	868000	7773.981029748917
5251.32	25.761536	5287.615	5215.8877	1000.0	872000	7818.139985561371
5292.2393	61.78448	5378.8853	5205.394	1000.0	876000	7862.3926639556885
5283.2974	47.96702	5318.1978	5200.945	1000.0	880000	7906.109706878662
4758.201	837.2042	5274.8594	3309.1006	907.0	884000	7936.161671161652
5256.9204	12.058102	5273.149	5240.2573	1000.0	888000	7978.620620727539
5268.433	83.93113	5358.9297	5137.1045	1000.0	892000	8022.9699013233185
5283.381	32.5526	5323.3105	5233.0767	1000.0	896000	8066.790095329285
5242.9844	97.001045	5369.301	5116.5317	1000.0	900000	8111.219685554504
4820.9814	934.34937	5300.713	2952.37	913.6	904000	8141.459602355957
5314.755	68.74964	5423.0723	5237.9976	1000.0	908000	8184.354121685028
5273.648	8.139399	5285.0835	5262.3076	1000.0	912000	8228.332977294922
4690.464	1132.4589	5407.3853	2730.1948	880.5	916000	8272.101458072662
5362.4727	38.292168	5396.291	5300.6143	1000.0	920000	8316.419915437698
5282.0625	30.739471	5331.788	5253.6113	1000.0	924000	8346.687136411667
4769.7783	1099.7281	5352.584	2571.1775	899.0	928000	8390.984016656876
5314.9766	79.3953	5451.909	5261.253	1000.0	932000	8434.4055519104
4573.3926	1330.79	5377.2485	2268.9197	859.25	936000	8478.783961057663
5262.018	51.181267	5325.595	5197.2534	1000.0	940000	8523.080086231232
4759.9673	1053.017	5398.6763	2660.642	899.4	944000	8553.471249818802
5339.8384	44.720974	5409.581	5284.988	1000.0	948000	8598.445662498474
4815.1064	849.3458	5346.825	3344.8787	914.5	952000	8644.477006912231
5187.5723	58.05422	5275.1597	5115.4	1000.0	956000	8688.256201982498
5045.769	263.37183	5238.416	4596.543	975.5	960000	8732.435965776443
5285.382	61.010895	5355.64	5190.7246	1000.0	964000	8764.007283687592
5269.749	39.93402	5317.324	5229.2173	1000.0	968000	8808.322334051132
5290.308	66.41763	5377.6826	5212.273	1000.0	972000	8853.84764790535
5319.835	46.42896	5374.961	5250.0464	1000.0	976000	8899.369562864304
5333.507	48.931915	5390.7856	5262.691	1000.0	980000	8944.917323827744
5269.7446	56.27939	5320.0474	5174.26	1000.0	984000	8975.734092473984
5051.5244	503.29535	5379.3623	4181.1655	945.5	988000	9019.856546401978
5291.1284	44.795437	5344.2686	5237.939	1000.0	992000	9065.482122421265
4682.331	1205.2188	5322.9976	2273.3447	887.4	996000	9111.045061588287
4915.031	704.1053	5334.572	3695.723	922.25	1000000	9155.466569900513
