AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
-43.18913	3.9460604	-33.08909	-50.855312	50.0	4000	0.441756010055542
-42.67176	3.5042183	-35.44723	-53.823307	50.0	8000	1.2187299728393555
-43.946346	4.3738832	-34.673203	-55.09844	50.0	12000	2.0059847831726074
-42.947823	3.8016732	-35.24466	-51.42931	50.0	16000	2.7841689586639404
-42.583153	4.002739	-33.964706	-54.370785	50.0	20000	3.5699496269226074
-42.978096	3.8566723	-36.000004	-51.373035	50.0	24000	4.009978532791138
-24.195532	22.167553	-3.9005225	-97.803894	50.0	28000	26.37141180038452
-9.737516	2.5246456	-3.7118104	-14.936201	50.0	32000	56.743202686309814
-8.9364605	2.9633424	-3.506251	-14.877173	50.0	36000	86.24406361579895
-7.1941743	2.1786	-2.8684042	-11.801094	50.0	40000	116.94173002243042
-7.8484545	2.2876241	-2.7951329	-12.922974	50.0	44000	147.86039280891418
-6.882102	1.9102614	-2.8646646	-12.769759	50.0	48000	178.33807730674744
-6.801383	1.5314122	-3.3247864	-10.187203	50.0	52000	208.0419566631317
-6.390289	1.4914752	-3.3073533	-9.657692	50.0	56000	237.9069631099701
-6.1327963	1.8500481	-3.1125834	-13.263834	50.0	60000	267.64182806015015
-6.8570127	2.5994956	-2.5088217	-13.6915045	50.0	64000	296.6064202785492
-6.9256845	1.9323758	-3.978554	-13.235891	50.0	68000	325.6655607223511
-6.8022385	1.7766186	-3.017728	-11.368597	50.0	72000	356.0189411640167
-6.323715	1.9537762	-2.3084102	-10.336315	50.0	76000	385.0441448688507
-6.48314	1.6440355	-2.5534322	-10.229209	50.0	80000	414.70023584365845
-6.4844885	1.7359458	-2.0065417	-9.470651	50.0	84000	445.4212374687195
-6.2301927	1.707207	-1.6983911	-10.172429	50.0	88000	474.5003957748413
-6.4235473	1.5532174	-2.5089827	-8.989948	50.0	92000	504.26656579971313
-5.8149004	1.8147962	-1.996136	-10.000924	50.0	96000	533.2825787067413
-5.822072	1.5509741	-2.0395508	-9.428361	50.0	100000	565.3284912109375
-5.5833325	1.443928	-2.1110904	-8.692149	50.0	104000	595.5376205444336
-6.054783	1.3354993	-2.478937	-9.449061	50.0	108000	628.3698101043701
-5.767906	1.5473187	-1.8445147	-10.093068	50.0	112000	658.2596302032471
-5.8090925	1.9582763	-2.0731237	-11.170578	50.0	116000	688.8704421520233
-5.4853606	1.7101736	-2.4650788	-11.538852	50.0	120000	717.941764831543
-5.597257	1.3964862	-2.8047743	-8.858917	50.0	124000	746.7791163921356
-5.376473	1.613188	-2.1946113	-9.764836	50.0	128000	775.5869855880737
-5.4320784	1.1970502	-2.209182	-8.037926	50.0	132000	804.2331743240356
-5.2331595	1.5815328	-2.062831	-8.623931	50.0	136000	832.7118353843689
-5.506812	1.3519261	-2.5360544	-9.181593	50.0	140000	861.1557140350342
-5.238221	1.494694	-1.8309052	-8.45862	50.0	144000	889.3051562309265
-5.423102	1.2610567	-3.0876129	-8.700333	50.0	148000	918.3766083717346
-5.1975327	1.4049178	-2.0843625	-8.436442	50.0	152000	947.3533627986908
-5.653122	1.4289488	-2.294331	-9.391831	50.0	156000	976.1916215419769
-5.12033	1.3191105	-2.4337993	-8.136887	50.0	160000	1005.1044137477875
-5.6403832	1.312389	-2.8419025	-8.330177	50.0	164000	1033.8446311950684
-5.320301	1.3897874	-1.8397644	-8.173507	50.0	168000	1063.3608422279358
-5.383172	1.4507462	-2.0189507	-8.105161	50.0	172000	1092.8020322322845
-5.23477	1.3499436	-2.3998642	-7.8884387	50.0	176000	1122.6616344451904
-5.3901687	1.3996667	-2.8672	-8.301447	50.0	180000	1151.5325706005096
-5.475354	1.3210638	-2.4967163	-8.930692	50.0	184000	1179.8202316761017
-5.490171	1.3263483	-2.2436004	-8.836502	50.0	188000	1208.677767753601
-5.201908	1.3610159	-2.0689108	-8.100078	50.0	192000	1238.5201060771942
-5.49726	1.4727359	-2.6718488	-8.788415	50.0	196000	1267.754966020584
-5.506215	1.3158245	-2.4943314	-8.154017	50.0	200000	1296.9409012794495
-5.5205927	1.5458608	-1.6400902	-8.296582	50.0	204000	1326.6411349773407
-5.1935143	1.6063207	-2.2052433	-8.476912	50.0	208000	1359.1700656414032
-5.241697	1.2290068	-2.466704	-8.171515	50.0	212000	1388.2340693473816
-5.2488494	1.3791142	-2.4248767	-7.604501	50.0	216000	1417.5929572582245
-5.367565	1.4287707	-1.8231809	-8.336843	50.0	220000	1447.5337908267975
-5.2640977	1.590003	-2.270794	-8.833037	50.0	224000	1476.4787230491638
-5.593568	1.3167548	-2.1306167	-8.242205	50.0	228000	1505.6965317726135
-5.3002787	1.3197033	-1.9972095	-8.678575	50.0	232000	1535.5438556671143
-5.3465905	1.4652349	-2.343752	-8.816633	50.0	236000	1566.2595489025116
-5.1741676	1.4364866	-2.467068	-7.970231	50.0	240000	1596.6374506950378
-5.2070417	1.4622158	-2.3382125	-7.8195496	50.0	244000	1626.9769685268402
-5.1426516	1.2420028	-2.1757116	-7.6563473	50.0	248000	1656.3931617736816
-5.424878	1.5001866	-2.3109438	-9.088083	50.0	252000	1685.4935252666473
-5.1690063	1.5475811	-2.3488834	-8.487397	50.0	256000	1715.0012209415436
-5.025008	1.4904337	-1.9815506	-8.600718	50.0	260000	1748.4230666160583
-5.068901	1.4243568	-2.393217	-7.724944	50.0	264000	1777.339106798172
-5.2347555	1.3986858	-2.4319003	-8.247868	50.0	268000	1806.7536432743073
-5.220661	1.2358243	-2.888587	-8.05368	50.0	272000	1835.85653591156
-5.09772	1.2053475	-2.2690115	-7.5662193	50.0	276000	1867.5754914283752
-5.2379594	1.3752619	-2.4457948	-8.764036	50.0	280000	1897.6872029304504
-5.311888	1.4633704	-1.8258656	-7.977399	50.0	284000	1926.7549035549164
-5.166272	1.3925582	-1.9931107	-8.465665	50.0	288000	1955.9104223251343
-5.474028	1.3481176	-1.9655999	-8.44149	50.0	292000	1986.4160599708557
-5.1000834	1.5233933	-2.0064094	-8.812852	50.0	296000	2015.9631607532501
-5.382261	1.5783659	-1.9207708	-8.544903	50.0	300000	2045.5119750499725
-5.002193	1.4562845	-2.200004	-8.210928	50.0	304000	2074.118281841278
-5.10576	1.2594898	-2.1819875	-7.7723093	50.0	308000	2103.0001769065857
-5.2365127	1.3594862	-2.3080275	-7.968215	50.0	312000	2133.489104986191
-5.4008455	1.3813184	-2.4376705	-8.528936	50.0	316000	2165.924387693405
-4.9712343	1.6703694	-2.0170949	-8.811208	50.0	320000	2195.434632062912
-5.093615	1.2825522	-2.1640697	-7.936473	50.0	324000	2224.374071598053
-5.1622906	1.5482041	-1.8590846	-8.584641	50.0	328000	2253.2475702762604
-5.0751967	1.4108977	-1.9224155	-8.384692	50.0	332000	2282.255254983902
-5.086927	1.432102	-1.9301686	-8.895368	50.0	336000	2311.4697420597076
-5.2323914	1.4356328	-2.3199701	-7.926076	50.0	340000	2340.8194353580475
-5.0580416	1.2853208	-2.492409	-9.074704	50.0	344000	2369.385387659073
-5.3593645	1.5039587	-2.103082	-7.926998	50.0	348000	2398.0453901290894
-5.262764	1.5012641	-2.1329484	-8.380904	50.0	352000	2428.809808731079
-5.285135	1.3682464	-1.9693403	-8.200954	50.0	356000	2458.9868471622467
-5.0608206	1.3999122	-2.294359	-7.895337	50.0	360000	2490.196511745453
-4.9062567	1.468819	-2.2112005	-7.6074395	50.0	364000	2519.149633169174
-5.323678	1.4105124	-2.3793445	-8.17966	50.0	368000	2549.0008063316345
-5.3805566	1.3436735	-2.6529727	-8.375203	50.0	372000	2578.2794864177704
-4.9259863	1.5384543	-1.5519375	-8.852818	50.0	376000	2608.6257705688477
-5.11232	1.4918973	-1.9961915	-8.007099	50.0	380000	2637.9221279621124
-5.242073	1.5109165	-1.9185108	-8.534117	50.0	384000	2666.535737514496
-5.380788	1.3642964	-1.9810436	-8.483381	50.0	388000	2695.6946194171906
