AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
1.8984083	4.681813	20.016228	-9.715907	20.785341	4000	0.8918142318725586
2.4199078	5.508381	20.397303	-10.063504	21.43617	8000	2.1877222061157227
2.6074564	6.537304	33.676533	-11.247319	21.717392	12000	3.4246866703033447
2.3598108	5.7160563	26.45203	-11.571277	21.304813	16000	4.6912617683410645
2.083013	5.992634	30.836731	-10.986866	21.297873	20000	5.934604167938232
2.459302	5.652453	28.547176	-8.389129	20.58763	24000	6.83824896812439
23.764885	88.12136	546.60376	-33.554523	54.2027	28000	30.596024990081787
170.46977	167.01106	435.68073	-47.918346	166.54167	32000	63.338134765625
234.03242	89.37633	559.7157	135.80316	139.07143	36000	94.1740550994873
219.76135	95.453094	483.35477	113.04609	140.2069	40000	124.32096314430237
223.85373	173.701	1013.2281	3.8335764	141.71428	44000	153.24171376228333
251.83772	92.92148	509.60022	61.095062	182.14285	48000	184.80641388893127
241.13722	94.20028	436.68372	36.060265	184.08696	52000	215.2363669872284
255.81392	82.30466	538.0599	156.35112	171.56522	56000	245.98084545135498
235.70042	70.55935	457.1106	36.4486	166.5	60000	277.0931797027588
254.35245	58.724644	386.22458	166.17879	161.52	64000	305.8771765232086
249.61015	133.10704	611.6709	-43.5866	210.36842	68000	337.07140612602234
232.18164	72.53419	484.53174	114.271996	128.80646	72000	366.89943504333496
308.63437	109.42524	722.2662	106.77761	157.44	76000	397.6864469051361
350.1657	104.67508	630.7499	154.40753	169.45454	80000	427.71715235710144
292.24612	135.36522	902.1502	164.24004	155.57143	84000	456.7254431247711
238.52356	121.93857	449.28717	-45.29194	142.75	88000	486.5278398990631
274.324	159.46104	770.05865	-4.7828846	173.21739	92000	517.0413999557495
324.20242	145.78247	667.58325	119.025505	148.40741	96000	547.2724857330322
321.55923	140.77441	624.57404	110.30299	145.07408	100000	578.9161322116852
681.0984	307.94513	1128.4757	218.91835	314.53845	104000	607.5565330982208
313.50427	152.90926	548.6339	-73.02368	152.96153	108000	639.5378577709198
344.07812	127.751625	605.5415	105.721375	155.28	112000	669.7428233623505
385.89984	216.5443	1069.9043	72.05213	205.95	116000	699.8885900974274
466.8363	244.7924	1135.634	116.68441	208.05263	120000	730.0299475193024
537.2526	389.52872	1379.4132	117.174934	256.5625	124000	759.3539781570435
515.6451	284.11465	1167.8512	122.69627	211.5	128000	789.2388496398926
416.94415	231.84424	977.2159	91.385704	184.77272	132000	820.6796765327454
443.82193	170.03513	729.65826	86.92007	190.4762	136000	851.6740257740021
461.13266	215.71204	815.39905	3.7955394	205.35	140000	882.7403407096863
607.6037	175.64291	839.2452	224.41531	245.6875	144000	911.4545834064484
485.2659	142.77635	690.16895	133.86801	180.5	148000	942.1819322109222
544.83215	107.17744	738.004	209.20393	200.05	152000	973.4328663349152
412.20712	205.42632	718.58704	131.5006	169.33333	156000	1003.5974206924438
396.68277	210.17087	719.4321	109.365	155.57692	160000	1033.472156047821
363.14343	184.40688	680.58685	106.5184	142.33333	164000	1062.231005191803
357.03088	151.83061	724.31067	99.49832	138.75862	168000	1092.6708850860596
394.5176	146.2539	820.1166	213.12067	149.59259	172000	1123.146010875702
367.1002	157.63895	672.8558	101.83767	146.37038	176000	1155.0939996242523
409.37128	162.43129	869.71387	157.88188	156.96153	180000	1186.1870312690735
433.7784	185.7324	746.8803	99.54602	169.29167	184000	1215.2830324172974
412.8385	211.46577	767.3604	104.75633	156.36	188000	1246.3728642463684
540.6412	182.46304	725.8197	111.994026	200.5	192000	1277.59507894516
675.0209	93.87617	862.7508	543.8048	250.0	196000	1309.1321856975555
627.1686	208.91196	996.16095	125.86144	226.64706	200000	1339.6775946617126
605.1891	177.58734	863.3625	128.28624	221.21053	204000	1369.285931110382
619.2776	143.80022	768.74554	117.833855	226.23529	208000	1402.2964737415314
601.81177	205.83359	1007.36945	159.8172	230.22223	212000	1433.7549302577972
577.6746	166.80342	793.5089	287.0481	218.83333	216000	1465.3488402366638
655.66956	170.74425	782.0465	99.08936	232.70589	220000	1496.7628178596497
645.6977	166.57854	940.11804	184.40778	248.3125	224000	1526.0490474700928
632.63416	134.31381	833.6758	241.89336	222.27777	228000	1556.6452176570892
585.0818	151.55	794.3103	254.33542	208.55	232000	1587.816001176834
572.32916	129.41498	800.5633	190.97266	199.26315	236000	1619.2773385047913
514.705	161.34105	734.1347	136.35179	189.45454	240000	1650.1624126434326
574.84265	131.2226	761.1839	367.94705	204.3158	244000	1679.6322093009949
468.88574	199.50969	738.2494	138.13611	173.0	248000	1710.4047944545746
483.4457	180.68175	704.35046	140.52612	177.59091	252000	1740.7119929790497
553.9474	160.05798	793.8113	173.8496	194.4762	256000	1771.5000350475311
543.8453	166.93336	827.1019	198.58165	191.55	260000	1802.484822511673
508.51056	230.983	836.14496	100.275505	199.55	264000	1831.5483787059784
749.6409	91.659195	884.5244	569.7788	279.33334	268000	1863.2382626533508
667.51825	182.65372	872.07764	272.73715	250.0	272000	1895.0210931301117
729.66766	109.750824	880.80896	435.54117	272.53333	276000	1926.3916065692902
692.9606	97.84344	854.5081	550.1091	253.1875	280000	1957.9989998340607
691.3415	181.49255	1039.5012	373.77097	257.8	284000	1987.0537400245667
664.6704	75.92199	789.8147	582.6359	252.25	288000	2018.4891300201416
710.7555	88.73966	861.4133	579.9123	261.5625	292000	2050.031497478485
673.3918	91.02963	809.964	524.8626	246.75	296000	2081.729811191559
713.8056	78.08586	825.152	531.3935	259.8	300000	2114.665782928467
668.9954	81.404106	822.6029	546.26044	237.0	304000	2144.5543065071106
696.41595	87.12262	908.36066	586.5172	255.3125	308000	2176.005855321884
646.48944	122.38219	797.31537	279.13776	225.94118	312000	2207.0880250930786
679.50134	83.01977	817.5038	545.26514	241.29411	316000	2238.301946401596
711.4005	75.84711	805.11725	558.82904	250.9375	320000	2269.670142889023
649.57764	77.04762	824.36346	547.5077	233.88235	324000	2298.834137439728
699.68726	67.17552	810.3043	585.0846	253.0625	328000	2330.4187712669373
668.937	82.887825	796.6263	548.8384	238.58824	332000	2361.9065129756927
652.04675	64.00724	744.2528	571.8884	233.76471	336000	2393.0864367485046
708.2844	70.12343	787.8345	558.62085	250.75	340000	2424.2797322273254
694.6767	76.46941	782.0232	509.88126	253.1875	344000	2453.516009569168
672.60004	89.52236	848.066	478.04858	246.8125	348000	2484.967549800873
738.9936	100.107994	871.7826	529.3426	266.46667	352000	2516.6231501102448
711.9923	70.28054	829.89764	608.6329	255.13333	356000	2548.536314725876
699.87994	137.92186	824.1557	353.0489	248.47058	360000	2580.0845110416412
731.84924	94.96242	838.4192	523.9357	260.0	364000	2609.0717947483063
684.4029	97.825	793.84576	493.28714	241.17647	368000	2640.4048521518707
717.9383	119.59824	901.6322	512.14496	255.8	372000	2671.674184322357
701.5433	127.84171	839.87683	307.06586	250.5625	376000	2702.9593012332916
645.77844	111.215324	798.59174	379.86197	225.77777	380000	2734.387360572815
666.31256	176.5822	838.15094	155.92099	240.94118	384000	2763.638076543808
690.3755	126.9031	892.7714	407.09537	244.4375	388000	2795.4324684143066
794.9042	78.023384	939.19183	679.5715	277.92856	392000	2827.1934847831726
732.6006	173.64182	957.756	145.25223	258.3125	396000	2858.3531782627106
748.0163	110.78174	981.8511	522.9046	263.66666	400000	2889.502198457718
826.59674	100.53854	1012.21313	668.9887	287.7857	404000	2918.6334986686707
821.106	93.223724	1022.4844	698.6787	287.57144	408000	2950.9529070854187
784.99286	110.70558	973.0974	578.7493	265.73334	412000	2982.8392543792725
846.3212	114.38717	996.52814	671.35657	289.69232	416000	3015.043457508087
830.9044	162.57147	1076.6818	455.0318	285.0	420000	3046.982874393463
885.3765	124.42694	1191.9203	789.8786	302.23077	424000	3075.705560684204
849.44965	134.3699	1028.1512	489.2655	289.7143	428000	3107.414623260498
822.1776	117.09466	1046.9945	630.3992	279.35715	432000	3139.3435068130493
905.40784	145.70189	1113.9829	604.6586	302.15384	436000	3171.2830498218536
948.02045	115.61403	1088.5558	790.22974	320.30768	440000	3204.190073490143
820.4287	130.44316	1047.5786	640.6635	275.92856	444000	3233.165141582489
834.963	116.43334	1083.8678	667.0458	280.7857	448000	3265.1697132587433
857.28284	36.230896	923.41907	783.89746	295.92856	452000	3297.6427776813507
831.55084	92.76086	972.2706	642.8139	290.85715	456000	3329.773586988449
898.1572	43.02561	976.7943	827.59906	310.83334	460000	3361.867769241333
930.967	111.18404	1090.6626	722.4784	338.41666	464000	3391.246320962906
902.1051	73.39692	1116.5687	788.14594	311.23077	468000	3424.165542125702
901.6788	81.75977	1043.0057	767.87866	309.07693	472000	3455.65176320076
928.5059	64.941536	1038.4495	819.6906	337.5	476000	3487.4001541137695
828.81384	63.13147	903.41223	655.30963	285.5	480000	3519.069453716278
856.9598	44.91237	918.1418	773.7044	291.2143	484000	3548.0377089977264
864.96246	79.47734	978.6497	665.1344	288.35715	488000	3579.7463669776917
865.10925	66.98528	1001.86383	751.2938	290.3846	492000	3611.4188692569733
930.8789	110.98857	1112.7482	746.4331	307.84616	496000	3643.174446582794
936.53186	87.64625	1091.2451	806.9493	308.53845	500000	3675.838583946228
872.0576	195.72589	1471.9119	666.34235	294.14285	504000	3704.435353755951
959.18	280.43005	1837.721	618.2568	315.46155	508000	3736.5536801815033
1224.0809	653.12683	3023.6838	848.02325	407.33334	512000	3769.270094394684
966.5927	142.68753	1188.6802	744.4163	320.46155	516000	3800.5442566871643
871.65515	141.59021	1042.822	592.0361	294.14285	520000	3832.112323999405
892.10443	168.39488	1357.7412	616.4814	299.3846	524000	3861.4048023223877
869.0014	136.7006	1089.69	618.8903	292.07144	528000	3892.8247995376587
916.97473	186.71313	1358.2028	701.0215	308.92307	532000	3925.2229204177856
951.2038	139.70253	1189.242	808.49695	319.25	536000	3956.940088748932
921.05493	151.67453	1198.2152	708.3241	309.6154	540000	3988.5724811553955
