AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-333.95068	31.432474	-301.06033	-385.8638	-0.48580545	0.95794183	1.0481075	-2.1455507	1000.0	1000.0	5000	8.893806219100952
-308.62964	91.75134	-195.6041	-446.4791	-0.011252304	0.6240052	1.4057705	-0.98080593	1000.0	1000.0	10000	17.668370008468628
-287.81415	43.63033	-214.88121	-337.92236	-0.13859527	0.6121455	0.6245094	-1.4710022	1000.0	1000.0	15000	26.837242364883423
-285.7416	42.90044	-236.9106	-353.2689	-0.3213113	0.3957925	0.497206	-0.8363248	1000.0	1000.0	20000	35.19345211982727
-296.34454	70.46116	-192.08205	-356.27197	-0.49803114	0.6838645	0.40373117	-2.0241444	1000.0	1000.0	25000	44.79988622665405
-541.1682	45.924927	-498.57816	-613.6094	-612.72614	75.529594	-512.21606	-749.1074	1000.0	1000.0	30000	94.18826794624329
388.74945	786.72705	1737.7478	-575.22186	203.9687	696.1444	1543.1298	-569.91266	1000.0	1000.0	35000	144.87305068969727
1966.958	167.60426	2115.114	1655.9751	2124.974	120.82956	2358.2922	1888.6311	1000.0	1000.0	40000	196.04338312149048
2368.316	175.86235	2581.8313	2128.636	2279.1416	882.2148	2744.573	-355.49957	1000.0	1000.0	45000	247.21104049682617
2449.4631	692.6206	2930.2844	1074.9806	2163.3423	1224.7389	3085.1597	-878.28204	1000.0	1000.0	50000	299.80761790275574
2981.21	165.93193	3272.2034	2803.8474	3365.957	162.15137	3673.7673	3073.6611	1000.0	1000.0	55000	350.5553741455078
3259.5723	89.61728	3432.2378	3177.6826	3384.2856	164.54588	3685.5322	3119.976	1000.0	1000.0	60000	400.7339472770691
3397.1978	258.2108	3721.1619	2948.893	3415.7043	725.4378	3858.1514	1295.742	1000.0	1000.0	65000	450.416699886322
3684.2507	104.717	3837.642	3565.4873	3584.4578	240.9136	3841.702	3147.7915	1000.0	1000.0	70000	500.7109622955322
3989.1138	179.55763	4150.7183	3670.4978	4098.307	147.06696	4313.4966	3900.143	1000.0	1000.0	75000	552.7173099517822
4111.6084	131.445	4253.0586	3957.9417	4300.2397	93.71951	4442.3965	4106.5137	1000.0	1000.0	80000	603.8253939151764
4188.4424	185.69165	4521.332	3973.5981	4277.9775	338.02377	4588.1724	3361.4565	1000.0	1000.0	85000	654.1462953090668
4343.5615	102.16403	4480.885	4196.47	4312.7393	230.41042	4516.195	3719.7578	1000.0	1000.0	90000	702.4267914295197
4491.366	157.70618	4729.5347	4238.507	4710.7812	134.90948	4907.2485	4529.1484	1000.0	1000.0	95000	749.3177909851074
4104.45	752.123	4510.3364	2601.125	4688.2725	96.20279	4837.1406	4566.923	1000.0	1000.0	100000	794.8007833957672
4587.207	168.79144	4792.1274	4292.381	4600.585	440.12085	4825.1685	3287.5361	1000.0	1000.0	105000	1270.2189257144928
4392.124	469.0453	4704.1787	3463.7395	4760.5454	162.78514	4988.744	4409.3755	1000.0	1000.0	110000	1317.8663370609283
4682.4126	143.657	4879.973	4471.498	4773.3184	84.12782	4909.0674	4665.6895	1000.0	1000.0	115000	1367.8912682533264
4702.215	64.81131	4790.2144	4636.916	4912.744	132.68237	5088.785	4631.3486	1000.0	1000.0	120000	1416.3992326259613
4807.572	97.32916	4917.2544	4678.119	4938.491	109.175415	5093.6987	4747.1416	1000.0	1000.0	125000	1466.1910283565521
4835.139	117.45454	4971.8354	4649.188	4927.2905	392.42343	5150.984	3765.7646	1000.0	1000.0	130000	1516.7077922821045
5016.4297	81.70679	5161.6265	4919.3657	5019.95	145.61096	5208.944	4741.985	1000.0	1000.0	135000	1568.0424373149872
4859.6787	79.15242	4939.58	4719.483	5128.703	164.69057	5319.3555	4723.7686	1000.0	1000.0	140000	1618.4198384284973
5163.779	54.655914	5236.1206	5109.736	4676.6553	1345.9015	5286.451	652.28705	1000.0	1000.0	145000	1669.1528112888336
5265.4414	83.60279	5351.871	5117.95	5321.3516	91.02417	5453.0366	5153.2593	1000.0	1000.0	150000	1719.5989713668823
5121.0757	152.37221	5321.782	4864.1816	5327.486	178.56476	5542.4717	4952.517	1000.0	1000.0	155000	1769.7402832508087
5207.39	103.16444	5343.157	5087.026	5398.674	115.34175	5582.014	5142.8423	1000.0	1000.0	160000	1820.3640024662018
5227.559	114.14996	5407.279	5106.577	5444.672	120.768906	5651.6973	5273.8477	1000.0	1000.0	165000	1870.2643404006958
5320.1455	84.51617	5421.696	5168.1436	5283.394	493.12546	5797.544	4000.7114	1000.0	1000.0	170000	1919.5037956237793
5389.0986	124.78143	5541.0166	5185.918	5340.6387	567.0182	5743.191	3724.1323	1000.0	1000.0	175000	1969.325476884842
5340.236	116.09757	5447.2236	5115.1655	5569.196	157.50453	5766.434	5207.017	1000.0	1000.0	180000	2018.422862291336
5427.097	133.67792	5567.518	5266.675	5656.046	305.83502	5861.939	4766.5015	1000.0	1000.0	185000	2068.30539727211
5499.009	111.91255	5709.915	5402.0728	5312.8726	1364.9408	5934.4263	1229.1036	1000.0	1000.0	190000	2116.5030171871185
5506.5527	93.29055	5646.227	5360.9385	5836.2993	95.57036	5993.2725	5700.4863	1000.0	1000.0	195000	2163.7533135414124
5734.2026	120.624245	5866.4272	5524.435	5798.136	160.92616	6010.4727	5440.7114	1000.0	1000.0	200000	2211.0248901844025
5199.5933	894.46295	5768.1465	3421.151	5380.4336	1400.6136	6085.864	1375.391	1000.0	1000.0	205000	2706.088387489319
5531.419	480.1311	5866.211	4580.514	5983.2812	113.78133	6096.622	5744.2363	1000.0	1000.0	210000	2756.780990600586
5747.0054	249.74081	6058.176	5295.9287	6055.374	281.7488	6362.2505	5371.216	1000.0	1000.0	215000	2807.4882504940033
5714.686	80.701614	5813.878	5577.2695	6151.148	91.03805	6281.526	5974.889	1000.0	1000.0	220000	2856.9391782283783
