AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
17.970514	15.708816	162.47998	5.302437	36.978554	0.87701094	38.31382	35.82621	21.626087	41.0	5000	1.2776379585266113
18.523336	17.596348	139.40903	4.3113146	37.49518	0.6182771	38.91661	36.810543	21.666666	41.6	10000	2.5605547428131104
16.090712	13.027802	94.28629	3.6124096	37.19097	0.7487114	37.94512	35.858025	21.14346	41.4	15000	3.8178844451904297
17.99583	18.86823	181.72902	4.8291454	37.306236	0.4613339	38.072453	36.609417	21.594828	41.4	20000	5.052123546600342
17.520193	15.332669	159.50082	3.925433	37.392662	0.59921795	38.903683	36.73182	21.356224	41.4	25000	6.439403295516968
44.12141	68.18461	223.95969	-1.7041386	200.14	7.223436	214.61943	191.61041	28.417143	106.5	30000	46.39627289772034
174.64282	9.655845	193.40488	150.98872	166.86954	5.8751845	174.09427	157.291	89.25	84.2	35000	86.86390662193298
197.80716	16.206568	227.11212	167.34695	211.49382	3.3025181	217.92558	206.5194	94.45283	114.3	40000	127.34048247337341
194.6889	29.512976	296.8653	146.69211	180.63748	3.4102788	185.92249	174.99802	99.52	82.5	45000	168.19652342796326
234.60526	70.25534	535.1509	159.1583	275.42902	4.1344967	282.0915	270.02493	108.652176	128.5	50000	207.79886889457703
384.65802	185.09714	1102.0471	235.21657	1047.8358	3.8320708	1055.5941	1042.6846	216.65218	1000.0	55000	255.79888033866882
300.3909	286.77017	1013.6642	22.759155	225.69727	113.35955	405.9742	38.879192	296.0	148.1	60000	295.7393219470978
302.33755	87.88773	500.73923	38.018284	330.27722	21.077362	375.42996	298.32654	173.93103	163.6	65000	335.55057168006897
304.12283	91.55341	495.55194	77.55604	416.14777	80.5007	536.86395	297.5299	139.42857	180.1	70000	376.67964220046997
331.24335	86.167786	539.37683	175.17673	269.91132	37.406063	324.71906	201.95222	150.55882	128.4	75000	414.87823700904846
300.42307	76.554825	485.11075	171.99081	938.9791	123.830795	981.20734	567.49817	163.3793	947.2	80000	461.785870552063
422.90845	222.86859	1007.98456	255.98956	500.13754	78.14559	605.01215	403.65594	312.8125	323.9	85000	503.74279594421387
495.34906	200.22519	1067.4403	275.07236	374.03558	113.912415	710.6249	311.49097	353.7857	226.0	90000	543.4397456645966
396.7776	229.37195	1034.2083	207.9308	201.26788	18.879545	246.51694	169.6412	248.90475	104.5	95000	582.7483146190643
296.13657	120.48122	735.4335	183.99521	522.64734	166.68628	868.7064	270.6497	139.83333	214.5	100000	622.070436000824
445.9665	263.51953	1220.9896	195.36797	917.4735	202.56334	1194.2786	524.40546	248.2	832.8	105000	666.173259973526
562.9428	333.22565	1101.0417	89.137085	602.94727	212.19652	891.80005	156.84962	482.3	349.6	110000	706.1677982807159
652.9471	210.09625	1203.7113	359.98978	771.09515	245.88211	1223.5696	441.49307	291.55554	309.3	115000	746.244371175766
560.8201	224.92873	1303.3134	235.91222	885.20886	435.47543	1998.1987	325.43597	228.31818	373.5	120000	786.1517524719238
781.3539	296.67697	1431.3389	388.6857	1275.2946	286.15735	1549.3672	752.683	428.81818	886.0	125000	831.5418663024902
1056.4109	378.8353	1726.1213	329.54587	1038.5032	66.95904	1197.2355	1003.29175	576.44446	976.9	130000	877.3638999462128
367.31683	139.54866	747.13403	180.67006	553.221	254.11911	1110.1954	235.1045	264.8889	460.9	135000	918.9507215023041
488.36612	409.4173	1309.0994	55.78782	702.6454	430.6632	1355.5211	153.06743	372.2143	524.4	140000	960.6282527446747
597.34155	437.40793	1347.0206	168.04887	1184.5438	409.6225	1614.7606	496.76416	491.3	823.3	145000	1005.7386271953583
961.5964	382.629	1582.6881	245.15823	825.1255	494.3416	1885.6256	361.27023	532.6667	462.5	150000	1046.6251664161682
1195.0991	570.93787	1872.8497	221.19226	1045.1788	584.36993	1794.4785	270.8117	665.5	601.5	155000	1088.6633658409119
468.75287	333.0544	1146.6951	193.28351	1389.242	366.637	2085.156	840.789	327.64285	836.8	160000	1133.2880125045776
714.8461	466.64566	1760.9667	208.00597	834.4038	277.8947	1343.4288	574.8554	420.0	337.9	165000	1173.2810373306274
420.23508	282.1588	1379.3663	83.772285	760.90076	688.4195	2237.5544	286.17267	200.56	343.7	170000	1213.263019323349
492.08768	375.58298	1418.6936	23.074137	533.5964	468.42426	1176.2886	36.6385	227.54546	227.8	175000	1252.13135099411
1120.0035	673.1816	2560.8223	38.847904	962.13885	153.24352	1197.6783	703.0178	420.54544	353.5	180000	1292.7527267932892
817.43176	628.94	2680.3242	9.299255	693.80396	41.050922	789.23944	659.87366	316.6875	244.2	185000	1331.94415640831
676.12695	292.95682	1067.2003	139.22757	822.4203	308.44922	1335.2175	312.3434	280.1111	523.0	190000	1374.279171705246
842.4559	347.53888	1488.7494	221.15945	804.54834	294.90036	1432.0676	360.99078	471.54544	422.4	195000	1415.1049869060516
353.86856	341.11337	1239.9181	54.35843	605.6019	289.40723	1176.9669	205.40192	218.0	406.7	200000	1455.8261287212372
1486.7212	724.6178	2293.1006	416.64346	2136.5728	380.46042	2454.6187	1262.7427	704.8333	863.4	205000	1501.1387355327606
1608.135	557.6115	2416.151	865.94037	1423.1062	567.37396	2907.7146	778.1741	579.0	469.0	210000	1542.9235227108002
1458.583	326.24673	2067.4802	804.7694	937.79504	121.34597	1110.1926	775.13763	487.5	295.5	215000	1582.9238753318787
1069.8379	396.09155	2197.9602	641.7099	776.8924	64.53842	899.3581	663.29675	367.57144	275.4	220000	1622.649645805359
821.14	171.99182	1182.6133	581.85876	732.1243	146.34976	1043.3694	592.5276	289.88235	281.5	225000	1662.011713027954
635.4316	300.97803	1026.5844	296.89743	711.32135	239.09987	1159.8896	397.04715	435.45456	343.6	230000	1701.818273305893
864.01025	326.8359	1955.6643	434.0791	1354.2938	279.98758	1954.9008	933.946	318.9375	458.6	235000	1742.511091709137
1445.5135	759.2612	2587.0378	237.11981	2427.6633	95.36833	2620.0957	2255.0706	563.125	974.2	240000	1787.4299056529999
1676.0637	660.7678	2702.7937	826.02185	2410.852	401.07977	2735.1702	1252.8601	610.5	944.7	245000	1833.2041029930115
2090.7834	663.12573	2699.3481	845.04614	2631.1853	74.21779	2833.8765	2550.0012	777.4286	1000.0	250000	1879.91614818573
2039.5271	794.20087	2952.2053	1019.2676	1765.2848	729.0676	2724.011	452.898	721.5714	646.3	255000	1922.6462757587433
1751.0656	762.01935	2702.6123	513.4607	2772.5774	34.409424	2843.0642	2728.0837	641.2857	1000.0	260000	1968.6072356700897
1760.1094	878.6344	2697.354	243.5459	892.40076	83.145645	964.2684	698.49817	642.7778	287.3	265000	2008.0390753746033
1518.9375	664.02637	3142.7522	523.8581	1920.4047	630.86926	3162.9292	1059.4672	481.5	609.3	270000	2049.9863002300262
