AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
124.2722	36.50177	257.34082	78.317566	194.72314	10.771383	211.99454	179.66986	24.747524	40.7	5000	4.698746919631958
124.45985	36.38513	254.41655	78.39193	205.27408	7.9289036	219.9279	191.55159	24.870647	42.4	10000	9.366382598876953
119.615204	36.06053	300.8075	83.10649	206.55803	8.710092	221.92558	196.61777	23.889952	42.7	15000	13.996167182922363
121.82203	34.440952	238.83832	78.48296	196.72302	8.197137	209.83685	178.86107	24.307318	41.1	20000	18.65255641937256
120.69397	33.89863	250.69283	78.766685	203.20801	8.599486	216.2772	188.81276	24.00957	41.9	25000	23.587774753570557
73.60921	11.105515	217.88152	56.821518	76.81352	0.28581664	77.272125	76.32077	15.429012	16.0	30000	75.71246910095215
80.420364	3.522162	89.93091	75.992035	76.76846	0.236732	77.14716	76.27337	16.556292	16.0	35000	126.09596657752991
80.855125	8.0499735	115.454704	72.112434	75.66542	0.12663305	75.926476	75.54276	16.627907	16.0	40000	175.7604477405548
84.755714	29.994781	262.9807	71.04328	218.05505	9.3453	234.86057	207.20532	17.917562	41.0	45000	227.9791989326477
145.64043	90.191284	318.69916	75.82904	273.62518	9.764947	289.3843	255.96141	28.565714	60.4	50000	283.35144996643066
261.70126	71.88593	578.9559	172.96117	266.88443	17.987534	298.21094	240.06294	51.8125	49.5	55000	336.0597290992737
311.39893	50.675606	433.94394	224.44778	333.63882	63.48538	494.12497	274.62006	60.469135	77.0	60000	391.39738273620605
268.39832	79.43186	851.24133	183.1643	265.93576	25.535225	305.36017	220.25218	62.243904	61.4	65000	445.4117727279663
269.20663	85.25511	529.52997	96.470695	339.40146	33.357315	404.28403	286.8798	57.402298	63.7	70000	499.0804395675659
314.22894	103.07478	639.001	141.65442	139.53506	12.396119	171.3787	127.92057	63.49367	31.1	75000	552.0473804473877
269.06018	100.4933	568.40857	142.35014	372.97772	89.20809	503.99692	264.76102	57.402298	81.7	80000	605.6708800792694
324.15997	92.34096	712.3948	146.91391	305.60263	52.858112	391.53992	235.42061	67.797295	65.4	85000	658.8162264823914
289.39157	67.88166	511.24805	149.77185	306.07846	71.33191	437.91956	223.1654	61.419754	65.8	90000	712.0227465629578
389.85822	110.404655	682.0257	214.19972	372.6336	74.65455	534.5568	274.5555	79.20635	75.8	95000	765.8285684585571
385.54486	87.8754	639.5278	234.02315	385.6373	78.98862	552.14453	243.0248	77.49231	74.8	100000	819.4224083423615
379.0027	92.04169	613.3745	174.78291	401.86517	91.32475	609.5378	285.10446	75.77273	83.8	105000	932.1532955169678
379.67047	110.155495	806.5297	223.86095	332.88483	89.21396	544.1406	231.74657	76.676926	70.0	110000	985.3265981674194
391.03308	87.22373	636.6682	229.91049	471.84634	138.35014	740.50165	281.59262	80.129036	96.8	115000	1039.4045345783234
