AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.7288388	5.6565776	28.710585	-9.030242	2.1375575	0.28056917	2.61046	1.666094	20.325203	12.0	5000	2.181318521499634
1.515542	5.2347345	21.26286	-10.472911	2.0501606	0.19816662	2.3377059	1.7133888	20.98734	12.0	10000	4.2359349727630615
2.0745358	5.89201	34.273148	-8.58672	2.1779506	0.2576691	2.4994864	1.6391478	20.15261	12.0	15000	6.295482873916626
1.7009367	5.3056045	26.921625	-10.445674	2.2469413	0.14285253	2.5240247	2.0485349	19.52549	12.0	20000	8.389099836349487
1.6890402	5.6839123	30.187336	-9.466775	2.2207637	0.2326311	2.4674785	1.6968657	20.886555	12.0	25000	10.456562042236328
18.560486	87.0516	488.11627	-33.465477	807.4958	307.07935	1054.2952	86.831985	75.94444	830.1	30000	70.72314476966858
352.86572	348.2958	1060.743	-79.68751	148.09122	85.442474	265.93295	-24.225513	446.69232	163.0	35000	124.28945827484131
173.28809	150.46936	622.89264	-139.07607	197.57396	147.9496	502.2363	19.502518	180.17857	227.5	40000	179.26338362693787
118.34058	138.23346	428.93826	-62.957836	107.052124	132.6097	462.3128	-15.219914	180.17857	154.1	45000	231.50287318229675
60.572094	110.44767	413.84592	-216.03003	-25.515951	32.68072	31.247517	-78.7128	147.32353	116.7	50000	286.98733854293823
54.57272	114.9865	359.2416	-93.21449	299.624	102.94113	510.55402	130.18614	142.51428	222.1	55000	340.2155466079712
181.38081	150.7708	700.33563	-40.898426	90.94357	101.89092	267.90643	-51.44053	193.36	189.6	60000	394.5198814868927
181.70866	148.26659	441.92874	-55.863865	232.3138	54.07508	347.82944	174.05542	184.96297	174.5	65000	446.9579532146454
77.73543	114.54523	333.59262	-96.04879	-48.374702	47.732944	19.45492	-121.60478	189.84616	198.9	70000	500.10425066947937
36.405285	97.71973	371.1865	-113.74034	162.79329	244.3915	818.2887	-24.161085	135.38461	205.1	75000	552.4646661281586
140.47319	151.4565	581.6736	-56.67849	254.49287	105.8342	410.37186	14.548835	203.91667	174.7	80000	605.9880776405334
107.19839	131.4199	393.0375	-40.22726	131.54312	210.62352	587.50104	-187.38132	299.82352	275.3	85000	658.819281578064
100.01273	112.67639	359.89297	-92.94906	117.23185	95.007835	283.23776	9.231686	132.24324	123.5	90000	713.3546636104584
106.324776	112.030556	306.99213	-63.902027	59.139038	153.387	460.57144	-55.9141	176.03572	251.8	95000	766.7432656288147
150.50586	164.90016	497.32184	-119.396835	95.732155	157.53351	483.8692	-75.80148	220.52174	262.9	100000	822.1455357074738
108.1972	133.07037	447.24304	-117.39657	92.37498	108.02042	374.91675	-49.020668	187.11111	198.1	105000	1019.442973613739
130.00737	132.50447	583.6163	-68.96149	191.07622	123.32758	499.12537	20.012476	204.41667	168.9	110000	1072.5437235832214
141.42822	200.88739	861.48645	-81.924126	187.69826	238.17944	702.89343	-81.372314	231.45454	233.1	115000	1126.2746238708496
140.53	154.09306	659.53687	-12.240543	360.96298	202.34868	830.49506	80.8573	222.31818	291.4	120000	1180.849770307541
139.82097	152.34724	492.23016	-158.17035	159.428	124.74371	406.79523	-25.040592	175.51724	269.3	125000	1235.7413218021393
192.04352	160.71783	576.26465	-65.5111	155.93036	115.79212	373.56494	-18.761944	241.28572	187.5	130000	1288.7640018463135
152.26262	98.373886	359.42612	6.275898	132.84993	108.09599	293.4267	-30.600952	163.4	175.3	135000	1343.93976521492
155.2087	125.95709	512.6414	-75.82583	112.218216	104.71516	360.80914	2.3954146	159.54839	122.1	140000	1396.6506206989288
