AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-277.27884	64.36155	-196.17833	-373.42172	-0.3800713	0.6497363	0.787293	-1.5040318	1000.0	1000.0	5000	7.940448045730591
-263.17178	71.120445	-180.12268	-361.92096	-0.30648407	0.74903435	0.58582294	-2.022969	1000.0	1000.0	10000	15.756307601928711
-304.91928	73.68741	-160.56598	-363.01114	-0.4764902	0.56086105	0.10696121	-1.7738477	1000.0	1000.0	15000	23.497514009475708
-290.79987	22.907858	-257.5754	-325.3428	-0.2862668	0.83416045	0.8567572	-2.189538	1000.0	1000.0	20000	31.178364515304565
-322.43793	72.24348	-187.44836	-386.4087	-0.5264742	0.8765643	0.8295415	-2.1187403	1000.0	1000.0	25000	38.97107434272766
-441.6351	56.287045	-368.50394	-532.47156	-432.26898	51.74082	-325.2388	-520.7685	1000.0	1000.0	30000	81.51641631126404
-252.56013	135.33759	-117.35635	-495.43542	223.82071	665.96893	1406.1586	-385.7667	1000.0	1000.0	35000	123.93554139137268
1354.4219	831.6283	1956.0663	-290.27063	1853.1135	73.61002	1969.604	1762.5502	1000.0	1000.0	40000	166.62953925132751
2194.6538	171.6811	2438.7805	2004.8092	2449.0144	133.37505	2614.4902	2199.476	1000.0	1000.0	45000	210.09466409683228
2614.3054	156.3309	2885.5684	2422.8948	2742.9165	98.7717	2917.2217	2537.919	1000.0	1000.0	50000	253.88233995437622
2854.8374	298.3114	3257.7375	2376.271	3045.3958	230.55376	3356.4514	2549.2449	1000.0	1000.0	55000	297.0796465873718
2601.3599	975.57446	3274.5122	663.6442	2780.9546	873.77277	3451.7551	983.60614	1000.0	1000.0	60000	343.2691082954407
3063.8057	533.0588	3667.9573	2132.67	3396.8137	275.90143	3612.8975	2724.028	1000.0	1000.0	65000	387.0214259624481
3478.3171	268.196	3866.205	3071.2078	3762.884	191.41571	3966.2422	3221.904	1000.0	1000.0	70000	432.1964211463928
3763.061	100.63899	3849.894	3570.2168	3749.4336	409.246	4208.0415	2674.6958	1000.0	1000.0	75000	477.55231761932373
3688.5344	356.4207	4080.1973	3047.115	4146.739	199.34564	4530.298	3845.7998	1000.0	1000.0	80000	521.7240312099457
4147.451	243.8402	4538.678	3857.9534	3917.903	388.48688	4303.3286	3084.7847	1000.0	1000.0	85000	565.6203556060791
4040.8843	488.84628	4405.6646	3074.0994	4160.0596	444.61853	4656.415	3234.0386	1000.0	1000.0	90000	609.3951711654663
3999.8347	117.25593	4180.666	3859.6711	3906.0347	818.43945	4592.908	2052.8132	1000.0	1000.0	95000	653.4976713657379
4366.2515	218.68858	4580.0117	4035.1277	4602.056	111.22494	4725.2275	4418.218	1000.0	1000.0	100000	697.0627405643463
4411.41	146.14064	4669.4453	4218.6978	4348.0537	946.114	4902.498	1546.3245	1000.0	1000.0	105000	1119.5565629005432
4354.447	512.1363	4880.2544	3401.7703	4406.581	201.66016	4856.005	4122.8228	1000.0	1000.0	110000	1163.511102437973
4358.0713	396.55118	4817.4385	3650.7205	4563.646	263.02432	4901.3545	3973.2317	1000.0	1000.0	115000	1207.3202052116394
4602.3604	124.17336	4829.7075	4459.5337	4758.058	126.962	4982.798	4545.498	1000.0	1000.0	120000	1251.1737270355225
4794.107	75.98987	4879.161	4658.461	5077.1787	143.83447	5256.0005	4759.1323	1000.0	1000.0	125000	1295.1846413612366
4896.586	156.49481	5173.4097	4700.2344	5082.4893	128.04874	5321.8374	4896.712	1000.0	1000.0	130000	1339.8058652877808
4973.925	114.075356	5147.9087	4836.6206	5157.4316	155.90643	5419.9146	4896.5146	1000.0	1000.0	135000	1385.0460431575775
5000.4688	91.94643	5153.597	4896.453	5176.8604	137.69308	5378.4756	5005.176	1000.0	1000.0	140000	1434.4926285743713
