AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-5.861431	12.3522415	9.92549	-20.383938	12.4855	13.291969	28.51702	-10.495846	1000.0	1000.0	5000	16.761742115020752
0.9383583	17.87818	19.629992	-29.366737	13.76149	12.020667	30.815002	-7.1018085	1000.0	1000.0	10000	24.52427911758423
-4.3071976	9.344866	7.376178	-15.79201	19.643904	8.894641	31.930384	0.37117958	1000.0	1000.0	15000	32.25660586357117
-7.1351714	7.638579	4.0797763	-16.022533	14.206009	14.864246	31.721092	-10.765338	1000.0	1000.0	20000	39.941309690475464
-1.9800136	10.925035	16.445358	-16.714594	18.602098	12.273257	30.167572	-11.7621155	1000.0	1000.0	25000	47.730082988739014
28.052582	2.685479	30.756296	23.945007	26.070942	3.4266922	36.198647	24.008436	1000.0	1000.0	30000	91.72609353065491
25.60519	14.294864	52.886692	11.943694	4.2422957	1.2334012	7.0339756	2.4598043	1000.0	1000.0	35000	135.24287390708923
19.327494	13.61025	42.435486	5.8208895	41.186924	2.4153774	43.11208	34.543285	1000.0	1000.0	40000	178.808602809906
33.102562	6.7593665	41.547478	21.62897	21.14829	16.905313	40.17981	1.4971212	1000.0	1000.0	45000	222.69198656082153
47.741837	10.8425865	63.05812	32.972736	31.41091	1.6658841	34.039963	28.837782	1000.0	1000.0	50000	266.2182788848877
30.775763	6.456774	39.975506	21.425402	46.321552	10.878412	56.006363	24.014465	1000.0	1000.0	55000	309.4296875
36.49601	22.79141	61.154205	-1.4342161	24.287794	7.3260765	31.175451	3.9096591	1000.0	1000.0	60000	352.60251116752625
10.302618	9.467791	22.17038	-3.3120897	12.961622	2.0297558	16.157879	9.874989	1000.0	1000.0	65000	395.3832471370697
8.5140705	4.0151772	15.453433	3.9354613	34.052986	3.1488395	37.5105	28.201948	1000.0	1000.0	70000	437.7799174785614
28.547138	7.0075393	36.72879	16.904942	31.618855	0.6853464	32.444153	30.18073	1000.0	1000.0	75000	480.6692090034485
19.362204	11.005432	41.103374	11.978916	27.102259	13.01862	46.26304	12.402914	1000.0	1000.0	80000	523.9375059604645
32.33816	10.346883	44.232056	13.389528	27.401129	7.25288	40.698193	21.630753	1000.0	1000.0	85000	567.2192878723145
21.655422	17.465887	41.3783	-7.2171726	35.73772	0.8021481	36.763275	34.667946	1000.0	1000.0	90000	610.2114834785461
43.605545	3.4726944	47.90883	38.50296	44.247555	4.7592716	50.344566	38.113983	1000.0	1000.0	95000	653.4515459537506
44.103218	4.022879	49.43841	40.79885	47.13864	10.350346	59.16328	34.56979	1000.0	1000.0	100000	697.4166810512543
42.026024	7.136887	55.837463	35.763653	48.941257	3.1207418	52.813793	44.046417	1000.0	1000.0	105000	741.4395065307617
45.28368	5.8972397	56.420223	40.303524	47.83481	1.8371376	49.761166	44.02233	1000.0	1000.0	110000	785.4018638134003
41.836567	6.330505	48.107536	30.89121	47.25023	6.631431	54.53718	32.440952	1000.0	1000.0	115000	828.5926456451416
51.549816	4.434266	57.222286	47.10588	56.982685	5.4446716	61.9081	47.871098	1000.0	1000.0	120000	872.14306473732
54.967262	4.4898186	61.528366	49.947025	50.357037	6.8596363	61.941925	42.332863	1000.0	1000.0	125000	915.5755198001862
55.96891	6.2023644	61.536396	44.71309	65.499985	2.1951923	67.98628	61.41492	1000.0	1000.0	130000	960.1661870479584
55.830452	5.603554	63.185818	45.817173	49.44184	6.4457793	56.877773	41.649693	1000.0	1000.0	135000	1004.0024328231812
51.876385	2.7860167	57.019352	49.446743	56.094116	3.8223894	59.466946	45.08796	1000.0	1000.0	140000	1047.5911350250244
50.92282	5.989463	57.120373	40.655556	53.18924	4.796149	58.70234	43.657883	1000.0	1000.0	145000	1090.9929111003876
55.67497	3.2363572	61.431934	51.87909	52.61093	2.8663301	55.871136	47.87059	1000.0	1000.0	150000	1134.254727602005
63.409157	2.0907063	66.94224	60.49212	45.452877	3.2365801	53.53237	40.469658	1000.0	1000.0	155000	1177.7050352096558
47.349174	4.603079	52.38659	41.287575	49.533592	2.086397	51.547707	45.131813	1000.0	1000.0	160000	1221.0818963050842
51.61438	5.1787925	60.571274	45.395058	43.742508	4.681481	49.455635	36.751038	1000.0	1000.0	165000	1264.7145771980286
