AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
1.6033667	5.22961	22.214783	-10.215784	14.757996	4.5249305	20.89848	8.627932	19.31783	29.0	5000	1.395686388015747
1.6652427	5.7382407	26.550426	-10.692441	14.294168	4.4121447	21.704216	9.02749	20.238867	28.5	10000	2.7546632289886475
1.5329957	5.1419454	30.53063	-8.832087	15.9788	3.8611898	22.068121	9.87343	19.711462	30.1	15000	4.123425722122192
1.8929037	6.099949	37.01713	-9.279137	14.056252	4.430172	21.598904	9.286993	20.747934	28.6	20000	5.558836460113525
1.5419698	5.4990916	20.928043	-14.073894	14.886396	3.7294028	21.255032	8.997108	20.428572	29.2	25000	7.0277886390686035
97.545784	218.43695	1048.4435	-40.784473	309.2264	199.38719	541.6108	-59.041786	142.45714	609.4	30000	51.97178244590759
151.21254	134.41586	409.72998	-70.48568	412.78973	134.23627	655.46356	276.43518	160.03334	312.7	35000	92.17228031158447
217.89403	127.691345	493.19022	21.434586	156.31313	81.37326	335.32742	33.50422	214.82608	142.9	40000	131.41559648513794
197.60825	111.10488	433.07462	-38.57634	-6.1146955	26.776344	57.064133	-59.201347	206.12	97.3	45000	171.34787273406982
189.59206	141.02837	505.7297	-68.806694	57.948742	128.16934	277.1855	-125.14697	202.32	182.9	50000	211.17354130744934
115.66858	130.34245	436.03745	-65.8254	157.32912	96.60599	261.80045	-43.471653	149.45454	160.5	55000	254.40226483345032
117.44078	101.883156	302.96262	-39.77081	217.54285	89.40857	468.288	132.75894	150.84848	140.8	60000	297.1050341129303
167.05975	128.3015	436.90048	-14.952262	86.86157	95.40816	287.63956	-35.335102	210.375	135.0	65000	337.2238116264343
152.19066	121.08276	364.46777	-13.732896	155.11655	185.07446	615.7427	-20.238785	176.07143	268.2	70000	377.30031847953796
103.10905	128.18169	436.07657	-56.34421	87.8218	105.277176	222.58519	-41.798244	169.1	218.3	75000	416.6754946708679
132.64638	109.18576	345.03717	-68.101456	146.26624	90.568184	283.43375	-7.208398	188.92592	202.9	80000	455.380827665329
93.596725	128.22092	422.85693	-95.43944	197.42096	152.38425	391.65836	-46.370964	190.76923	249.9	85000	494.8399875164032
156.94044	179.73245	700.60016	-141.04001	36.85833	59.954338	132.56976	-93.51063	226.77272	112.2	90000	533.8203167915344
41.090378	88.97466	378.44083	-49.900055	1.762502	73.27051	216.11584	-47.149548	122.55	109.4	95000	574.6885869503021
59.54983	105.868164	348.7747	-85.25183	110.641846	125.47976	362.20013	-14.679133	168.03448	206.6	100000	612.3005561828613
148.74155	115.96314	486.57037	-31.757715	108.29698	97.703186	294.95236	-27.09368	178.58621	146.4	105000	782.5808024406433
146.17094	206.19412	988.07355	-80.65471	220.55376	178.42552	612.2308	-50.793777	205.5	288.7	110000	822.0102317333221
108.15652	87.27261	393.04236	-14.347808	143.34402	103.547585	306.72235	10.705208	211.25	219.7	115000	861.0211384296417
187.69588	200.94182	682.5899	-21.592583	298.45673	192.80511	653.992	26.461351	250.63158	268.6	120000	900.4117023944855
147.73839	118.0529	489.4431	-37.575233	180.43904	112.25538	404.37204	31.37362	222.04167	169.8	125000	939.1243028640747
135.07053	155.60371	514.2857	-124.83171	182.84451	187.64622	566.6033	11.265513	197.32	206.5	130000	977.7930774688721
139.21043	134.08342	474.175	-68.41949	64.44148	88.45899	208.27414	-79.54017	209.79167	137.9	135000	1015.9744579792023
111.84657	140.31123	333.41522	-163.70482	218.75497	90.4594	461.01016	101.16817	179.42857	234.5	140000	1055.4480719566345
104.3619	109.16741	315.54874	-136.84402	-13.688965	154.42526	336.92374	-216.81271	206.95833	299.3	145000	1095.7070980072021
137.64822	163.56941	696.7597	-55.30209	127.07029	131.04185	399.48697	-81.76749	216.78261	200.0	150000	1134.3966631889343
135.6249	124.82531	416.98322	-73.95266	78.141914	64.96062	169.26228	-46.60021	192.61539	144.8	155000	1172.3337173461914
158.4422	137.2996	663.20856	-26.875687	183.09673	76.255424	299.93185	54.446754	169.27586	174.7	160000	1210.9055788516998
231.32791	272.11118	917.3183	-65.95877	185.41858	168.69173	614.8244	22.157488	283.33334	298.0	165000	1250.5688126087189
235.89784	228.4304	869.95856	-44.916428	404.47067	388.9146	1080.9364	7.581366	307.21054	392.5	170000	1291.1246824264526
161.57016	140.6611	684.0815	-16.643646	151.1812	52.260567	270.13022	87.690544	207.83333	145.9	175000	1329.6026437282562
