AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-243.91914	390.0835	-23.01464	-1452.6722	-215.1569	415.29767	-12.296516	-1447.1102	157.18182	147.3	2048	4.637251615524292
-154.3342	339.8928	-11.844177	-1541.7815	-204.95564	439.93057	-9.3579035	-1519.464	104.0	140.5	4096	8.90288782119751
-110.52047	94.36084	-11.677113	-423.08234	-594.6183	615.6284	-17.586603	-1387.5964	74.8125	438.7	6144	16.68307137489319
-289.75928	436.93704	-44.909473	-1341.3435	-112.09029	99.74188	-6.6676846	-368.13043	224.42857	84.1	8192	20.262908220291138
-168.0297	290.2163	-27.17314	-1205.4583	-288.45554	436.64154	-22.995691	-1183.7354	140.92857	241.7	10240	25.774810552597046
-160.02327	278.1137	-23.552998	-1117.8075	-269.2807	396.01202	-4.7421193	-1082.294	146.61539	240.8	12288	31.274991035461426
-104.88707	211.45985	-7.663029	-1009.8322	-293.04028	403.83566	-28.357027	-1118.9971	101.25	258.8	14336	36.95911407470703
-138.47125	248.07184	10.263889	-979.504	-77.20434	50.763676	-26.311413	-181.99512	148.76923	65.7	16384	40.33892488479614
-69.381775	42.651325	-12.742639	-159.83876	-388.65442	464.1203	-38.59604	-1123.1115	62.96154	355.3	18432	47.138025760650635
-399.52686	463.72852	-34.258606	-1053.8606	-74.41165	90.137535	-6.8879204	-330.2484	373.33334	74.8	20480	50.69180870056152
-204.7009	338.8861	-18.771973	-1032.2407	-186.35828	274.76074	-6.083703	-953.63135	205.85715	209.4	22528	55.81752252578735
-105.65774	204.4396	-1.1653951	-962.70074	-235.77043	367.83948	-3.257872	-986.11163	106.31579	238.5	24576	61.256795167922974
-121.77286	230.09357	-17.72767	-998.1717	-63.52583	54.970787	-4.7219467	-199.03253	127.125	76.0	26624	64.76840782165527
-133.88039	227.98074	1.024152	-915.29816	-73.328224	51.193546	-7.7073684	-144.80728	139.21428	69.9	28672	68.21345829963684
-121.686966	208.22578	-6.1998563	-930.9578	-69.88	52.42956	-14.124497	-164.07707	116.05882	80.2	30720	71.88541603088379
-107.60226	238.1323	-1.7214549	-974.5202	-155.85776	293.11685	-9.604596	-1023.86365	110.26667	150.1	32768	76.62932133674622
-95.4132	192.85785	-6.058614	-914.01874	-128.59085	290.73654	-5.0790205	-998.90015	100.5	131.1	34816	80.81154727935791
-354.96097	476.95972	-16.850426	-1029.4832	-148.3617	277.28934	-12.181176	-972.92334	350.66666	154.1	36864	85.30326294898987
-103.00211	214.12326	-4.3024	-826.8032	-36.295204	38.2832	6.738502	-129.34175	126.53846	49.1	38912	88.49113011360168
-231.27245	350.54935	-11.471546	-1006.24945	-50.734997	51.8977	3.2892218	-169.5718	235.66667	53.8	40960	91.66427540779114
-144.7793	260.0556	-1.7622029	-873.5343	-66.10576	88.4464	-0.34166902	-302.6136	164.33333	63.6	43008	95.06366562843323
-116.157326	213.1956	-2.9275258	-811.0021	-212.42957	296.50613	-8.891262	-837.28174	138.5	261.2	45056	100.7799220085144
-111.009766	212.85127	-7.259138	-891.85565	-76.626976	58.187687	-25.357788	-241.42357	133.4	80.2	47104	104.31395077705383
-115.5468	249.39725	-8.597425	-857.6789	-47.554268	30.407202	7.8242745	-102.34043	144.4	53.0	49152	107.52219271659851
-113.47184	189.48161	-24.299547	-763.1054	-103.26821	207.74655	-12.1423435	-724.76807	138.0	132.4	51200	111.70005965232849
-81.32844	189.99847	8.255906	-860.6938	-102.85298	205.41632	-8.246172	-713.47235	107.611115	141.7	53248	115.96402859687805
-83.846725	183.91512	5.744004	-842.14813	-112.74782	196.4497	-5.7340746	-694.7987	107.52631	162.1	55296	120.5704460144043
-94.0042	172.76402	15.477469	-719.1863	-41.255344	66.23775	4.718835	-226.91206	132.13333	65.1	57344	124.01101613044739
-172.72264	278.36734	-11.309764	-793.71326	-53.940308	36.89275	-8.12685	-123.65416	239.5	58.6	59392	127.28412771224976
-66.99505	145.00601	-1.7328691	-751.75415	-39.026356	33.56824	-2.9994621	-112.37126	83.875	61.0	61440	130.73230385780334
-85.07277	168.03914	-3.971004	-758.7429	-244.98987	316.39185	0.1516459	-778.36896	110.22222	352.6	63488	137.50122618675232
-80.93592	164.71255	-2.1955042	-741.1155	-24.570007	17.071589	3.0999875	-55.79289	113.77778	37.5	65536	140.6888427734375
-75.03466	160.46518	-10.101809	-710.9137	-45.475853	45.853455	-7.2736144	-172.72632	114.117645	61.1	67584	144.02791500091553
-206.05835	297.703	8.830856	-787.24945	-102.22164	198.11128	20.131945	-689.1481	280.0	150.1	69632	149.03318238258362
-71.44453	137.73888	3.0405228	-669.5112	-112.52351	225.02588	2.7683187	-778.78296	89.09091	157.0	71680	154.01031303405762
-66.081985	157.83998	15.004456	-761.43115	-97.333244	212.20702	0.03859199	-731.5041	93.0	137.1	73728	158.36025261878967
-88.73577	161.28825	-2.8240476	-615.3714	-51.31019	41.942253	-3.6595738	-124.959114	135.0	67.9	75776	161.78138828277588
-92.97174	125.096794	-11.02983	-448.91846	-123.47178	188.9505	-10.374854	-675.961	120.9	179.6	77824	166.56608057022095
-718.5631	5.3694763	-713.1936	-723.93256	-48.119534	45.652733	16.630136	-127.821396	1000.0	67.9	79872	170.00622153282166
-37.855595	46.554604	17.958965	-187.15788	-83.005516	190.338	0.57962084	-651.9334	63.31579	139.3	81920	174.1853518486023
-110.07977	228.86552	21.13657	-748.46625	-32.548344	32.578136	2.5556757	-118.13638	168.22223	54.3	83968	177.3525140285492
-75.88966	171.74313	-14.093682	-759.81964	-58.4503	69.80672	-0.6943411	-247.94267	103.117645	57.2	86016	180.52215313911438
-36.93095	35.00038	7.0843954	-142.40306	-50.19158	24.403214	-5.5165267	-90.019485	55.243244	66.8	88064	183.8064067363739
-55.943665	148.00232	3.9977565	-758.73834	-26.922064	25.170286	10.340084	-69.31708	84.458336	45.4	90112	186.92570519447327
-60.526657	160.9819	12.331908	-842.09705	-112.27914	201.58278	-3.7783926	-702.4649	81.6	155.3	92160	191.23846554756165
-67.63487	179.64793	7.5474725	-730.8544	-37.903587	37.77482	6.1086035	-108.11764	107.933334	53.9	94208	194.38036131858826
-23.431013	27.493443	10.530155	-107.990746	-47.80497	36.263763	-3.41274	-107.26975	48.67857	60.3	96256	197.59491086006165
-65.65703	143.18303	9.537298	-666.0641	-34.136528	24.102299	-3.7955263	-82.67046	99.05	52.1	98304	200.70695638656616
-99.995224	168.90343	3.3913445	-705.3468	-166.62964	268.31824	4.230236	-766.4526	126.2	244.2	100352	206.0903284549713
-62.73751	163.05481	15.906832	-755.26904	-18.176352	13.11949	0.7633279	-50.97727	101.8	43.4	102400	209.13144063949585
-54.55585	44.411797	2.7296631	-173.64503	-19.3512	14.567816	1.4029498	-44.78539	70.10345	36.3	104448	212.0644452571869
-71.658356	146.50116	8.726178	-662.34283	-166.00003	254.8501	9.446575	-686.6109	103.833336	251.3	106496	217.45792961120605
-62.64891	147.71677	5.356691	-665.4279	-24.586718	18.744278	11.097342	-59.49393	111.333336	44.5	108544	220.38003063201904
-81.433624	149.36362	9.496874	-652.03357	-37.25869	33.271492	8.918335	-100.98656	119.23529	82.9	110592	223.82273840904236
