AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
98.95064	27.11024	202.6388	66.77817	100.97541	21.144207	139.82246	76.77988	20.198019	20.8	2048	4.120776176452637
106.17841	37.319504	307.83304	71.76489	92.54216	17.785204	137.56575	76.57748	21.787233	19.1	4096	7.991351842880249
99.626884	30.740616	253.82187	66.9744	112.45052	41.412926	202.78139	76.48661	20.47	22.8	6144	11.89120101928711
106.79585	36.748287	234.76619	71.77939	92.26462	18.927647	131.69234	76.508835	21.903225	19.1	8192	15.765617609024048
103.254005	31.220531	230.64246	71.72013	105.53331	24.642973	150.29083	76.60208	21.239584	21.5	10240	19.681437969207764
102.10133	27.073387	216.09462	71.73413	137.74115	52.29092	231.06555	76.63841	20.927835	28.5	12288	23.701169729232788
105.3065	33.122406	245.04524	71.95843	141.99043	43.030815	228.37164	88.64309	21.273684	29.0	14336	27.74901270866394
108.50838	32.481056	223.2069	71.92599	126.87856	36.12743	213.8454	81.58423	21.989246	25.4	16384	31.74666690826416
107.60235	30.114042	202.88234	71.58377	113.63145	28.947243	154.9105	76.41532	21.989246	22.9	18432	35.70084095001221
117.923775	43.552567	278.94547	71.90135	120.03137	38.108692	183.45863	76.59237	23.77907	24.2	20480	39.72136473655701
117.30998	38.758793	251.33508	72.038086	107.01455	25.073544	147.7052	76.67886	23.639534	21.8	22528	43.644463539123535
112.12735	34.51118	258.8238	76.544266	111.118484	28.172173	173.01447	77.10119	22.797752	22.9	24576	47.60601019859314
115.41621	35.118855	227.41508	71.93709	132.77466	37.2306	211.53844	87.15756	23.356321	26.3	26624	51.64982628822327
118.18117	36.24304	234.8711	72.13899	110.93849	26.157867	151.24135	76.52021	23.97647	22.3	28672	55.62498331069946
123.23035	40.64506	269.21722	76.82457	126.74986	42.3012	200.58534	81.50408	24.90244	25.3	30720	59.616183280944824
130.68272	43.378975	289.65125	76.69112	127.2276	32.37883	184.6382	86.42379	26.217949	25.6	32768	63.6400249004364
127.41652	38.16574	232.69104	76.60432	143.27313	57.757652	278.71924	83.147	25.4375	29.1	34816	67.72346901893616
136.35895	47.27094	355.09134	77.07794	140.90942	50.318333	217.1219	81.41132	27.293333	27.7	36864	71.83305501937866
136.40248	44.33315	312.40274	71.81818	149.22652	41.156643	203.3115	83.419426	27.013334	29.8	38912	75.93988919258118
141.34673	41.98799	289.56863	77.030075	137.58559	37.969727	208.95657	81.489555	28.222221	27.4	40960	80.03604197502136
151.3657	50.246037	337.80237	76.74319	166.88058	57.668495	282.78775	86.5891	29.897058	33.3	43008	84.24069213867188
148.3842	49.599697	298.11398	81.43114	184.41704	41.233547	222.72868	105.93913	29.142857	36.2	45056	88.51499605178833
146.65994	41.64621	252.80591	81.304375	158.621	66.64697	330.63013	81.87759	28.985714	31.7	47104	92.70783305168152
153.28235	50.210594	314.04984	81.43688	169.04663	51.830986	256.8162	94.84205	30.134329	32.7	49152	96.92422080039978
154.41063	48.863766	280.91162	76.39956	147.7762	32.982765	218.42352	105.083954	30.477612	29.2	51200	101.04458713531494
156.34868	50.22905	306.93927	81.32896	188.94879	34.923134	237.47684	139.35083	30.636364	36.9	53248	105.29167222976685
173.14131	66.80442	369.42346	81.928444	121.92606	23.896927	169.58253	76.37826	33.966667	24.0	55296	109.35484862327576
