AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-2.881963	2.8669171	3.848877	-13.899643	-2.4626079	3.2426612	2.3251643	-9.958162	12.239521	16.0	2048	3.1040639877319336
-2.5405471	3.4359457	17.084349	-11.26903	-0.9584862	4.631702	6.505059	-10.072968	14.3732395	17.3	4096	5.998856067657471
-1.6473413	3.440649	14.412482	-10.4005995	-1.547569	3.1999257	2.7906847	-6.965146	16.306452	16.8	6144	8.867975950241089
-0.3069472	3.7087371	14.424171	-8.492578	1.0076816	2.635898	6.139071	-2.2170491	17.747826	18.3	8192	11.765976190567017
1.3601588	4.6268992	19.690235	-4.904697	6.194953	7.8790083	22.430887	-2.3838396	21.357895	34.0	10240	14.804981708526611
2.310833	5.234064	26.485085	-9.903935	4.583186	4.085313	13.491771	-0.45284846	24.585365	23.7	12288	17.950024127960205
6.514962	10.47603	73.75989	-8.341611	4.3396683	8.696836	29.278648	-4.092168	27.575342	31.8	14336	20.983240604400635
8.128066	10.859275	66.10803	-4.7576737	7.655205	7.3034	19.272606	-1.092652	33.14754	34.3	16384	24.218684911727905
11.429487	16.445374	74.06172	-19.356794	19.419386	24.424152	72.7835	-8.478151	43.48936	71.1	18432	27.93440341949463
20.042448	22.526876	105.97766	-4.7880917	26.199183	14.351715	61.81112	6.605691	51.28205	63.6	20480	31.45974826812744
24.952852	29.023294	156.02281	-2.1295583	44.273365	70.231186	234.46027	-7.8585258	56.694443	72.7	22528	35.152836322784424
36.031544	35.63227	129.27852	-12.109367	31.662237	60.04479	198.98602	-28.35349	68.24138	78.9	24576	38.91175174713135
30.65724	30.322813	129.30815	-4.165244	68.12507	55.629166	195.52278	6.42609	67.1	85.8	26624	42.73390865325928
39.31708	29.485415	110.494064	0.9959121	99.058525	91.236595	259.07266	5.722949	75.5	107.1	28672	46.73187732696533
72.118095	45.893276	183.39525	-7.326408	74.52745	54.138374	199.22464	18.340893	101.7	87.4	30720	50.535868644714355
73.70068	39.28729	155.1569	10.291696	139.29655	70.524605	255.87665	22.941893	92.86364	122.6	32768	54.81785869598389
84.227196	45.55834	168.22723	3.0193288	95.63057	54.804657	205.01048	11.766759	94.85714	110.1	34816	58.9934184551239
97.514885	51.83496	202.68512	4.5883408	140.03429	51.613903	219.79947	7.3840094	114.411766	114.3	36864	63.16311264038086
134.66814	54.562466	219.25398	-7.0306535	127.69517	73.64307	210.24124	7.89935	112.833336	123.7	38912	67.51982688903809
125.58934	59.255486	204.5177	3.326982	156.51193	77.72462	231.15941	-0.66628516	123.9375	125.6	40960	71.79198503494263
126.72363	77.88194	221.14581	-11.372735	99.42455	68.77131	185.9927	-28.073484	119.76471	116.8	43008	75.9475462436676
188.19507	69.085144	323.99063	24.847897	136.09169	76.36581	237.14076	16.366283	132.53334	128.6	45056	80.32353520393372
175.54071	61.326042	233.20338	17.962214	157.10193	80.599075	255.90672	14.517826	125.5	134.6	47104	84.85076713562012
145.34335	74.754105	261.28195	17.857407	167.07138	69.72495	245.6867	25.888525	122.9375	121.8	49152	89.09555745124817
172.5249	57.35538	295.70166	29.272905	185.92873	57.587814	229.3733	24.42854	125.6875	122.1	51200	93.25753331184387
153.44763	84.99293	330.06152	18.432524	150.72453	69.09374	232.01128	-22.000555	127.9375	111.0	53248	97.416175365448
198.31194	73.05789	383.59387	39.93731	206.8966	37.9434	296.0756	165.35103	131.33333	114.5	55296	101.68673610687256
189.66801	64.831085	283.1178	30.239334	179.1589	63.29765	232.03305	46.851276	133.53334	127.2	57344	106.06326580047607
174.2839	68.02112	254.92786	6.2162304	182.28363	67.15085	268.45615	40.705536	135.6	143.1	59392	110.66784167289734
202.74886	28.185701	243.66135	156.83838	192.23828	56.060143	251.2893	80.14597	116.94118	139.6	61440	115.20357131958008
204.96286	66.20677	312.24	39.298794	196.53217	39.61702	270.39294	125.40837	143.14285	131.4	63488	119.53210926055908
181.6018	64.81422	283.84338	16.733643	216.85857	43.14166	305.2672	158.10988	124.3125	130.1	65536	123.80327320098877
181.08562	69.51443	240.37518	-2.0874977	211.55501	54.97213	289.50806	66.547195	125.4375	134.8	67584	128.26846742630005
232.34154	61.073048	297.87305	53.69558	221.63272	17.76486	253.7323	199.5114	145.38461	135.5	69632	132.84813022613525
195.84135	55.884186	279.93677	39.73403	199.74086	98.36916	346.33945	55.457195	128.4	168.6	71680	137.76584029197693
200.47426	64.395546	272.78986	54.404922	227.32146	52.482857	349.07358	136.5169	136.15384	139.2	73728	142.32745218276978
179.06981	81.63022	309.19186	36.28015	227.8333	37.173912	298.53503	171.2752	134.73334	134.4	75776	146.65642619132996
201.25352	70.28007	279.66537	40.36287	201.39165	53.091698	296.49713	78.61933	130.26666	128.4	77824	151.09131479263306
165.279	77.56309	285.65457	46.536903	218.77002	63.91176	327.7517	76.57327	137.71428	144.3	79872	155.7521631717682
220.70804	40.554417	291.5654	145.19247	228.34695	56.617413	344.63412	103.43989	130.66667	145.6	81920	160.41694283485413
204.4022	62.48159	283.41147	41.545174	227.29324	53.817955	362.91852	172.03688	135.93333	140.5	83968	164.94796562194824
232.4948	63.63833	351.04404	84.45476	194.16689	64.608955	285.48828	39.662834	146.0	133.2	86016	169.44422340393066
208.76305	41.467194	245.49974	80.804665	230.55034	59.956165	303.74997	75.488914	131.13333	143.0	88064	174.11349487304688
212.59967	48.448868	292.95248	73.2385	218.50919	56.581326	293.8174	76.147896	127.73333	135.1	90112	178.6636984348297
214.19675	31.136839	282.18295	131.84863	240.09444	40.6878	310.93127	173.11389	124.75	140.3	92160	183.2275583744049
230.90862	41.100403	344.81335	178.54878	225.76404	59.828552	351.55087	110.76054	131.46666	144.3	94208	187.83664560317993
233.61417	38.98216	311.25903	161.79709	235.8138	21.024183	266.7073	200.6463	136.2	137.6	96256	192.31715321540833
241.33627	22.26524	291.3199	191.30656	261.43698	37.489464	337.6043	220.8467	138.85715	148.9	98304	197.03808879852295
227.19313	78.84313	387.48166	60.10914	231.16125	32.42575	263.52185	146.7855	156.07692	134.5	100352	201.39177346229553
238.52261	21.178534	268.41098	191.5977	261.38934	29.691933	298.38385	212.65845	140.07143	148.3	102400	206.07427835464478
265.80505	43.98658	368.55295	218.52756	253.34077	47.01063	346.7141	194.88431	153.76923	150.1	104448	210.7864124774933
222.69511	85.25391	373.95114	79.73456	243.53992	32.597782	317.1733	202.70573	154.0	154.9	106496	215.42822360992432
243.62337	52.29635	309.8186	93.85695	250.32576	54.822456	397.42087	175.52373	150.6923	140.8	108544	220.04737639427185
261.33908	33.188416	329.04718	203.07634	229.04092	61.60522	305.45844	61.877174	148.3077	143.2	110592	224.67703247070312
254.89958	39.614624	309.79205	173.78639	256.80878	64.08926	417.41864	184.8549	161.75	150.6	112640	229.36720061302185
269.78104	53.008007	394.91098	197.0766	238.67978	80.95305	386.0976	75.7914	156.92308	170.2	114688	234.29917430877686
254.52325	83.723	420.702	71.24644	275.93732	43.78333	324.3332	168.62228	178.45454	158.9	116736	239.00417017936707
273.79587	45.076515	382.99893	222.02765	260.20364	63.885284	362.64484	148.93182	157.33333	194.7	118784	244.26856589317322
299.9278	102.11944	578.6911	200.57932	243.02286	37.526726	291.40143	146.58586	181.63637	149.9	120832	248.75791811943054
259.49084	44.17001	334.34348	174.27066	278.71503	26.659655	332.85995	239.84317	156.15384	206.7	122880	254.15208673477173
280.6486	50.2299	410.4635	208.26503	257.16315	25.2631	309.87094	221.4516	161.41667	145.5	124928	258.75748467445374
265.5998	25.25843	324.03247	225.36993	251.42871	57.108307	305.44763	94.818306	152.46153	172.6	126976	263.69418263435364
249.74364	61.716145	301.50107	51.83967	254.9144	32.04746	289.49146	181.2494	150.53847	180.9	129024	268.7721481323242
278.6365	42.860134	346.9546	208.53409	262.96173	24.429884	329.40854	241.97342	160.66667	148.8	131072	273.47661447525024
254.94565	58.64126	334.40683	102.910576	289.1324	148.67767	702.98486	87.82911	154.15384	217.8	133120	278.92746901512146
308.6927	79.66026	490.94263	220.12408	276.7803	15.000026	302.925	251.98734	214.88889	157.6	135168	283.76034903526306
287.9334	39.352947	359.48596	239.76653	261.3194	29.62641	304.36328	217.12906	191.3	146.7	137216	288.3389141559601
264.88705	38.611225	303.7323	160.73003	258.11395	50.041412	322.21658	145.02097	165.08333	189.9	139264	293.5797941684723
323.65106	106.97164	613.17834	219.16829	313.3874	72.45967	430.96896	206.2061	201.2	191.2	141312	298.7350277900696
333.35324	88.933685	504.505	214.5432	260.06766	19.05449	296.94516	237.36095	211.11111	144.8	143360	303.35701084136963
255.95044	48.642105	344.61057	124.18268	271.77963	31.268456	316.169	222.76855	157.16667	151.6	145408	308.25581312179565
274.31717	54.34355	421.01596	218.99518	301.5242	33.813858	357.40732	247.03055	160.16667	178.4	147456	313.2913730144501
288.51712	41.329998	380.59998	242.83661	269.7552	37.369392	315.74994	201.01834	167.83333	174.9	149504	318.309828042984
297.91052	43.337776	373.8568	224.0578	227.92648	72.42835	341.18454	71.11901	181.09091	164.4	151552	323.21203231811523
287.4505	35.146526	340.69815	199.14447	278.66095	54.31067	369.83936	139.3958	161.41667	181.2	153600	328.2729630470276
269.18982	26.974897	320.96213	217.35876	303.34198	32.29615	359.7865	252.0734	168.66667	176.1	155648	333.3300533294678
282.52267	25.340162	323.614	241.79697	300.1236	47.781918	407.19308	245.51094	161.08333	174.2	157696	338.3683202266693
309.09903	41.19643	403.60287	240.77637	287.60992	56.47485	396.24463	212.15189	182.81818	167.3	159744	343.30197286605835
297.85352	50.17461	425.14902	252.12367	301.5594	55.28825	395.155	227.27133	174.36363	178.9	161792	348.24310541152954
257.21634	83.41595	363.4132	85.49783	269.4246	38.65823	325.7453	183.34235	178.54546	152.4	163840	352.88864398002625
293.08707	56.4275	387.25916	227.9983	284.34366	43.250137	398.9533	245.62982	170.0	162.2	165888	357.7317078113556
246.13887	77.00881	375.66296	63.01795	283.3667	25.389645	347.78336	258.08392	167.08333	161.8	167936	362.57663011550903
300.62958	58.20885	400.96304	230.62715	285.43048	46.855854	371.40393	213.06439	175.54546	167.6	169984	367.45365953445435
287.68033	31.719358	354.90726	243.0093	275.64655	24.480568	312.05524	236.43748	163.41667	155.9	172032	372.27424788475037
274.9263	24.902937	343.53244	232.16052	294.01517	40.9747	389.5093	226.67667	154.46153	193.7	174080	377.4462332725525
348.62027	89.35909	536.75934	258.21945	289.23138	60.77495	405.05933	227.51988	224.55556	164.4	176128	382.3686649799347
285.87326	39.073307	396.77264	245.24486	273.4759	36.993114	320.6529	185.9641	161.75	173.4	178176	387.57416701316833
286.66885	36.45569	344.0675	230.05092	284.76837	38.028984	350.80676	232.77106	165.0	165.9	180224	392.50139594078064
