AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time
-257.88943	452.20258	-26.27583	-1362.8286	-322.78116	466.01175	-39.923553	-1302.3951	183.42857	249.4	2048	5.513627052307129
-178.5757	331.97363	-9.022492	-1215.1368	-731.2559	567.4928	-20.747147	-1273.9124	137.09091	612.5	4096	14.846111297607422
-119.81747	289.7436	-17.321991	-1200.8026	-77.06931	29.98167	-36.232048	-135.29619	97.6	56.8	6144	18.033347129821777
-145.61707	270.13794	-25.16643	-1201.808	-383.93466	490.27728	-16.501417	-1176.667	118.23529	334.7	8192	24.59529948234558
-170.46698	346.30283	-25.11891	-1148.5812	-82.643	49.02225	-19.01475	-182.52083	151.88889	77.8	10240	27.98432230949402
-265.2145	439.44598	-17.880577	-1142.2642	-127.089195	87.47464	-16.336025	-317.65466	228.6	98.7	12288	31.601614236831665
-229.18118	388.82117	-20.808708	-1006.51996	-229.02571	352.7296	-5.882198	-937.43915	222.0	245.7	14336	37.02471375465393
-132.15742	245.5733	3.8346193	-992.59717	-152.0455	242.83643	-28.84939	-871.47766	136.35715	165.3	16384	41.48789167404175
-345.83096	367.62665	-76.59417	-979.4518	-195.50095	317.87155	-17.286783	-832.16656	339.0	234.7	18432	46.668946743011475
-209.83609	293.7839	-12.905923	-793.6119	-139.08362	278.29254	-7.3255005	-960.69934	246.8	143.8	20480	50.858104944229126
-90.36377	175.2587	-12.56717	-879.4484	-222.69519	319.8332	-30.177279	-883.3447	92.5	257.6	22528	56.32850122451782
-133.32126	232.96013	-11.176009	-786.2902	-218.12027	301.55072	-34.728172	-834.72736	172.11111	256.7	24576	61.70295691490173
-189.71576	297.80615	-5.772018	-852.0793	-158.37479	242.64676	-11.097762	-861.12555	225.0	186.1	26624	66.32946372032166
-131.52272	215.45145	1.0338855	-785.258	-150.57117	242.75735	-7.9603143	-855.0805	177.18182	175.2	28672	70.87773251533508
-494.10275	321.6321	-39.906384	-742.41534	-296.70547	334.01813	-11.594721	-829.8473	675.6667	365.9	30720	77.6926429271698
-131.19508	202.51268	-8.041848	-738.38605	-30.382778	25.876472	4.671315	-84.86102	173.72728	49.3	32768	80.86657762527466
-93.35058	191.08096	-0.5318398	-804.17914	-138.7977	212.8092	-12.382164	-749.5567	122.875	197.1	34816	85.68827271461487
-102.244705	185.06447	-8.940823	-785.4998	-224.6871	281.8532	-10.654228	-802.17725	124.375	296.7	36864	91.58874416351318
-102.75779	196.34447	-5.269595	-717.5141	-63.03819	57.899067	-9.221728	-204.25443	148.81818	92.0	38912	95.13209962844849
-173.5706	237.1621	-11.860956	-787.6982	-119.98423	220.35776	-0.06442627	-772.47144	220.88889	158.1	40960	99.46177244186401
-177.81705	241.32668	8.58598	-748.32635	-112.80231	215.09445	-7.454881	-748.7678	226.25	160.9	43008	103.83514976501465
-142.13622	231.44272	-13.634319	-657.5127	-91.25072	186.6383	-5.297503	-648.96906	200.83333	159.0	45056	108.18267798423767
-84.306625	177.7423	-1.6349056	-804.1626	-51.4365	44.385094	6.9569626	-143.48463	110.0	72.2	47104	111.5347170829773
-133.02274	240.80818	-6.577179	-766.6853	-115.8922	206.74817	-0.49510816	-717.2318	167.875	174.2	49152	116.07838988304138
-139.00238	257.97464	-0.24253058	-819.25507	-101.381744	212.51201	1.4330518	-730.5768	177.5	145.6	51200	120.27221059799194
-134.95811	222.55606	-3.7102442	-753.59937	-183.24245	277.77206	-13.03627	-758.88934	181.44444	254.2	53248	125.72745132446289
-133.3556	189.96866	-6.069283	-705.8646	-287.51624	314.34027	-5.048957	-772.9819	167.66667	418.1	55296	133.008141040802
-40.2723	35.419895	3.8311517	-142.13777	-32.35644	28.593771	-5.682626	-100.76993	63.142857	47.4	57344	136.02875542640686
-256.8632	312.13535	-32.422756	-698.2681	-103.41604	193.83235	5.0929856	-677.10095	369.66666	160.9	59392	140.3335349559784
-62.7596	149.4208	20.584251	-668.57434	-25.880793	19.064838	-3.7940063	-56.22338	106.0	48.2	61440	143.43788170814514
-52.95919	46.871788	0.597322	-167.73482	-57.11492	67.95371	2.0063474	-231.37686	72.4	107.6	63488	147.19298028945923
-62.4839	147.76596	13.590075	-622.9292	-103.70618	183.76326	-0.276348	-646.0062	117.125	158.3	65536	151.51886701583862
-156.88402	243.02988	21.731653	-694.2339	-114.62805	171.13872	-10.456875	-599.9258	259.0	186.9	67584	156.17053604125977
-103.75834	221.74532	18.530813	-641.2434	-156.34639	244.20833	-8.364011	-663.3854	198.57143	280.3	69632	161.91489052772522
-130.2362	208.9306	-7.048027	-675.8945	-27.678595	24.351484	22.291498	-70.26807	188.25	55.4	71680	165.07628417015076
-116.9086	195.14655	3.342112	-642.93665	-91.267	96.477684	-14.599294	-311.19904	195.33333	115.4	73728	168.90527486801147
-113.293785	235.73592	29.027004	-773.8182	-179.37238	241.29062	8.205283	-664.44727	182.11111	280.0	75776	174.63828587532043
-87.10261	157.8949	-9.721384	-664.709	-108.12911	193.66766	-6.440178	-685.2663	131.6	157.5	77824	178.9573414325714
-42.80421	48.461933	15.892796	-198.37582	-61.902576	55.550842	-20.56035	-198.10182	68.652176	106.3	79872	182.65104579925537
-141.77495	191.63843	-2.552348	-604.8597	-37.292244	26.487318	-4.9253564	-101.31531	234.5	55.9	81920	185.7930245399475
-98.342674	171.15437	-9.326655	-661.96906	-103.49971	179.4561	-3.460768	-628.67426	146.91667	171.5	83968	190.32677841186523
